estilo	livro	capitulo	versiculo	texto
CCB	马太福音	1	1	"  耶稣基督 是 亚伯拉罕 的 子孙 、 大卫 的 后裔 ， 以下 是 祂 的 家谱 ： 
"
CCB	马太福音	1	2	"  亚伯拉罕 生以 撒 ， 
 以 撒生 雅各 ， 
 雅各 生 犹大 和 他 的 兄弟 ， 
"
CCB	马太福音	1	3	"  犹大 和 她 玛 生法 勒斯 和 谢拉 ， 
 法 勒斯 生 希斯 仑 [ a ] ， 
 希斯 仑 生兰 ， 
"
CCB	马太福音	1	4	"  兰生 亚米拿达 ， 
 亚米拿达生拿顺 ， 
 拿 顺生 撒门 ， 
"
CCB	马太福音	1	5	"  撒门 和 喇合生 波阿斯 ， 
 波阿斯 和路 得生 俄 备 得 ， 
 俄备 得生 耶西 ， 
"
CCB	马太福音	1	6	"  耶西 生 大卫王 。 
 大卫 和 乌 利亚 的 妻子 生 所罗门 ， 
"
CCB	马太福音	1	7	"  所罗门 生 罗波安 ， 
 罗波安 生 亚比雅 ， 
 亚比 雅生 亚撒 ， 
"
CCB	马太福音	1	8	"  亚撒 生约 沙法 ， 
 约沙 法生约兰 ， 
 约兰生 乌西雅 ， 
"
CCB	马太福音	1	9	"  乌西雅 生约 坦 ， 
 约坦生 亚 哈斯 ， 
 亚 哈斯 生 希西 迦 ， 
"
CCB	马太福音	1	10	"  希西 迦生玛拿西 ， 
 玛拿西生亚 们 ， 
 亚们 生约 西亚 ， 
"
CCB	马太福音	1	11	"  约 西亚 生耶哥 尼雅 和 他 的 兄弟 ， 
 那时 以色列 人 被 掳往 巴比伦 。 
"
CCB	马太福音	1	12	"  被 掳到 巴比伦 以后 ， 
 耶哥 尼雅 生 撒拉 铁 ， 
 撒拉 铁生 所 罗 巴伯 ， 
"
CCB	马太福音	1	13	"  所罗 巴伯 生亚比玉 ， 
 亚比玉 生以 利亚 敬 ， 
 以 利亚 敬生亚 所 ， 
"
CCB	马太福音	1	14	"  亚 所生 撒督 ， 
 撒督生 亚金 ， 
 亚金 生以律 ， 
"
CCB	马太福音	1	15	"  以 律生 以 利亚 撒 ， 
 以 利亚 撒生马 但 ， 
 马 但 生 雅各 ， 
"
CCB	马太福音	1	16	"  雅各 生 约瑟 。 
 约瑟 就是 玛丽亚 的 丈夫 ， 
 那 被 称为 基督 [ b ] 的 耶稣 就是 玛丽亚 生 的 。 
"
CCB	马太福音	1	17	  这样 ， 从 亚伯拉罕 到 大卫 共有
CCB	马太福音	1	十四	"代 。 
 耶稣 的 降生 
"
CCB	马太福音	1	18	"  以下 是 耶稣基督 降生 的 经过 。 
 耶稣 的 母亲 玛丽亚 和 约瑟 订 了 婚 ， 还 没有 成亲 就 从 圣灵 怀了孕 。  "
CCB	马太福音	1	19	  约瑟 是 个 义人 ， 不 愿 公开 地 羞辱 她 ， 便 决定 暗中 和 她 解除婚约 。  
CCB	马太福音	1	20	  他 正在 考虑 这事 的 时候 ， 主 的 一位 天使 在 梦 中 向 他 显现 ， 说 ： “ 大卫 的 后裔 约瑟 ， 不要 怕 ， 把 玛丽亚 娶 过来 ， 因为 她 所怀 的 孕 是从 圣灵 来 的 。  
CCB	马太福音	1	21	"  她 将 生 一个 儿子 ， 你 要 给 祂 取名 叫 耶稣 [ c ] ， 因为 祂 要 把 自己 的 子民 从 罪恶 中救 出来 。 ” 
"
CCB	马太福音	1	22	  这 一切 应验 了 主 借着 先知 所说 的话 ：  
CCB	马太福音	1	23	  “ 必 有 童贞 女 怀孕 生子 ， 祂 的 名字 要 叫 以马内利 ， 意思 是 ‘ 上帝 与 我们 同 在 ’ 。 ”  
CCB	马太福音	1	24	  约瑟 醒来 ， 就 遵从 主 的 天使 的 吩咐 和 玛丽亚 结婚 ，  
CCB	马太福音	1	25	"  只是 在 她 生下 孩子 之前 没有 与 她 同房 。 约瑟 给 孩子 取名 叫 耶稣 。 
 Chinese   Contemporary   Bible   Copyright   ©  "
CCB	马太福音	1	1979	,  
CCB	马太福音	1	2005	,  
CCB	马太福音	1	2007	,  
CCB	马太福音	1	2011	  by   Biblica ®   Used   by   permission .   All   rights   reserved   worldwide .
CCB	马太福音	2	2	:
CCB	马太福音	2	3	  希律王 听 后 ， 心里不安 ， 全城 的 人 都 感到 不安 。  
CCB	马太福音	2	4	"  希律王 就 召来 祭司 长 和 律法 教师 ， 问 他们 ： “ 基督 在 哪里 降生 呢 ？ ” 
"
CCB	马太福音	2	5	"  他们 回答 说 ： “ 在 犹太 的 伯利恒 ， 因为 先知 这样 记载 ， 
"
CCB	马太福音	2	6	"  “ ‘ 犹大 地区 的 伯利恒 啊 ！ 
 你 在 犹大 各 城中 并 不是 最小 的 ， 
 因为 有 一位 君王 要 从 你 那里 出来 ， 
 牧养 我 的 以色列 子民 。 ’ ” 
"
CCB	马太福音	2	7	节 和
CCB	马太福音	2	8	"  然后 派 他们 去 伯利恒 ， 并 吩咐 道 ： “ 你们 去 仔细 寻访 那个 小孩 ， 找到 了 ， 就 回来 报信 ， 我 也好 去 朝拜 祂 。 ” 
"
