estilo	livro	capitulo	versiculo	texto
CCB	创世记	1	1	:
CCB	创世记	1	2	  那时 ， 大地 空虚 混沌 ， 还 没有 成形 ， 黑暗 笼罩着 深渊 ， 上帝 的 灵 运行 在 水面 上 。  
CCB	创世记	1	3	  上帝 说 ： “ 要有光 ！ ” 就 有 了 光 。  
CCB	创世记	1	4	  上帝 看 光是 好 的 ， 就 把 光 和 暗 分开 ，  
CCB	创世记	1	5	"  “ 这 是 第一天 ” 或 译 “ 这 是 一天 ” 。 
 Chinese   Contemporary   Bible   Copyright   ©  "
CCB	创世记	1	6	  上帝 说 ： “ 水 与 水 之间 要 有 穹苍 ， 把 水 分开 。 ”  
CCB	创世记	1	7	  果然如此 。 上帝 开辟 了 穹苍 ， 用 穹苍 将 水上 下 分开 。  
CCB	创世记	1	8	"  上帝 称 穹苍 为 天空 。 晚上 过去 ， 早晨 到来 ， 这 是 第二天 。 
"
CCB	创世记	1	9	  上帝 说 ： “ 天空 下面 的 水要 聚 在 一处 ， 使 干地 露出 来 。 ” 果然如此 。  
CCB	创世记	1	10	  上帝 称 干地 为 陆地 ， 称水 汇聚 的 地方 为 海洋 。 上帝 看 了 ， 感到 满意 。  
CCB	创世记	1	11	  上帝 说 ： “ 陆地 要长 出 植物 — — 各类 结 种子 的 菜蔬 和 结果 子 的 树木 ， 果子 内 都 有 籽 。 ” 果然如此 ，  
CCB	创世记	1	12	  陆地 长 出 了 植物 — — 各类 结 种子 的 菜蔬 和 结果 子 的 树木 ， 果子 内 都 有 籽 。 上帝 看 了 ， 感到 满意 。  
CCB	创世记	1	13	"  晚上 过去 ， 早晨 到来 ， 这 是 第三天 。 
"
CCB	创世记	1	14	  上帝 说 ： “ 天空 要有光 体 ， 以 区分 昼夜 ， 作记号 ， 定 节令 ， 计算 年 日 ，  
CCB	创世记	1	15	  发光 普照大地 。 ” 果然如此 。  
CCB	创世记	1	16	  上帝 造 了 两个 大 光体 ， 较大 的 管 白昼 ， 较小 的 管 黑夜 ， 又 造 了 星辰 。  
CCB	创世记	1	17	  上帝 把 这些 光体 摆列 在 天空 ， 让 它们 发光 普照大地 ，  
CCB	创世记	1	18	  管理 昼夜 ， 分开 明暗 。 上帝 看 了 ， 感到 满意 。  
CCB	创世记	1	19	"  晚上 过去 ， 早晨 到来 ， 这 是 第四天 。 
"
CCB	创世记	1	20	  上帝 说 ： “ 水中 要 充满 各种 动物 ， 空中 要 有 禽鸟 飞翔 。 ”  
CCB	创世记	1	21	  上帝 就 造 了 海中 的 大鱼 等 各类 水族 和 各类 禽鸟 。 上帝 看 了 ， 感到 满意 。  
