estilo	livro	capitulo	versiculo	texto
CCBT	马太福音	1	1	"  耶穌 基督 是 亞伯 拉罕 的 子孫 、 大衛 的 後 裔 ， 以下 是 祂 的 家 譜 ： 
"
CCBT	马太福音	1	2	"  亞伯 拉罕 生以 撒 ， 
 以 撒生 雅各 ， 
 雅各 生 猶大 和 他 的 兄弟 ， 
"
CCBT	马太福音	1	3	"  猶大 和 她 瑪 生法 勒斯 和 謝拉 ， 
 法 勒斯 生 希斯 崙 [ a ] ， 
 希斯 崙 生蘭 ， 
"
CCBT	马太福音	1	4	"  蘭生 亞米拿達 ， 
 亞米拿達生拿順 ， 
 拿 順生 撒門 ， 
"
CCBT	马太福音	1	5	"  撒門 和 喇合生 波阿斯 ， 
 波阿斯 和路 得生 俄 備 得 ， 
 俄備 得生 耶西 ， 
"
CCBT	马太福音	1	6	"  耶西 生大衛 王 。 
 大衛 和 烏利亞 的 妻子 生所 羅門 ， 
"
CCBT	马太福音	1	7	"  所 羅門生 羅波安 ， 
 羅波 安生 亞比雅 ， 
 亞比 雅生 亞撒 ， 
"
CCBT	马太福音	1	8	"  亞撒 生約 沙法 ， 
 約沙 法生約蘭 ， 
 約蘭生 烏西雅 ， 
"
CCBT	马太福音	1	9	"  烏西雅 生約 坦 ， 
 約坦生 亞 哈斯 ， 
 亞 哈斯 生 希西 迦 ， 
"
CCBT	马太福音	1	10	"  希西 迦生瑪拿西 ， 
 瑪拿西生亞 們 ， 
 亞們 生約 西亞 ， 
"
CCBT	马太福音	1	11	"  約西亞 生耶哥 尼雅 和 他 的 兄弟 ， 
 那時 以色列 人 被 擄往 巴比 倫 。 
"
CCBT	马太福音	1	12	"  被 擄到 巴比 倫 以 後 ， 
 耶哥 尼雅 生 撒拉 鐵 ， 
 撒拉 鐵生 所 羅 巴伯 ， 
"
CCBT	马太福音	1	13	"  所羅 巴伯 生亞比玉 ， 
 亞比 玉生 以利 亞敬 ， 
 以利 亞敬生 亞 所 ， 
"
CCBT	马太福音	1	14	"  亞 所生 撒督 ， 
 撒督生亞 金 ， 
 亞金生 以 律 ， 
"
CCBT	马太福音	1	15	"  以 律生 以利 亞撒 ， 
 以利 亞撒 生馬 但 ， 
 馬 但 生 雅各 ， 
"
CCBT	马太福音	1	16	"  雅各 生 約瑟 。 
 約瑟 就是 瑪麗亞 的 丈夫 ， 
 那 被 稱為 基督 [ b ] 的 耶穌 就是 瑪麗亞生 的 。 
"
CCBT	马太福音	1	17	  這樣 ， 從 亞伯 拉罕 到 大 衛 共有
CCBT	马太福音	1	十四	"代 。 
 耶穌 的 降生 
"
CCBT	马太福音	1	18	"  以下 是 耶穌 基督 降生 的 經過 。 
 耶穌 的 母親 瑪麗亞 和 約 瑟訂 了 婚 ， 還 沒有 成親 就 從 聖靈 懷 了 孕 。  "
CCBT	马太福音	1	19	  約瑟 是 個 義人 ， 不 願 公開 地 羞辱 她 ， 便 決定 暗中 和 她 解除 婚約 。  
CCBT	马太福音	1	20	  他 正在 考慮 這事 的 時候 ， 主 的 一位 天使 在 夢 中 向 他 顯現 ， 說 ： 「 大衛 的 後 裔 約瑟 ， 不要 怕 ， 把 瑪麗亞 娶 過來 ， 因為 她 所懷 的 孕是 從 聖靈 來的 。  
CCBT	马太福音	1	21	"  她 將 生 一個 兒子 ， 你 要 給 祂 取名 叫 耶穌 [ c ] ， 因 為 祂 要 把 自己 的 子民 從 罪惡 中 救出 來 。 」 
"
CCBT	马太福音	1	22	  這 一切 應驗 了 主 藉 著 先知 所說 的 話 ：  
CCBT	马太福音	1	23	  「 必 有 童貞女 懷孕 生子 ， 祂 的 名字 要 叫 以 馬內利 ， 意思 是 『 上帝 與 我們 同在 』 。 」  
CCBT	马太福音	1	24	  約瑟 醒來 ， 就 遵從 主 的 天使 的 吩咐 和 瑪麗亞 結婚 ，  
CCBT	马太福音	1	25	  只是 在 她 生下 孩子 之前 沒有 與 她 同房 。 約瑟 給 孩子 取名 叫 耶穌 。
CCBT	马太福音	2	2	·
CCBT	马太福音	2	3	  希律王 聽 後 ， 心裡 不安 ， 全城 的 人 都 感到 不安 。  
CCBT	马太福音	2	4	"  希律王 就 召來 祭司 長 和 律法 教師 ， 問 他們 ： 「 基督 在 哪裡 降生 呢 ？ 」 
"
CCBT	马太福音	2	5	"  他們 回答 說 ： 「 在 猶太 的 伯利恆 ， 因為 先知 這樣 記載 ， 
"
CCBT	马太福音	2	6	"  『 猶 大地 區的 伯利恆 啊 ！ 
 你 在 猶大 各 城中 並 不是 最小 的 ， 
 因為 有 一位 君王 要 從 你 那裡 出來 ， 
 牧養 我 的 以色列 子民 。 』 」 
"
CCBT	马太福音	2	7	節 和
CCBT	马太福音	2	8	"  然 後 派 他們 去 伯利恆 ， 並 吩咐 道 ： 「 你們 去 仔細 尋訪 那個 小孩 ， 找到 了 ， 就 回來 報信 ， 我 也好 去 朝拜 祂 。 」 
"
CCBT	马太福音	2	9	  他們 聽 了 王 的 吩咐 ， 就 去 了 。 忽然 ， 那 顆 曾 在 東方 出現 的 星 又 出現 在 他們 前面 ， 引領 他們 來到 小孩 耶穌 所在 的 地方 ， 便 停下 來 。  
CCBT	马太福音	2	10	"  他們 看見 那 顆星 ， 喜出望外 。 
"
CCBT	马太福音	2	11	  他們 進 了 屋子 ， 看見 孩子 和 祂 母 親 瑪 麗 亞 ， 就 俯伏 在 地上 拜 祂 ， 並 打開 盛 寶物 的 盒子 獻上 黃金 、 乳香 和 沒藥 作禮 物 。  
CCBT	马太福音	2	12	"  他們 在 夢 中 得到 指示 不可 回 希律 那裡 ， 便 改道 返回 了 家鄉 。 
 逃往 埃及 
"
CCBT	马太福音	2	13	  他們 離開 之 後 ， 主 的 天使 在 夢 中 向 約瑟 顯現 ， 說 ： 「 起來 ， 帶著 小孩子 和 祂 母 親 逃往 埃及 ， 住 在 那裡 等候 我 的 通知 ， 因為 希律 要 尋找 這 孩子 ， 殺 害 祂 。 」  
CCBT	马太福音	2	14	  於 是 ， 約瑟 起來 帶著 孩子 和 祂 母 親 連 夜 逃往 埃及 ，  
CCBT	马太福音	2	15	"  並 在 那裡 一直 住 到 希律 死 了 。 這 就 應驗 了 主 藉 著 先知 所說 的 話 ： 「 我 把 兒子 從 埃及 召出 來 。 」 
"
CCBT	马太福音	2	16	節 。
CCBT	马太福音	2	17	"  這 正 應驗 了 耶利米 先知 的 話 ： 
"
CCBT	马太福音	2	18	"  「 在 拉瑪 有 痛哭 哀號 的 聲音 ， 
 是 拉 結在 為 兒女 哀慟 ， 
 不肯 接受 安慰 ， 
 因為 他們 都 死 了 ！ 」 
 定居 拿 撒勒 
"
CCBT	马太福音	2	19	  希律死 後 ， 主 的 天使 在 夢 中 向 在 埃及 的 約瑟 顯現 ， 說 ：  
CCBT	马太福音	2	20	  「 起來 ， 帶著 孩子 和 祂 母 親 回 以色列 去 吧 ！ 因為 要 殺害 孩子 的 人 已經 死 了 。 」  
CCBT	马太福音	2	21	"  約瑟 就 起來 ， 帶著 孩子 和 祂 母 親 返回 以色列 。 
"
CCBT	马太福音	2	22	  但 約瑟 聽 聞亞基 勞繼承 父親 希律 的 王位 統治 猶太 ， 就 不敢 回 猶太 。 這時 ， 他 在 夢 中 得到 主 的 指示 ， 便 前往 加利利 地區 ，  
CCBT	马太福音	2	23	"  定居 在 拿 撒勒鎮 。 這 應驗 了 先知 的 話 ： 「 祂 將 被 稱 為 拿 撒 勒 人 。 」 
 Footnotes 
 -  "
CCBT	马太福音	2	1	  「 智者 」 或 譯 「 占星家 」 下同
CCBT	马太福音	3	3	"  約翰 就是 以 賽亞 先知 所說 的 那位 ， 他 說 ： 「 有人 在 曠野 大聲 呼喊 ， 『 預備 主 的 道 ， 修 直 祂 的 路 。 』 」 
"
CCBT	马太福音	3	2	  「 悔改 吧 ， 因為 天國 臨近 了 ！ 」  
CCBT	马太福音	3	4	  約翰 身穿 駱 駝毛 的 衣服 ， 腰束 皮帶 ， 吃 的 是 蝗蟲 、 野蜜 。  
CCBT	马太福音	3	5	  那時 ， 耶路撒冷 、 猶太 各地 和 約旦河 一帶 的 人 都 來 到 約翰 那裡 ，  
CCBT	马太福音	3	6	"  承認 他們 的 罪 ， 在 約旦 河裡 接受 他 的 洗禮 。 
"
CCBT	马太福音	3	7	  約翰 看見 很多 法利賽人和撒都 該人 也 來 受洗 ， 就 對 他們 說 ： 「 你們 這些 毒蛇 的 後 代 ！ 誰 指示 你們 逃避 那 將 臨 的 烈 怒 呢 ？  
CCBT	马太福音	3	8	  你們 要 結出 與 悔改 相稱 的 果子 。  
CCBT	马太福音	3	9	  不要 心裡 說 ， 『 我們 是 亞伯 拉罕 的 子孫 。 』 我 告訴 你們 ， 上帝 可以 從 這些 石頭 中 興起 亞伯 拉罕 的 子孫 。  
CCBT	马太福音	3	10	  現在 斧頭 已經 放在 樹根 上 了 ， 不 結好 果子 的 樹 都 要 被 砍下 ， 丟 在 火 裡 。  
CCBT	马太福音	3	11	  我 用水 為 你們 施洗 ， 叫 你們 悔改 。 但 在 我 之 後 ， 有位 比 我 更 有 能力 的 要來 ， 我 連 替 祂 提鞋 都 不配 。 祂 要 用 聖 靈 和 火 為 你 們 施洗 。  
CCBT	马太福音	3	12	"  祂 手 拿 簸箕 ， 要 把 穀 場 清理 乾 淨 ， 將 麥子 存入 倉 裡 ， 用 不滅 的 火把 糠秕 燒盡 。 」 
 耶穌 受洗 
"
CCBT	马太福音	3	13	  後 來 ， 耶穌 從 加利利 來到 約旦河 要 約翰 為 祂 施洗 。  
CCBT	马太福音	3	14	"  約翰 想要 攔 住 祂 ， 就 說 ： 「 應該 是 你 為 我 施洗 才 對 ， 你 反倒 來 找 我 ？ 」 
"
CCBT	马太福音	3	15	"  耶穌 回答 說 ： 「 你 就 這樣 做 吧 ！ 我們 理當 這樣 遵行 上帝 一切 的 要求 。 」 於 是 約翰 答應 了 。 
"
CCBT	马太福音	3	16	  耶穌 受 了 洗 ， 剛 從 水裡 上來 ， 天 就 開 了 。 祂 看 見 上帝 的 聖靈 像 鴿子 一樣 降到 祂 身上 ，  
