estilo	livro	capitulo	versiculo	texto
CCBT	创世记	1	1	·
CCBT	创世记	1	2	  那時 ， 大地 空虛 混沌 ， 還 沒有 成形 ， 黑暗 籠罩 著 深 淵 ， 上帝 的 靈運行 在 水面 上 。  
CCBT	创世记	1	3	  上帝 說 ： 「 要有光 ！ 」 就 有 了 光 。  
CCBT	创世记	1	4	  上帝 看 光是 好 的 ， 就 把 光 和 暗分 開 ，  
CCBT	创世记	1	5	  「 這 是 第一天 」 或 譯 「 這 是 一天 」 。
CCBT	创世记	1	6	  上帝 說 ： 「 水 與 水 之間 要 有 穹蒼 ， 把 水分 開 。 」  
CCBT	创世记	1	7	  果然如此 。 上帝 開闢 了 穹蒼 ， 用 穹蒼 將 水上 下 分開 。  
CCBT	创世记	1	8	"  上帝 稱 穹蒼 為 天空 。 晚上 過去 ， 早晨 到 來 ， 這 是 第二天 。 
"
CCBT	创世记	1	9	  上帝 說 ： 「 天空 下面 的 水要 聚 在 一處 ， 使 乾 地 露出 來 。 」 果然如此 。  
CCBT	创世记	1	10	  上帝 稱 乾 地 為 陸地 ， 稱水 匯聚 的 地方 為 海洋 。 上帝 看 了 ， 感到 滿意 。  
CCBT	创世记	1	11	  上帝 說 ： 「 陸地 要長 出 植物 — — 各類 結種子 的 菜蔬 和 結 果子 的 樹木 ， 果子 內 都 有 籽 。 」 果然如此 ，  
CCBT	创世记	1	12	  陸地 長出 了 植物 — — 各類 結種子 的 菜蔬 和 結 果子 的 樹木 ， 果子 內 都 有 籽 。 上帝 看 了 ， 感到 滿意 。  
CCBT	创世记	1	13	"  晚上 過去 ， 早晨 到 來 ， 這 是 第三天 。 
"
CCBT	创世记	1	14	  上帝 說 ： 「 天空 要有光 體 ， 以 區分 晝夜 ， 作記號 ， 定節令 ， 計算 年 日 ，  
CCBT	创世记	1	15	  發光 普照大地 。 」 果然如此 。  
CCBT	创世记	1	16	  上帝 造 了 兩個 大 光體 ， 較大 的 管白晝 ， 較小 的 管 黑夜 ， 又 造 了 星辰 。  
CCBT	创世记	1	17	  上帝 把 這些 光體 擺列 在 天空 ， 讓 它們 發光 普照大地 ，  
CCBT	创世记	1	18	  管理 晝夜 ， 分開 明暗 。 上帝 看 了 ， 感到 滿意 。  
CCBT	创世记	1	19	"  晚上 過去 ， 早晨 到 來 ， 這 是 第四天 。 
"
CCBT	创世记	1	20	  上帝 說 ： 「 水中 要 充滿 各種 動物 ， 空中 要 有 禽 鳥 飛翔 。 」  
CCBT	创世记	1	21	  上帝 就 造 了 海中 的 大魚 等 各類 水族 和 各類 禽鳥 。 上帝 看 了 ， 感到 滿意 。  
CCBT	创世记	1	22	  上帝 賜 福 給 這 一切 生物 ， 說 ： 「 水族 要 生養 繁殖 ， 充滿 海洋 ， 禽鳥 也 要 在 地上 多多 地 繁殖 。 」  
CCBT	创世记	1	23	  晚上 過去 ， 早晨 到 來 ， 這 是 第五天 。  
CCBT	创世记	1	24	  上帝 說 ： 「 大地 要 繁衍 各類 動物 — — 各類 的 牲畜 、 爬蟲 和 野獸 。 」 果然如此 。  
