estilo	livro	capitulo	versiculo	texto
CNVS	马太福音	1	1	"  大卫 的 子孙 ， 亚伯拉罕 的 后裔 ， 耶稣基督 的 家谱 ： 
"
CNVS	马太福音	1	2	  亚伯拉罕 生以 撒 ， 以 撒生 雅各 ， 雅各 生 犹大 和 他 的 兄弟 ，  
CNVS	马太福音	1	3	  他 玛 给 犹大 生 了 法 勒斯 和 谢拉 ， 法 勒斯 生 希斯 仑 ， 希斯 仑 生 亚兰 ，  
CNVS	马太福音	1	4	  亚兰生亚米拿达 ， 亚米拿达生拿顺 ， 拿 顺生 撒门 ，  
CNVS	马太福音	1	5	  喇合 给 撒 门生 了 波阿斯 ， 路得 给 波阿斯 生 了 俄 备 得 ， 俄备 得生 耶西 ，  
CNVS	马太福音	1	6	"  耶西 生 大卫王 。 
 乌 利亚 的 妻子 给 大 卫生 了 所罗门 ，  "
CNVS	马太福音	1	7	  所罗门 生 罗波安 ， 罗波安 生 亚比雅 ， 亚比 雅生 亚撒 ，  
CNVS	马太福音	1	8	  亚撒 生约 沙法 ， 约沙 法生约兰 ， 约兰生 乌西雅 ，  
CNVS	马太福音	1	9	  乌西雅 生约 坦 ， 约坦生 亚 哈斯 ， 亚 哈斯 生 希西 家 ，  
CNVS	马太福音	1	10	  希西 家生 玛拿西 ， 玛拿西生亚 们 ， 亚们 生约 西亚 ，  
CNVS	马太福音	1	11	"  犹太人 被 掳到 巴比伦 的 时候 ， 约 西亚 生耶哥 尼雅 和 他 的 兄弟 。 
"
CNVS	马太福音	1	12	  被 掳到 巴比伦 以后 ， 耶哥 尼雅 生 撒拉 铁 ， 撒拉 铁生 所 罗 巴伯 ，  
CNVS	马太福音	1	13	  所罗 巴伯 生亚比玉 ， 亚比玉 生以 利亚 敬 ， 以 利亚 敬生亚 所 ，  
CNVS	马太福音	1	14	  亚 所生 撒督 ， 撒督生 亚金 ， 亚金 生以律 ，  
CNVS	马太福音	1	15	  以 律生 以 利亚 撒 ， 以 利亚 撒生马 但 ， 马 但 生 雅各 ，  
CNVS	马太福音	1	16	"  雅各 生 约瑟 ， 就是 马利亚 的 丈夫 ； 那 称为 基督 的 耶稣 ， 是 马利亚 所生 的 。 
"
CNVS	马太福音	1	17	  这样 ， 从 亚伯拉罕 到 大卫 ， 一共 是
CNVS	马太福音	1	十四	"代 。 
 耶稣基督 的 降生 ( B ) 
"
CNVS	马太福音	1	18	  耶稣基督 的 降生 是 这样 的 ： 耶稣 的 母亲 马利亚 许配 了 约瑟 ， 他们 还 没有 成亲 ， 马利亚 就 从 圣灵 怀了孕 。  
CNVS	马太福音	1	19	  她 丈夫 约瑟 是 个 义人 ， 不 愿 张扬 使 她 受辱 ， 就 打算 暗中 与 她 解除婚约 。  
CNVS	马太福音	1	20	  他 一直 想着 这些 事 ， 主 的 使者 就 在 梦 中 向 他 显现 ， 说 ： “ 大卫 的 子孙 约瑟 ， 只管 放胆 把 你 的 妻子 马利亚 迎娶 过来 ， 因为 她 怀 的 孕 是从 圣灵 来 的 。  
CNVS	马太福音	1	21	  她 必生 一个 儿子 ， 你 要 给 他 起名叫 耶稣 ， 因为 他 要 把 自己 的 子民 从 罪恶 中 拯救 出来 。 ”  
CNVS	马太福音	1	22	"  这 整件事 的 发生 ， 是 要 应验 主 借着 先知 所说 的 ： 
"
CNVS	马太福音	1	23	"  “ 必 有 童女 怀孕 生子 ， 
 他 的 名 要 叫 以马内利 。 ” 
 以马内利 就是 “   神 与 我们 同 在 ” 的 意思 。  "
CNVS	马太福音	1	24	  约瑟 睡醒 了 ， 就 照着 主 的 使者 所 吩咐 的 ， 把 妻子 迎娶 过来 ；  
CNVS	马太福音	1	25	"  只是 在 孩子 出生 以前 ， 并 没有 与 她 同房 。 约瑟 给 孩子 起名叫 耶稣 。 
 Chinese   New   Version   ( CNV ) .   Copyright   ©  "
CNVS	马太福音	1	1976	,  
CNVS	马太福音	1	1992	,  
CNVS	马太福音	1	1999	,  
CNVS	马太福音	1	2001	,  
CNVS	马太福音	1	2005	  by   Worldwide   Bible   Society .
CNVS	马太福音	2	2	  说 ： “ 那 生 下来 作 犹太人 的 王 的 在 哪里 ？ 我们 看见 他 的 星 出现 ， 特 来 朝拜 他 。 ”  
CNVS	马太福音	2	3	  希律王 听见 了 就 心里不安 ， 全 耶路撒冷 的 居民 也 是 这样 。  
CNVS	马太福音	2	4	  他 就 召集 所有 的 祭司 长 和 民间 的 经学家 ， 问 他们 基督 应该 生 在 哪里 。  
CNVS	马太福音	2	5	"  他们 回答 ： “ 在 犹太 的 伯利恒 。 因为 有 先知 在 经上 这样 说 ： 
"
CNVS	马太福音	2	6	"  ‘ 犹大 地 的 伯利恒 啊 ！ 
 你 在 犹大 的 领袖 中 ， 并 不是 最小 的 ， 
 因为 必 有 一位 领袖 从 你 那里 出来 ， 
 牧养 我 的 子民 以色列 。 ’ ” 
"
CNVS	马太福音	2	7	  希律 暗中 把 星象 家 召来 ， 仔细 查问 他们 ， 那颗星 甚么 时候 出现 ，  
CNVS	马太福音	2	8	  然后 派 他们 到 伯利恒 去 ， 说 ： “ 你们 去 细心 寻访 那 小孩 ， 找到 了 就 向 我 报告 ， 好 叫 我 也 去 拜 他 。 ”  
CNVS	马太福音	2	9	  他们 听命 去 了 。 他们 在 东方 看见 的 那颗星 ， 忽然 在 他们 前头 ， 领 他们 到 那 小孩 所在 的 地方 ， 就 在 上头 停住 了 。  
CNVS	马太福音	2	10	  他们 看见 那颗星 ， 欢喜 极了 ；  
CNVS	马太福音	2	11	  进 了 房子 ， 看见 小孩 和 他 母亲 马利亚 ， 就 俯伏 拜 他 ， 并且 打开 宝盒 ， 把 黄金 、 乳香 、 没药 作 礼物 献给 他 。  
CNVS	马太福音	2	12	"  后来 他们 在 梦 中 得 着 指示 不要 回到 希律 那里 去 ， 就 从 别的 路 回乡 去 了 。 
 逃往 埃及 
"
CNVS	马太福音	2	13	  他们 走 了 以后 ， 主 的 使者 在 梦 中 向 约瑟 显现 ， 说 ： “ 起来 ， 带 着 孩子 和 他 母亲 逃 到 埃及 去 ， 留在 那里 ， 直到 我 再 指示 你 ， 因为 希律 要 寻找 这 孩子 ， 把 他 杀掉 。 ”  
CNVS	马太福音	2	14	  约瑟 就 起来 ， 连夜 带 着 孩子 和 他 母亲 往 埃及 去 ，  
CNVS	马太福音	2	15	"  住 在 那里 ， 直到 希律 死 了 ， 为的是 要 应验 主藉 先知 所说 的 ： “ 我 从 埃及 召 我 的 儿子 出来 。 ” 
 屠杀 婴孩 
"
CNVS	马太福音	2	16	  希律见 自己 被 星象 家 愚弄 了 ， 就 大 怒 ， 于是 照着 他 从 星象 家所 问得 的 日子 ， 下令 把 伯利恒 和 附近 地方 ， 两岁 及 以下 的 小孩 全都 杀死 。  
CNVS	马太福音	2	17	"  这 就 应验 了 耶利米 先知 所说 的 ： 
"
CNVS	马太福音	2	18	"  “ 在 拉玛 听见 有 声音 ， 
 是 痛哭 、 极大 哀号 的 声音 ； 
 拉 结为 她 的 儿女 哀哭 ， 
 不肯 受 安慰 ， 因为 他们 都 不在 了 。 ” 
 从 埃及 回来 
"
CNVS	马太福音	2	19	  希律死 后 ， 在 埃及 ， 主 的 使者 在 梦 中 向 约瑟 显现 ，  
CNVS	马太福音	2	20	  说 ： “ 那些 要 杀害 这 孩子 的 人 已经 死 了 。 起来 ， 带 着 孩子 和 他 母亲 回 以色列 地 去 吧 。 ”  
CNVS	马太福音	2	21	  约瑟 就 起来 ， 带 着 小孩子 和 他 母亲 回到 以色列 地 。  
CNVS	马太福音	2	22	  只是 听见 亚基 老 接续 他 父亲 希律 作 了 犹太 王 ， 他 就 不敢 到 犹太 地 去 ； 又 在 梦 中 得 了 指示 ， 于是 往 加利利 境 去 ，  
CNVS	马太福音	2	23	"  来到 拿 撒勒城 住 下 ， 这样 就 应验 了 先知 所说 的 ： “ 他 必 称为 拿 撒勒 人 。 ” 
 Chinese   New   Version   ( CNV ) .   Copyright   ©  "
CNVS	马太福音	2	1976	,  
CNVS	马太福音	2	1992	,  
CNVS	马太福音	2	1999	,  
CNVS	马太福音	2	2001	,  
CNVS	马太福音	2	2005	  by   Worldwide   Bible   Society .
