estilo	livro	capitulo	versiculo	texto
CNVS	创世记	1	1	  起初 ，   神 创造 天地 。  
CNVS	创世记	1	2	  地 是 空虚 混沌 ； 深渊 上 一片 黑暗 ；   神 的 灵 运行 在 水面 上 。  
CNVS	创世记	1	3	  神 说 ： “ 要有光 ！ ” 就 有 了 光 。  
CNVS	创世记	1	4	  神 看 光是 好 的 ， 他 就 把 光暗 分开 了 。  
CNVS	创世记	1	5	"  神称光 为 昼 ， 称 暗 为 夜 。 有 晚上 ， 有 早晨 ； 这 是 第一 日 。 
"
CNVS	创世记	1	6	  神 说 ： “ 众水 之间 要 有 穹苍 ， 把 水 和 水 分开 ！ ” 事 就 这样 成 了 。  
CNVS	创世记	1	7	  神造 了 穹苍 ， 把 穹苍 以下 的 水 和 穹苍 以上 的 水 分开 了 。  
CNVS	创世记	1	8	"  神称 穹苍 为 天 。 有 晚上 ， 有 早晨 ； 这 是 第二日 。 
"
CNVS	创世记	1	9	  神 说 ： “ 天下 的 水要 聚 在 一处 ， 使 旱地 露出 来 ！ ” 事 就 这样 成 了 。  
CNVS	创世记	1	10	  神称 旱地 为 地 ， 称水 的 聚处 为 海 。   神 看 这 是 好 的 。  
CNVS	创世记	1	11	  神 说 ： “ 地上 要长 出 青草 、 结 种子 的 蔬菜 和 结果 子 的 树木 ， 各从其类 ， 在 地上 的 果子 都 包着 核 ！ ” 事 就 这样 成 了 。  
CNVS	创世记	1	12	  于是 ， 地上 长 出 了 青草 和 结 种子 的 蔬菜 ， 各从其类 ； 又 长 出 结果 子 的 树木 ， 各从其类 ， 果子 都 包着 核 。   神 看 这 是 好 的 。  
CNVS	创世记	1	13	"  有 晚上 ， 有 早晨 ； 这 是 第三日 。 
"
CNVS	创世记	1	14	  神 说 ： “ 在 天上 穹苍 中 ， 要有光 体来 分 昼夜 ； 这些 光体 要 作为 记号 ， 定 节令 、 日子 和 年岁 ；  
CNVS	创世记	1	15	  它们 要 在 天上 穹苍 中 发光 ， 照耀 地上 ！ ” 事 就 这样 成 了 。  
CNVS	创世记	1	16	  于是 ，   神造 了 两个 大 光体 ， 大 的 管昼 ， 小 的 管夜 ； 又 造 了 星星 。  
CNVS	创世记	1	17	  神 把 这些 光体 安放 在 天上 穹苍 中 ， 照耀 地上 ，  
CNVS	创世记	1	18	  管 昼夜 ， 分光 暗 。   神 看 这 是 好 的 。  
CNVS	创世记	1	19	"  有 晚上 ， 有 早晨 ； 这 是 第四日 。 
"
CNVS	创世记	1	20	  神 说 ： “ 水要 滋长 生物 ； 地上 和 天空 之中 ， 要 有 雀鸟 飞翔 ！ ”  
CNVS	创世记	1	21	  于是 ，   神 创造 了 大鱼 和 在 水中 滋生 各种 能 活动 的 生物 ， 各从其类 ； 又 创造 了 各种 有 翅膀 的 飞鸟 ， 各从其类 。   神 看 这 是 好 的 。  
CNVS	创世记	1	22	  神 就 赐福 给 牠 们 ， 说 ： “ 要 繁衍 增多 ， 充满 海洋 ； 雀鸟 也 要 在 地上 增多 ！ ”  
CNVS	创世记	1	23	"  有 晚上 ， 有 早晨 ； 这 是 第五日 。 
"
CNVS	创世记	1	24	  神 说 ： “ 地上 要 生出 活物 来 ， 各从其类 ； 牲畜 、 爬行 的 动物 和 地上 的 野兽 ， 各从其类 ！ ” 事 就 这样 成 了 。  
CNVS	创世记	1	25	"  于是 ，   神造 了 地上 的 野兽 ， 各从其类 ； 牲畜 ， 各从其类 ； 地上 各种 爬行 的 动物 ， 各从其类 。   神 看 这 是 好 的 。 
 创造 人类 
"
CNVS	创世记	1	26	  神 说 ： “ 我们 要 照着 我们 的 形象 ， 按着 我们 的 样式 造 人 ； 使 他们 管理 海里 的 鱼 、 空中 的 鸟 、 地上 的 牲畜 ， 以及 全地 ， 和 地上 所有 爬行 的 生物 ！ ”  
CNVS	创世记	1	27	  于是 ，   神 照着 自己 的 形象 创造 人 ； 就是 照着   神 的 形象 创造 了 他 ； 他 所 创造 的 有 男 有 女 。  
CNVS	创世记	1	28	  神 就 赐福 给 他们 ， 对 他们 说 ： “ 要 繁衍 增多 ， 充满 这地 ， 征服 它 ； 也 要 管理 海里 的 鱼 、 空中 的 鸟 和 地上 所有 走动 的 生物 。 ”  
CNVS	创世记	1	29	  神 说 ： “ 看 哪 ！ 我 把 全 地上 结 种子 的 各样 蔬菜 ， 和 一切 果树 上 有 种子 的 果子 ， 都 赐给 你们 作 食物 。  
CNVS	创世记	1	30	  至于 地上 的 各种 野兽 ， 空中 的 各种 飞鸟 ， 和 地上 爬行 有 生命 的 各种 活物 ， 我 把 一切 青草 蔬菜 赐给 牠 们 作 食物 。 ” 事 就 这样 成 了 。  
CNVS	创世记	1	31	"  神 看 他 所造 的 一切 都 很 好 。 有 晚上 ， 有 早晨 ； 这 是 第六日 。 
 Chinese   New   Version   ( CNV ) .   Copyright   ©  "
CNVS	创世记	1	1976	,  
CNVS	创世记	1	1992	,  
CNVS	创世记	1	1999	,  
CNVS	创世记	1	2001	,  
CNVS	创世记	1	2005	  by   Worldwide   Bible   Society .
CNVS	创世记	2	2	  第七日 ，   神 完成 了 他 所作 的 工 ； 在 第七日   神 歇 了 他 所作 的 一切 工 。  
CNVS	创世记	2	3	"  神 赐福 第七日 ， 把 它 分别 为 圣 ， 因为 在 这 一日 ，   神 停 了 他 一切 所 创造 的 工 ， 歇息 了 。 
 创造 男人 并 设置 伊甸园 
"
CNVS	创世记	2	4	  这 是 创造 天地 的 起源 ： 耶和华   神造 天地 的 时候 ，  
