estilo	livro	capitulo	versiculo	texto
CNVT	马太福音	1	1	"  大衛 的 子孫 ， 亞伯 拉罕 的 後 裔 ， 耶穌 基督 的 家譜 ： 
"
CNVT	马太福音	1	2	  亞伯 拉罕 生以 撒 ， 以 撒生 雅各 ， 雅各 生 猶大 和 他 的 兄弟 ，  
CNVT	马太福音	1	3	  他 瑪 給 猶 大生 了法 勒斯 和 謝拉 ， 法 勒斯 生 希斯 崙 ， 希斯 崙 生 亞蘭 ，  
CNVT	马太福音	1	4	  亞蘭生亞米拿達 ， 亞米拿達生拿順 ， 拿 順生 撒門 ，  
CNVT	马太福音	1	5	  喇合 給 撒門 生 了 波阿斯 ， 路得 給 波阿斯 生 了 俄 備 得 ， 俄備 得生 耶西 ，  
CNVT	马太福音	1	6	"  耶西 生大衛 王 。 
 烏利亞 的 妻子 給 大 衛生 了 所羅門 ，  "
CNVT	马太福音	1	7	  所 羅門生 羅波安 ， 羅波 安生 亞比雅 ， 亞比 雅生 亞撒 ，  
CNVT	马太福音	1	8	  亞撒 生約 沙法 ， 約沙 法生約蘭 ， 約蘭生 烏西雅 ，  
CNVT	马太福音	1	9	  烏西雅 生約 坦 ， 約坦生 亞 哈斯 ， 亞 哈斯 生 希西 家 ，  
CNVT	马太福音	1	10	  希西 家生 瑪拿西 ， 瑪拿西生亞 們 ， 亞們 生約 西亞 ，  
CNVT	马太福音	1	11	"  猶太 人 被 擄到 巴比 倫 的 時候 ， 約西亞 生耶哥 尼雅 和 他 的 兄弟 。 
"
CNVT	马太福音	1	12	  被 擄到 巴比 倫 以 後 ， 耶哥 尼雅 生 撒拉 鐵 ， 撒拉 鐵生 所 羅 巴伯 ，  
CNVT	马太福音	1	13	  所羅 巴伯 生亞比玉 ， 亞比 玉生 以利 亞敬 ， 以利 亞敬生 亞 所 ，  
CNVT	马太福音	1	14	  亞 所生 撒督 ， 撒督生亞 金 ， 亞金生 以 律 ，  
CNVT	马太福音	1	15	  以 律生 以利 亞撒 ， 以利 亞撒 生馬 但 ， 馬 但 生 雅各 ，  
CNVT	马太福音	1	16	"  雅各 生 約瑟 ， 就是 馬利亞 的 丈夫 ； 那 稱為 基督 的 耶穌 ， 是 馬利亞 所生 的 。 
"
CNVT	马太福音	1	17	  這樣 ， 從 亞伯 拉罕 到 大 衛 ， 一共 是
CNVT	马太福音	1	十四	"代 。 
 耶穌 基督 的 降生 ( B ) 
"
CNVT	马太福音	1	18	  耶穌 基督 的 降生 是 這樣 的 ： 耶穌 的 母親 馬利亞 許配 了 約瑟 ， 他們 還 沒有 成親 ， 馬利亞 就 從 聖靈 懷 了 孕 。  
CNVT	马太福音	1	19	  她 丈夫 約瑟 是 個 義人 ， 不 願 張揚 使 她 受辱 ， 就 打算 暗中 與 她 解除 婚約 。  
CNVT	马太福音	1	20	  他 一直 想著 這些 事 ， 主 的 使者 就 在 夢 中 向 他 顯現 ， 說 ： “ 大衛 的 子孫 約瑟 ， 只管 放膽 把 你 的 妻子 馬利亞 迎娶 過來 ， 因為 她 懷 的 孕是 從 聖靈 來的 。  
CNVT	马太福音	1	21	  她 必 生 一個 兒子 ， 你 要 給 他 起名叫 耶穌 ， 因為 他 要 把 自己 的 子民 從 罪惡 中 拯救 出來 。 ”  
CNVT	马太福音	1	22	"  這 整件事 的 發生 ， 是 要 應驗 主藉 著 先知 所說 的 ： 
"
CNVT	马太福音	1	23	"  “ 必 有 童女 懷孕 生子 ， 
 他 的 名 要 叫 以 馬內利 。 ” 
 以 馬內利 就是 “   神 與 我們 同在 ” 的 意思 。  "
CNVT	马太福音	1	24	  約瑟 睡醒 了 ， 就 照著 主 的 使者 所 吩咐 的 ， 把 妻子 迎娶 過來 ；  
CNVT	马太福音	1	25	"  只是 在 孩子 出生 以前 ， 並 沒有 與 她 同房 。 約瑟 給 孩子 起名叫 耶穌 。 
 Chinese   New   Version   ( CNV ) .   Copyright   ©  "
CNVT	马太福音	1	1976	,  
CNVT	马太福音	1	1992	,  
CNVT	马太福音	1	1999	,  
CNVT	马太福音	1	2001	,  
CNVT	马太福音	1	2005	  by   Worldwide   Bible   Society .
CNVT	马太福音	2	2	  說 ： “ 那 生下 來作 猶太人 的 王 的 在 哪裡 ？ 我們 看見 他 的 星 出現 ， 特來 朝拜 他 。 ”  
CNVT	马太福音	2	3	  希律王 聽見 了 就 心裡 不安 ， 全 耶路撒冷 的 居民 也 是 這樣 。  
CNVT	马太福音	2	4	  他 就 召集 所有 的 祭司 長 和 民間 的 經學家 ， 問 他們 基督 應該 生 在 哪裡 。  
CNVT	马太福音	2	5	"  他們 回答 ： “ 在 猶太 的 伯利恆 。 因為 有 先知 在 經上 這樣 說 ： 
"
CNVT	马太福音	2	6	"  ‘ 猶 大地 的 伯利恆 啊 ！ 
 你 在 猶大 的 領袖 中 ， 並 不是 最小 的 ， 
 因為 必 有 一位 領袖 從 你 那裡 出來 ， 
 牧養 我 的 子民 以色列 。 ’ ” 
"
