estilo	livro	capitulo	versiculo	texto
CNVT	创世记	1	1	  起初 ，   神 創造 天地 。  
CNVT	创世记	1	2	  地 是 空虛 混沌 ； 深 淵 上 一片 黑暗 ；   神 的 靈運行 在 水面 上 。  
CNVT	创世记	1	3	  神 說 ： “ 要有光 ！ ” 就 有 了 光 。  
CNVT	创世记	1	4	  神 看 光是 好 的 ， 他 就 把 光暗 分開 了 。  
CNVT	创世记	1	5	"  神稱光 為 晝 ， 稱 暗 為 夜 。 有 晚上 ， 有 早晨 ； 這 是 第一 日 。 
"
CNVT	创世记	1	6	  神 說 ： “ 眾水 之間 要 有 穹蒼 ， 把 水 和 水分 開 ！ ” 事 就 這樣 成 了 。  
CNVT	创世记	1	7	  神造 了 穹蒼 ， 把 穹蒼 以下 的 水 和 穹蒼 以上 的 水分 開 了 。  
CNVT	创世记	1	8	"  神稱 穹蒼 為 天 。 有 晚上 ， 有 早晨 ； 這 是 第二日 。 
"
CNVT	创世记	1	9	  神 說 ： “ 天下 的 水要 聚 在 一處 ， 使 旱地 露出 來 ！ ” 事 就 這樣 成 了 。  
CNVT	创世记	1	10	  神稱 旱地 為 地 ， 稱水 的 聚處 為 海 。   神 看 這 是 好 的 。  
CNVT	创世记	1	11	  神 說 ： “ 地上 要長 出 青草 、 結種子 的 蔬菜 和 結 果子 的 樹木 ， 各 從 其類 ， 在 地上 的 果子 都 包著 核 ！ ” 事 就 這樣 成 了 。  
CNVT	创世记	1	12	  於 是 ， 地上 長 出 了 青草 和 結種子 的 蔬菜 ， 各 從 其類 ； 又 長 出結 果子 的 樹木 ， 各 從 其類 ， 果子 都 包著 核 。   神 看 這 是 好 的 。  
CNVT	创世记	1	13	"  有 晚上 ， 有 早晨 ； 這 是 第三日 。 
"
CNVT	创世记	1	14	  神 說 ： “ 在 天上 穹蒼 中 ， 要有光 體來 分 晝夜 ； 這些 光體 要 作為 記號 ， 定節令 、 日子 和 年 歲 ；  
CNVT	创世记	1	15	  它們 要 在 天上 穹蒼 中 發光 ， 照耀 地上 ！ ” 事 就 這樣 成 了 。  
CNVT	创世记	1	16	  於 是 ，   神造 了 兩個 大 光體 ， 大 的 管晝 ， 小 的 管夜 ； 又 造 了 星星 。  
CNVT	创世记	1	17	  神 把 這些 光體 安放 在 天上 穹蒼 中 ， 照耀 地上 ，  
CNVT	创世记	1	18	  管 晝夜 ， 分光 暗 。   神 看 這 是 好 的 。  
CNVT	创世记	1	19	"  有 晚上 ， 有 早晨 ； 這 是 第四日 。 
"
CNVT	创世记	1	20	  神 說 ： “ 水要 滋長 生物 ； 地上 和 天空 之中 ， 要 有 雀 鳥 飛翔 ！ ”  
CNVT	创世记	1	21	  於 是 ，   神 創造 了 大魚 和 在 水中 滋生 各種 能 活動 的 生物 ， 各 從 其類 ； 又 創造 了 各種 有 翅膀 的 飛鳥 ， 各 從 其類 。   神 看 這 是 好 的 。  
CNVT	创世记	1	22	  神 就 賜 福 給 牠 們 ， 說 ： “ 要 繁衍 增多 ， 充滿 海洋 ； 雀 鳥 也 要 在 地上 增多 ！ ”  
CNVT	创世记	1	23	"  有 晚上 ， 有 早晨 ； 這 是 第五日 。 
"
CNVT	创世记	1	24	  神 說 ： “ 地上 要 生出 活物 來 ， 各 從 其類 ； 牲畜 、 爬行 的 動物 和 地上 的 野獸 ， 各 從 其類 ！ ” 事 就 這樣 成 了 。  
CNVT	创世记	1	25	"  於 是 ，   神造 了 地上 的 野獸 ， 各 從 其類 ； 牲畜 ， 各 從 其類 ； 地上 各種 爬行 的 動物 ， 各 從 其類 。   神 看 這 是 好 的 。 
 創造 人類 
"
CNVT	创世记	1	26	  神 說 ： “ 我們 要 照著 我們 的 形象 ， 按著 我們 的 樣式 造人 ； 使 他們 管理 海裡 的 魚 、 空中 的 鳥 、 地上 的 牲畜 ， 以及 全地 ， 和 地上 所有 爬行 的 生物 ！ ”  
CNVT	创世记	1	27	  於 是 ，   神 照著 自己 的 形象 創造人 ； 就是 照著   神 的 形象 創造 了 他 ； 他 所 創造 的 有 男 有 女 。  
CNVT	创世记	1	28	  神 就 賜 福 給 他們 ， 對 他們 說 ： “ 要 繁衍 增多 ， 充滿 這地 ， 征服 它 ； 也 要 管理 海裡 的 魚 、 空中 的 鳥 和 地上 所有 走動 的 生物 。 ”  
CNVT	创世记	1	29	  神 說 ： “ 看 哪 ！ 我 把 全 地上 結種子 的 各樣 蔬菜 ， 和 一切 果樹 上 有 種子 的 果子 ， 都 賜 給 你們 作 食物 。  
CNVT	创世记	1	30	  至於 地上 的 各種 野獸 ， 空中 的 各種 飛鳥 ， 和 地上 爬行 有 生命 的 各種 活物 ， 我 把 一切 青草 蔬菜 賜 給 牠 們 作 食物 。 ” 事 就 這樣 成 了 。  
CNVT	创世记	1	31	"  神 看 他 所造 的 一切 都 很 好 。 有 晚上 ， 有 早晨 ； 這 是 第六日 。 
 Chinese   New   Version   ( CNV ) .   Copyright   ©  "
CNVT	创世记	1	1976	,  
CNVT	创世记	1	1992	,  
CNVT	创世记	1	1999	,  
CNVT	创世记	1	2001	,  
CNVT	创世记	1	2005	  by   Worldwide   Bible   Society .
CNVT	创世记	2	2	  第七日 ，   神 完成 了 他 所作 的 工 ； 在 第七日   神 歇 了 他 所作 的 一切 工 。  
CNVT	创世记	2	3	"  神賜福 第七日 ， 把 它 分別 為 聖 ， 因為 在 這 一日 ，   神 停 了 他 一切 所 創造 的 工 ， 歇息 了 。 
 創造 男人 並 設置 伊甸 園 
"
CNVT	创世记	2	4	  這 是 創造 天地 的 起源 ： 耶和華   神造 天地 的 時候 ，  
CNVT	创世记	2	5	  原野 上 還 沒有 樹木 ， 田間 的 蔬菜 還 沒有 長 起來 ， 因為 耶和華   神 還 沒有 降雨 在 地上 ， 也 沒 有人 耕種 土地 ；  
CNVT	创世记	2	6	  不過 有 霧 氣 從 地面 上升 ， 滋潤 全地 。  
CNVT	创世记	2	7	  耶和華   神用 地上 的 塵土 造成 人形 ， 把 生氣 吹進 他 的 鼻孔 裡 ， 那人 就 成 了 有 生命 的 活人 ， 名叫 亞 當 。  
CNVT	创世记	2	8	  耶和華   神 在 東方 的 伊甸 ， 栽 了 一個 園子 ， 把 他 所造 的 人 放在 那裡 。  
CNVT	创世记	2	9	"  耶和華   神 使 各樣 的 樹 從 地上 長 起來 ， 能 悅 人 的 眼目 ， 也好 作 食物 。 園子 中間 又 有 生命 樹 ， 和 知善 惡樹 。 
"
CNVT	创世记	2	10	  有 一條 河 從 伊甸 流出 來 ， 灌溉 那 園子 ； 從 那裡 分支 ， 成 了 四道 河 的 源頭 。  
CNVT	创世记	2	11	  第一道 河 名叫 比遜 ， 就是 環繞 哈 腓拉 全地 的 ， 在 那裡 有 金子 ；  
CNVT	创世记	2	12	  那地 的 金子 是 好 的 ； 在 那裡 也 有 紅玉 和 瑪瑙 。  
CNVT	创世记	2	13	  第二道 河 名叫 基訓 ， 就是 環繞 古實 全地 的 。  
