estilo	livro	capitulo	versiculo	texto
CSBS	马太福音	1	1	"  耶稣基督 — — 大卫 的 后裔 、 亚伯拉罕 的 后代 — — 他 的 家谱 ： 
 从 亚伯拉罕 到 大卫 
"
CSBS	马太福音	1	2	"  亚伯拉罕 生以 撒 ， 
 以 撒生 雅各 ， 
 雅各 生 犹大 和 他 的 兄弟 们 ， 
"
CSBS	马太福音	1	3	"  犹大 与 塔玛尔 生法 勒斯 和 谢拉 ， 
 法 勒斯 生 希斯 仑 ， 
 希斯 仑 生 亚兰 ， 
"
CSBS	马太福音	1	4	"  亚兰生亚米拿达 ， 
 亚米拿达生拿顺 ， 
 拿 顺生 撒门 ， 
"
CSBS	马太福音	1	5	"  撒门 与 瑞荷生 波阿斯 ， 
 波阿斯 与 路 得生 俄 备 得 ， 
 俄备 得生 耶西 ， 
"
CSBS	马太福音	1	6	"  耶西 生 大卫王 。 
 从 大卫 到 迁徙 巴比伦 
 大卫 [ a ] 与 乌 利亚 的 妻子 生 所罗门 ， 
"
CSBS	马太福音	1	7	"  所罗门 生 罗波安 ， 
 罗波安 生 亚比雅 ， 
 亚比 雅生 亚撒 ， 
"
CSBS	马太福音	1	8	"  亚撒 生约 沙法 ， 
 约沙 法生约兰 ， 
 约兰生 乌 西亚 ， 
"
CSBS	马太福音	1	9	"  乌 西亚 生约 坦 ， 
 约坦生 亚 哈斯 ， 
 亚 哈斯 生 希西 家 ， 
"
CSBS	马太福音	1	10	"  希西 家生 玛拿西 ， 
 玛拿西 生 阿蒙 ， 
 阿蒙 生约 西亚 ， 
"
CSBS	马太福音	1	11	"  在 被迫 迁徙 巴比伦 的 时候 ， 
 约 西亚 生耶哥 尼雅 和 他 的 兄弟 们 。 
 从 迁徙 巴比伦 到 基督 
"
CSBS	马太福音	1	12	"  被迫 迁徙 巴比伦 以后 ， 
 耶哥 尼雅 生 撒拉 铁 ， 
 撒拉 铁生 所 罗 巴伯 ， 
"
CSBS	马太福音	1	13	"  所罗 巴伯 生亚比玉 ， 
 亚比玉 生以 利亚 敬 ， 
 以 利亚 敬生亚 所 ， 
"
CSBS	马太福音	1	14	"  亚 所生 撒督 ， 
 撒督生 亚金 ， 
 亚金 生以律 ， 
"
CSBS	马太福音	1	15	"  以 律生 以 利亚 撒 ， 
 以 利亚 撒生 玛坦 ， 
 玛坦生 雅各 ， 
"
CSBS	马太福音	1	16	"  雅各 生 约瑟 ， 就是 玛丽亚 的 丈夫 ， 
 那 称为 基督 的 耶稣 是 由 玛丽亚 所生 的 。 
"
CSBS	马太福音	1	17	  这样 ， 从 亚伯拉罕 到 大卫 的 各 世代 ， 一共 有
CSBS	马太福音	1	十四	"代 。 
 基督 降生 
"
CSBS	马太福音	1	18	  耶稣基督 的 诞生 是 这样 的 ： 耶稣 的 母亲 玛丽亚 已经 许配给 约瑟 ， 在 他们 成婚 [ b ] 以前 ， 玛丽亚 就 由 圣灵 怀了孕 。  
CSBS	马太福音	1	19	"  她 的 丈夫 约瑟 是 个 义人 ， 不 愿意 公开 羞辱 她 ， 想要 暗中 把 她 休 了 。 
"
CSBS	马太福音	1	20	  约瑟 思考 这些 事 以后 ， 忽然 主 的 一位 天使 在 约瑟 梦 中 显现 ， 说 ： “ 大卫 的 后裔 约瑟 ， 不要 怕 迎娶 玛丽亚 做 你 的 妻子 ， 因为 她 里面 所怀 的 是 由 圣灵 而来 的 。  
CSBS	马太福音	1	21	"  玛丽亚 将要 生 一个 儿子 ， 你 要 给 他 起名叫 耶稣 ， 因为 他 将要 把 自己 的 子民 从 他们 的 罪孽 中 拯救 出来 。 ” 
"
CSBS	马太福音	1	22	"  不过 这 整个 事 的 发生 ， 是 为 要 应验 主藉 着 先知 所说 的话 ： 
"
CSBS	马太福音	1	23	"  “ 看 哪 ， 那 童贞 女 要 怀孕 ， 她 要生 一个 儿子 ， 
 人们 将 称 他 的 名为 以马内利 。 ” [ c ] — — 
 “ 以马内利 ” 翻译 出来 就是 “ 神 与 我们 同 在 ” 。 
"
CSBS	马太福音	1	24	  约瑟 从 梦 中 醒过来 ， 就 依照 主 的 天使 所 吩咐 他 的 去 做 ， 把 他 的 妻子 迎娶 过来 ，  
CSBS	马太福音	1	25	  只是 在 她 生 儿子 [ d ] 以前 ， 一直 没有 与 她 同房 。 约瑟 给 孩子 起名叫 耶稣 。
CSBS	马太福音	2	2	"  他们 问 ： “ 生 下来 做 犹太人 之 王 的 那 一位 在 哪里 ？ 我们 在 东方 看见 了 他 的 星 ， 就 来 了 要 朝拜 他 。 ” 
"
CSBS	马太福音	2	3	  希律王 听说 了 ， 就 惊慌 不安 ， 全 耶路撒冷 的 人 也 与 他 一起 不安 。  
CSBS	马太福音	2	4	"  希律 就 召集 了 所有 的 祭司 长 和 民间 的 经 文士 ， 向 他们 询问 基督 诞生 在 哪里 。 
"
CSBS	马太福音	2	5	"  他们 对 希律 说 ： “ 在 犹太 的 伯利恒 ， 因为 藉 着 先知 有 这样 的 记载 ： 
"
CSBS	马太福音	2	7	  于是 ， 希律 暗暗 地 召见 了 那 几个 博士 ， 向 他们 仔细 询问 那颗星 出现 的 时间 ，  
CSBS	马太福音	2	8	"  然后 打发 他们 前往 伯利恒 ， 说 ： “ 你们 去 仔细 查问 有关 那 孩子 的 事 ， 一旦 查出来 了 就 向 我 报告 ， 好 让 我 也 去 拜 他 。 ” 
"
CSBS	马太福音	2	9	  他们 听 了 王 的话 就 去 了 。 看 哪 ， 他们 在 东方 看见 的 那颗星 在 前面 引导 他们 ， 直到 那 孩子 所在 的 地方 ， 就 在 上头 停住 了 。  
CSBS	马太福音	2	10	  他们 看见 那颗星 ， 极其 欢喜 快乐 。  
CSBS	马太福音	2	11	  他们 进 了 屋子 ， 看见 那 孩子 与 他 的 母亲 玛丽亚 在 一起 ， 就 俯伏 拜 那 孩子 ， 然后 打开 他们 的 宝盒 ， 把 黄金 、 乳香 和 没药 做 为 礼物 献给 他 。  
CSBS	马太福音	2	12	"  他们 在 梦 中 得 了 神 的 指示 不要 回到 希律 那里 去 ， 就 从 另 一条 路 回到 自己 的 家乡 去 了 。 
 逃往 埃及 
"
CSBS	马太福音	2	13	  那些 博士 离开 以后 ， 忽然 主 的 一位 天使 在 约瑟 梦 中 显现 ， 说 ： “ 起来 ， 带 着 孩子 和 他 的 母亲 逃往 埃及 ， 留在 那里 ， 直到 我 再 指示 你 ， 因为 希律 要 搜寻 这 孩子 并 杀害 他 。 ”  
CSBS	马太福音	2	14	  约瑟 就 起来 ， 连夜 带 着 孩子 和 他 的 母亲 逃往 埃及 ，  
CSBS	马太福音	2	15	"  住 在 那里 ， 直到 希律 死 了 。 这 是 为 要 应验 主藉 着 先知 所说 的话 ： “ 我 从 埃及 召 我 的 儿子 出来 。 ” [ c ] 
 屠杀 婴孩 
"
