estilo	livro	capitulo	versiculo	texto
CSBT	马太福音	1	1	"  耶穌 基督 — — 大衛 的 後 裔 、 亞伯 拉罕 的 後 代 — — 他 的 家譜 ： 
 從 亞伯 拉罕 到 大 衛 
"
CSBT	马太福音	1	2	"  亞伯 拉罕 生以 撒 ， 
 以 撒生 雅各 ， 
 雅各 生 猶大 和 他 的 兄弟 們 ， 
"
CSBT	马太福音	1	3	"  猶大 與 塔瑪爾 生法 勒斯 和 謝拉 ， 
 法 勒斯 生 希斯 崙 ， 
 希斯 崙 生 亞蘭 ， 
"
CSBT	马太福音	1	4	"  亞蘭生亞米拿達 ， 
 亞米拿達生拿順 ， 
 拿 順生 撒門 ， 
"
CSBT	马太福音	1	5	"  撒門 與 瑞荷生 波阿斯 ， 
 波阿斯 與 路 得生 俄 備 得 ， 
 俄備 得生 耶西 ， 
"
CSBT	马太福音	1	6	"  耶西 生大衛 王 。 
 從大衛 到 遷 徙 巴比 倫 
 大衛 [ a ] 與 烏利亞 的 妻子 生所 羅門 ， 
"
CSBT	马太福音	1	7	"  所 羅門生 羅波安 ， 
 羅波 安生 亞比雅 ， 
 亞比 雅生 亞撒 ， 
"
CSBT	马太福音	1	8	"  亞撒 生約 沙法 ， 
 約沙 法生約蘭 ， 
 約蘭生 烏西亞 ， 
"
CSBT	马太福音	1	9	"  烏西亞 生約 坦 ， 
 約坦生 亞 哈斯 ， 
 亞 哈斯 生 希西 家 ， 
"
CSBT	马太福音	1	10	"  希西 家生 瑪拿西 ， 
 瑪拿西 生 阿蒙 ， 
 阿蒙 生約 西亞 ， 
"
CSBT	马太福音	1	11	"  在 被迫 遷徙 巴比 倫 的 時候 ， 
 約西亞 生耶哥 尼雅 和 他 的 兄弟 們 。 
 從 遷徙 巴比 倫 到 基督 
"
CSBT	马太福音	1	12	"  被迫 遷徙 巴比 倫 以 後 ， 
 耶哥 尼雅 生 撒拉 鐵 ， 
 撒拉 鐵生 所 羅 巴伯 ， 
"
CSBT	马太福音	1	13	"  所羅 巴伯 生亞比玉 ， 
 亞比 玉生 以利 亞敬 ， 
 以利 亞敬生 亞 所 ， 
"
CSBT	马太福音	1	14	"  亞 所生 撒督 ， 
 撒督生亞 金 ， 
 亞金生 以 律 ， 
"
CSBT	马太福音	1	15	"  以 律生 以利 亞撒 ， 
 以利 亞撒生瑪坦 ， 
 瑪坦生 雅各 ， 
"
