estilo	livro	capitulo	versiculo	texto
CUVMPS	马太福音	1	1	"  亚伯拉罕 的 后裔 、 大卫 的 子孙 耶稣基督 的 家谱 [ a ] ： 
"
CUVMPS	马太福音	1	2	  亚伯拉罕 生以 撒 ， 以 撒生 雅各 ， 雅各 生 犹大 和 他 的 弟兄 ，  
CUVMPS	马太福音	1	3	  犹大 从 她 玛氏 生法 勒斯 和 谢拉 ， 法 勒斯 生 希斯 仑 ， 希斯 仑 生 亚兰 ，  
CUVMPS	马太福音	1	4	  亚兰生亚米拿达 ， 亚米拿达生拿顺 ， 拿 顺生 撒门 ，  
CUVMPS	马太福音	1	5	  撒门 从 喇合氏 生 波阿斯 ， 波阿斯 从 路得氏 生 俄 备 得 ， 俄备 得生 耶西 ，  
CUVMPS	马太福音	1	6	"  耶西 生 大卫王 。 
 大卫 从 乌 利亚 的 妻子 生 所罗门 ，  "
CUVMPS	马太福音	1	7	  所罗门 生 罗波安 ， 罗波安 生 亚比雅 ， 亚比 雅生 亚撒 ，  
CUVMPS	马太福音	1	8	  亚撒 生约 沙法 ， 约沙 法生约兰 ， 约兰生 乌 西亚 ，  
CUVMPS	马太福音	1	9	  乌 西亚 生约 坦 ， 约坦生 亚 哈斯 ， 亚 哈斯 生 希西 家 ，  
CUVMPS	马太福音	1	10	  希西 家生 玛拿西 ， 玛拿西生亚 们 ， 亚们 生约 西亚 ，  
CUVMPS	马太福音	1	11	"  百姓 被 迁到 巴比伦 的 时候 ， 约 西亚 生耶哥 尼雅 和 他 的 弟兄 。 
"
CUVMPS	马太福音	1	12	  迁 到 巴比伦 之后 ， 耶哥 尼雅 生 撒拉 铁 ， 撒拉 铁生 所 罗 巴伯 ，  
CUVMPS	马太福音	1	13	  所罗 巴伯 生亚比玉 ， 亚比玉 生以 利亚 敬 ， 以 利亚 敬生亚 所 ，  
CUVMPS	马太福音	1	14	  亚 所生 撒督 ， 撒督生 亚金 ， 亚金 生以律 ，  
CUVMPS	马太福音	1	15	  以 律生 以 利亚 撒 ， 以 利亚 撒生马 但 ， 马 但 生 雅各 ，  
CUVMPS	马太福音	1	16	"  雅各 生 约瑟 ， 就是 马利亚 的 丈夫 ， 那 称为 基督 的 耶稣 是从 马利亚 生 的 。 
"
CUVMPS	马太福音	1	17	  这样 ， 从 亚伯拉罕 到 大卫 共有
CUVMPS	马太福音	1	十四	"代 。 
 马利亚 受 圣灵 感动 怀孕 
"
CUVMPS	马太福音	1	18	  耶稣基督 降生 的 事记 在 下面 ： 他 母亲 马利亚 已经 许配 了 约瑟 ， 还 没有 迎娶 ， 马利亚 就 从 圣灵 怀了孕 。  
CUVMPS	马太福音	1	19	  她 丈夫 约瑟 是 个 义人 ， 不 愿意 明明 地 羞辱 她 ， 想要 暗暗 地 把 她 休 了 。  
