estilo	livro	capitulo	versiculo	texto
CUVMPS	创世记	1	1	  起初 ， 神 创造 天地 。  
CUVMPS	创世记	1	2	  地 是 空虚 混沌 ， 渊面 黑暗 ， 神 的 灵 运行 在 水面 上 。  
CUVMPS	创世记	1	3	  神 说 ： “ 要有光 。 ” 就 有 了 光 。  
CUVMPS	创世记	1	4	  神 看 光是 好 的 ， 就 把 光暗 分开 了 。  
CUVMPS	创世记	1	5	"  神称光 为 昼 ， 称 暗 为 夜 。 有 晚上 ， 有 早晨 ， 这 是 头 一日 。 
"
CUVMPS	创世记	1	6	  神 说 ： “ 诸水 之间 要 有 空气 ， 将 水分 为 上下 。 ”  
CUVMPS	创世记	1	7	  神 就 造出 空气 ， 将 空气 以下 的 水 、 空气 以上 的 水 分开 了 。 事 就 这样 成 了 。  
CUVMPS	创世记	1	8	"  神称 空气 为 天 。 有 晚上 ， 有 早晨 ， 是 第二日 。 
"
CUVMPS	创世记	1	9	  神 说 ： “ 天下 的 水要 聚 在 一处 ， 使 旱地 露出 来 。 ” 事 就 这样 成 了 。  
CUVMPS	创世记	1	10	  神称 旱地 为 地 ， 称水 的 聚处 为 海 。 神 看着 是 好 的 。  
CUVMPS	创世记	1	11	  神 说 ： “ 地 要 发生 青草 和 结 种子 的 菜蔬 ， 并 结果 子 的 树木 ， 各从其类 ， 果子 都 包着 核 。 ” 事 就 这样 成 了 。  
CUVMPS	创世记	1	12	  于是 地 发生 了 青草 和 结 种子 的 菜蔬 ， 各从其类 ； 并 结果 子 的 树木 ， 各从其类 ， 果子 都 包着 核 。 神 看着 是 好 的 。  
CUVMPS	创世记	1	13	"  有 晚上 ， 有 早晨 ， 是 第三日 。 
"
CUVMPS	创世记	1	14	  神 说 ： “ 天上 要有光 体 ， 可以 分 昼夜 ， 做 记号 ， 定 节令 、 日子 、 年岁 ，  
CUVMPS	创世记	1	15	  并 要 发光 在 天空 ， 普照 在 地上 。 ” 事 就 这样 成 了 。  
CUVMPS	创世记	1	16	  于是 神造 了 两个 大 光 ， 大 的 管昼 ， 小 的 管夜 ， 又 造 众星 。  
CUVMPS	创世记	1	17	  就 把 这些 光 摆列 在 天空 ， 普照 在 地上 ，  
CUVMPS	创世记	1	18	  管理 昼夜 ， 分别 明暗 。 神 看着 是 好 的 。  
CUVMPS	创世记	1	19	"  有 晚上 ， 有 早晨 ， 是 第四日 。 
"
CUVMPS	创世记	1	20	  神 说 ： “ 水要 多多 滋生 有 生命 的 物 ， 要 有 雀鸟 飞 在 地面 以上 、 天空 之中 。 ”  
CUVMPS	创世记	1	21	  神 就 造出 大鱼 和 水中 所 滋生 各样 有 生命 的 动物 ， 各从其类 ； 又 造出 各样 飞鸟 ， 各从其类 。 神 看着 是 好 的 。  
CUVMPS	创世记	1	22	  神 就 赐福 给 这 一切 ， 说 ： “ 滋生 繁多 ， 充满 海中 的 水 ， 雀鸟 也 要 多 生在地上 。 ”  
CUVMPS	创世记	1	23	"  有 晚上 ， 有 早晨 ， 是 第五日 。 
"
CUVMPS	创世记	1	24	  神 说 ： “ 地 要 生出 活物 来 ， 各从其类 ； 牲畜 、 昆虫 、 野兽 ， 各从其类 。 ” 事 就 这样 成 了 。  
