estilo	livro	capitulo	versiculo	texto
CUVMPT	马太福音	1	1	"  亞伯 拉罕 的 後 裔 、 大衛 的 子 孫耶穌 基督 的 家譜 [ a ] ： 
"
CUVMPT	马太福音	1	2	  亞伯 拉罕 生以 撒 ， 以 撒生 雅各 ， 雅各 生 猶大 和 他 的 弟兄 ，  
CUVMPT	马太福音	1	3	  猶大 從 她 瑪氏 生法 勒斯 和 謝拉 ， 法 勒斯 生 希斯 崙 ， 希斯 崙 生 亞蘭 ，  
CUVMPT	马太福音	1	4	  亞蘭生亞米拿達 ， 亞米拿達生拿順 ， 拿 順生 撒門 ，  
CUVMPT	马太福音	1	5	  撒門 從 喇合氏 生 波阿斯 ， 波阿斯 從 路得氏 生 俄 備 得 ， 俄備 得生 耶西 ，  
CUVMPT	马太福音	1	6	"  耶西 生大衛 王 。 
 大衛 從 烏利亞 的 妻子 生所 羅門 ，  "
CUVMPT	马太福音	1	7	  所 羅門生 羅波安 ， 羅波 安生 亞比雅 ， 亞比 雅生 亞撒 ，  
CUVMPT	马太福音	1	8	  亞撒 生約 沙法 ， 約沙 法生約蘭 ， 約蘭生 烏西亞 ，  
CUVMPT	马太福音	1	9	  烏西亞 生約 坦 ， 約坦生 亞 哈斯 ， 亞 哈斯 生 希西 家 ，  
CUVMPT	马太福音	1	10	  希西 家生 瑪拿西 ， 瑪拿西生亞 們 ， 亞們 生約 西亞 ，  
CUVMPT	马太福音	1	11	"  百姓 被 遷到 巴比 倫 的 時候 ， 約西亞 生耶哥 尼雅 和 他 的 弟兄 。 
"
CUVMPT	马太福音	1	12	  遷到 巴比 倫之 後 ， 耶哥 尼雅 生 撒拉 鐵 ， 撒拉 鐵生 所 羅 巴伯 ，  
CUVMPT	马太福音	1	13	  所羅 巴伯 生亞比玉 ， 亞比 玉生 以利 亞敬 ， 以利 亞敬生 亞 所 ，  
CUVMPT	马太福音	1	14	  亞 所生 撒督 ， 撒督生亞 金 ， 亞金生 以 律 ，  
CUVMPT	马太福音	1	15	  以 律生 以利 亞撒 ， 以利 亞撒 生馬 但 ， 馬 但 生 雅各 ，  
CUVMPT	马太福音	1	16	"  雅各 生 約瑟 ， 就是 馬利亞 的 丈夫 ， 那 稱為 基督 的 耶穌 是 從 馬利亞 生 的 。 
"
CUVMPT	马太福音	1	17	  這樣 ， 從 亞伯 拉罕 到 大 衛 共有
CUVMPT	马太福音	1	十四	"代 。 
 馬利亞 受 聖靈 感動 懷孕 
"
CUVMPT	马太福音	1	18	  耶穌 基督 降生 的 事記 在 下面 ： 他 母親 馬利亞 已經 許配 了 約瑟 ， 還 沒有 迎娶 ， 馬利亞 就 從 聖靈 懷 了 孕 。  
