estilo	livro	capitulo	versiculo	texto
CUVMPT	创世记	1	1	  起初 ， 神 創造 天地 。  
CUVMPT	创世记	1	2	  地 是 空虛 混沌 ， 淵面 黑暗 ， 神 的 靈運行 在 水面 上 。  
CUVMPT	创世记	1	3	  神 說 ： 「 要有光 。 」 就 有 了 光 。  
CUVMPT	创世记	1	4	  神 看 光是 好 的 ， 就 把 光暗 分開 了 。  
CUVMPT	创世记	1	5	"  神稱光 為 晝 ， 稱 暗 為 夜 。 有 晚上 ， 有 早晨 ， 這 是 頭 一日 。 
"
CUVMPT	创世记	1	6	  神 說 ： 「 諸水 之間 要 有空 氣 ， 將 水分 為 上下 。 」  
CUVMPT	创世记	1	7	  神 就 造出 空氣 ， 將 空 氣 以下 的 水 、 空氣 以上 的 水分 開 了 。 事 就 這樣 成 了 。  
CUVMPT	创世记	1	8	"  神稱 空氣 為 天 。 有 晚上 ， 有 早晨 ， 是 第二日 。 
"
CUVMPT	创世记	1	9	  神 說 ： 「 天下 的 水要 聚 在 一處 ， 使 旱地 露出 來 。 」 事 就 這樣 成 了 。  
CUVMPT	创世记	1	10	  神稱 旱地 為 地 ， 稱水 的 聚處 為 海 。 神 看著 是 好 的 。  
CUVMPT	创世记	1	11	  神 說 ： 「 地 要 發生 青草 和 結種子 的 菜蔬 ， 並 結 果子 的 樹木 ， 各 從 其類 ， 果子 都 包著 核 。 」 事 就 這樣 成 了 。  
CUVMPT	创世记	1	12	  於 是 地 發生 了 青草 和 結種子 的 菜蔬 ， 各 從 其類 ； 並 結 果子 的 樹木 ， 各 從 其類 ， 果子 都 包著 核 。 神 看著 是 好 的 。  
CUVMPT	创世记	1	13	"  有 晚上 ， 有 早晨 ， 是 第三日 。 
"
CUVMPT	创世记	1	14	  神 說 ： 「 天上 要有光 體 ， 可以 分 晝夜 ， 做 記號 ， 定節令 、 日子 、 年 歲 ，  
CUVMPT	创世记	1	15	  並要 發光 在 天空 ， 普照 在 地上 。 」 事 就 這樣 成 了 。  
CUVMPT	创世记	1	16	  於 是 神 造 了 兩個 大光 ， 大 的 管晝 ， 小 的 管夜 ， 又 造 眾星 。  
CUVMPT	创世记	1	17	  就 把 這些 光 擺列 在 天空 ， 普照 在 地上 ，  
CUVMPT	创世记	1	18	  管理 晝夜 ， 分別 明暗 。 神 看著 是 好 的 。  
CUVMPT	创世记	1	19	"  有 晚上 ， 有 早晨 ， 是 第四日 。 
"
CUVMPT	创世记	1	20	  神 說 ： 「 水要 多多 滋生 有 生命 的 物 ， 要 有 雀 鳥 飛 在 地面 以上 、 天空 之中 。 」  
