estilo	livro	capitulo	versiculo	texto
CUV	马太福音	1	1	"  亞   伯   拉   罕   的   後   裔   ，   大   衛   的   子   孫   （   後   裔   子   孫   原   文   都   作   兒   子   下   同   ）   ，   耶   穌   基   督   的   家   譜   ： 
"
CUV	马太福音	1	2	"  亞   伯   拉   罕   生   以   撒   ；   以   撒   生   雅   各   ；   雅   各   生   猶   大   和   他   的   弟   兄   ； 
"
CUV	马太福音	1	3	"  猶   大   從   他   瑪   氏   生   法   勒   斯   和   謝   拉   ；   法   勒   斯   生   希   斯   崙   ；   希   斯   崙   生   亞   蘭   ； 
"
CUV	马太福音	1	4	"  亞   蘭   生   亞   米   拿   達   ；   亞   米   拿   達   生   拿   順   ；   拿   順   生   撒   門   ； 
"
CUV	马太福音	1	5	"  撒   門   從   喇   合   氏   生   波   阿   斯   ；   波   阿   斯   從   路   得   氏   生   俄   備   得   ；   俄   備   得   生   耶   西   ； 
"
CUV	马太福音	1	6	"  耶   西   生   大   衛   王   。   大   衛   從   烏   利   亞   的   妻   子   生   所   羅   門   ； 
"
CUV	马太福音	1	7	"  所   羅   門   生   羅   波   安   ；   羅   波   安   生   亞   比   雅   ；   亞   比   雅   生   亞   撒   ； 
"
CUV	马太福音	1	8	"  亞   撒   生   約   沙   法   ；   約   沙   法   生   約   蘭   ；   約   蘭   生   烏   西   亞   ； 
"
CUV	马太福音	1	9	"  烏   西   亞   生   約   坦   ；   約   坦   生   亞   哈   斯   ；   亞   哈   斯   生   希   西   家   ； 
"
CUV	马太福音	1	10	"  希   西   家   生   瑪   拿   西   ；   瑪   拿   西   生   亞   們   ；   亞   們   生   約   西   亞   ； 
"
CUV	马太福音	1	11	 
CUV	马太福音	1	百	"  姓   從   罪   惡   裡   救   出   來   。 
"
CUV	马太福音	1	12	"  遷   到   巴   比   倫   之   後   ，   耶   哥   尼   雅   生   撒   拉   鐵   ；   撒   拉   鐵   生   所   羅   巴   伯   ； 
"
CUV	马太福音	1	13	"  所   羅   巴   伯   生   亞   比   玉   ；   亞   比   玉   生   以   利   亞   敬   ；   以   利   亞   敬   生   亞   所   ； 
"
CUV	马太福音	1	14	"  亞   所   生   撒   督   ；   撒   督   生   亞   金   ；   亞   金   生   以   律   ； 
"
CUV	马太福音	1	15	"  以   律   生   以   利   亞   撒   ；   以   利   亞   撒   生   馬   但   ；   馬   但   生   雅   各   ； 
"
CUV	马太福音	1	16	"  雅   各   生   約   瑟   ，   就   是   馬   利   亞   的   丈   夫   。   那   稱   為   基   督   的   耶   穌   是   從   馬   利   亞   生   的   。 
"
CUV	马太福音	1	17	  這   樣   ，   從   亞   伯   拉   罕   到   大   衛   共   有  
CUV	马太福音	1	十	 
CUV	马太福音	1	四	"  代   。 
"
CUV	马太福音	1	18	"  耶   穌   基   督   降   生   的   事   記   在   下   面   ：   他   母   親   馬   利   亞   已   經   許   配   了   約   瑟   ，   還   沒   有   迎   娶   ，   馬   利   亞   就   從   聖   靈   懷   了   孕   。 
"
CUV	马太福音	1	19	"  他   丈   夫   約   瑟   是   個   義   人   ，   不   願   意   明   明   的   羞   辱   他   ，   想   要   暗   暗   的   把   他   休   了   。 
"
CUV	马太福音	1	20	"  正   思   念   這   事   的   時   候   ，   有   主   的   使   者   向   他   夢   中   顯   現   ，   說   ：   大   衛   的   子   孫   約   瑟   ，   不   要   怕   ！   只   管   娶   過   你   的   妻   子   馬   利   亞   來   ，   因   他   所   懷   的   孕   是   從   聖   靈   來   的   。 
"
CUV	马太福音	1	21	  他   將   要   生  
CUV	马太福音	1	一	"  切   的   事   成   就   是   要   應   驗   主   藉   先   知   所   說   的   話   ， 
"
CUV	马太福音	1	22	  這  
CUV	马太福音	1	23	"  說   ：   必   有   童   女   懷   孕   生   子   ；   人   要   稱   他   的   名   為   以   馬   內   利   。   （   以   馬   內   利   翻   出   來   就   是   神   與   我   們   同   在   。   ） 
"
CUV	马太福音	1	24	"  約   瑟   醒   了   ，   起   來   ，   就   遵   著   主   使   者   的   吩   咐   把   妻   子   娶   過   來   ； 
"
CUV	马太福音	1	25	  只   是   沒   有   和   他   同   房   ，   等   他   生   了   兒   子   （   有   古   卷   ：   等   他   生   了   頭   胎   的   兒   子   ）   ，   就   給   他   起   名   叫   耶   穌   。
CUV	马太福音	2	2	"  那   生   下   來   作   猶   太   人   之   王   的   在   那   裡   ？   我   們   在   東   方   看   見   他   的   星   ，   特   來   拜   他   。 
"
CUV	马太福音	2	3	"  希   律   王   聽   見   了   ，   就   心   裡   不   安   ；   耶   路   撒   冷   合   城   的   人   也   都   不   安   。 
"
CUV	马太福音	2	4	"  他   就   召   齊   了   祭   司   長   和   民   間   的   文   士   ，   問   他   們   說   ：   基   督   當   生   在   何   處   ？ 
"
CUV	马太福音	2	5	"  他   們   回   答   說   ：   在   猶   太   的   伯   利   恆   。   因   為   有   先   知   記   著   ，   說   ： 
"
CUV	马太福音	2	6	  猶   大   地   的   伯   利   恆   阿   ，   你   在   猶   大   諸   城   中   並   不   是   最   小   的   ；   因   為   將   來   有  
CUV	马太福音	2	一	  座   城   ，   名   叫   拿   撒   勒   ，   就   住   在   那   裡   。   這   是   要   應   驗   先   知   所   說   ，   他   將   稱   為   拿   撒   勒   人   的   話   了   。
CUV	马太福音	2	7	"  當   下   ，   希   律   暗   暗   的   召   了   博   士   來   ，   細   問   那   星   是   甚   麼   時   候   出   現   的   ， 
"
CUV	马太福音	2	8	"  就   差   他   們   往   伯   利   恆   去   ，   說   ：   你   們   去   仔   細   尋   訪   那   小   孩   子   ，   尋   到   了   ，   就   來   報   信   ，   我   也   好   去   拜   他   。 
"
CUV	马太福音	2	9	"  他   們   聽   見   王   的   話   就   去   了   。   在   東   方   所   看   見   的   那   星   忽   然   在   他   們   前   頭   行   ，   直   行   到   小   孩   子   的   地   方   ，   就   在   上   頭   停   住   了   。 
"
CUV	马太福音	2	10	"  他   們   看   見   那   星   ，   就   大   大   的   歡   喜   ； 
"
