estilo	livro	capitulo	versiculo	texto
CUVS	马太福音	1	1	"  亚   伯   拉   罕   的   後   裔   ，   大   卫   的   子   孙   （   後   裔   子   孙   原   文   都   作   儿   子   下   同   ）   ，   耶   稣   基   督   的   家   谱   ： 
"
CUVS	马太福音	1	2	"  亚   伯   拉   罕   生   以   撒   ；   以   撒   生   雅   各   ；   雅   各   生   犹   大   和   他   的   弟   兄   ； 
"
CUVS	马太福音	1	3	"  犹   大   从   他   玛   氏   生   法   勒   斯   和   谢   拉   ；   法   勒   斯   生   希   斯   仑   ；   希   斯   仑   生   亚   兰   ； 
"
CUVS	马太福音	1	4	"  亚   兰   生   亚   米   拿   达   ；   亚   米   拿   达   生   拿   顺   ；   拿   顺   生   撒   门   ； 
"
CUVS	马太福音	1	5	"  撒   门   从   喇   合   氏   生   波   阿   斯   ；   波   阿   斯   从   路   得   氏   生   俄   备   得   ；   俄   备   得   生   耶   西   ； 
"
CUVS	马太福音	1	6	"  耶   西   生   大   卫   王   。   大   卫   从   乌   利   亚   的   妻   子   生   所   罗   门   ； 
"
CUVS	马太福音	1	7	"  所   罗   门   生   罗   波   安   ；   罗   波   安   生   亚   比   雅   ；   亚   比   雅   生   亚   撒   ； 
"
CUVS	马太福音	1	8	"  亚   撒   生   约   沙   法   ；   约   沙   法   生   约   兰   ；   约   兰   生   乌   西   亚   ； 
"
CUVS	马太福音	1	9	"  乌   西   亚   生   约   坦   ；   约   坦   生   亚   哈   斯   ；   亚   哈   斯   生   希   西   家   ； 
"
CUVS	马太福音	1	10	"  希   西   家   生   玛   拿   西   ；   玛   拿   西   生   亚   们   ；   亚   们   生   约   西   亚   ； 
"
CUVS	马太福音	1	11	 
CUVS	马太福音	1	百	"  姓   从   罪   恶   里   救   出   来   。 
"
CUVS	马太福音	1	12	"  迁   到   巴   比   伦   之   後   ，   耶   哥   尼   雅   生   撒   拉   铁   ；   撒   拉   铁   生   所   罗   巴   伯   ； 
"
CUVS	马太福音	1	13	"  所   罗   巴   伯   生   亚   比   玉   ；   亚   比   玉   生   以   利   亚   敬   ；   以   利   亚   敬   生   亚   所   ； 
"
CUVS	马太福音	1	14	"  亚   所   生   撒   督   ；   撒   督   生   亚   金   ；   亚   金   生   以   律   ； 
"
CUVS	马太福音	1	15	"  以   律   生   以   利   亚   撒   ；   以   利   亚   撒   生   马   但   ；   马   但   生   雅   各   ； 
"
CUVS	马太福音	1	16	"  雅   各   生   约   瑟   ，   就   是   马   利   亚   的   丈   夫   。   那   称   为   基   督   的   耶   稣   是   从   马   利   亚   生   的   。 
"
CUVS	马太福音	1	17	  这   样   ，   从   亚   伯   拉   罕   到   大   卫   共   有  
CUVS	马太福音	1	十	 
CUVS	马太福音	1	四	"  代   。 
"
CUVS	马太福音	1	18	"  耶   稣   基   督   降   生   的   事   记   在   下   面   ：   他   母   亲   马   利   亚   已   经   许   配   了   约   瑟   ，   还   没   有   迎   娶   ，   马   利   亚   就   从   圣   灵   怀   了   孕   。 
"
CUVS	马太福音	1	19	"  他   丈   夫   约   瑟   是   个   义   人   ，   不   愿   意   明   明   的   羞   辱   他   ，   想   要   暗   暗   的   把   他   休   了   。 
"
CUVS	马太福音	1	20	"  正   思   念   这   事   的   时   候   ，   有   主   的   使   者   向   他   梦   中   显   现   ，   说   ：   大   卫   的   子   孙   约   瑟   ，   不   要   怕   ！   只   管   娶   过   你   的   妻   子   马   利   亚   来   ，   因   他   所   怀   的   孕   是   从   圣   灵   来   的   。 
"
CUVS	马太福音	1	21	  他   将   要   生  
CUVS	马太福音	1	一	"  切   的   事   成   就   是   要   应   验   主   藉   先   知   所   说   的   话   ， 
"
CUVS	马太福音	1	22	  这  
CUVS	马太福音	1	23	"  说   ：   必   有   童   女   怀   孕   生   子   ；   人   要   称   他   的   名   为   以   马   内   利   。   （   以   马   内   利   翻   出   来   就   是   神   与   我   们   同   在   。   ） 
"
CUVS	马太福音	1	24	"  约   瑟   醒   了   ，   起   来   ，   就   遵   着   主   使   者   的   吩   咐   把   妻   子   娶   过   来   ； 
"
CUVS	马太福音	1	25	  只   是   没   有   和   他   同   房   ，   等   他   生   了   儿   子   （   有   古   卷   ：   等   他   生   了   头   胎   的   儿   子   ）   ，   就   给   他   起   名   叫   耶   稣   。
