estilo	livro	capitulo	versiculo	texto
ERV-ZH	马太福音	1	1	:
ERV-ZH	马太福音	1	2	"  亚伯拉罕 是 的 父亲 ， 
 以 撒 是 雅各 的 父亲 ， 
 雅各 是 犹大 和 其 兄弟 们 的 父亲 ， 
"
ERV-ZH	马太福音	1	3	"  犹大 是 法 勒斯 和 谢拉 的 父亲 ， 
 他 玛 是 法 勒斯 和 谢拉 的 母亲 ， 
 法 勒斯 是 希斯 仑 的 父亲 ， 
 希斯 仑 是 亚兰 的 父亲 ， 
"
ERV-ZH	马太福音	1	4	"  亚兰 是 亚米拿达 的 父亲 ， 
 亚米拿达 是 拿 顺 的 父亲 ， 
 拿 顺是 撒门 的 父亲 ， 
"
ERV-ZH	马太福音	1	5	"  撒门 是 波阿斯 的 父亲 ， 
 波阿斯 的 母亲 是 喇合 ， 
 波阿斯 是 俄 备得 的 父亲 ， 
 俄 备得 的 母亲 是 路 得 ， 
 俄 备 得 是 耶西 的 父亲 ， 
"
ERV-ZH	马太福音	1	6	"  耶西 是 大卫王 的 父亲 ， 
 大卫王 是 所罗门 的 父亲 ， 
 （ 所罗门 的 母亲 曾经 是 乌 利亚 的 妻子 。 ） 
"
ERV-ZH	马太福音	1	7	:
ERV-ZH	马太福音	1	8	"  亚撒 是 约 沙法 的 父亲 ， 
 约 沙法 是 约兰 的 父亲 ， 
 约兰 是 乌 西亚 的 父亲 ， 
"
ERV-ZH	马太福音	1	9	"  乌 西亚 是 约坦 的 父亲 ， 
 约坦 是 亚 哈斯 的 父亲 ， 
 亚 哈斯 是 希西 家 的 父亲 ， 
"
ERV-ZH	马太福音	1	10	"  希西 家 是 玛拿西 的 父亲 ， 
 玛拿西 是 亚 们 的 父亲 ， 
 亚 们 是 约 西亚 的 父亲 ， 
"
ERV-ZH	马太福音	1	11	"  约 西亚 是 耶哥 尼雅 及其 兄弟 们 的 父亲 ， 
 （ 此时 以色列 人 被 驱逐 到 了 巴比伦 。 ） 
"
ERV-ZH	马太福音	1	12	"  被 驱逐 到 巴比伦 以后 ， 
 耶哥 尼雅 做 了 撒拉 铁 的 父亲 ， 
 撒拉 铁是 所 罗 巴伯 的 父亲 ， 
"
ERV-ZH	马太福音	1	13	"  所罗 巴伯 是 亚比玉 的 父亲 ， 
 亚比玉 是 以 利亚 敬 的 父亲 ， 
 以 利亚 敬 是 亚所 的 父亲 ， 
"
ERV-ZH	马太福音	1	14	"。 
 -   馬   太   福   音  "
