estilo	livro	capitulo	versiculo	texto
RCU17SS	马太福音	1	1	"  亚伯拉罕 的 后裔 、 大卫 的 子孙 [ a ] 耶稣基督 的 家谱 ： 
"
RCU17SS	马太福音	1	2	  亚伯拉罕 生以 撒 ， 以 撒生 雅各 ， 雅各 生 犹大 和 他 的 兄弟 ，  
RCU17SS	马太福音	1	3	  犹大 从 她 玛氏 生法 勒斯 和 谢拉 ， 法 勒斯 生 希斯 仑 ， 希斯 仑 生 亚兰 ，  
RCU17SS	马太福音	1	4	  亚兰生亚米拿达 ， 亚米拿达生拿顺 ， 拿 顺生 撒门 ，  
RCU17SS	马太福音	1	5	  撒门 从 喇合氏 生 波阿斯 ， 波阿斯 从 路得氏 生 俄 备 得 ， 俄备 得生 耶西 ，  
RCU17SS	马太福音	1	6	"  耶西 生 大卫王 。 
 大卫 从 乌 利亚 的 妻子 生 所罗门 ，  "
RCU17SS	马太福音	1	7	  所罗门 生 罗波安 ， 罗波安 生 亚比雅 ， 亚比 雅生 亚撒 ，  
RCU17SS	马太福音	1	8	  亚撒 生约 沙法 ， 约沙 法生约兰 ， 约兰生 乌西雅 ，  
RCU17SS	马太福音	1	9	  乌西雅 生约 坦 ， 约坦生 亚 哈斯 ， 亚 哈斯 生 希西 家 ，  
RCU17SS	马太福音	1	10	  希西 家生 玛拿西 ， 玛拿西生亚 们 ， 亚们 生约 西亚 ，  
RCU17SS	马太福音	1	11	"  百姓 被 迁到 巴比伦 的 时候 ， 约 西亚 生耶哥 尼雅 和 他 的 兄弟 。 
"
RCU17SS	马太福音	1	12	  迁 到 巴比伦 之后 ， 耶哥 尼雅 生 撒拉 铁 ， 撒拉 铁生 所 罗 巴伯 ，  
RCU17SS	马太福音	1	13	  所罗 巴伯 生亚比玉 ， 亚比玉 生以 利亚 敬 ， 以 利亚 敬生亚 所 ，  
RCU17SS	马太福音	1	14	  亚 所生 撒督 ， 撒督生 亚金 ， 亚金 生以律 ，  
RCU17SS	马太福音	1	15	  以 律生 以 利亚 撒 ， 以 利亚 撒生马 但 ， 马 但 生 雅各 ，  
RCU17SS	马太福音	1	16	"  雅各 生 约瑟 ， 就是 马利亚 的 丈夫 ； 那 称为 基督 的 耶稣 是从 马利亚 生 的 。 
"
RCU17SS	马太福音	1	17	  这样 ， 从 亚伯拉罕 到 大卫 共有
RCU17SS	马太福音	1	十四	"代 。 
 耶稣基督 降生 ( B ) 
"
RCU17SS	马太福音	1	18	  耶稣基督 降生 的 事记 在 下面 ： 他 母亲 马利亚 已经 许配给 约瑟 ， 还 没有 迎娶 ， 马利亚 就 从 圣灵 怀了孕 。  
RCU17SS	马太福音	1	19	  她 丈夫 约瑟 是 个 义人 ， 不 愿意 当众 羞辱 她 ， 想要 暗地里 把 她 休 了 。  
RCU17SS	马太福音	1	20	  正 考虑 这些 事 的 时候 ， 忽然 主 的 使者 在 约瑟 梦 中 向 他 显现 ， 说 ： “ 大卫 的 子孙 约瑟 ， 不要 怕 ， 把 你 的 妻子 马利亚 娶 过来 ， 因 她 所怀 的 孕 是从 圣灵 来 的 。  
RCU17SS	马太福音	1	21	  她 将要 生 一个 儿子 ， 你 要 给 他 起名叫 耶稣 ， 因 他 要 将 自己 的 百姓 从 罪恶 里 救 出来 。 ”  
RCU17SS	马太福音	1	22	"  这 整件事 的 发生 ， 是 要 应验 主藉 先知 所说 的话 ： 
"
RCU17SS	马太福音	1	23	"  “ 必 有 童女 怀孕 生子 ； 
 人 要 称 他 的 名为 以马内利 。 ” 
 （ 以马内利 翻出来 就是 “   神 与 我们 同 在 ” 。 ） 
"
RCU17SS	马太福音	1	24	  约瑟 醒来 ， 就 遵照 主 的 使者 的 吩咐 把 妻子 娶 过来 ；  
RCU17SS	马太福音	1	25	"  但是 没有 和 她 同房 ， 直到 她 生 了 儿子 [ b ] ， 就 给 他 起名叫 耶稣 。 
 和 合本 修訂 版經 文   ©  "
RCU17SS	马太福音	1	2006	,  
RCU17SS	马太福音	1	2010	,  
RCU17SS	马太福音	1	2017	  Hong   Kong   Bible   Society .   www . hkbs . org . hk / en /   Used   by   permission .
RCU17SS	马太福音	2	2	．
RCU17SS	马太福音	2	3	  希律王 听见 了 ， 就 心里不安 ； 耶路撒冷 全城 的 人 也 都 不安 。  
RCU17SS	马太福音	2	4	  他 就 召集 了 祭司 长 和 民间 的 文士 ， 问 他们 ： “ 基督 该 生 在 哪里 ？ ”  
RCU17SS	马太福音	2	5	"  他们 说 ： “ 在 犹太 的 伯利恒 。 因为 有 先知 记 着 ： 
"
RCU17SS	马太福音	2	6	"  ‘ 犹大 地 的 伯利恒 啊 ， 
 你 在 犹大 诸城 中 并 不是 最小 的 ； 
 因为 将来 有 一位 统治者 要 从 你 那里 出来 ， 
 牧养 我 以色列 民 。 ’ ” 
"
RCU17SS	马太福音	2	7	、
RCU17SS	马太福音	2	8	  就 派 他们 往 伯利恒 去 ， 说 ： “ 你们 去 仔细 寻访 那 小孩子 ， 找到 了 就 来 报信 ， 我 也好 去 拜 他 。 ”  
RCU17SS	马太福音	2	9	  他们 听 了 王 的话 就 去 了 。 忽然 ， 在 东方 所 看到 的 那颗星 在 前面 引领 他们 ， 一直 行到 小孩子 所在 地方 的 上方 就 停住 了 。  
RCU17SS	马太福音	2	10	  他们 看见 那星 ， 就 非常 欢喜 ；  
RCU17SS	马太福音	2	11	  进 了 房子 ， 看见 小孩子 和 他 母亲 马利亚 ， 就 俯伏 拜 那 小孩子 ， 揭开 宝盒 ， 拿出 黄金 、 乳香 、 没药 ， 作为 礼物 献给 他 。  
RCU17SS	马太福音	2	12	"  因为 在 梦 中 得到 主 的 指示 ， 不要 回去 见 希律 ， 他们 就 从 别的 路 回 自己 的 家乡 去 了 。 
 逃往 埃及 
"
RCU17SS	马太福音	2	13	  他们 走 后 ， 忽然 主 的 使者 在 约瑟 梦 中 向 他 显现 ， 说 ： “ 起来 ！ 带 着 小孩子 和 他 母亲 逃往 埃及 ， 住 在 那里 ， 等 我 的 指示 ； 因为 希律 要 搜寻 那 小孩子 来 杀害 他 。 ”  
RCU17SS	马太福音	2	14	  约瑟 就 起来 ， 连夜 带 着 小孩子 和 他 母亲 往 埃及 去 ，  
RCU17SS	马太福音	2	15	"  住 在 那里 ， 直到 希律 死 了 。 这 是 要 应验 主藉 先知 所说 的话 ： “ 我 从 埃及 召 我 的 儿子 出来 。 ” 
 屠杀 男孩 
"
RCU17SS	马太福音	2	16	"节同 。 
 和 合本 修訂 版經 文   ©  "
RCU17SS	马太福音	2	17	"  这 就 应验 了 耶利米 先知 所说 的话 ： 
"
RCU17SS	马太福音	2	18	"  “ 在 拉玛 听见 号啕大哭 的 声音 ， 
 是 拉 结哭 她 儿女 ； 
 她 不肯 受 安慰 ， 
 因为 他们 都 不在 了 。 ” 
 从 埃及 回来 
"
RCU17SS	马太福音	2	19	  希律 死 了 以后 ， 在 埃及 ， 忽然 主 的 使者 在 约瑟 梦 中 向 他 显现 ，  
RCU17SS	马太福音	2	20	  说 ： “ 起来 ， 带 着 小孩子 和 他 母亲 回 以色列 地 去 ！ 因为 要 杀害 这 小孩子 的 人 已经 死 了 。 ”  
RCU17SS	马太福音	2	21	  约瑟 就 起来 ， 带 着 小孩子 和 他 母亲 进入 以色列 地 去 。  
RCU17SS	马太福音	2	22	  但是 他 因 听见 亚基 老 继承 他 父亲 希律 作 了 犹太 王 ， 怕 到 那里 去 ； 又 在 梦 中 得到 主 的 指示 ， 就 往 加利利 境内 去 了 。  
RCU17SS	马太福音	2	23	"  他们 到 了 一座 城 ， 名叫 拿 撒勒 ， 就 住 在 那里 。 这 是 要 应验 先知 所说 的话 ： “ 他 将 称为 拿 撒勒 人 。 ” 
 Footnotes 
 -  "
RCU17SS	马太福音	2	1	  “ 博学之士 ” 或 译 “ 星象 家 ” ；
RCU17SS	马太福音	2	2006	,  
RCU17SS	马太福音	2	2010	,  
RCU17SS	马太福音	2	2017	  Hong   Kong   Bible   Society .   www . hkbs . org . hk / en /   Used   by   permission .
RCU17SS	马太福音	3	3	"  这 人 就是 以 赛亚 先知 所说 的 ： 
 “ 在 旷野 有 声音 呼喊 着 ： 
 预备 主 的 道 ， 
 修直 他 的 路 。 ” 
"
RCU17SS	马太福音	3	2	  “ 你们 要 悔改 ！ 因为 天国 近 了 。 ”  
RCU17SS	马太福音	3	4	  这 约翰 身穿 骆驼毛 的 衣服 ， 腰束 皮带 ， 吃 的 是 蝗虫 和 野蜜 。  
RCU17SS	马太福音	3	5	  那时 ， 耶路撒冷 、 全 犹太 和 全 约旦河 地区 的 人 ， 都 到 约翰 那里 去 ，  
RCU17SS	马太福音	3	6	"  承认 他们 的 罪 ， 在 约旦河 里 受 他 的 洗 。 
"
RCU17SS	马太福音	3	7	  约翰 看见 许多 法利赛 人 和 撒 都 该人 也 来 受洗 ， 就 对 他们 说 ： “ 毒蛇 的 孽种 啊 ， 谁 指示 你们 逃避 那 将要 来 的 愤怒 呢 ？  
RCU17SS	马太福音	3	8	  你们 要 结出 果子 来 ， 和 悔改 的 心 相称 。  
RCU17SS	马太福音	3	9	  不要 自己 心里 说 ： ‘ 我们 有 亚伯拉罕 为 祖宗 。 ’ 我 告诉 你们 ，   神能 从 这些 石头 中 给 亚伯拉罕 兴起 子孙 来 。  
RCU17SS	马太福音	3	10	  现在 斧子 已经 放在 树根 上 ， 凡不 结好 果子 的 树 就 砍下来 ， 丢 在 火 里 。  
RCU17SS	马太福音	3	11	  我 是 用水 给 你们 施洗 ， 叫 你们 悔改 ； 但 那 在 我 以后 来 的 ， 能力 比 我 更 大 ， 我 就是 给 他 提 鞋子 也 不配 ， 他 要 用 圣灵 与 火 给 你们 施洗 。  
RCU17SS	马太福音	3	12	"  他 手里 拿 着 簸箕 ， 要扬 净 他 的 谷物 ， 把 麦子 收在 仓 里 ， 把 糠用 不灭 的 火烧 尽 。 ” 
 耶稣 受洗 ( B ) 
"
RCU17SS	马太福音	3	13	  当时 ， 耶稣 从 加利利 来到 约旦河 ， 到 了 约翰 那里 ， 请 约翰 为 他 施洗 。  
RCU17SS	马太福音	3	14	  约翰 想要 阻止 他 ， 说 ： “ 我 应该 受 你 的 洗 ， 你 怎么 到 我 这里 来 呢 ？ ”  
RCU17SS	马太福音	3	15	  耶稣 回答 他 ： “ 暂且 这样 做 吧 ， 因为 我们 理当 这样 履行 全部 的 义 [ a ] 。 ” 于是 约翰 就 依 了 他 。  
RCU17SS	马太福音	3	16	  耶稣 受 了 洗 ， 随即 从 水里 上来 。 天 忽然 为 他 [ b ] 开 了 ， 他 看见   神 的 灵 降下 ， 仿佛 鸽子 落 在 他 身上 。  
RCU17SS	马太福音	3	17	"  这时 ， 天上 有 声音 说 ： “ 这 是 我 的 爱子 ， 我 所 喜爱 的 。 ” 
 和 合本 修訂 版經 文   ©  "
RCU17SS	马太福音	3	2006	,  
