estilo	livro	capitulo	versiculo	texto
RCU17SS	创世记	1	1	  起初 ，   神 创造 天地 。 [ a ]  
RCU17SS	创世记	1	2	  地 是 空虚 混沌 ， 深渊 上面 一片 黑暗 ；   神 的 灵 [ b ] 运行 在 水面 上 。 [ c ]  
RCU17SS	创世记	1	3	  神 说 ： “ 要有光 ” ， 就 有 了 光 。  
RCU17SS	创世记	1	4	  神 看 光是 好 的 ， 于是   神 就 把 光 和 暗 分开 。  
RCU17SS	创世记	1	5	"  神称光 为 “ 昼 ” ， 称 暗为 “ 夜 ” 。 有 晚上 ， 有 早晨 ， 这 是 第一 日 。 
"
RCU17SS	创世记	1	6	  神 说 ： “ 众水 之间 要 有 穹苍 ， 把 水 和 水 分开 。 ”  
RCU17SS	创世记	1	7	  神 就 造 了 穹苍 ， 把 穹苍 以下 的 水 和 穹苍 以上 的 水 分开 。 事 就 这样 成 了 。  
RCU17SS	创世记	1	8	"  神称 穹苍 为 “ 天 ” 。 有 晚上 ， 有 早晨 ， 这 是 第二日 。 
"
RCU17SS	创世记	1	9	  神 说 ： “ 天 下面 的 水要 聚集 在 一处 ， 使 干地 露出 来 。 ” 事 就 这样 成 了 。  
RCU17SS	创世记	1	10	  神称 干地 为 “ 地 ” ， 称 聚集 在 一起 的 水 为 “ 海 ” 。   神 看为 好 的 。  
RCU17SS	创世记	1	11	  神 说 ： “ 地 要长 出 植物 ， 就是 含 种子 的 五谷 菜蔬 ， 和 会 结果 子 、 果子 里 有 种子 的 树 ， 在 地上 各从其类 。 ” 事 就 这样 成 了 。  
RCU17SS	创世记	1	12	  于是 地长 出 了 植物 ： 含 种子 的 五谷 菜蔬 ， 各从其类 ； 会 结果 子 、 果子 里 有 种子 的 树 ， 各从其类 。   神 看为 好 的 。  
RCU17SS	创世记	1	13	"  有 晚上 ， 有 早晨 ， 这 是 第三日 。 
"
RCU17SS	创世记	1	14	  神 说 ： “ 天上 要有光 体来 分 昼夜 ， 让 它们 作记号 ， 定 季节 、 日子 、 年份 ，  
