estilo	livro	capitulo	versiculo	texto
RCU17TS	马太福音	1	1	"  亞伯 拉罕 的 後 裔 、 大衛 的 子孫 [ a ] 耶穌 基督 的 家譜 ： 
"
RCU17TS	马太福音	1	2	  亞伯 拉罕 生以 撒 ， 以 撒生 雅各 ， 雅各 生 猶大 和 他 的 兄弟 ，  
RCU17TS	马太福音	1	3	  猶大 從 她 瑪氏 生法 勒斯 和 謝拉 ， 法 勒斯 生 希斯 崙 ， 希斯 崙 生 亞蘭 ，  
RCU17TS	马太福音	1	4	  亞蘭生亞米拿達 ， 亞米拿達生拿順 ， 拿 順生 撒門 ，  
RCU17TS	马太福音	1	5	  撒門 從 喇合氏 生 波阿斯 ， 波阿斯 從 路得氏 生 俄 備 得 ， 俄備 得生 耶西 ，  
RCU17TS	马太福音	1	6	"  耶西 生大衛 王 。 
 大衛 從 烏利亞 的 妻子 生所 羅門 ，  "
RCU17TS	马太福音	1	7	  所 羅門生 羅波安 ， 羅波 安生 亞比雅 ， 亞比 雅生 亞撒 ，  
RCU17TS	马太福音	1	8	  亞撒 生約 沙法 ， 約沙 法生約蘭 ， 約蘭生 烏西雅 ，  
RCU17TS	马太福音	1	9	  烏西雅 生約 坦 ， 約坦生 亞 哈斯 ， 亞 哈斯 生 希西 家 ，  
RCU17TS	马太福音	1	10	  希西 家生 瑪拿西 ， 瑪拿西生亞 們 ， 亞們 生約 西亞 ，  
RCU17TS	马太福音	1	11	"  百姓 被 遷到 巴比 倫 的 時候 ， 約西亞 生耶哥 尼雅 和 他 的 兄弟 。 
"
RCU17TS	马太福音	1	12	  遷到 巴比 倫之 後 ， 耶哥 尼雅 生 撒拉 鐵 ， 撒拉 鐵生 所 羅 巴伯 ，  
RCU17TS	马太福音	1	13	  所羅 巴伯 生亞比玉 ， 亞比 玉生 以利 亞敬 ， 以利 亞敬生 亞 所 ，  
RCU17TS	马太福音	1	14	  亞 所生 撒督 ， 撒督生亞 金 ， 亞金生 以 律 ，  
RCU17TS	马太福音	1	15	  以 律生 以利 亞撒 ， 以利 亞撒 生馬 但 ， 馬 但 生 雅各 ，  
RCU17TS	马太福音	1	16	"  雅各 生 約瑟 ， 就是 馬利亞 的 丈夫 ； 那 稱為 基督 的 耶穌 是 從 馬利亞 生 的 。 
"
RCU17TS	马太福音	1	17	  這樣 ， 從 亞伯 拉罕 到 大 衛 共有
RCU17TS	马太福音	1	十四	"代 。 
 耶穌 基督 降生 ( B ) 
"
RCU17TS	马太福音	1	18	  耶穌 基督 降生 的 事記 在 下面 ： 他 母親 馬利亞 已經 許配 給 約瑟 ， 還 沒有 迎娶 ， 馬利亞 就 從 聖靈 懷 了 孕 。  
RCU17TS	马太福音	1	19	  她 丈夫 約瑟 是 個 義人 ， 不 願意 當 眾 羞辱 她 ， 想要 暗地 裏 把 她 休 了 。  
RCU17TS	马太福音	1	20	  正 考慮 這些 事 的 時候 ， 忽然 主 的 使者 在 約瑟 夢 中 向 他 顯現 ， 說 ： 「 大衛 的 子孫 約瑟 ， 不要 怕 ， 把 你 的 妻子 馬利亞 娶 過來 ， 因 她 所懷 的 孕是 從 聖靈 來的 。  
RCU17TS	马太福音	1	21	  她 將 要生 一個 兒子 ， 你 要 給 他 起名叫 耶穌 ， 因 他 要 將 自己 的 百姓 從 罪 惡 裏 救出 來 。 」  
RCU17TS	马太福音	1	22	"  這 整件事 的 發生 ， 是 要 應驗 主藉 先知 所說 的 話 ： 
"
RCU17TS	马太福音	1	23	"  「 必 有 童女 懷孕 生子 ； 
 人 要 稱 他 的 名為 以 馬內利 。 」 
 （ 以 馬內利 翻出 來 就是 「   神 與 我們 同在 」 。 ） 
"
RCU17TS	马太福音	1	24	  約瑟 醒來 ， 就 遵照 主 的 使者 的 吩咐 把 妻子 娶 過來 ；  
RCU17TS	马太福音	1	25	"  但是 沒有 和 她 同房 ， 直到 她 生 了 兒子 [ b ] ， 就 給 他 起名叫 耶穌 。 
 和 合本 修訂 版經 文   ©  "
RCU17TS	马太福音	1	2006	,  
RCU17TS	马太福音	1	2010	,  
RCU17TS	马太福音	1	2017	  Hong   Kong   Bible   Society .   www . hkbs . org . hk / en /   Used   by   permission .
RCU17TS	马太福音	2	2	．
RCU17TS	马太福音	2	3	  希律王 聽見 了 ， 就 心 裏 不安 ； 耶路撒冷 全城 的 人 也 都 不安 。  
RCU17TS	马太福音	2	4	  他 就 召集 了 祭司 長 和 民間 的 文士 ， 問 他們 ： 「 基督 該 生在哪 裏 ？ 」  
RCU17TS	马太福音	2	5	"  他們 說 ： 「 在 猶太 的 伯利恆 。 因為 有 先知 記 着 ： 
"
RCU17TS	马太福音	2	6	"  『 猶 大地 的 伯利恆 啊 ， 
 你 在 猶大 諸 城中 並 不是 最小 的 ； 
 因為 將 來 有 一位 統治者 要 從你那 裏 出 來 ， 
 牧養 我 以色列 民 。 』 」 
"
RCU17TS	马太福音	2	7	、
RCU17TS	马太福音	2	8	  就 派 他們 往 伯利恆 去 ， 說 ： 「 你們 去 仔細 尋訪 那 小孩子 ， 找到 了 就 來 報信 ， 我 也好 去 拜 他 。 」  
RCU17TS	马太福音	2	9	  他們 聽 了 王 的 話 就 去 了 。 忽然 ， 在 東方 所 看到 的 那 顆星 在 前面 引領 他們 ， 一直 行到 小孩子 所在 地方 的 上方 就 停住 了 。  
RCU17TS	马太福音	2	10	  他們 看見 那 星 ， 就 非常 歡喜 ；  
