estilo	livro	capitulo	versiculo	texto
RCU17TS	创世记	1	1	  起初 ，   神 創造 天地 。 [ a ]  
RCU17TS	创世记	1	2	  地 是 空虛 混沌 ， 深淵 上面 一片 黑暗 ；   神 的 靈 [ b ] 運行 在 水面 上 。 [ c ]  
RCU17TS	创世记	1	3	  神 說 ： 「 要有光 」 ， 就 有 了 光 。  
RCU17TS	创世记	1	4	  神 看 光是 好 的 ， 於 是   神 就 把 光 和 暗分 開 。  
RCU17TS	创世记	1	5	"  神稱光 為 「 晝 」 ， 稱 暗為 「 夜 」 。 有 晚上 ， 有 早晨 ， 這 是 第一 日 。 
"
RCU17TS	创世记	1	6	  神 說 ： 「 眾水 之間 要 有 穹蒼 ， 把 水 和 水分 開 。 」  
RCU17TS	创世记	1	7	  神 就 造 了 穹蒼 ， 把 穹蒼 以下 的 水 和 穹蒼 以上 的 水分 開 。 事 就 這樣 成 了 。  
RCU17TS	创世记	1	8	"  神稱 穹蒼 為 「 天 」 。 有 晚上 ， 有 早晨 ， 這 是 第二日 。 
"
RCU17TS	创世记	1	9	  神 說 ： 「 天 下面 的 水要 聚集 在 一處 ， 使 乾 地 露出 來 。 」 事 就 這樣 成 了 。  
RCU17TS	创世记	1	10	  神 稱 乾 地 為 「 地 」 ， 稱 聚集 在 一起 的 水 為 「 海 」 。   神 看為 好 的 。  
RCU17TS	创世记	1	11	  神 說 ： 「 地 要長 出 植物 ， 就是 含種 子的五 穀 菜蔬 ， 和會 結 果子 、 果子 裏 有 種 子 的 樹 ， 在 地上 各 從 其類 。 」 事 就 這樣 成 了 。  
RCU17TS	创世记	1	12	  於 是 地長 出 了 植物 ： 含種 子的五 穀 菜蔬 ， 各 從 其類 ； 會 結 果子 、 果子 裏 有 種 子 的 樹 ， 各 從 其類 。   神 看為 好 的 。  
RCU17TS	创世记	1	13	"  有 晚上 ， 有 早晨 ， 這 是 第三日 。 
"
RCU17TS	创世记	1	14	  神 說 ： 「 天上 要有光 體來 分 晝夜 ， 讓 它們 作 記號 ， 定 季節 、 日子 、 年份 ，  
RCU17TS	创世记	1	15	  它們 要 在 天空 發光 ， 照 在 地上 。 」 事 就 這樣 成 了 。  
