estilo	livro	capitulo	versiculo	texto
HOF	Matthäus	1	1	Dieses Buch berichtet die Geschichte &#91; a &#93; von Jesus Christus . Er ist ein Nachkomme Abrahams und Davids .
HOF	Matthäus	1	2	Abraham war der Vater von Isaak . Auf Isaak folgten in direkter Linie Jakob – der Vater von Juda und seinen Brüdern – , Juda
HOF	Matthäus	1	38	)
HOF	Matthäus	1	3	und Perez . Perez und Serach waren die Söhne Tamars . Der Sohn von Perez hieß Hezron , und auf ihn folgten Ram ,
HOF	Matthäus	1	4	Amminadab , Nachschon , Salmon ,
HOF	Matthäus	1	5	Boas – der Sohn von Rahab – , Obed – der Sohn von Ruth – , Isai
HOF	Matthäus	1	6	und schließlich König David . Von David stammte Salomo ab – der Sohn von Urias Frau – ,
HOF	Matthäus	1	7	und auf ihn folgten in direkter Linie Rehabeam , Abija , Asa ,
HOF	Matthäus	1	8	Joschafat , Joram , Usija ,
HOF	Matthäus	1	9	Jotam , Ahas , Hiskia ,
HOF	Matthäus	1	10	Manasse , Amon , Josia
HOF	Matthäus	1	11	sowie Jojachin und seine Brüder . Sie wurden ungefähr zu der Zeit geboren , als das Volk von Juda nach Babylonien verschleppt wurde .
HOF	Matthäus	1	12	Nach der Zeit der Verbannung wurde Schealtiël geboren , und auf ihn folgten Serubbabel ,
HOF	Matthäus	1	13	Abihud , Eljakim , Asor ,
HOF	Matthäus	1	14	Zadok , Achim , Eliud ,
HOF	Matthäus	1	15	Eleasar , Mattan und Jakob .
HOF	Matthäus	1	16	Jakob war der Vater von Josef und dieser wiederum der Mann von Maria . Sie brachte Jesus zur Welt , der Christus genannt wird .
HOF	Matthäus	1	17	Von Abraham bis zu David sind es also vierzehn Generationen . Auch von David bis zur Verbannung des Volkes nach Babylonien sind es vierzehn Generationen , und von dieser Zeit bis zu Christus , dem von Gott erwählten Retter , noch einmal vierzehn . Gott wird Mensch ( Lukas 1,26 – 2,20 )
HOF	Matthäus	1	18	Und so wurde Jesus Christus geboren : Seine Mutter Maria war mit Josef verlobt . Noch bevor sie geheiratet und miteinander geschlafen hatten , erwartete Maria ein Kind . Sie war vom Heiligen Geist schwanger geworden .
HOF	Matthäus	1	19	Josef war ein Mann , der sich an Gottes Gebote hielt , er wollte Maria aber auch nicht öffentlich bloßstellen . So überlegte er , die Verlobung stillschweigend aufzulösen .
HOF	Matthäus	1	20	Noch während er darüber nachdachte , erschien ihm im Traum ein Engel des Herrn und sagte : » Josef , du Nachkomme von David , zögere nicht , Maria zu heiraten ! Denn das Kind , das sie erwartet , ist vom Heiligen Geist .
HOF	Matthäus	1	21	Sie wird einen Sohn zur Welt bringen , den sollst du Jesus nennen ( › Der Herr rettet ‹ ) . Denn er wird die Menschen seines Volkes von ihren Sünden befreien . «
HOF	Matthäus	1	22	Dies alles geschah , damit sich erfüllte , was der Herr durch seinen Propheten vorausgesagt hatte :
HOF	Matthäus	1	23	» Die Jungfrau wird schwanger werden und einen Sohn zur Welt bringen . Den wird man Immanuel nennen . « &#91; b &#93; – Immanuel bedeutet » Gott ist mit uns « .
HOF	Matthäus	1	24	Als Josef aufwachte , tat er , was der Engel des Herrn ihm aufgetragen hatte , und heiratete Maria .
HOF	Matthäus	1	25	Er schlief aber nicht mit ihr bis zur Geburt ihres Sohnes . Josef gab ihm den Namen Jesus . Footnotes - 1,1 Oder : Das ist das Verzeichnis der Vorfahren . – Matthäus verwendet hier eine Formulierung , wie sie sich auch in der griechischen Übersetzung von 1. Mose 2,4 und 5,1 findet . - 1,23 Jesaja 7,14 Hoffnung für Alle ® ( Hope for All ) Copyright ©
HOF	Matthäus	1	1983	,
HOF	Matthäus	1	1996	,
HOF	Matthäus	1	2002	by Biblica , Inc . ®
HOF	Matthäus	2	2	und erkundigten sich : » Wo ist der neugeborene König der Juden ? Wir haben seinen Stern aufgehen sehen und sind aus dem Osten hierhergekommen , &#91; b &#93; um ihm die Ehre zu erweisen . «
HOF	Matthäus	2	3	Als König Herodes das hörte , war er bestürzt und mit ihm ganz Jerusalem .
HOF	Matthäus	2	4	Er rief die obersten Priester und die Schriftgelehrten des jüdischen Volkes zusammen und fragte sie : » Wo soll dieser versprochene Retter &#91; c &#93; denn geboren werden ? «
HOF	Matthäus	2	5	Sie antworteten : » In Bethlehem in Judäa . So heißt es schon im Buch des Propheten :
HOF	Matthäus	2	6	› Bethlehem , du bist keineswegs die unbedeutendste Stadt in Juda . Denn aus dir kommt der Herrscher , der mein Volk Israel wie ein Hirte führen wird . ‹ &#91; d &#93; «
