estilo	livro	capitulo	versiculo	texto
HOF	1%20Mose	1	1	Am Anfang schuf Gott Himmel und Erde .
HOF	1%20Mose	1	11	Und Gott sprach : » Auf der Erde soll es grünen und blühen : Alle Arten von Pflanzen und Bäumen sollen wachsen und ihre Samen und Früchte tragen ! « So geschah es .
HOF	1%20Mose	1	2	Noch war die Erde leer und ungestaltet , von tiefen Fluten bedeckt . Finsternis herrschte , aber über dem Wasser schwebte der Geist Gottes .
HOF	1%20Mose	1	3	Da sprach Gott : » Licht soll entstehen ! « , und sogleich strahlte Licht auf .
HOF	1%20Mose	1	4	Gott sah , dass es gut war . Er trennte das Licht von der Dunkelheit
HOF	1%20Mose	1	5	und nannte das Licht » Tag « und die Dunkelheit » Nacht « . Es wurde Abend und wieder Morgen : Der erste Tag war vergangen .
HOF	1%20Mose	1	6	Und Gott befahl : » Im Wasser soll sich ein Gewölbe bilden , das die Wassermassen voneinander trennt ! «
HOF	1%20Mose	1	7	So geschah es : Er machte ein Gewölbe und trennte damit das Wasser darüber von dem Wasser , das die Erde bedeckte .
HOF	1%20Mose	1	8	Das Gewölbe nannte er » Himmel « . Es wurde Abend und wieder Morgen : Der zweite Tag war vergangen .
HOF	1%20Mose	1	9	Dann sprach Gott : » Die Wassermassen auf der Erde sollen zusammenfließen , damit das Land zum Vorschein kommt ! « So geschah es .
HOF	1%20Mose	1	10	Gott nannte das trockene Land » Erde « und das Wasser » Meer « . Was er sah , gefiel ihm , denn es war gut .
HOF	1%20Mose	1	12	Die Erde brachte Pflanzen und Bäume in ihrer ganzen Vielfalt hervor . Wieder sah er sich an , was er geschaffen hatte : Es war gut .
HOF	1%20Mose	1	13	Es wurde Abend und wieder Morgen : Der dritte Tag war vergangen .
HOF	1%20Mose	1	14	Da befahl Gott : » Am Himmel sollen Lichter entstehen , die den Tag und die Nacht voneinander trennen und nach denen man die Jahreszeiten und auch die Tage und Jahre bestimmen kann !
HOF	1%20Mose	1	15	Sie sollen die Erde erhellen . « Und so geschah es .
HOF	1%20Mose	1	16	Gott schuf zwei große Lichter , die Sonne für den Tag und den Mond für die Nacht , dazu alle Sterne .
HOF	1%20Mose	1	17	Er setzte diese Lichter an den Himmel , um die Erde zu erhellen ,
HOF	1%20Mose	1	18	Tag und Nacht zu bestimmen und Licht und Finsternis zu unterscheiden . Und Gott sah , dass es gut war .
HOF	1%20Mose	1	19	Wieder wurde es Abend und Morgen : Der vierte Tag war vergangen .
HOF	1%20Mose	1	20	Dann sprach Gott : » Im Wasser soll es von Leben wimmeln , und Vogelschwärme sollen am Himmel fliegen ! «
