estilo	livro	capitulo	versiculo	texto
LUTH1545	Matthäus	1	1	Dies ist das Buch von der Geburt Jesu Christi , der da ist ein Sohn Davids , des Sohnes Abrahams .
LUTH1545	Matthäus	1	1545	""
LUTH1545	Matthäus	1	2	Abraham zeugte Isaak . Isaak zeugte Jakob . Jakob zeugte Juda und seine Brüder .
LUTH1545	Matthäus	1	3	Juda zeugte Perez und Serah von Thamar . Perez zeugte Hezron . Hezron zeugte Ram .
LUTH1545	Matthäus	1	4	Ram zeugte Amminadab . Amminadab zeugte Nahesson . Nahesson zeugte Salma .
LUTH1545	Matthäus	1	5	Salma zeugte Boas von der Rahab . Boas zeugte Obed von der Ruth . Obed zeugte Jesse .
LUTH1545	Matthäus	1	6	Jesse zeugte den König David . Der König David zeugte Salomo von dem Weib des Uria .
LUTH1545	Matthäus	1	7	Salomo zeugte Rehabeam . Rehabeam zeugte Abia . Abia zeugte Asa .
LUTH1545	Matthäus	1	8	Asa zeugte Josaphat . Josaphat zeugte Joram . Joram zeugte Usia .
LUTH1545	Matthäus	1	9	Usia zeugte Jotham . Jotham zeugte Ahas . Ahas zeugte Hiskia .
LUTH1545	Matthäus	1	10	Hiskia zeugte Manasse . Manasse zeugte Amon . Amon zeugte Josia .
LUTH1545	Matthäus	1	11	Josia zeugte Jechonja und seine Brüder um die Zeit der babylonischen Gefangenschaft .
LUTH1545	Matthäus	1	12	Nach der babylonischen Gefangenschaft zeugte Jechonja Sealthiel . Sealthiel zeugte Serubabel .
LUTH1545	Matthäus	1	13	Serubabel zeugte Abiud . Abiud zeugte Eliakim . Eliakim zeugte Asor .
LUTH1545	Matthäus	1	14	Asor zeugte Zadok . Zadok zeugte Achim . Achim zeugte Eliud .
LUTH1545	Matthäus	1	15	Eliud zeugte Eleasar . Eleasar zeugte Matthan . Matthan zeugte Jakob .
LUTH1545	Matthäus	1	16	Jakob zeugte Joseph , den Mann Marias , von welcher ist geboren Jesus , der da heißt Christus .
