estilo	livro	capitulo	versiculo	texto
LUTH1545	1%20Mose	1	1	Am Anfang schuf Gott Himmel und Erde .
LUTH1545	1%20Mose	1	1545	""
LUTH1545	1%20Mose	1	2	Und die Erde war wüst und leer , und es war finster auf der Tiefe ; und der Geist Gottes schwebte auf dem Wasser .
LUTH1545	1%20Mose	1	3	Und Gott sprach : Es werde Licht ! und es ward Licht .
LUTH1545	1%20Mose	1	4	Und Gott sah , daß das Licht gut war . Da schied Gott das Licht von der Finsternis
LUTH1545	1%20Mose	1	5	und nannte das Licht Tag und die Finsternis Nacht . Da ward aus Abend und Morgen der erste Tag .
LUTH1545	1%20Mose	1	6	Und Gott sprach : Es werde eine Feste zwischen den Wassern , und die sei ein Unterschied zwischen den Wassern .
LUTH1545	1%20Mose	1	7	Da machte Gott die Feste und schied das Wasser unter der Feste von dem Wasser über der Feste . Und es geschah also .
LUTH1545	1%20Mose	1	8	Und Gott nannte die Feste Himmel . Da ward aus Abend und Morgen der andere Tag .
LUTH1545	1%20Mose	1	9	Und Gott sprach : Es sammle sich das Wasser unter dem Himmel an besondere Örter , daß man das Trockene sehe . Und es geschah also .
LUTH1545	1%20Mose	1	10	Und Gott nannte das Trockene Erde , und die Sammlung der Wasser nannte er Meer . Und Gott sah , daß es gut war .
LUTH1545	1%20Mose	1	11	Und Gott sprach : Es lasse die Erde aufgehen Gras und Kraut , das sich besame , und fruchtbare Bäume , da ein jeglicher nach seiner Art Frucht trage und habe seinen eigenen Samen bei sich selbst auf Erden . Und es geschah also .
LUTH1545	1%20Mose	1	12	Und die Erde ließ aufgehen Gras und Kraut , das sich besamte , ein jegliches nach seiner Art , und Bäume , die da Frucht trugen und ihren eigenen Samen bei sich selbst hatten , ein jeglicher nach seiner Art. Und Gott sah , daß es gut war .
LUTH1545	1%20Mose	1	13	Da ward aus Abend und Morgen der dritte Tag .
LUTH1545	1%20Mose	1	14	Und Gott sprach : Es werden Lichter an der Feste des Himmels , die da scheiden Tag und Nacht und geben Zeichen , Zeiten , Tage und Jahre
LUTH1545	1%20Mose	1	15	und seien Lichter an der Feste des Himmels , daß sie scheinen auf Erden . Und es geschah also .
LUTH1545	1%20Mose	1	16	Und Gott machte zwei große Lichter : ein großes Licht , das den Tag regiere , und ein kleines Licht , das die Nacht regiere , dazu auch Sterne .
LUTH1545	1%20Mose	1	17	Und Gott setzte sie an die Feste des Himmels , daß sie schienen auf die Erde
LUTH1545	1%20Mose	1	18	und den Tag und die Nacht regierten und schieden Licht und Finsternis . Und Gott sah , daß es gut war .
LUTH1545	1%20Mose	1	19	Da ward aus Abend und Morgen der vierte Tag .
LUTH1545	1%20Mose	1	20	Und Gott sprach : Es errege sich das Wasser mit webenden und lebendigen Tieren , und Gevögel fliege auf Erden unter der Feste des Himmels .
LUTH1545	1%20Mose	1	21	Und Gott schuf große Walfische und allerlei Getier , daß da lebt und webt , davon das Wasser sich erregte , ein jegliches nach seiner Art , und allerlei gefiedertes Gevögel , ein jegliches nach seiner Art. Und Gott sah , daß es gut war .
LUTH1545	1%20Mose	1	22	Und Gott segnete sie und sprach : Seid fruchtbar und mehrt euch und erfüllt das Wasser im Meer ; und das Gefieder mehre sich auf Erden .
LUTH1545	1%20Mose	1	23	Da ward aus Abend und Morgen der fünfte Tag .
LUTH1545	1%20Mose	1	24	Und Gott sprach : Die Erde bringe hervor lebendige Tiere , ein jegliches nach seiner Art : Vieh , Gewürm und Tiere auf Erden , ein jegliches nach seiner Art. Und es geschah also .
LUTH1545	1%20Mose	1	25	Und Gott machte die Tiere auf Erden , ein jegliches nach seiner Art , und das Vieh nach seiner Art , und allerlei Gewürm auf Erden nach seiner Art. Und Gott sah , daß es gut war .
LUTH1545	1%20Mose	1	26	Und Gott sprach : Laßt uns Menschen machen , ein Bild , das uns gleich sei , die da herrschen über die Fische im Meer und über die Vögel unter dem Himmel und über das Vieh und über die ganze Erde und über alles Gewürm , das auf Erden kriecht .
LUTH1545	1%20Mose	1	27	Und Gott schuf den Menschen ihm zum Bilde , zum Bilde Gottes schuf er ihn ; und schuf sie einen Mann und ein Weib .
LUTH1545	1%20Mose	1	28	Und Gott segnete sie und sprach zu ihnen : Seid fruchtbar und mehrt euch und füllt die Erde und macht sie euch untertan und herrscht über die Fische im Meer und über die Vögel unter dem Himmel und über alles Getier , das auf Erden kriecht .
LUTH1545	1%20Mose	1	29	Und Gott sprach : Seht da , ich habe euch gegeben allerlei Kraut , das sich besamt , auf der ganzen Erde und allerlei fruchtbare Bäume , die sich besamen , zu eurer Speise ,
LUTH1545	1%20Mose	1	30	und allem Getier auf Erden und allen Vögeln unter dem Himmel und allem Gewürm , das da lebt auf Erden , daß sie allerlei grünes Kraut essen . Und es geschah also .
LUTH1545	1%20Mose	1	31	Und Gott sah alles an , was er gemacht hatte ; und siehe da , es war sehr gut . Da ward aus Abend und Morgen der sechste Tag .
LUTH1545	1%20Mose	2	1	Mose
LUTH1545	1%20Mose	2	2	Und also vollendete Gott am siebenten Tage seine Werke , die er machte , und ruhte am siebenten Tage von allen seinen Werken , die er machte .
LUTH1545	1%20Mose	2	1545	""
LUTH1545	1%20Mose	2	3	Und Gott segnete den siebenten Tag und heiligte ihn , darum daß er an demselben geruht hatte von allen seinen Werken , die Gott schuf und machte .
LUTH1545	1%20Mose	2	4	Also ist Himmel und Erde geworden , da sie geschaffen sind , zu der Zeit , da Gott der HERR Erde und Himmel machte .
LUTH1545	1%20Mose	2	5	Und allerlei Bäume auf dem Felde waren noch nicht auf Erden , und allerlei Kraut auf dem Felde war noch nicht gewachsen ; denn Gott der HERR hatte noch nicht regnen lassen auf Erden , und es war kein Mensch , der das Land baute .
LUTH1545	1%20Mose	2	6	Aber ein Nebel ging auf von der Erde und feuchtete alles Land .
LUTH1545	1%20Mose	2	7	Und Gott der HERR machte den Menschen aus einem Erdenkloß , uns blies ihm ein den lebendigen Odem in seine Nase . Und also ward der Mensch eine lebendige Seele .
LUTH1545	1%20Mose	2	8	Und Gott der HERR pflanzte einen Garten in Eden gegen Morgen und setzte den Menschen hinein , den er gemacht hatte .
