estilo	livro	capitulo	versiculo	texto
NGU-DE	Matthäus	1	1	:
NGU-DE	Matthäus	1	2	bis
NGU-DE	Matthäus	1	3	Juda war der Vater von Perez und Serach ; ihre Mutter war Tamar . Perez war der Vater von Hezron , Hezron der Vater von Ram ,
NGU-DE	Matthäus	1	4	Ram von Amminadab , Amminadab von Nachschon , Nachschon von Salmon
NGU-DE	Matthäus	1	5	und Salmon von Boas ; die Mutter des Boas war Rahab . Boas war der Vater Obeds ; Obeds Mutter war Ruth . Obed war der Vater Isais ,
NGU-DE	Matthäus	1	6	Isai der Vater des Königs David . David war der Vater Salomos ; Salomos Mutter war die Frau des Urija .
NGU-DE	Matthäus	1	7	und
NGU-DE	Matthäus	1	8	) und Amos anstelle von Amon ( Vers
NGU-DE	Matthäus	1	9	Usija von Jotam , Jotam von Ahas , Ahas von Hiskija ,
NGU-DE	Matthäus	1	10	) . - Matthäus
NGU-DE	Matthäus	1	11	Joschija war der Vater Jojachins und seiner Brüder ; damals wurde das Volk nach Babylon in die Verbannung geführt .
NGU-DE	Matthäus	1	12	Nach der Zeit der Verbannung folgte Schealtiel , der Sohn Jojachins . Schealtiel war der Vater von Serubbabel ,
NGU-DE	Matthäus	1	13	Serubbabel der Vater von Abihud , Abihud von Eljakim , Eljakim von Azor ,
NGU-DE	Matthäus	1	14	Azor von Zadok , Zadok von Achim , Achim von Eliud ,
NGU-DE	Matthäus	1	15	Eliud von Eleasar , Eleasar von Mattan und Mattan von Jakob .
NGU-DE	Matthäus	1	16	Od der auch der Messias . - Matthäus
NGU-DE	Matthäus	1	17	Insgesamt sind es also von Abraham bis David vierzehn Generationen , von David bis zur Verbannung nach Babylon wieder vierzehn Generationen und von der Verbannung nach Babylon bis zu Christus noch einmal vierzehn Generationen . Die Geburt Jesu
NGU-DE	Matthäus	1	18	W bevor sie zusammengekommen waren . - Matthäus
NGU-DE	Matthäus	1	19	W Josef , ihr Mann , war gerecht . - Matthäus
NGU-DE	Matthäus	1	20	W Denn das in ihr Gezeugte . - Matthäus
NGU-DE	Matthäus	1	21	W von ihren Sünden retten . Manche Übersetzungen lassen die Rede des Engels erst mit Vers
NGU-DE	Matthäus	1	22	Das alles ist geschehen , weil sich erfüllen sollte , was der Herr durch den Propheten vorausgesagt hatte :
NGU-DE	Matthäus	1	23	Jesaja 7,14 . - Matthäus
NGU-DE	Matthäus	1	24	Als Josef aufwachte , folgte er der Weisung , die ihm der Engel des Herrn gegeben hatte , und nahm Maria als seine Frau zu sich .
NGU-DE	Matthäus	1	25	W Er erkannte sie jedoch nicht .
NGU-DE	Matthäus	2	2	:
NGU-DE	Matthäus	2	3	Als König Herodes das hörte , erschrak er und mit ihm ganz Jerusalem .
NGU-DE	Matthäus	2	4	Od Christus . - Matthäus
NGU-DE	Matthäus	2	5	» In Betlehem in Judäa « , antworteten sie , » denn so ist es in der Schrift durch den Propheten vorausgesagt :
NGU-DE	Matthäus	2	6	W Israel weiden wird . Micha 5,1 . - Matthäus
NGU-DE	Matthäus	2	7	Da rief Herodes die Sterndeuter heimlich zu sich und ließ sich von ihnen den genauen Zeitpunkt angeben , an dem der Stern zum ersten Mal erschienen war .
NGU-DE	Matthäus	2	8	und 11. - Matthäus
NGU-DE	Matthäus	2	9	Od den sie im Osten gesehen hatten . - Matthäus
NGU-DE	Matthäus	2	10	Als sie den Stern sahen , waren sie überglücklich .
NGU-DE	Matthäus	2	11	Sie gingen in das Haus und fanden dort das Kind und seine Mutter Maria . Da warfen sie sich vor ihm nieder und erwiesen ihm Ehre . Dann holten sie die Schätze hervor , die sie mitgebracht hatten , und gaben sie ihm : Gold , Weihrauch und Myrrhe .
NGU-DE	Matthäus	2	12	In einem Traum erhielten sie daraufhin die Weisung , nicht zu Herodes zurückzukehren . Deshalb reisten sie auf einem anderen Weg wieder in ihr Land . Die Flucht nach Ägypten
NGU-DE	Matthäus	2	13	W bis ich es dir sage . - Matthäus
NGU-DE	Matthäus	2	14	Da stand Josef mitten in der Nacht auf und machte sich mit dem Kind und dessen Mutter auf den Weg nach Ägypten .
NGU-DE	Matthäus	2	15	Hosea 11,1 . - Matthäus
NGU-DE	Matthäus	2	16	Als Herodes merkte , dass die Sterndeuter ihn getäuscht hatten , war er außer sich vor Zorn . Er schickte ´ seine Leute` nach Betlehem und ließ in ´ den Familien` der Stadt und der ganzen Umgebung alle Söhne im Alter von zwei Jahren und darunter töten . Das entsprach dem Zeitpunkt , den er von den Sterndeutern in Erfahrung gebracht hatte .
NGU-DE	Matthäus	2	17	Damals erfüllte sich , was durch den Propheten Jeremia vorausgesagt worden war :
NGU-DE	Matthäus	2	18	Jeremia 31,15 . - Matthäus
NGU-DE	Matthäus	2	19	Als Herodes gestorben war , hatte Josef in Ägypten einen Traum ; darin erschien ihm ein Engel des Herrn
