estilo	livro	capitulo	versiculo	texto
NGU-DE	1%20Mose	1	1	""
NGU-DE	1%20Mose	1	2	""
NGU-DE	1%20Mose	1	3	""
NGU-DE	1%20Mose	1	4	""
NGU-DE	1%20Mose	1	5	""
NGU-DE	1%20Mose	1	6	""
NGU-DE	1%20Mose	1	7	""
NGU-DE	1%20Mose	1	8	""
NGU-DE	1%20Mose	1	9	""
NGU-DE	1%20Mose	1	10	""
NGU-DE	1%20Mose	1	11	""
NGU-DE	1%20Mose	1	12	""
NGU-DE	1%20Mose	1	13	""
NGU-DE	1%20Mose	1	14	""
NGU-DE	1%20Mose	1	15	""
NGU-DE	1%20Mose	1	16	""
NGU-DE	1%20Mose	1	17	""
NGU-DE	1%20Mose	1	18	""
NGU-DE	1%20Mose	1	19	""
NGU-DE	1%20Mose	1	20	""
NGU-DE	1%20Mose	1	21	""
NGU-DE	1%20Mose	1	22	&#124; Copyright ©
NGU-DE	1%20Mose	1	23	""
NGU-DE	1%20Mose	1	24	""
NGU-DE	1%20Mose	1	25	""
NGU-DE	1%20Mose	1	26	""
NGU-DE	1%20Mose	1	27	""
NGU-DE	1%20Mose	1	28	&#124; &#124; Römer &#124; &#124;
NGU-DE	1%20Mose	1	29	""
NGU-DE	1%20Mose	1	30	""
NGU-DE	1%20Mose	1	31	""
NGU-DE	1%20Mose	1	32	""
NGU-DE	1%20Mose	1	33	""
NGU-DE	1%20Mose	1	34	""
NGU-DE	1%20Mose	1	35	""
NGU-DE	1%20Mose	1	36	""
NGU-DE	1%20Mose	1	37	""
NGU-DE	1%20Mose	1	38	""
NGU-DE	1%20Mose	1	39	""
NGU-DE	1%20Mose	1	40	""
NGU-DE	1%20Mose	1	41	""
NGU-DE	1%20Mose	1	42	""
NGU-DE	1%20Mose	1	43	""
NGU-DE	1%20Mose	1	44	""
NGU-DE	1%20Mose	1	45	""
NGU-DE	1%20Mose	1	46	""
NGU-DE	1%20Mose	1	47	""
NGU-DE	1%20Mose	1	48	""
NGU-DE	1%20Mose	1	49	""
NGU-DE	1%20Mose	1	50	""
NGU-DE	1%20Mose	1	51	""
NGU-DE	1%20Mose	1	52	""
NGU-DE	1%20Mose	1	53	""
NGU-DE	1%20Mose	1	54	""
NGU-DE	1%20Mose	1	55	""
NGU-DE	1%20Mose	1	56	""
NGU-DE	1%20Mose	1	57	""
NGU-DE	1%20Mose	1	58	""
NGU-DE	1%20Mose	1	59	""
NGU-DE	1%20Mose	1	60	""
NGU-DE	1%20Mose	1	61	""
NGU-DE	1%20Mose	1	62	""
NGU-DE	1%20Mose	1	63	""
NGU-DE	1%20Mose	1	64	""
NGU-DE	1%20Mose	1	65	""
NGU-DE	1%20Mose	1	66	""
NGU-DE	1%20Mose	1	67	""
NGU-DE	1%20Mose	1	68	""
NGU-DE	1%20Mose	1	69	""
NGU-DE	1%20Mose	1	70	""
NGU-DE	1%20Mose	1	71	""
NGU-DE	1%20Mose	1	72	""
NGU-DE	1%20Mose	1	73	""
NGU-DE	1%20Mose	1	74	""
NGU-DE	1%20Mose	1	75	""
NGU-DE	1%20Mose	1	76	""
NGU-DE	1%20Mose	1	77	""
NGU-DE	1%20Mose	1	78	""
NGU-DE	1%20Mose	1	79	""
NGU-DE	1%20Mose	1	80	""
NGU-DE	1%20Mose	1	81	""
NGU-DE	1%20Mose	1	82	""
NGU-DE	1%20Mose	1	83	""
NGU-DE	1%20Mose	1	84	""
NGU-DE	1%20Mose	1	85	""
NGU-DE	1%20Mose	1	86	""
NGU-DE	1%20Mose	1	87	""
NGU-DE	1%20Mose	1	88	""
NGU-DE	1%20Mose	1	89	""
NGU-DE	1%20Mose	1	90	""
NGU-DE	1%20Mose	1	91	""
NGU-DE	1%20Mose	1	92	""
NGU-DE	1%20Mose	1	93	""
NGU-DE	1%20Mose	1	94	""
NGU-DE	1%20Mose	1	95	""
NGU-DE	1%20Mose	1	96	""
NGU-DE	1%20Mose	1	97	""
NGU-DE	1%20Mose	1	98	""
NGU-DE	1%20Mose	1	99	""
NGU-DE	1%20Mose	1	100	""
NGU-DE	1%20Mose	1	101	""
NGU-DE	1%20Mose	1	102	""
NGU-DE	1%20Mose	1	103	""
NGU-DE	1%20Mose	1	104	""
NGU-DE	1%20Mose	1	105	""
NGU-DE	1%20Mose	1	106	""
NGU-DE	1%20Mose	1	107	""
NGU-DE	1%20Mose	1	108	""
NGU-DE	1%20Mose	1	109	""
NGU-DE	1%20Mose	1	110	""
NGU-DE	1%20Mose	1	111	""
NGU-DE	1%20Mose	1	112	""
NGU-DE	1%20Mose	1	113	""
NGU-DE	1%20Mose	1	114	""
NGU-DE	1%20Mose	1	115	""
NGU-DE	1%20Mose	1	116	""
NGU-DE	1%20Mose	1	117	""
NGU-DE	1%20Mose	1	118	""
NGU-DE	1%20Mose	1	119	""
NGU-DE	1%20Mose	1	120	""
NGU-DE	1%20Mose	1	121	""
NGU-DE	1%20Mose	1	122	""
NGU-DE	1%20Mose	1	123	""
NGU-DE	1%20Mose	1	124	""
NGU-DE	1%20Mose	1	125	""
NGU-DE	1%20Mose	1	126	""
NGU-DE	1%20Mose	1	127	""
NGU-DE	1%20Mose	1	128	""
NGU-DE	1%20Mose	1	129	""
NGU-DE	1%20Mose	1	130	""
NGU-DE	1%20Mose	1	131	""
NGU-DE	1%20Mose	1	132	""
NGU-DE	1%20Mose	1	133	""
NGU-DE	1%20Mose	1	134	""
NGU-DE	1%20Mose	1	135	""
NGU-DE	1%20Mose	1	136	""
NGU-DE	1%20Mose	1	137	""
NGU-DE	1%20Mose	1	138	""
NGU-DE	1%20Mose	1	139	""
NGU-DE	1%20Mose	1	140	""
NGU-DE	1%20Mose	1	141	""
