estilo	livro	capitulo	versiculo	texto
AMPC	Matthew	1	1	The book of the ancestry ( genealogy ) of Jesus Christ ( the Messiah , the Anointed ) , the son ( descendant ) of David , the son ( descendant ) of Abraham . ( A )
AMPC	Matthew	1	2	Abraham was the father of Isaac , Isaac the father of Jacob , Jacob the father of Judah and his brothers ,
AMPC	Matthew	1	3	Judah the father of Perez and Zerah , whose mother was Tamar , Perez the father of Hezron , Hezron the father of Aram ,
AMPC	Matthew	1	4	Aram the father of Aminadab , Aminadab the father of Nahshon , Nahshon the father of Salmon ,
AMPC	Matthew	1	5	Salmon the father of Boaz , whose mother was Rahab , Boaz the father of Obed , whose mother was Ruth , Obed the father of Jesse ,
AMPC	Matthew	1	6	Jesse the father of King David , King David the father of Solomon , whose mother had been the wife of Uriah , ( B )
AMPC	Matthew	1	7	Solomon the father of Rehoboam , Rehoboam the father of Abijah , Abijah the father of Asa ,
AMPC	Matthew	1	8	Asa the father of Jehoshaphat , Jehoshaphat the father of Joram [ Jehoram ] , Joram the father of Uzziah ,
AMPC	Matthew	1	9	Uzziah the father of Jotham , Jotham the father of Ahaz , Ahaz the father of Hezekiah ,
AMPC	Matthew	1	10	Hezekiah the father of Manasseh , Manasseh the father of Amon , Amon the father of Josiah ,
AMPC	Matthew	1	11	And Josiah became the father of Jeconiah [ also called Coniah and Jehoiachin ] and his brothers about the time of the removal ( deportation ) to Babylon . ( C )
AMPC	Matthew	1	12	After the exile to Babylon , Jeconiah became the father of Shealtiel [ Salathiel ] , Shealtiel the father of Zerubbabel ,
AMPC	Matthew	1	13	Zerubbabel the father of Abiud , Abiud the father of Eliakim , Eliakim the father of Azor ,
AMPC	Matthew	1	14	Azor the father of Sadoc , Sadoc the father of Achim , Achim the father of Eliud ,
AMPC	Matthew	1	15	Eliud the father of Eleazar , Eleazar the father of Matthan , Matthan the father of Jacob ,
AMPC	Matthew	1	16	Jacob the father of Joseph , the husband of Mary , of whom was born Jesus , Who is called the Christ . ( the Messiah , the Anointed )
AMPC	Matthew	1	17	So all the generations from Abraham to David are fourteen , from David to the Babylonian exile ( deportation ) fourteen generations , from the Babylonian exile to the Christ fourteen generations .
AMPC	Matthew	1	18	Now the birth of Jesus Christ took place under these circumstances : When His mother Mary had been promised in marriage to Joseph , before they came together , she was found to be pregnant [ through the power ] of the Holy Spirit .
