estilo	livro	capitulo	versiculo	texto
CEB	Matthew	1	1	A record of the ancestors of Jesus Christ , son of David , son of Abraham :
CEB	Matthew	1	2	Abraham was the father of Isaac . Isaac was the father of Jacob . Jacob was the father of Judah and his brothers .
CEB	Matthew	1	3	Judah was the father of Perez and Zerah , whose mother was Tamar . Perez was the father of Hezron . Hezron was the father of Aram .
CEB	Matthew	1	4	Aram was the father of Amminadab . Amminadab was the father of Nahshon . Nahshon was the father of Salmon .
CEB	Matthew	1	5	Salmon was the father of Boaz , whose mother was Rahab . Boaz was the father of Obed , whose mother was Ruth . Obed was the father of Jesse .
CEB	Matthew	1	6	Jesse was the father of David the king . David was the father of Solomon , whose mother had been the wife of Uriah .
CEB	Matthew	1	7	Solomon was the father of Rehoboam . Rehoboam was the father of Abijah . Abijah was the father of Asaph .
CEB	Matthew	1	8	Asaph was the father of Jehoshaphat . Jehoshaphat was the father of Joram . Joram was the father of Uzziah .
CEB	Matthew	1	9	Uzziah was the father of Jotham . Jotham was the father of Ahaz . Ahaz was the father of Hezekiah .
CEB	Matthew	1	10	Hezekiah was the father of Manasseh . Manasseh was the father of Amos . Amos was the father of Josiah .
CEB	Matthew	1	11	Josiah was the father of Jechoniah and his brothers . This was at the time of the exile to Babylon .
CEB	Matthew	1	12	After the exile to Babylon : Jechoniah was the father of Shealtiel . Shealtiel was the father of Zerubbabel .
CEB	Matthew	1	13	Zerubbabel was the father of Abiud . Abiud was the father of Eliakim . Eliakim was the father of Azor .
CEB	Matthew	1	14	Azor was the father of Zadok . Zadok was the father of Achim . Achim was the father of Eliud .
CEB	Matthew	1	15	Eliud was the father of Eleazar . Eleazar was the father of Matthan . Matthan was the father of Jacob .
CEB	Matthew	1	16	Jacob was the father of Joseph , the husband of Mary—of whom Jesus was born , who is called the Christ .
CEB	Matthew	1	17	So there were fourteen generations from Abraham to David , fourteen generations from David to the exile to Babylon , and fourteen generations from the exile to Babylon to the Christ . Birth of Jesus
CEB	Matthew	1	18	This is how the birth of Jesus Christ took place . When Mary his mother was engaged to Joseph , before they were married , she became pregnant by the Holy Spirit .
CEB	Matthew	1	19	Joseph her husband was a righteous man . Because he didn ’ t want to humiliate her , he decided to call off their engagement quietly .
CEB	Matthew	1	20	As he was thinking about this , an angel from the Lord appeared to him in a dream and said , “ Joseph son of David , don ’ t be afraid to take Mary as your wife , because the child she carries was conceived by the Holy Spirit .
CEB	Matthew	1	21	She will give birth to a son , and you will call him Jesus , because he will save his people from their sins. ”
CEB	Matthew	1	22	Now all of this took place so that what the Lord had spoken through the prophet would be fulfilled :
CEB	Matthew	1	23	Look ! A virgin will become pregnant and give birth to a son , And they will call him , Emmanuel . [ a ] ( Emmanuel means “ God with us. ” )
CEB	Matthew	1	24	When Joseph woke up , he did just as an angel from God commanded and took Mary as his wife .
CEB	Matthew	1	25	But he didn ’ t have sexual relations with her until she gave birth to a son . Joseph called him Jesus .
CEB	Matthew	2	2	They asked , “ Where is the newborn king of the Jews ? We ’ ve seen his star in the east , and we ’ ve come to honor him. ”
CEB	Matthew	2	3	When King Herod heard this , he was troubled , and everyone in Jerusalem was troubled with him .
CEB	Matthew	2	4	He gathered all the chief priests and the legal experts and asked them where the Christ was to be born .
CEB	Matthew	2	5	They said , “ In Bethlehem of Judea , for this is what the prophet wrote :
CEB	Matthew	2	6	You , Bethlehem , land of Judah , by no means are you least among the rulers of Judah , because from you will come one who governs , who will shepherd my people Israel. ” [ a ]
CEB	Matthew	2	7	Then Herod secretly called for the magi and found out from them the time when the star had first appeared .
CEB	Matthew	2	8	He sent them to Bethlehem , saying , “ Go and search carefully for the child . When you ’ ve found him , report to me so that I too may go and honor him. ”
CEB	Matthew	2	9	When they heard the king , they went ; and look , the star they had seen in the east went ahead of them until it stood over the place where the child was .
CEB	Matthew	2	10	When they saw the star , they were filled with joy .
CEB	Matthew	2	11	They entered the house and saw the child with Mary his mother . Falling to their knees , they honored him . Then they opened their treasure chests and presented him with gifts of gold , frankincense , and myrrh .
