estilo	livro	capitulo	versiculo	texto
CEB	Genesis	1	1	When God began to create [ a ] the heavens and the earth—
CEB	Genesis	1	2	the earth was without shape or form , it was dark over the deep sea , and God ’ s wind swept over the waters—
CEB	Genesis	1	3	God said , “ Let there be light. ” And so light appeared .
CEB	Genesis	1	4	God saw how good the light was . God separated the light from the darkness .
CEB	Genesis	1	5	God named the light Day and the darkness Night . There was evening and there was morning : the first day .
CEB	Genesis	1	6	God said , “ Let there be a dome in the middle of the waters to separate the waters from each other. ”
CEB	Genesis	1	7	God made the dome and separated the waters under the dome from the waters above the dome . And it happened in that way .
CEB	Genesis	1	8	God named the dome Sky . There was evening and there was morning : the second day .
CEB	Genesis	1	9	God said , “ Let the waters under the sky come together into one place so that the dry land can appear. ” And that ’ s what happened .
CEB	Genesis	1	10	God named the dry land Earth , and he named the gathered waters Seas . God saw how good it was .
CEB	Genesis	1	11	God said , “ Let the earth grow plant life : plants yielding seeds and fruit trees bearing fruit with seeds inside it , each according to its kind throughout the earth. ” And that ’ s what happened .
CEB	Genesis	1	12	The earth produced plant life : plants yielding seeds , each according to its kind , and trees bearing fruit with seeds inside it , each according to its kind . God saw how good it was .
CEB	Genesis	1	13	There was evening and there was morning : the third day .
CEB	Genesis	1	14	God said , “ Let there be lights in the dome of the sky to separate the day from the night . They will mark events , sacred seasons , days , and years .
CEB	Genesis	1	15	They will be lights in the dome of the sky to shine on the earth. ” And that ’ s what happened .
CEB	Genesis	1	16	God made the stars and two great lights : the larger light to rule over the day and the smaller light to rule over the night .
CEB	Genesis	1	17	God put them in the dome of the sky to shine on the earth ,
CEB	Genesis	1	18	to rule over the day and over the night , and to separate the light from the darkness . God saw how good it was .
CEB	Genesis	1	19	There was evening and there was morning : the fourth day .
CEB	Genesis	1	20	God said , “ Let the waters swarm with living things , and let birds fly above the earth up in the dome of the sky. ”
CEB	Genesis	1	21	God created the great sea animals and all the tiny living things that swarm in the waters , each according to its kind , and all the winged birds , each according to its kind . God saw how good it was .
CEB	Genesis	1	22	Then God blessed them : “ Be fertile and multiply and fill the waters in the seas , and let the birds multiply on the earth. ”
CEB	Genesis	1	23	There was evening and there was morning : the fifth day .
CEB	Genesis	1	24	God said , “ Let the earth produce every kind of living thing : livestock , crawling things , and wildlife. ” And that ’ s what happened .
CEB	Genesis	1	25	God made every kind of wildlife , every kind of livestock , and every kind of creature that crawls on the ground . God saw how good it was .
CEB	Genesis	1	26	Then God said , “ Let us make humanity in our image to resemble us so that they may take charge of the fish of the sea , the birds in the sky , the livestock , all the earth , and all the crawling things on earth. ”
CEB	Genesis	1	27	God created humanity in God ’ s own image , in the divine image God created them , [ b ] male and female God created them .
CEB	Genesis	1	28	God blessed them and said to them , “ Be fertile and multiply ; fill the earth and master it . Take charge of the fish of the sea , the birds in the sky , and everything crawling on the ground. ”
CEB	Genesis	1	29	Then God said , “ I now give to you all the plants on the earth that yield seeds and all the trees whose fruit produces its seeds within it . These will be your food .
CEB	Genesis	1	30	To all wildlife , to all the birds in the sky , and to everything crawling on the ground—to everything that breathes—I give all the green grasses for food. ” And that ’ s what happened .
CEB	Genesis	1	31	God saw everything he had made : it was supremely good . There was evening and there was morning : the sixth day . Footnotes - Genesis 1:1 Or In the beginning , God created - Genesis 1:27 Heb has singular him , referring to humanity .
CEB	Genesis	2	2	On the sixth [ a ] day God completed all the work that he had done , and on the seventh day God rested from all the work that he had done .
CEB	Genesis	2	3	God blessed the seventh day and made it holy , because on it God rested from all the work of creation . [ b ]
CEB	Genesis	2	4	This is the account of the heavens and the earth when they were created . World ’ s creation in the garden On the day the Lord God made earth and sky—
CEB	Genesis	2	5	before any wild plants appeared on the earth , and before any field crops grew , because the Lord God hadn ’ t yet sent rain on the earth and there was still no human being [ c ] to farm the fertile land ,
CEB	Genesis	2	6	though a stream rose from the earth and watered all of the fertile land—
CEB	Genesis	2	7	the Lord God formed the human [ d ] from the topsoil of the fertile land [ e ] and blew life ’ s breath into his nostrils . The human came to life .
CEB	Genesis	2	8	The Lord God planted a garden in Eden in the east and put there the human he had formed .
CEB	Genesis	2	9	In the fertile land , the Lord God grew every beautiful tree with edible fruit , and also he grew the tree of life in the middle of the garden and the tree of the knowledge of good and evil .
CEB	Genesis	2	10	A river flows from Eden to water the garden , and from there it divides into four headwaters .
CEB	Genesis	2	11	The name of the first river is the Pishon . It flows around the entire land of Havilah , where there is gold .
CEB	Genesis	2	12	That land ’ s gold is pure , and the land also has sweet-smelling resins and gemstones . [ f ]
CEB	Genesis	2	13	The name of the second river is the Gihon . It flows around the entire land of Cush .
CEB	Genesis	2	14	The name of the third river is the Tigris , flowing east of Assyria ; and the name of the fourth river is the Euphrates .
CEB	Genesis	2	15	The Lord God took the human and settled him in the garden of Eden to farm it and to take care of it .
CEB	Genesis	2	16	The Lord God commanded the human , “ Eat your fill from all of the garden ’ s trees ;
CEB	Genesis	2	17	but don ’ t eat from the tree of the knowledge of good and evil , because on the day you eat from it , you will die ! ”
CEB	Genesis	2	18	Then the Lord God said , “ It ’ s not good that the human is alone . I will make him a helper that is perfect for him. ”
CEB	Genesis	2	19	So the Lord God formed from the fertile land all the wild animals and all the birds in the sky and brought them to the human to see what he would name them . The human gave each living being its name .
CEB	Genesis	2	20	The human named all the livestock , all the birds in the sky , and all the wild animals . But a helper perfect for him was nowhere to be found .
CEB	Genesis	2	21	So the Lord God put the human into a deep and heavy sleep , and took one of his ribs and closed up the flesh over it .
CEB	Genesis	2	22	With the rib taken from the human , the Lord God fashioned a woman and brought her to the human being .
CEB	Genesis	2	23	The human [ g ] said , “ This one finally is bone from my bones and flesh from my flesh . She will be called a woman [ h ] because from a man [ i ] she was taken. ”
CEB	Genesis	2	24	This is the reason that a man leaves his father and mother and embraces his wife , and they become one flesh .
CEB	Genesis	2	25	The two of them were naked , the man and his wife , but they weren ’ t embarrassed . Footnotes - Genesis 2:2 LXX , Sam , Syr ; MT seventh - Genesis 2:3 Or from all his work , which God created to do - Genesis 2:5 Or man ( Heb adam ) - Genesis 2:7 Heb adam - Genesis 2:7 Heb adamah - Genesis 2:12 Heb uncertain - Genesis 2:23 Or man ( Heb adam ) - Genesis 2:23 Or wife ( Heb ishshah ) - Genesis 2:23 Or husband ( Heb ish )
CEB	Genesis	3	3	but not the fruit of the tree in the middle of the garden . God said , ‘ Don ’ t eat from it , and don ’ t touch it , or you will die. ’ ”
CEB	Genesis	3	2	The woman said to the snake , “ We may eat the fruit of the garden ’ s trees
CEB	Genesis	3	4	The snake said to the woman , “ You won ’ t die !
CEB	Genesis	3	5	God knows that on the day you eat from it , you will see clearly and you will be like God , knowing good and evil. ”
CEB	Genesis	3	6	The woman saw that the tree was beautiful with delicious food and that the tree would provide wisdom , so she took some of its fruit and ate it , and also gave some to her husband , who was with her , and he ate it .
CEB	Genesis	3	7	Then they both saw clearly and knew that they were naked . So they sewed fig leaves together and made garments for themselves .
CEB	Genesis	3	8	During that day ’ s cool evening breeze , they heard the sound of the Lord God walking in the garden ; and the man and his wife hid themselves from the Lord God in the middle of the garden ’ s trees .
CEB	Genesis	3	9	The Lord God called to the man and said to him , “ Where are you ? ”
CEB	Genesis	3	10	The man [ b ] replied , “ I heard your sound in the garden ; I was afraid because I was naked , and I hid myself. ”
CEB	Genesis	3	11	He said , “ Who told you that you were naked ? Did you eat from the tree , which I commanded you not to eat ? ”
CEB	Genesis	3	12	The man said , “ The woman you gave me , she gave me some fruit [ c ] from the tree , and I ate. ”
CEB	Genesis	3	13	The Lord God said to the woman , “ What have you done ? ! ” And the woman said , “ The snake tricked me , and I ate. ”
CEB	Genesis	3	14	The Lord God said to the snake , “ Because you did this , you are the one cursed out of all the farm animals , out of all the wild animals . On your belly you will crawl , and dust you will eat every day of your life .
CEB	Genesis	3	15	I will put contempt between you and the woman , between your offspring and hers . They will strike your head , but you will strike at their heels. ”
CEB	Genesis	3	16	To the woman he said , “ I will make your pregnancy very painful ; in pain you will bear children . You will desire your husband , but he will rule over you. ”
CEB	Genesis	3	17	To the man he said , “ Because you listened to your wife ’ s voice and you ate from the tree that I commanded , ‘ Don ’ t eat from it , ’ cursed is the fertile land because of you ; in pain you will eat from it every day of your life .
CEB	Genesis	3	18	Weeds and thistles will grow for you , even as you eat the field ’ s plants ;
CEB	Genesis	3	19	by the sweat of your face you will eat bread— until you return to the fertile land , since from it you were taken ; you are soil , to the soil you will return. ”
CEB	Genesis	3	20	The man named his wife Eve [ d ] because she is the mother of everyone who lives .
CEB	Genesis	3	21	The Lord God made the man and his wife leather clothes and dressed them .
CEB	Genesis	3	22	The Lord God said , “ The human being [ e ] has now become like one of us , knowing good and evil. ” Now , so he doesn ’ t stretch out his hand and take also from the tree of life and eat and live forever ,
CEB	Genesis	3	23	the Lord God sent him out of the garden of Eden to farm the fertile land from which he was taken .
CEB	Genesis	3	24	He drove out the human . To the east of the garden of Eden , he stationed winged creatures wielding flaming swords to guard the way to the tree of life . Footnotes - Genesis 3:1 Heb sounds like naked . - Genesis 3:10 Or He - Genesis 3:12 Heb lacks some fruit . - Genesis 3:20 Heb sounds like live . - Genesis 3:22 Or man ( Heb adam )
CEB	Genesis	4	4	while Abel presented his flock ’ s oldest offspring with their fat . The Lord looked favorably on Abel and his sacrifice
CEB	Genesis	4	2	She gave birth a second time to Cain ’ s brother Abel . Abel cared for the flocks , and Cain farmed the fertile land .
CEB	Genesis	4	3	Some time later , Cain presented an offering to the Lord from the land ’ s crops
CEB	Genesis	4	5	but didn ’ t look favorably on Cain and his sacrifice . Cain became very angry and looked resentful .
CEB	Genesis	4	6	The Lord said to Cain , “ Why are you angry , and why do you look so resentful ?
CEB	Genesis	4	7	If you do the right thing , won ’ t you be accepted ? But if you don ’ t do the right thing , sin will be waiting at the door ready to strike ! It will entice you , but you must rule over it. ”
CEB	Genesis	4	8	Cain said to his brother Abel , “ Let ’ s go out to the field. ” [ b ] When they were in the field , Cain attacked his brother Abel and killed him .
CEB	Genesis	4	9	The Lord said to Cain , “ Where is your brother Abel ? ” Cain said , “ I don ’ t know . Am I my brother ’ s guardian ? ”
CEB	Genesis	4	10	The Lord said , “ What did you do ? The voice of your brother ’ s blood is crying to me from the ground .
CEB	Genesis	4	11	You are now cursed from the ground that opened its mouth to take your brother ’ s blood from your hand .
CEB	Genesis	4	12	When you farm the fertile land , it will no longer grow anything for you , and you will become a roving nomad on the earth. ”
CEB	Genesis	4	13	Cain said to the Lord , “ My punishment is more than I can bear .
