estilo	livro	capitulo	versiculo	texto
CEV	Matthew	1	1	Jesus Christ came from the family of King David and also from the family of Abraham . And this is a list of his ancestors . Abraham , Isaac , Jacob , Judah and his brothers ( Judah 's sons were Perez and Zerah , and their mother was Tamar ) , Hezron ; Ram , Amminadab , Nahshon , Salmon , Boaz ( his mother was Rahab ) , Obed ( his mother was Ruth ) , Jesse , and King David . David , Solomon ( his mother had been Uriah 's wife ) , Rehoboam , Abijah , Asa , Jehoshaphat , Jehoram ; Uzziah , Jotham , Ahaz , Hezekiah , Manasseh , Amon , Josiah , and Jehoiachin and his brothers . 12-16 From the exile to the birth of Jesus , his ancestors were : Jehoiachin , Shealtiel , Zerubbabel , Abiud , Eliakim , Azor , Zadok , Achim ; Eliud , Eleazar , Matthan , Jacob , and Joseph , the husband of Mary , the mother of Jesus , who is called the Messiah .
CEV	Matthew	1	17	There were
CEV	Matthew	1	14	more to the birth of the Messiah . The Birth of Jesus ( Luke 2.1-7 )
CEV	Matthew	1	18	( B ) This is how Jesus Christ was born . A young woman named Mary was engaged to Joseph from King David 's family . But before they were married , she learned that she was going to have a baby by God 's Holy Spirit .
CEV	Matthew	1	19	Joseph was a good man [ a ] and did not want to embarrass Mary in front of everyone . So he decided to quietly call off the wedding .
CEV	Matthew	1	20	While Joseph was thinking about this , an angel from the Lord appeared to him in a dream . The angel said , “ Joseph , the baby that Mary will have is from the Holy Spirit . Go ahead and marry her .
CEV	Matthew	1	21	( C ) Then after her baby is born , name him Jesus , [ b ] because he will save his people from their sins. ”
CEV	Matthew	1	22	So the Lord 's promise came true , just as the prophet had said ,
CEV	Matthew	1	23	( D ) “ A virgin will have a baby boy , and he will be called Immanuel , ” which means “ God is with us. ”
CEV	Matthew	1	24	After Joseph woke up , he and Mary were soon married , just as the Lord 's angel had told him to do .
CEV	Matthew	1	25	( E ) But they did not sleep together before her baby was born . Then Joseph named him Jesus . Copyright ©
CEV	Matthew	1	1995	by American Bible Society For more information about CEV , visit www.bibles.com and www.cev.bible .
CEV	Matthew	2	2	and said , “ Where is the child born to be king of the Jews ? We saw his star in the east [ b ] and have come to worship him. ”
CEV	Matthew	2	3	When King Herod heard about this , he was worried , and so was everyone else in Jerusalem .
CEV	Matthew	2	4	Herod brought together the chief priests and the teachers of the Law of Moses and asked them , “ Where will the Messiah be born ? ”
CEV	Matthew	2	5	They told him , “ He will be born in Bethlehem , just as the prophet wrote ,
CEV	Matthew	2	6	( A ) ‘ Bethlehem in the land of Judea , you are very important among the towns of Judea . From your town will come a leader , who will be like a shepherd for my people Israel. ’ ”
CEV	Matthew	2	7	Herod secretly called in the wise men and asked them when they had first seen the star .
CEV	Matthew	2	8	He told them , “ Go to Bethlehem and search carefully for the child . As soon as you find him , let me know . I also want to go and worship him. ”
CEV	Matthew	2	9	The wise men listened to what the king said and then left . And the star they had seen in the east went on ahead of them until it stopped over the place where the child was .
CEV	Matthew	2	10	They were thrilled and excited to see the star .
CEV	Matthew	2	11	When the men went into the house and saw the child with Mary , his mother , they knelt down and worshiped him . They took out their gifts of gold , frankincense , and myrrh [ c ] and gave them to him .
CEV	Matthew	2	12	Later they were warned in a dream not to return to Herod , and they went back home by another road . The Escape to Egypt
CEV	Matthew	2	13	After the wise men had gone , an angel from the Lord appeared to Joseph in a dream and said , “ Get up ! Hurry and take the child and his mother to Egypt ! Stay there until I tell you to return , because Herod is looking for the child and wants to kill him. ”
CEV	Matthew	2	14	That night , Joseph got up and took his wife and the child to Egypt ,
CEV	Matthew	2	15	( B ) where they stayed until Herod died . So the Lord 's promise came true , just as the prophet had said , “ I called my son out of Egypt. ” The Killing of the Children
CEV	Matthew	2	16	When Herod found out that the wise men from the east had tricked him , he was very angry . He gave orders for his men to kill all the boys who lived in or near Bethlehem and were two years old and younger . This was based on what he had learned from the wise men .
CEV	Matthew	2	17	So the Lord 's promise came true , just as the prophet Jeremiah had said ,
CEV	Matthew	2	18	( C ) “ In Ramah a voice was heard crying and weeping loudly . Rachel was mourning for her children , and she refused to be comforted , because they were dead. ” The Return from Egypt
CEV	Matthew	2	19	After King Herod died , an angel from the Lord appeared in a dream to Joseph while he was still in Egypt .
CEV	Matthew	2	20	The angel said , “ Get up and take the child and his mother back to Israel . The people who wanted to kill him are now dead. ”
CEV	Matthew	2	21	Joseph got up and left with them for Israel .
CEV	Matthew	2	22	But when he heard that Herod 's son Archelaus was now ruler of Judea , he was afraid to go there . Then in a dream he was told to go to Galilee ,
CEV	Matthew	2	23	( D ) and they went to live there in the town of Nazareth . So the Lord 's promise came true , just as the prophet had said , “ He will be called a Nazarene. ” [ d ] Footnotes - 2.1 wise men : People famous for studying the stars . - 2.2 his star in the east : Or “ his star rise. ” - 2.11 frankincense , and myrrh : Frankincense was a valuable powder that was burned to make a sweet smell . Myrrh was a valuable sweet-smelling powder often used in perfume . - 2.23 He will be called a Nazarene : The prophet who said this is not known . Copyright ©
CEV	Matthew	2	1995	by American Bible Society For more information about CEV , visit www.bibles.com and www.cev.bible .
CEV	Matthew	3	3	( B ) John was the one the prophet Isaiah was talking about , when he said , “ In the desert someone is shouting , ‘ Get the road ready for the Lord ! Make a straight path for him. ’ ”
CEV	Matthew	3	2	( A ) He said , “ Turn back to God ! The kingdom of heaven [ a ] will soon be here. ” [ b ]
CEV	Matthew	3	4	( C ) John wore clothes made of camel 's hair . He had a leather strap around his waist and ate grasshoppers and wild honey .
CEV	Matthew	3	5	From Jerusalem and all Judea and from the Jordan River Valley crowds of people went to John .
CEV	Matthew	3	6	They told how sorry they were for their sins , and he baptized them in the river .
CEV	Matthew	3	7	( D ) Many Pharisees and Sadducees also came to be baptized . But John said to them : You bunch of snakes ! Who warned you to run from the coming judgment ?
CEV	Matthew	3	8	Do something to show you have really given up your sins .
CEV	Matthew	3	9	( E ) And do n't start telling yourselves that you belong to Abraham 's family . I tell you that God can turn these stones into children for Abraham .
CEV	Matthew	3	10	( F ) An ax is ready to cut the trees down at their roots . Any tree that does n't produce good fruit will be chopped down and thrown into a fire .
CEV	Matthew	3	11	I baptize you with water so you will give up your sins . [ c ] But someone more powerful is going to come , and I am not good enough even to carry his sandals . [ d ] He will baptize you with the Holy Spirit and with fire .
CEV	Matthew	3	12	( G ) His threshing fork is in his hand , and he is ready to separate the wheat from the husks . [ e ] He will store the wheat in a barn and burn the husks in a fire that never goes out . The Baptism of Jesus ( Mark 1.9-11 ; Luke 3.21,22 )
CEV	Matthew	3	13	Jesus left Galilee and went to the Jordan River to be baptized by John .
CEV	Matthew	3	14	But John kept objecting and said , “ I ought to be baptized by you . Why have you come to me ? ”
