estilo	livro	capitulo	versiculo	texto
CJB	Genesis	1	1	In the beginning God created the heavens and the earth .
CJB	Genesis	1	2	The earth was unformed and void , darkness was on the face of the deep , and the Spirit of God hovered over the surface of the water .
CJB	Genesis	1	3	Then God said , “ Let there be light ” ; and there was light .
CJB	Genesis	1	4	God saw that the light was good , and God divided the light from the darkness .
CJB	Genesis	1	5	God called the light Day , and the darkness he called Night . So there was evening , and there was morning , one day .
CJB	Genesis	1	6	God said , “ Let there be a dome in the middle of the water ; let it divide the water from the water. ”
CJB	Genesis	1	7	God made the dome and divided the water under the dome from the water above the dome ; that is how it was ,
CJB	Genesis	1	8	and God called the dome Sky . So there was evening , and there was morning , a second day .
CJB	Genesis	1	9	God said , “ Let the water under the sky be gathered together into one place , and let dry land appear , ” and that is how it was .
CJB	Genesis	1	10	God called the dry land Earth , the gathering together of the water he called Seas , and God saw that it was good .
CJB	Genesis	1	11	God said , “ Let the earth put forth grass , seed-producing plants , and fruit trees , each yielding its own kind of seed-bearing fruit , on the earth ” ; and that is how it was .
CJB	Genesis	1	12	The earth brought forth grass , plants each yielding its own kind of seed , and trees each producing its own kind of seed-bearing fruit ; and God saw that it was good .
CJB	Genesis	1	13	So there was evening , and there was morning , a third day . ( A : ii )
CJB	Genesis	1	14	God said , “ Let there be lights in the dome of the sky to divide the day from the night ; let them be for signs , seasons , days and years ;
CJB	Genesis	1	15	and let them be for lights in the dome of the sky to give light to the earth ” ; and that is how it was .
CJB	Genesis	1	16	God made the two great lights — the larger light to rule the day and the smaller light to rule the night — and the stars .
CJB	Genesis	1	17	God put them in the dome of the sky to give light to the earth ,
CJB	Genesis	1	18	to rule over the day and over the night , and to divide the light from the darkness ; and God saw that it was good .
CJB	Genesis	1	19	So there was evening , and there was morning , a fourth day .
CJB	Genesis	1	20	God said , “ Let the water swarm with swarms of living creatures , and let birds fly above the earth in the open dome of the sky. ”
CJB	Genesis	1	21	God created the great sea creatures and every living thing that creeps , so that the water swarmed with all kinds of them , and there was every kind of winged bird ; and God saw that it was good .
CJB	Genesis	1	22	Then God blessed them , saying , “ Be fruitful , multiply and fill the water of the seas , and let birds multiply on the earth. ”
CJB	Genesis	1	23	So there was evening , and there was morning , a fifth day . ( A : iii )
CJB	Genesis	1	24	God said , “ Let the earth bring forth each kind of living creature — each kind of livestock , crawling animal and wild beast ” ; and that is how it was .
CJB	Genesis	1	25	God made each kind of wild beast , each kind of livestock and every kind of animal that crawls along the ground ; and God saw that it was good .
CJB	Genesis	1	26	Then God said , “ Let us make humankind in our image , in the likeness of ourselves ; and let them rule over the fish in the sea , the birds in the air , the animals , and over all the earth , and over every crawling creature that crawls on the earth. ”
CJB	Genesis	1	27	So God created humankind in his own image ; in the image of God he created him : male and female he created them .
CJB	Genesis	1	28	God blessed them : God said to them , “ Be fruitful , multiply , fill the earth and subdue it . Rule over the fish in the sea , the birds in the air and every living creature that crawls on the earth. ”
CJB	Genesis	1	29	Then God said , “ Here ! Throughout the whole earth I am giving you as food every seed-bearing plant and every tree with seed-bearing fruit .
CJB	Genesis	1	30	And to every wild animal , bird in the air and creature crawling on the earth , in which there is a living soul , I am giving as food every kind of green plant. ” And that is how it was .
CJB	Genesis	1	31	God saw everything that he had made , and indeed it was very good . So there was evening , and there was morning , a sixth day .
CJB	Genesis	2	2	On the seventh day God was finished with his work which he had made , so he rested on the seventh day from all his work which he had made .
CJB	Genesis	2	3	God blessed the seventh day and separated it as holy ; because on that day God rested from all his work which he had created , so that it itself could produce . ( A : iv , S : ii )
CJB	Genesis	2	4	Here is the history of the heavens and the earth when they were created . On the day when Adonai , God , made earth and heaven ,
CJB	Genesis	2	5	there was as yet no wild bush on the earth , and no wild plant had as yet sprung up ; for Adonai , God , had not caused it to rain on the earth , and there was no one to cultivate the ground .
CJB	Genesis	2	6	Rather , a mist went up from the earth which watered the entire surface of the ground .
CJB	Genesis	2	7	Then Adonai , God , formed a person [ a ] from the dust of the ground [ b ] and breathed into his nostrils the breath of life , so that he became a living being .
CJB	Genesis	2	8	Adonai , God , planted a garden toward the east , in ‘ Eden , and there he put the person whom he had formed .
CJB	Genesis	2	9	Out of the ground Adonai , God , caused to grow every tree pleasing in appearance and good for food , including the tree of life in the middle of the garden and the tree of the knowledge of good and evil .
CJB	Genesis	2	10	A river went out of ‘ Eden to water the garden , and from there it divided into four streams .
CJB	Genesis	2	11	The name of the first is Pishon ; it winds throughout the land of Havilah , where there is gold .
CJB	Genesis	2	12	The gold of that land is good ; aromatic resin and onyx stone are also found there .
