estilo	livro	capitulo	versiculo	texto
DARBY	Matthew	1	1	Book of the generation of Jesus Christ , Son of David , Son of Abraham .
DARBY	Matthew	1	2	Abraham begat Isaac ; and Isaac begat Jacob , and Jacob begat Juda and his brethren ;
DARBY	Matthew	1	3	and Juda begat Phares and Zara of Thamar ; and Phares begat Esrom , and Esrom begat Aram ,
DARBY	Matthew	1	4	and Aram begat Aminadab , and Aminadab begat Naasson , and Naasson begat Salmon ,
DARBY	Matthew	1	5	and Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ,
DARBY	Matthew	1	6	and Jesse begat David the king . And David begat Solomon , of her [ that had been the wife ] of Urias ;
DARBY	Matthew	1	7	and Solomon begat Roboam , and Roboam begat Abia , and Abia begat Asa ,
DARBY	Matthew	1	8	and Asa begat Josaphat , and Josaphat begat Joram , and Joram begat Ozias ,
DARBY	Matthew	1	9	and Ozias begat Joatham , and Joatham begat Achaz , and Achaz begat Ezekias ,
DARBY	Matthew	1	10	and Ezekias begat Manasses , and Manasses begat Amon , and Amon begat Josias ,
DARBY	Matthew	1	11	and Josias begat Jechonias and his brethren , at the time of the carrying away of Babylon .
DARBY	Matthew	1	12	And after the carrying away of Babylon , Jechonias begat Salathiel , and Salathiel begat Zorobabel ,
DARBY	Matthew	1	13	and Zorobabel begat Abiud , and Abiud begat Eliakim , and Eliakim begat Azor ,
DARBY	Matthew	1	14	and Azor begat Sadoc , and Sadoc begat Achim , and Achim begat Eliud ,
DARBY	Matthew	1	15	and Eliud begat Eliazar , and Eliazar begat Matthan , and Matthan begat Jacob ,
DARBY	Matthew	1	16	and Jacob begat Joseph , the husband of Mary , of whom was born Jesus , who is called Christ .
DARBY	Matthew	1	17	All the generations , therefore , from Abraham to David [ were ] fourteen generations ; and from David until the carrying away of Babylon , fourteen generations ; and from the carrying away of Babylon unto the Christ , fourteen generations .
DARBY	Matthew	1	18	Now the birth of Jesus Christ was thus : His mother , Mary , that is , having been betrothed to Joseph , before they came together , she was found to be with child of [ the ] Holy Spirit .
DARBY	Matthew	1	19	But Joseph , her husband , being [ a ] righteous [ man ] , and unwilling to expose her publicly , purposed to have put her away secretly ;
DARBY	Matthew	1	20	but while he pondered on these things , behold , an angel of [ the ] Lord appeared to him in a dream , saying , Joseph , son of David , fear not to take to [ thee ] Mary , thy wife , for that which is begotten in her is of [ the ] Holy Spirit .
DARBY	Matthew	1	21	And she shall bring forth a son , and thou shalt call his name Jesus , for * he * shall save his people from their sins .
DARBY	Matthew	1	22	Now all this came to pass that that might be fulfilled which was spoken by [ the ] Lord , through the prophet , saying ,
DARBY	Matthew	1	23	Behold , the virgin shall be with child , and shall bring forth a son , and they shall call his name Emmanuel , which is , being interpreted , 'God with us . '
DARBY	Matthew	1	24	But Joseph , having awoke up from his sleep , did as the angel of [ the ] Lord had enjoined him , and took to [ him ] his wife ,
DARBY	Matthew	1	25	and knew her not until she had brought forth her firstborn son : and he called his name Jesus .
DARBY	Matthew	2	2	Where is the king of the Jews that has been born ? for we have seen his star in the east , and have come to do him homage .
DARBY	Matthew	2	3	But Herod the king having heard [ of it ] , was troubled , and all Jerusalem with him ;
DARBY	Matthew	2	4	and , assembling all the chief priests and scribes of the people , he inquired of them where the Christ should be born .
DARBY	Matthew	2	5	And they said to him , In Bethlehem of Judaea ; for thus it is written through the prophet :
DARBY	Matthew	2	6	And * thou * Bethlehem , land of Juda , art in no wise the least among the governors of Juda ; for out of thee shall go forth a leader who shall shepherd my people Israel .
DARBY	Matthew	2	7	Then Herod , having secretly called the magi , inquired of them accurately the time of the star that was appearing ;
DARBY	Matthew	2	8	and having sent them to Bethlehem , said , Go , search out accurately concerning the child , and when ye shall have found [ him ] bring me back word , so that * I * also may come and do him homage .
