estilo	livro	capitulo	versiculo	texto
DRA	Genesis	1	1	In the beginning God created heaven , and earth .
DRA	Genesis	1	1899	American Edition
DRA	Genesis	1	2	And the earth was void and empty , and darkness was upon the face of the deep ; and the spirit of God moved over the waters .
DRA	Genesis	1	3	And God said : Be light made . And light was made .
DRA	Genesis	1	4	And God saw the light that it was good ; and he divided the light from the darkness .
DRA	Genesis	1	5	And he called the light Day , and the darkness Night ; and there was evening and morning one day .
DRA	Genesis	1	6	And God said : Let there be a firmament made amidst the waters : and let it divide the waters from the waters .
DRA	Genesis	1	7	And God made a firmament , and divided the waters that were under the firmament , from those that were above the firmament , and it was so .
DRA	Genesis	1	8	And God called the firmament , Heaven ; and the evening and morning were the second day .
DRA	Genesis	1	9	God also said : Let the waters that are under the heaven , be gathered together into one place : and let the dry land appear . And it was so done .
DRA	Genesis	1	10	And God called the dry land , Earth ; and the gathering together of the waters , he called Seas . And God saw that it was good .
DRA	Genesis	1	11	And he said : Let the earth bring forth the green herb , and such as may seed , and the fruit tree yielding fruit after its kind , which may have seed in itself upon the earth . And it was so done .
DRA	Genesis	1	12	And the earth brought forth the green herb , and such as yieldeth seed according to its kind , and the tree that beareth fruit , having seed each one according to its kind . And God saw that it was good .
DRA	Genesis	1	13	And the evening and the morning were the third day .
DRA	Genesis	1	14	And God said : Let there be lights made in the firmament of heaven , to divide the day and the night , and let them be for signs , and for seasons , and for days and years :
DRA	Genesis	1	15	To shine in the firmament of heaven , and to give light upon the earth . And it was so done .
DRA	Genesis	1	16	And God made two great lights : a greater light to rule the day ; and a lesser light to rule the night : and the stars .
DRA	Genesis	1	17	And he set them in the firmament of heaven to shine upon the earth .
DRA	Genesis	1	18	And to rule the day and the night , and to divide the light and the darkness . And God saw that it was good .
DRA	Genesis	1	19	And the evening and morning were the fourth day .
DRA	Genesis	1	20	God also said : Let the waters bring forth the creeping creature having life , and the fowl that may fly over the earth under the firmament of heaven .
DRA	Genesis	1	21	And God created the great whales , and every living and moving creature , which the waters brought forth , according to their kinds , and every winged fowl according to its kind . And God saw that it was good .
DRA	Genesis	1	22	And he blessed them , saying : Increase and multiply , and fill the waters of the sea : and let the birds be multiplied upon the earth .
DRA	Genesis	1	23	And the evening and morning were the fifth day .
DRA	Genesis	1	24	And God said : Let the earth bring forth the living creature in its kind , cattle and creeping things , and beasts of the earth , according to their kinds . And it was so done .
DRA	Genesis	1	25	And God made the beasts of the earth according to their kinds , and cattle , and every thing that creepeth on the earth after its kind . And God saw that it was good .
DRA	Genesis	1	26	And he said : Let us make man to our image and likeness : and let him have dominion over the fishes of the sea , and the fowls of the air , and the beasts , and the whole earth , and every creeping creature that moveth upon the earth .
DRA	Genesis	1	27	And God created man to his own image : to the image of God he created him : male and female he created them .
DRA	Genesis	1	28	And God blessed them , saying : Increase and multiply , and fill the earth , and subdue it , and rule over the fishes of the sea , and the fowls of the air , and all living creatures that move upon the earth .
DRA	Genesis	1	29	And God said : Behold I have given you every herb bearing seed upon the earth , and all trees that have in themselves seed of their own kind , to be your meat :
DRA	Genesis	1	30	And to all beasts of the earth , and to every fowl of the air , and to all that move upon the earth , and wherein there is life , that they may have to feed upon . And it was so done .
DRA	Genesis	1	31	And God saw all the things that he had made , and they were very good . And the evening and morning were the sixth day . Public Domain ( Why are modern Bible translations copyrighted ? )
DRA	Genesis	2	2	And on the seventh day God ended his work which he had made : and he rested on the seventh day from all his work which he had done .
DRA	Genesis	2	1899	American Edition
DRA	Genesis	2	3	And he blessed the seventh day , and sanctified it : because in it he had rested from all his work which God created and made .
DRA	Genesis	2	4	These are the generations of the heaven and the earth , when they were created , in the day that the Lord God made the heaven and the earth :
DRA	Genesis	2	5	And every plant of the field before it sprung up in the earth , and every herb of the ground before it grew : for the Lord God had not rained upon the earth ; and there was not a man to till the earth .
DRA	Genesis	2	6	But a spring rose out of the earth , watering all the surface of the earth .
DRA	Genesis	2	7	And the Lord God formed man of the slime of the earth : and breathed into his face the breath of life , and man became a living soul .
DRA	Genesis	2	8	And the Lord God had planted a paradise of pleasure from the beginning : wherein he placed man whom he had formed .
DRA	Genesis	2	9	And the Lord God brought forth of the ground all manner of trees , fair to behold , and pleasant to eat of : the tree of life also in the midst of paradise : and the tree of knowledge of good and evil .
DRA	Genesis	2	10	And a river went out of the place of pleasure to water paradise , which from thence is divided into four heads .
DRA	Genesis	2	11	The name of the one is Phison : that is it which compasseth all the land of Hevilath , where gold groweth .
DRA	Genesis	2	12	And the gold of that land is very good : there is found bdellium , and the onyx stone .
DRA	Genesis	2	13	And the name of the second river is Gehon : the same is it that compasseth all the land of Ethiopia .
DRA	Genesis	2	14	And the name of the third river is Tigris : the same passeth along by the Assyrians . And the fourth river is Euphrates .
DRA	Genesis	2	15	And the Lord God took man , and put him into the paradise of pleasure , to dress it , and to keep it .
DRA	Genesis	2	16	And he commanded him , saying : Of every tree of paradise thou shalt eat :
DRA	Genesis	2	17	But of the tree of knowledge of good and evil , thou shalt not eat . For in what day soever thou shalt eat of it , thou shalt die the death .
DRA	Genesis	2	18	And the Lord God said : It is not good for man to be alone : let us make him a help like unto himself .
DRA	Genesis	2	19	And the Lord God having formed out of the ground all the beasts of the earth , and all the fowls of the air , brought them to Adam to see what he would call them : for whatsoever Adam called any living creature the same is its name .
DRA	Genesis	2	20	And Adam called all the beasts by their names , and all the fowls of the air , and all the cattle of the field : but for Adam there was not found a helper like himself .
DRA	Genesis	2	21	Then the Lord God cast a deep sleep upon Adam : and when he was fast asleep , he took one of his ribs , and filled up flesh for it .
DRA	Genesis	2	22	And the Lord God built the rib which he took from Adam into a woman : and brought her to Adam .
DRA	Genesis	2	23	And Adam said : This now is bone of my bones , and flesh of my flesh ; she shall be called woman , because she was taken out of man .
DRA	Genesis	2	24	Wherefore a man shall leave father and mother , and shall cleave to his wife : and they shall be two in one flesh .
DRA	Genesis	2	25	And they were both naked : to wit , Adam and his wife : and were not ashamed . Public Domain ( Why are modern Bible translations copyrighted ? )
DRA	Genesis	3	3	But of the fruit of the tree which is in the midst of paradise , God hath commanded us that we should not eat ; and that we should not touch it , lest perhaps we die .
DRA	Genesis	3	1899	American Edition
DRA	Genesis	3	2	And the woman answered him , saying : Of the fruit of the trees that are in paradise we do eat :
DRA	Genesis	3	4	And the serpent said to the woman : No , you shall not die the death .
DRA	Genesis	3	5	For God doth know that in what day soever you shall eat thereof , your eyes shall be opened : and you shall be as Gods , knowing good and evil .
DRA	Genesis	3	6	And the woman saw that the tree was good to eat , and fair to the eyes , and delightful to behold : and she took of the fruit thereof , and did eat , and gave to her husband who did eat .
DRA	Genesis	3	7	And the eyes of them both were opened : and when they perceived themselves to be naked , they sewed together fig leaves , and made themselves aprons .
DRA	Genesis	3	8	And when they heard the voice of the Lord God walking in paradise at the afternoon air , Adam and his wife hid themselves from the face of the Lord God , amidst the trees of paradise .
DRA	Genesis	3	9	And the Lord God called Adam , and said to him : Where art thou ?
DRA	Genesis	3	10	And he said : I heard thy voice in paradise ; and I was afraid , because I was naked , and I hid myself .
DRA	Genesis	3	11	And he said to him : And who hath told thee that thou wast naked , but that thou hast eaten of the tree whereof I commanded thee that thou shouldst not eat ?
DRA	Genesis	3	12	And Adam said : The woman , whom thou gavest me to be my companion , gave me of the tree , and I did eat .
DRA	Genesis	3	13	And the Lord God said to the woman : Why hast thou done this ? And she answered : The serpent deceived me , and I did eat .
DRA	Genesis	3	14	And the Lord God said to the serpent : Because thou hast done this thing , thou art cursed among all cattle , and beasts of the earth : upon thy breast shalt thou go , and earth shalt thou eat all the days of thy life .
DRA	Genesis	3	15	I will put enmities between thee and the woman , and thy seed and her seed : she shall crush thy head , and thou shalt lie in wait for her heel .
DRA	Genesis	3	16	To the woman also he said : I will multiply thy sorrows , and thy conceptions : in sorrow shalt thou bring forth children , and thou shalt be under thy husband 's power , and he shall have dominion over thee .
DRA	Genesis	3	17	And to Adam he said : Because thou hast hearkened to the voice of thy wife , and hast eaten of the tree , whereof I commanded thee that thou shouldst not eat , cursed is the earth in thy work ; with labour and toil shalt thou eat thereof all the days of thy life .
DRA	Genesis	3	18	Thorns and thistles shall it bring forth to thee ; and thou shalt eat the herbs of the earth .
DRA	Genesis	3	19	In the sweat of thy face shalt thou eat bread till thou return to the earth , out of which thou wast taken : for dust thou art , and into dust thou shalt return .
DRA	Genesis	3	20	And Adam called the name of his wife Eve : because she was the mother of all the living .
DRA	Genesis	3	21	And the Lord God made for Adam and his wife , garments of skins , and clothed them .
DRA	Genesis	3	22	And he said : Behold Adam is become as one of us , knowing good and evil : now , therefore , lest perhaps he put forth his hand , and take also of the tree of life , and eat , and live for ever .
DRA	Genesis	3	23	And the Lord God sent him out of the paradise of pleasure , to till the earth from which he was taken .
DRA	Genesis	3	24	And he cast out Adam ; and placed before the paradise of pleasure Cherubims , and a flaming sword , turning every way , to keep the way of the tree of life . Public Domain ( Why are modern Bible translations copyrighted ? )
DRA	Genesis	4	4	Abel also offered of the firstlings of his flock , and of their fat : and the Lord had respect to Abel , and to his offerings .
DRA	Genesis	4	1899	American Edition
DRA	Genesis	4	2	And again she brought forth his brother Abel . And Abel was a shepherd , and Cain a husbandman .
DRA	Genesis	4	3	And it came to pass after many days , that Cain offered , of the fruits of the earth , gifts to the Lord .
DRA	Genesis	4	5	But to Cain and his offerings he had no respect : and Cain was exceedingly angry , and his countenance fell .
DRA	Genesis	4	6	And the Lord said to him : Why art thou angry ? and why is thy countenance fallen ?
DRA	Genesis	4	7	If thou do well , shalt thou not receive ? but if ill , shall not sin forthwith be present at the door ? but the lust thereof shall be under thee , and thou shalt have dominion over it .
DRA	Genesis	4	8	And Cain said to Abel his brother : Let us go forth abroad . And when they were in the field , Cain rose up against his brother Abel , and slew him .
DRA	Genesis	4	9	And the Lord said to Cain : Where is thy brother Abel ? And he answered , I know not : am I my brother 's keeper ?
DRA	Genesis	4	10	And he said to him : What hast thou done ? the voice of thy brother 's blood crieth to me from the earth .
DRA	Genesis	4	11	Now , therefore , cursed shalt thou be upon the earth , which hath opened her mouth and received the blood of thy brother at thy hand .
DRA	Genesis	4	12	When thou shalt till it , it shall not yield to thee its fruit : a fugitive and a vagabond shalt thou be upon the earth .
DRA	Genesis	4	13	And Cain said to the Lord : My iniquity is greater than that I may deserve pardon .
DRA	Genesis	4	14	Behold thou dost cast me out this day from the face of the earth , and I shall be hidden from thy face , and I shall be a vagabond and a fugitive on the earth : every one , therefore , that findeth me , shall kill me .
DRA	Genesis	4	15	And the Lord said to him : No , it shall not be so : but whosoever shall kill Cain , shall be punished sevenfold . And the Lord set a mark upon Cain , that whosoever found him should not kill him .
DRA	Genesis	4	16	And Cain went out from the face of the Lord , and dwelt as a fugitive on the earth , at the east side of Eden .
DRA	Genesis	4	17	And Cain knew his wife , and she conceived , and brought forth Henoch : and he built a city , and called the name thereof by the name of his son Henoch .
DRA	Genesis	4	18	And Henoch begot Irad , and Irad begot Maviael , and Maviael begot Mathusael , and Mathusael begot Lamech :
DRA	Genesis	4	19	Who took two wives : the name of the one was Ada , and the name of the other Sella .
DRA	Genesis	4	20	And Ada brought forth Jabel : who was the father of such as dwell in tents , and of herdsmen .
DRA	Genesis	4	21	And his brother 's name was Jubal ; he was the father of them that play upon the harp and the organs .
DRA	Genesis	4	22	Sella also brought forth Tubalcain , who was a hammerer and artificer in every work of brass and iron . And the sister of Tubalcain was Noema .
DRA	Genesis	4	23	And Lamech said to his wives Ada and Sella : Hear my voice , ye wives of Lamech , hearken to my speech : for I have slain a man to the wounding of myself , and a stripling to my own bruising .
DRA	Genesis	4	24	Sevenfold vengeance shall be taken for Cain : but for Lamech seventy times sevenfold .
DRA	Genesis	4	25	Adam also knew his wife again : and she brought forth a son , and called his name Seth , saying : God hath given me another seed , for Abel whom Cain slew .
DRA	Genesis	4	26	But to Seth also was born a son , whom he called Enos ; this man began to call upon the name of the Lord . Public Domain ( Why are modern Bible translations copyrighted ? )
DRA	Genesis	5	5	And all the time that Adam lived came to nine hundred and thirty years , and he died .
DRA	Genesis	5	1899	American Edition
DRA	Genesis	5	2	He created them male and female ; and blessed them : and called their name Adam , in the day when they were created .
DRA	Genesis	5	3	And Adam lived a hundred and thirty years , and begot a son to his own image and likeness , and called his name Seth .
DRA	Genesis	5	4	And the days of Adam , after he begot Seth , were eight hundred years : and he begot sons and daughters .
DRA	Genesis	5	6	Seth also lived a hundred and five years , and begot Enos .
DRA	Genesis	5	7	And Seth lived after he begot Enos , eight hundred and seven years , and begot sons and daughters .
DRA	Genesis	5	8	And all the days of Seth were nine hundred and twelve years , and he died .
DRA	Genesis	5	9	And Enos lived ninety years , and begot Cainan .
DRA	Genesis	5	10	After whose birth he lived eight hundred and fifteen years , and begot sons and daughters .
DRA	Genesis	5	11	And all the days of Enos were nine hundred and five years , and he died .
DRA	Genesis	5	12	And Cainan lived seventy years , and begot Malaleel .
DRA	Genesis	5	13	And Cainan lived after he begot Malaleel , eight hundred and forty years , and begot sons and daughters .
DRA	Genesis	5	14	And all the days of Cainan were nine hundred and ten years , and he died .
DRA	Genesis	5	15	And Malaleel lived sixty-five years , and begot Jared .
DRA	Genesis	5	16	And Malaleel lived after he begot Jared , eight hundred and thirty years , and begot sons and daughters .
DRA	Genesis	5	17	And all the days of Malaleel were eight hundred and ninety-five years , and he died .
DRA	Genesis	5	18	And Jared lived a hundred and sixty-two years , and begot Henoch .
DRA	Genesis	5	19	And Jared lived after he begot Henoch , eight hundred years , and begot sons and daughters .
DRA	Genesis	5	20	And all the days of Jared were nine hundred and sixty-two years , and he died .
DRA	Genesis	5	21	And Henoch lived sixty-five years , and begot Mathusala .
DRA	Genesis	5	22	And Henoch walked with God : and lived after he begot Mathusala , three hundred years , and begot sons and daughters .
DRA	Genesis	5	23	And all the days of Henoch were three hundred and sixty-five years .
DRA	Genesis	5	24	And he walked with God , and was seen no more : because God took him .
DRA	Genesis	5	25	And Mathusala lived a hundred and eighty-seven years , and begot Lamech .
DRA	Genesis	5	26	And Mathusala lived after he begot Lamech , seven hundred and eighty-two years , and begot sons and daughters .
DRA	Genesis	5	27	And all the days of Mathusala were nine hundred and sixty-nine years , and he died .
DRA	Genesis	5	28	And Lamech lived a hundred and eighty-two years , and begot a son .
DRA	Genesis	5	29	And he called his name Noe , saying : This same shall comfort us from the works and labours of our hands on the earth , which the Lord hath cursed .
DRA	Genesis	5	30	And Lamech lived after he begot Noe , five hundred and ninety-five years , and begot sons and daughters .
DRA	Genesis	5	31	And all the days of Lamech came to seven hundred and seventy-seven years , and he died . And Noe , when he was five hundred years old , begot Sem , Cham , and Japheth . Public Domain ( Why are modern Bible translations copyrighted ? )
DRA	Genesis	6	6	It repented him that he had made man on the earth . And being touched inwardly with sorrow of heart ,
DRA	Genesis	6	1899	American Edition
DRA	Genesis	6	2	The sons of God seeing the daughters of men , that they were fair , took to themselves wives of all which they chose .
DRA	Genesis	6	3	And God said : My spirit shall not remain in man for ever , because he is flesh , and his days shall be a hundred and twenty years .
DRA	Genesis	6	4	Now giants were upon the earth in those days . For after the sons of God went in to the daughters of men , and they brought forth children , these are the mighty men of old , men of renown .
DRA	Genesis	6	5	And God seeing that the wickedness of men was great on the earth , and that all the thought of their heart was bent upon evil at all times ,
DRA	Genesis	6	7	He said : I will destroy man , whom I have created , from the face of the earth , from man even to beasts , from the creeping thing even to the fowls of the air , for it repenteth me that I have made them .
DRA	Genesis	6	8	But Noe found grace before the Lord .
DRA	Genesis	6	9	These are the generations of Noe : Noe was a just and perfect man in his generations , he walked with God .
DRA	Genesis	6	10	And he begot three sons , Sem , Cham , and Japheth .
DRA	Genesis	6	11	And the earth was corrupted before God , and was filled with iniquity .
DRA	Genesis	6	12	And when God had seen that the earth was corrupted ( for all flesh had corrupted its way upon the earth , )
DRA	Genesis	6	13	He said to Noe : The end of all flesh is come before me , the earth is filled with iniquity through them , and I will destroy them with the earth .
DRA	Genesis	6	14	Make thee an ark of timber planks : thou shalt make little rooms in the ark , and thou shalt pitch it within and without .
DRA	Genesis	6	15	And thus shalt thou make it : The length of the ark shall be three hundred cubits : the breadth of it fifty cubits , and the height of it thirty cubits .
DRA	Genesis	6	16	Thou shalt make a window in the ark , and in a cubit shalt thou finish the top of it : and the door of the ark thou shalt set in the side : with lower , middle chambers , and third stories shalt thou make it .
DRA	Genesis	6	17	Behold I will bring the waters of a great flood upon the earth , to destroy all flesh , wherein is the breath of life , under heaven . All things that are in the earth shall be consumed .
DRA	Genesis	6	18	And I will establish my covenant with thee , and thou shalt enter into the ark , thou and thy sons , and thy wife , and the wives of thy sons with thee .
DRA	Genesis	6	19	And of every living creature of all flesh , thou shalt bring two of a sort into the ark , that they may live with thee : of the male sex , and the female .
DRA	Genesis	6	20	Of fowls according to their kind , and of beasts in their kind , and of every thing that creepeth on the earth according to its kind ; two of every sort shall go in with thee , that they may live .
DRA	Genesis	6	21	Thou shalt take unto thee of all food that may be eaten , and thou shalt lay it up with thee : and it shall be food for thee and them .
DRA	Genesis	6	22	And Noe did all things which God commanded him . Public Domain ( Why are modern Bible translations copyrighted ? )
DRA	Genesis	7	7	And Noe went in and his sons , his wife and the wives of his sons with him into the ark , because of the waters of the flood .
DRA	Genesis	7	1899	American Edition
DRA	Genesis	7	2	Of all clean beasts take seven and seven , the male and the female .
DRA	Genesis	7	3	But of the beasts that are unclean two and two , the male and the female . Of the fowls also of the air seven and seven , the male and the female : that seed may be saved upon the face of the whole earth .
DRA	Genesis	7	4	For yet a while , and after seven days , I will rain upon the earth forty days and forty nights ; and I will destroy every substance that I have made , from the face of the earth .
DRA	Genesis	7	5	And Noe did all things which the Lord had commanded him .
DRA	Genesis	7	6	And he was six hundred years old , when the waters of the flood overflowed the earth .
DRA	Genesis	7	8	And of beasts clean and unclean , and of fowls , and of every thing that moveth upon the earth ,
DRA	Genesis	7	9	Two and two went in to Noe into the ark , male and female , as the Lord had commanded Noe .
DRA	Genesis	7	10	And after the seven days were passed , the waters of the flood overflowed the earth .
DRA	Genesis	7	11	In the six hundredth year of the life of Noe , in the second month , in the seventeenth day of the month , all the fountains of the great deep were broken up , and the flood gates of heaven were opened :
DRA	Genesis	7	12	And the rain fell upon the earth forty days and forty nights .
DRA	Genesis	7	13	In the selfsame day Noe , and Sem , and Cham , and Japheth his sons : his wife , and the three wives of his sons with them , went into the ark :
DRA	Genesis	7	14	They and every beast according to its kind , and all the cattle in their kind , and every thing that moveth upon the earth according to its kind , and every fowl according to its kind , all birds , and all that fly ,
DRA	Genesis	7	15	Went in to Noe into the ark , two and two of all flesh , wherein was the breath of life .
DRA	Genesis	7	16	And they that went in , went in male and female of all flesh , as God had commanded him : and the Lord shut him in on the outside .
DRA	Genesis	7	17	And the flood was forty days upon the earth , and the waters increased , and lifted up the ark on high from the earth .
DRA	Genesis	7	18	For they overflowed exceedingly : and filled all on the face of the earth : and the ark was carried upon the waters .
DRA	Genesis	7	19	And the waters prevailed beyond measure upon the earth : and all the high mountains under the whole heaven were covered .
DRA	Genesis	7	20	The water was fifteen cubits higher than the mountains which it covered .
DRA	Genesis	7	21	And all flesh was destroyed that moved upon the earth , both of fowl , and of cattle , and of beasts , and of all creeping things that creep upon the earth : and all men .
DRA	Genesis	7	22	And all things wherein there is the breath of life on the earth , died .
DRA	Genesis	7	23	And he destroyed all the substance that was upon the earth , from man even to beast , and the creeping things and fowls of the air : and they were destroyed from the earth : and Noe only remained , and they that were with him in the ark .
DRA	Genesis	7	24	And the waters prevailed upon the earth a hundred and fifty days . Public Domain ( Why are modern Bible translations copyrighted ? )
