estilo	livro	capitulo	versiculo	texto
ERV	Genesis	1	1	God created the sky and the earth . At first ,
ERV	Genesis	1	2	while the earth was completely empty , and darkness covered the ocean , and a powerful wind blew over the water ,
ERV	Genesis	1	3	.
ERV	Genesis	1	4	He saw the light , and he knew that it was good . Then he separated the light from the darkness .
ERV	Genesis	1	5	God named the light “ day , ” and he named the darkness “ night. ” There was evening , and then there was morning . This was the first day . The Second Day—Sky
ERV	Genesis	1	6	Then God said , “ Let there be a space [ c ] to separate the water into two parts ! ”
ERV	Genesis	1	7	So God made the space and separated the water . Some of the water was above it , and some of the water was below it .
ERV	Genesis	1	8	God named that space “ sky. ” There was evening , and then there was morning . This was the second day . The Third Day—Dry Land and Plants
ERV	Genesis	1	9	Then God said , “ Let the water under the sky be gathered together so that the dry land will appear. ” And it happened .
ERV	Genesis	1	10	God named the dry land “ earth , ” and he named the water that was gathered together “ seas. ” And God saw that this was good .
ERV	Genesis	1	11	Then God said , “ Let the earth grow grass , plants that make grain , and fruit trees . The fruit trees will make fruit with seeds in it . And each plant will make its own kind of seed . Let these plants grow on the earth. ” And it happened .
ERV	Genesis	1	12	The earth grew grass and plants that made grain . And it grew trees that made fruit with seeds in it . Every plant made its own kind of seeds . And God saw that this was good .
ERV	Genesis	1	13	There was evening , and then there was morning . This was the third day . The Fourth Day—Sun , Moon , and Stars
ERV	Genesis	1	14	Then God said , “ Let there be lights in the sky . These lights will separate the days from the nights . They will be used for signs to show when special meetings [ d ] begin and to show the days and years .
ERV	Genesis	1	15	They will be in the sky to shine light on the earth. ” And it happened .
ERV	Genesis	1	16	So God made the two large lights . He made the larger light to rule during the day and the smaller light to rule during the night . He also made the stars .
ERV	Genesis	1	17	God put these lights in the sky to shine on the earth .
ERV	Genesis	1	18	He put them in the sky to rule over the day and over the night . They separated the light from the darkness . And God saw that this was good .
ERV	Genesis	1	19	There was evening , and then there was morning . This was the fourth day . The Fifth Day—Fish and Birds
ERV	Genesis	1	20	Then God said , “ Let the water be filled with many living things , and let there be birds to fly in the air over the earth. ”
ERV	Genesis	1	21	So God created the large sea animals . [ e ] He created all the many living things in the sea and every kind of bird that flies in the air . And God saw that this was good .
ERV	Genesis	1	22	God blessed all the living things in the sea and told them to have many babies and fill the seas . And he blessed the birds on land and told them to have many more babies .
ERV	Genesis	1	23	There was evening , and then there was morning . This was the fifth day . The Sixth Day—Land Animals and People
ERV	Genesis	1	24	Then God said , “ Let the earth produce many kinds of living things . Let there be many different kinds of animals . Let there be large animals and small crawling animals of every kind . And let all these animals produce more animals. ” And all these things happened .
ERV	Genesis	1	25	So God made every kind of animal . He made the wild animals , the tame animals , and all the small crawling things . And God saw that this was good .
ERV	Genesis	1	26	Then God said , “ Now let ’ s make humans [ f ] who will be like us . [ g ] They will rule over all the fish in the sea and the birds in the air . They will rule over all the large animals and all the little things that crawl on the earth. ”
ERV	Genesis	1	27	So God created humans in his own image . He created them to be like himself . [ h ] He created them male and female .
ERV	Genesis	1	28	God blessed them and said to them , “ Have many children . Fill the earth and take control of it . Rule over the fish in the sea and the birds in the air . Rule over every living thing that moves on the earth. ”
ERV	Genesis	1	29	God said , “ I am giving you all the grain bearing plants and all the fruit trees . These trees make fruit with seeds in it . This grain and fruit will be your food .
ERV	Genesis	1	30	And I am giving all the green plants to the animals . These green plants will be their food . Every animal on earth , every bird in the air , and all the little things that crawl on the earth will eat that food. ” And all these things happened .
ERV	Genesis	1	31	God looked at everything he had made . And he saw that everything was very good . There was evening , and then there was morning . This was the sixth day . Footnotes - Genesis 1:2 moved over The Hebrew word means “ to fly over ” or “ to swoop down , ” like a bird flying over its nest to protect its babies . - Genesis 1:3 Or “ In the beginning , God created the heavens and the earth . While
ERV	Genesis	2	2	God finished the work he was doing , so on the seventh day he rested from his work .
ERV	Genesis	2	3	God blessed the seventh day and made it a holy day . He made it special because on that day he rested from all the work he did while creating the world . The First Man and the Garden of Eden
ERV	Genesis	2	4	This is the story about the creation of the sky and the earth . This is what happened when the Lord God made the earth and the sky .
ERV	Genesis	2	5	This was before there were plants on the earth . Nothing was growing in the fields because the Lord God had not yet made it rain on the earth , and there was no one to care for the plants .
ERV	Genesis	2	6	So water [ a ] came up from the earth and spread over the ground .
ERV	Genesis	2	7	Then the Lord God took dust from the ground and made a man . [ b ] He breathed the breath of life into the man ’ s nose , and the man became a living thing .
ERV	Genesis	2	8	Then the Lord God planted a garden in the East , [ c ] in a place named Eden . He put the man he made in that garden .
ERV	Genesis	2	9	Then the Lord God caused all the beautiful trees that were good for food to grow in the garden . In the middle of the garden , he put the tree of life and the tree that gives knowledge about good and evil .
ERV	Genesis	2	10	A river flowed from Eden and watered the garden . The river then separated and became four smaller rivers .
ERV	Genesis	2	11	The name of the first river was Pishon . This river flowed around the entire country of Havilah . [ d ]
ERV	Genesis	2	12	( There is gold in that country , and that gold is pure . A kind of expensive perfume and onyx are also found there . )
ERV	Genesis	2	13	The name of the second river was Gihon . This river flowed around the whole land of Cush . [ e ]
ERV	Genesis	2	14	The name of the third river was Tigris . This river flowed east of Assyria . The fourth river was the Euphrates .
ERV	Genesis	2	15	The Lord God put the man in the Garden of Eden to work the soil and take care of the garden .
ERV	Genesis	2	16	The Lord God gave him this command : “ You may eat from any tree in the garden .
ERV	Genesis	2	17	But you must not eat from the tree that gives knowledge about good and evil . If you eat fruit from that tree , on that day you will certainly die ! ” A Companion for Adam
ERV	Genesis	2	18	Then the Lord God said , “ I see that it is not good for the man to be alone . I will make the companion he needs , one just right for him. ”
ERV	Genesis	2	19	The Lord God used dust from the ground and made every animal in the fields and every bird in the air . He brought all these animals to the man , and the man gave them all a name .
ERV	Genesis	2	20	The man gave names to all the tame animals , to all the birds in the air , and to all the wild animals . He saw many animals and birds , but he could not find a companion that was right for him .
ERV	Genesis	2	21	So the Lord God caused the man to sleep very deeply . While he was asleep , God took one of the ribs from the man ’ s body . Then he closed the man ’ s skin where the rib had been .
ERV	Genesis	2	22	The Lord God used the rib from the man to make a woman . Then he brought the woman to the man .
ERV	Genesis	2	23	And the man said , “ Finally ! One like me , with bones from my bones and a body from my body . She was taken out of a man , so I will call her ‘ woman. ’ ”
ERV	Genesis	2	24	That is why a man leaves his father and mother and is joined to his wife . In this way two people become one .
ERV	Genesis	2	25	The man and his wife were naked , but they were not ashamed . Footnotes - Genesis 2:6 water Or “ a mist. ” - Genesis 2:7 man The Hebrew word means “ man , ” “ people , ” or the name “ Adam. ” It is like the word meaning “ earth ” or “ red clay. ” - Genesis 2:8 East This usually means the area between the Tigris and Euphrates rivers as far east as the Persian Gulf . - Genesis 2:11 Havilah The land along the west coast of the Arabian peninsula and possibly , the part of Africa south of Ethiopia . - Genesis 2:13 Cush Usually this means Ethiopia , but here , it probably refers to the area north and east of the Tigris River .
ERV	Genesis	3	3	But there is one tree we must not eat from . God told us , ‘ You must not eat fruit from the tree that is in the middle of the garden . You must not even touch that tree , or you will die. ’ ”
ERV	Genesis	3	2	The woman answered the snake , “ No , we can eat fruit from the trees in the garden .
ERV	Genesis	3	4	But the snake said to the woman , “ You will not die .
ERV	Genesis	3	5	God knows that if you eat the fruit from that tree you will learn about good and evil , and then you will be like God ! ”
ERV	Genesis	3	6	The woman could see that the tree was beautiful and the fruit looked so good to eat . She also liked the idea that it would make her wise . So she took some of the fruit from the tree and ate it . Her husband was there with her , so she gave him some of the fruit , and he ate it .
ERV	Genesis	3	7	Then it was as if their eyes opened , and they saw things differently . They saw that they were naked . So they got some fig leaves , sewed them together , and wore them for clothes .
ERV	Genesis	3	8	During the cool part of the day , the Lord God was walking in the garden . The man and the woman heard him , and they hid among the trees in the garden .
ERV	Genesis	3	9	The Lord God called to the man and said , “ Where are you ? ”
ERV	Genesis	3	10	The man said , “ I heard you walking in the garden , and I was afraid . I was naked , so I hid. ”
ERV	Genesis	3	11	God said to the man , “ Who told you that you were naked ? Did you eat fruit from that special tree ? I told you not to eat from that tree ! ”
ERV	Genesis	3	12	The man said , “ The woman you put here with me gave me fruit from that tree . So I ate it. ”
ERV	Genesis	3	13	Then the Lord God said to the woman , “ What have you done ? ” She said , “ The snake tricked me , so I ate the fruit. ”
ERV	Genesis	3	14	So the Lord God said to the snake , “ You did this very bad thing , so bad things will happen to you . It will be worse for you than for any other animal . You must crawl on your belly and eat dust all the days of your life .
ERV	Genesis	3	15	I will make you and the woman enemies to each other . Your children and her children will be enemies . You will bite her child ’ s foot , but he will crush your head. ”
ERV	Genesis	3	16	Then God said to the woman , “ I will cause you to have much trouble when you are pregnant . And when you give birth to children , you will have much pain . You will want your husband very much , but he will rule over you. ” [ a ]
ERV	Genesis	3	17	Then God said to the man , “ I commanded you not to eat from that tree . But you listened to your wife and ate from it . So I will curse the ground because of you . You will have to work hard all your life for the food the ground produces .
ERV	Genesis	3	18	The ground will grow thorns and weeds for you . And you will have to eat the plants that grow wild in the fields . [ b ]
ERV	Genesis	3	19	You will work hard for your food , until your face is covered with sweat . You will work hard until the day you die , and then you will become dust again . I used dust to make you , and when you die , you will become dust again. ”
ERV	Genesis	3	20	Adam [ c ] named his wife Eve . [ d ] He gave her this name because Eve would be the mother of everyone who ever lived .
ERV	Genesis	3	21	The Lord God used animal skins and made some clothes for the man and his wife . Then he put the clothes on them .
ERV	Genesis	3	22	The Lord God said , “ Look , the man has become like us—he knows about good and evil . And now the man might take the fruit from the tree of life . If the man eats that fruit , he will live forever. ”
ERV	Genesis	3	23	So the Lord God forced the man out of the Garden of Eden to work the ground he was made from .
ERV	Genesis	3	24	God forced the man to leave the garden . Then he put Cherub angels and a sword of fire at the entrance to the garden to protect it . The sword flashed around and around , guarding the way to the tree of life . Footnotes - Genesis 3:16 You will … over you Or “ You will want to rule your husband , but he will rule over you. ” In Hebrew this is like the last part of Gen. 4:7 . - Genesis 3:18 See Gen. 1:28-29 . - Genesis 3:20 Adam This name means “ man ” or “ people. ” It is like the word meaning “ earth ” or “ red clay. ” - Genesis 3:20 Eve This name is like the Hebrew word meaning “ life . ”
ERV	Genesis	4	4	Adam had sexual relations with his wife Eve . She became pregnant and gave birth to a son . She named him Cain . [ a ] Eve said , “ With the Lord ’ s help , I have made a man ! ”
