estilo	livro	capitulo	versiculo	texto
ESV	Matthew	1	1	( A ) The book of the genealogy of Jesus Christ , ( B ) the son of David , ( C ) the son of Abraham .
ESV	Matthew	1	2	( D ) Abraham was the father of Isaac , and ( E ) Isaac the father of Jacob , and ( F ) Jacob the father of Judah and his brothers ,
ESV	Matthew	1	3	and ( G ) Judah the father of Perez and Zerah by Tamar , and Perez the father of Hezron , and Hezron the father of Ram , [ a ]
ESV	Matthew	1	4	- Matthew 1:7 Asaph is probably an alternate spelling of Asa ; some manuscripts Asa ; also verse
ESV	Matthew	1	5	and Salmon the father of Boaz by ( H ) Rahab , and Boaz the father of Obed by Ruth , and Obed the father of Jesse ,
ESV	Matthew	1	6	and ( I ) Jesse the father of David the king . And ( J ) David was the father of Solomon by ( K ) the wife of Uriah ,
ESV	Matthew	1	7	and ( L ) Solomon the father of Rehoboam , and Rehoboam the father of Abijah , and Abijah the father of Asaph , [ b ]
ESV	Matthew	1	8	- Matthew 1:10 Amos is probably an alternate spelling of Amon ; some manuscripts Amon ; twice in this verse - Matthew 1:12 Greek Salathiel ; twice in this verse - Matthew 1:18 Some manuscripts of the Christ - Matthew 1:18 That is , legally pledged to be married The Holy Bible , English Standard Version . ESV® Text Edition :
ESV	Matthew	1	9	and Uzziah the father of Jotham , and Jotham the father of Ahaz , and Ahaz the father of Hezekiah ,
ESV	Matthew	1	10	and Hezekiah the father of Manasseh , and Manasseh the father of Amos , [ c ] and Amos the father of Josiah ,
ESV	Matthew	1	11	and ( N ) Josiah the father of ( O ) Jechoniah and his brothers , at the time of the deportation to Babylon .
ESV	Matthew	1	12	And after the deportation to Babylon : ( P ) Jechoniah was the father of ( Q ) Shealtiel , [ d ] and ( R ) Shealtiel the father of Zerubbabel ,
ESV	Matthew	1	13	and Zerubbabel the father of Abiud , and Abiud the father of Eliakim , and Eliakim the father of Azor ,
ESV	Matthew	1	14	and Azor the father of Zadok , and Zadok the father of Achim , and Achim the father of Eliud ,
ESV	Matthew	1	15	and Eliud the father of Eleazar , and Eleazar the father of Matthan , and Matthan the father of Jacob ,
ESV	Matthew	1	16	and Jacob the father of ( S ) Joseph the husband of Mary , of whom Jesus was born , who is called Christ .
ESV	Matthew	1	17	So all the generations from Abraham to David were fourteen generations , and from David to the deportation to Babylon fourteen generations , and from the deportation to Babylon to ( T ) the Christ fourteen generations . The Birth of Jesus Christ
ESV	Matthew	1	18	Now the birth of ( U ) Jesus Christ [ e ] took place in this way . ( V ) When his mother Mary had been betrothed [ f ] to Joseph , before they came together she was found to be with child ( W ) from the Holy Spirit .
ESV	Matthew	1	19	And her husband Joseph , being a just man and unwilling ( X ) to put her to shame , resolved to divorce her quietly .
ESV	Matthew	1	20	But as he considered these things , behold , ( Y ) an angel of the Lord appeared to him in a dream , saying , “ Joseph , son of David , do not fear to take Mary as your wife , for that which is conceived in her is from the Holy Spirit .
ESV	Matthew	1	21	She will bear a son , and ( Z ) you shall call his name Jesus , ( AA ) for he will save his people from their sins. ”
ESV	Matthew	1	22	( AB ) All this took place ( AC ) to fulfill what the Lord had spoken by the prophet :
ESV	Matthew	1	23	( AD ) “ Behold , the virgin shall conceive and bear a son , and they shall call his name ( AE ) Immanuel ” ( which means , God ( AF ) with us ) .
ESV	Matthew	1	24	When Joseph woke from sleep , he did as the angel of the Lord commanded him : he took his wife ,
ESV	Matthew	1	25	but knew her not until she had given birth to a son . And ( AG ) he called his name Jesus . Footnotes - Matthew 1:3 Greek Aram ; also verse
ESV	Matthew	1	2016	. Copyright ©
ESV	Matthew	1	2001	by Crossway Bibles , a publishing ministry of Good News Publishers .
ESV	Matthew	2	2	saying , “ Where is he who has been born ( E ) king of the Jews ? For we saw ( F ) his star when it rose [ b ] and have come to ( G ) worship him. ”
ESV	Matthew	2	3	When Herod the king heard this , he was troubled , and all Jerusalem with him ;
ESV	Matthew	2	4	and assembling all the chief priests and scribes of the people , he inquired of them where ( H ) the Christ was to be born .
ESV	Matthew	2	5	They told him , “ In Bethlehem of Judea , for so it is written by the prophet :
ESV	Matthew	2	6	( I ) “ ‘ And you , O Bethlehem , in the land of Judah , are by no means least among the rulers of Judah ; for from you shall come a ruler who will ( J ) shepherd my people Israel. ’ ”
ESV	Matthew	2	7	,
ESV	Matthew	2	8	And he sent them to Bethlehem , saying , “ Go and search diligently for the child , and when you have found him , bring me word , that I too may come and worship him. ”
ESV	Matthew	2	9	The Holy Bible , English Standard Version . ESV® Text Edition :
ESV	Matthew	2	10	When they saw the star , they rejoiced exceedingly with great joy .
ESV	Matthew	2	11	And going into the house , they saw the child with Mary his mother , and they fell down and worshiped him . Then , opening their treasures , ( K ) they offered him gifts , ( L ) gold and ( M ) frankincense and ( N ) myrrh .
ESV	Matthew	2	12	And ( O ) being warned ( P ) in a dream not to return to Herod , they departed to their own country by another way . The Flight to Egypt
ESV	Matthew	2	13	Now when they had departed , behold , ( Q ) an angel of the Lord appeared to Joseph in a dream and said , “ Rise , take the child and his mother , and flee to Egypt , and remain there until I tell you , for Herod is about to search for the child , to destroy him. ”
ESV	Matthew	2	14	And he rose and took the child and his mother by night and departed to Egypt
ESV	Matthew	2	15	and remained there until the death of Herod . ( R ) This was to fulfill what the Lord had spoken by the prophet , ( S ) “ Out of Egypt I called my son. ” Herod Kills the Children
ESV	Matthew	2	16	- Matthew 2:2 Or in the east ; also verse
ESV	Matthew	2	17	( T ) Then was fulfilled what was spoken by the prophet Jeremiah :
ESV	Matthew	2	18	( U ) “ A voice was heard in Ramah , weeping and loud lamentation , Rachel weeping for her children ; she refused to be comforted , because they ( V ) are no more. ” The Return to Nazareth
ESV	Matthew	2	19	But when Herod died , behold , an angel of the Lord appeared in a dream to Joseph in Egypt ,
ESV	Matthew	2	20	saying , “ Rise , take the child and his mother and go to the land of Israel , for ( W ) those who sought the child 's life are dead. ”
ESV	Matthew	2	21	And he rose and took the child and his mother and went to the land of Israel .
ESV	Matthew	2	22	But when he heard that Archelaus was reigning over Judea in place of his father Herod , he was afraid to go there , and ( X ) being warned in a dream he withdrew to the district of Galilee .
ESV	Matthew	2	23	And he went and lived in a city called ( Y ) Nazareth , ( Z ) so that what was spoken by the prophets might be fulfilled , that he would be called a Nazarene . Footnotes - Matthew 2:1 Greek magi ; also verses
ESV	Matthew	2	2016	. Copyright ©
ESV	Matthew	2	2001	by Crossway Bibles , a publishing ministry of Good News Publishers .
ESV	Matthew	3	3	For this is he who was spoken of by the prophet Isaiah when he said , ( F ) “ The voice of one crying in the wilderness : ( G ) ‘ Prepare [ b ] the way of the Lord ; make his paths straight. ’ ”
ESV	Matthew	3	2	( D ) “ Repent , for ( E ) the kingdom of heaven is at hand. ” [ a ]
ESV	Matthew	3	4	Now John wore ( H ) a garment of camel 's hair and a leather belt around his waist , and his food was ( I ) locusts and ( J ) wild honey .
ESV	Matthew	3	5	Then Jerusalem and all Judea and all the region about the Jordan were going out to him ,
ESV	Matthew	3	6	and they were baptized by him in the river Jordan , ( K ) confessing their sins .
ESV	Matthew	3	7	But when he saw many of ( L ) the Pharisees and ( M ) Sadducees coming to his baptism , he said to them , ( N ) “ You brood of ( O ) vipers ! Who warned you to flee from ( P ) the wrath to come ?
ESV	Matthew	3	8	Bear fruit ( Q ) in keeping with repentance .
ESV	Matthew	3	9	And do not presume to say to yourselves , ( R ) ‘ We have Abraham as our father , ’ for I tell you , God is able from ( S ) these stones to raise up children for Abraham .
ESV	Matthew	3	10	Even now the axe is laid to the root of the trees . ( T ) Every tree therefore that does not bear good fruit is cut down and thrown into the fire .
ESV	Matthew	3	11	( U ) “ I baptize you with water ( V ) for repentance , but ( W ) he who is coming after me is mightier than I , whose sandals I am not worthy to carry . He will baptize you ( X ) with the Holy Spirit and ( Y ) fire .
ESV	Matthew	3	12	His ( Z ) winnowing fork is in his hand , and he will clear his threshing floor and ( AA ) gather his wheat into the barn , ( AB ) but the chaff he will burn with ( AC ) unquenchable fire. ” The Baptism of Jesus
ESV	Matthew	3	13	( AD ) Then Jesus came ( AE ) from Galilee to the Jordan to John , to be baptized by him .
ESV	Matthew	3	14	( AF ) John would have prevented him , saying , “ I need to be baptized by you , and do you come to me ? ”
ESV	Matthew	3	15	But Jesus answered him , “ Let it be so now , for thus it is fitting for us to fulfill all righteousness. ” Then he consented .
ESV	Matthew	3	16	And when Jesus was baptized , immediately he went up from the water , and behold , ( AG ) the heavens were opened to him , [ c ] and he ( AH ) saw the Spirit of God descending like a dove and coming to rest on him ;
