estilo	livro	capitulo	versiculo	texto
ESV	Genesis	1	1	In the ( A ) beginning , God created the heavens and the earth .
ESV	Genesis	1	2	The earth was ( B ) without form and void , and darkness was over the face of the deep . And the Spirit of God was hovering over the face of the waters .
ESV	Genesis	1	3	And God said , ( C ) “ Let there be light , ” and there was light .
ESV	Genesis	1	4	And God saw that the light was good . And God separated the light from the darkness .
ESV	Genesis	1	5	God called the light Day , and the darkness he called Night . And there was evening and there was morning , the first day .
ESV	Genesis	1	6	And God said , ( D ) “ Let there be an expanse [ a ] in the midst of the waters , and let it separate the waters from the waters. ”
ESV	Genesis	1	7	,
ESV	Genesis	1	8	,
ESV	Genesis	1	9	,
ESV	Genesis	1	10	God called the dry land Earth , [ d ] and the waters that were gathered together he called Seas . And God saw that it was good .
ESV	Genesis	1	11	,
ESV	Genesis	1	12	,
ESV	Genesis	1	13	And there was evening and there was morning , the third day .
ESV	Genesis	1	14	,
ESV	Genesis	1	15	,
ESV	Genesis	1	16	- Genesis 1:8 Or Sky ; also verses
ESV	Genesis	1	17	,
ESV	Genesis	1	18	to ( L ) rule over the day and over the night , and to separate the light from the darkness . And God saw that it was good .
ESV	Genesis	1	19	And there was evening and there was morning , the fourth day .
ESV	Genesis	1	20	,
ESV	Genesis	1	21	So ( M ) God created the great sea creatures and every living creature that moves , with which the waters swarm , according to their kinds , and every winged bird according to its kind . And God saw that it was good .
ESV	Genesis	1	22	,
ESV	Genesis	1	23	And there was evening and there was morning , the fifth day .
ESV	Genesis	1	24	,
ESV	Genesis	1	25	,
ESV	Genesis	1	26	,
ESV	Genesis	1	27	So God created man in his own image , in the image of God he created him ; ( R ) male and female he created them .
ESV	Genesis	1	28	,
ESV	Genesis	1	29	- Genesis 1:14 Or appointed times - Genesis 1:20 Or flying things ; see Leviticus 11:19–20 - Genesis 1:26 The Hebrew word for man ( adam ) is the generic term for mankind and becomes the proper name Adam The Holy Bible , English Standard Version . ESV® Text Edition :
ESV	Genesis	1	30	; 2:1 - Genesis 1:11 Or small plants ; also verses
ESV	Genesis	1	31	( V ) And God saw everything that he had made , and behold , it was very good . And there was evening and there was morning , the sixth day . Footnotes - Genesis 1:6 Or a canopy ; also verses
ESV	Genesis	1	2016	. Copyright ©
ESV	Genesis	1	2001	by Crossway Bibles , a publishing ministry of Good News Publishers .
ESV	Genesis	2	2	And ( B ) on the seventh day God finished his work that he had done , and he rested on the seventh day from all his work that he had done .
ESV	Genesis	2	3	So God blessed the seventh day and made it holy , because on it God rested from all his work that he had done in creation . The Creation of Man and Woman
ESV	Genesis	2	4	( C ) These are the generations of the heavens and the earth when they were created , in the day that the Lord God made the earth and the heavens .
ESV	Genesis	2	5	When no ( D ) bush of the field [ a ] was yet in the land [ b ] and no small plant of the field had yet sprung up—for the Lord God had not caused it to rain on the land , and there was no man ( E ) to work the ground ,
ESV	Genesis	2	6	- Genesis 2:6 Or spring - Genesis 2:17 Or when you eat - Genesis 2:18 Or corresponding to ; also verse
ESV	Genesis	2	7	then the Lord God formed the man of ( F ) dust from the ground and ( G ) breathed into his ( H ) nostrils the breath of life , and ( I ) the man became a living creature .
ESV	Genesis	2	8	And the Lord God planted a ( J ) garden in Eden , in the east , and there he put the man whom he had formed .
ESV	Genesis	2	9	And out of the ground the Lord God made to spring up every tree that is pleasant to the sight and good for food . ( K ) The tree of life was in the midst of the garden , ( L ) and the tree of the knowledge of good and evil .
ESV	Genesis	2	10	A river flowed out of Eden to water the garden , and there it divided and became four rivers .
ESV	Genesis	2	11	The name of the first is the Pishon . It is the one that flowed around the whole land of ( M ) Havilah , where there is gold .
ESV	Genesis	2	12	And the gold of that land is good ; bdellium and onyx stone are there .
ESV	Genesis	2	13	The name of the second river is the Gihon . It is the one that flowed around the whole land of Cush .
ESV	Genesis	2	14	And the name of the third river is the ( N ) Tigris , which flows east of Assyria . And the fourth river is the Euphrates .
ESV	Genesis	2	15	The Lord God took the man ( O ) and put him in the garden of Eden to work it and keep it .
ESV	Genesis	2	16	And the Lord God commanded the man , saying , “ You may surely eat of every tree of the garden ,
ESV	Genesis	2	17	but of the tree of the knowledge of good and evil ( P ) you shall not eat , for in the day that you eat [ d ] of it you ( Q ) shall surely die. ”
ESV	Genesis	2	18	Then the Lord God said , “ It is not good that the man should be alone ; ( R ) I will make him a helper fit for [ e ] him. ”
ESV	Genesis	2	19	( S ) Now out of the ground the Lord God had formed [ f ] every beast of the field and every bird of the heavens and ( T ) brought them to the man to see what he would call them . And whatever the man called every living creature , that was its name .
ESV	Genesis	2	20	- Genesis 2:19 Or And out of the ground the Lord God formed - Genesis 2:20 Or the man - Genesis 2:22 Hebrew built - Genesis 2:23 The Hebrew words for woman ( ishshah ) and man ( ish ) sound alike The Holy Bible , English Standard Version . ESV® Text Edition :
ESV	Genesis	2	21	So the Lord God caused a ( U ) deep sleep to fall upon the man , and while he slept took one of his ribs and closed up its place with flesh .
ESV	Genesis	2	22	And the rib that the Lord God had taken from the man he made [ h ] into a woman and brought her to the man .
ESV	Genesis	2	23	Then the man said , “ This at last is ( V ) bone of my bones and flesh of my flesh ; she shall be called Woman , because she was ( W ) taken out of Man. ” [ i ]
ESV	Genesis	2	24	( X ) Therefore a man shall leave his father and his mother and hold fast to his wife , and they shall become one flesh .
ESV	Genesis	2	25	And the man and his wife were both naked and were not ashamed . Footnotes - Genesis 2:5 Or open country - Genesis 2:5 Or earth ; also verse
ESV	Genesis	2	2016	. Copyright ©
ESV	Genesis	2	2001	by Crossway Bibles , a publishing ministry of Good News Publishers .
ESV	Genesis	3	3	but God said , ( B ) ‘ You shall not eat of the fruit of the tree that is in the midst of the garden , neither shall you touch it , lest you die. ’ ”
ESV	Genesis	3	2	And the woman said to the serpent , “ We may eat of the fruit of the trees in the garden ,
ESV	Genesis	3	4	( C ) But the serpent said to the woman , “ You will not surely die .
ESV	Genesis	3	5	For God knows that when you eat of it your eyes will be opened , and you will be like God , knowing good and evil. ”
ESV	Genesis	3	6	So when the woman saw that the tree was good for food , and that it was a delight to the eyes , and that the tree was to be desired to make one wise , [ b ] she took of its fruit ( D ) and ate , and she also gave some to her husband who was with her , ( E ) and he ate .
ESV	Genesis	3	7	( F ) Then the eyes of both were opened , ( G ) and they knew that they were naked . And they sewed fig leaves together and made themselves loincloths .
ESV	Genesis	3	8	And they heard the sound of the Lord God walking in the garden in the cool [ c ] of the day , and the man and his wife ( H ) hid themselves from the presence of the Lord God among the trees of the garden .
ESV	Genesis	3	9	and
ESV	Genesis	3	10	And he said , “ I heard the sound of you in the garden , and I was afraid , ( I ) because I was naked , and I hid myself. ”
ESV	Genesis	3	11	- Genesis 3:15 Hebrew seed ; so throughout Genesis - Genesis 3:16 Or shall be toward ( see 4:7 ) - Genesis 3:20 Eve sounds like the Hebrew for life-giver and resembles the word for living The Holy Bible , English Standard Version . ESV® Text Edition :
ESV	Genesis	3	12	The man said , ( J ) “ The woman whom you gave to be with me , she gave me fruit of the tree , and I ate. ”
ESV	Genesis	3	13	Then the Lord God said to the woman , “ What is this that you have done ? ” The woman said , ( K ) “ The serpent deceived me , and I ate. ”
ESV	Genesis	3	14	The Lord God said to the serpent , “ Because you have done this , cursed are you above all livestock and above all beasts of the field ; on your belly you shall go , and ( L ) dust you shall eat all the days of your life .
ESV	Genesis	3	15	I will put enmity between you and the woman , and between your offspring [ e ] and ( M ) her offspring ; ( N ) he shall bruise your head , and you shall bruise his heel. ”
ESV	Genesis	3	16	To the woman he said , “ I will surely multiply your pain in childbearing ; ( O ) in pain you shall bring forth children . ( P ) Your desire shall be contrary to [ f ] your husband , but he shall ( Q ) rule over you. ”
ESV	Genesis	3	17	And to Adam he said , “ Because you have listened to the voice of your wife and have eaten of the tree ( R ) of which I commanded you , ‘ You shall not eat of it , ’ ( S ) cursed is the ground because of you ; ( T ) in pain you shall eat of it all the days of your life ;
ESV	Genesis	3	18	thorns and thistles it shall bring forth for you ; and you shall eat the plants of the field .
ESV	Genesis	3	19	By the sweat of your face you shall eat bread , till you return to the ground , for out of it you were taken ; ( U ) for you are dust , and ( V ) to dust you shall return. ”
ESV	Genesis	3	20	The man called his wife 's name Eve , because she was the mother of all living . [ g ]
ESV	Genesis	3	21	And the Lord God made for Adam and for his wife garments of skins and clothed them .
ESV	Genesis	3	22	Then the Lord God said , ( W ) “ Behold , the man has become like one of us in knowing good and evil . Now , lest he reach out his hand ( X ) and take also of the tree of life and eat , and live forever— ”
ESV	Genesis	3	23	therefore the Lord God sent him out from the garden of Eden ( Y ) to work the ground from which he was taken .
ESV	Genesis	3	24	He drove out the man , and at the east of the garden of Eden he placed the ( Z ) cherubim and a flaming sword that turned every way to guard the way to the tree of life . Footnotes - Genesis 3:1 In Hebrew you is plural in verses 1–5 - Genesis 3:6 Or to give insight - Genesis 3:8 Hebrew wind - Genesis 3:9 In Hebrew you is singular in verses
ESV	Genesis	3	2016	. Copyright ©
ESV	Genesis	3	2001	by Crossway Bibles , a publishing ministry of Good News Publishers .
ESV	Genesis	4	4	and Abel also brought of ( B ) the firstborn of his flock and of their fat portions . And the Lord ( C ) had regard for Abel and his offering ,
ESV	Genesis	4	2	And again , she bore his brother Abel . Now Abel was a keeper of sheep , and Cain a worker of the ground .
ESV	Genesis	4	3	In the course of time Cain brought to the Lord an offering of ( A ) the fruit of the ground ,
ESV	Genesis	4	5	but ( D ) for Cain and his offering he had no regard . So Cain was very angry , and his face fell .
ESV	Genesis	4	6	The Lord said to Cain , “ Why are you angry , and why has your face fallen ?
ESV	Genesis	4	7	( E ) If you do well , will you not be accepted ? [ b ] And if you do not do well , sin is crouching at the door . ( F ) Its desire is contrary to [ c ] you , but you must rule over it. ”
ESV	Genesis	4	8	Cain spoke to Abel his brother . [ d ] And when they were in the field , Cain rose up against his brother Abel and ( G ) killed him .
ESV	Genesis	4	9	Then the Lord said to Cain , “ Where is Abel your brother ? ” He said , ( H ) “ I do not know ; am I my brother 's keeper ? ”
ESV	Genesis	4	10	And the Lord said , “ What have you done ? The voice of your brother 's blood ( I ) is crying to me from the ground .
ESV	Genesis	4	11	And now ( J ) you are cursed from the ground , which has opened its mouth to receive your brother 's blood from your hand .
ESV	Genesis	4	12	When you work the ground , it shall no longer yield to you its strength . You shall be a fugitive and a wanderer on the earth. ”
ESV	Genesis	4	13	Cain said to the Lord , “ My ( K ) punishment is greater than I can bear . [ e ]
ESV	Genesis	4	14	Behold , ( L ) you have driven me today away from the ground , and ( M ) from your face I shall be hidden . I shall be a fugitive and a wanderer on the earth , ( N ) and whoever finds me will kill me. ”
ESV	Genesis	4	15	Then the Lord said to him , “ Not so ! If anyone kills Cain , vengeance shall be taken on him ( O ) sevenfold. ” And the Lord ( P ) put a mark on Cain , lest any who found him should attack him .
ESV	Genesis	4	16	Then Cain went away from the presence of the Lord and settled in the land of Nod , [ f ] east of Eden .
ESV	Genesis	4	17	Cain knew his wife , and she conceived and bore Enoch . When he built a city , he called the name of the city after the name of his son , Enoch .
ESV	Genesis	4	18	To Enoch was born Irad , and Irad fathered Mehujael , and Mehujael fathered Methushael , and Methushael fathered Lamech .
ESV	Genesis	4	19	And Lamech took two wives . The name of the one was Adah , and the name of the other Zillah .
ESV	Genesis	4	20	Adah bore Jabal ; he was the father of those who dwell in tents and have livestock .
ESV	Genesis	4	21	His brother 's name was Jubal ; he was the father of all those who play the lyre and pipe .
ESV	Genesis	4	22	Zillah also bore Tubal-cain ; he was the forger of all instruments of bronze and iron . The sister of Tubal-cain was Naamah .
