estilo	livro	capitulo	versiculo	texto
EXB	Matthew	1	1	Chronicles 3:10 ) .
EXB	Matthew	1	2	] .
EXB	Matthew	1	3	Judah was the father of Perez and Zerah . ( Their mother was Tamar [ Gen .
EXB	Matthew	1	38	] . ) Perez was the father of Hezron . Hezron was the father of Ram .
EXB	Matthew	1	4	Ram was the father of Amminadab . Amminadab was the father of Nahshon . Nahshon was the father of Salmon .
EXB	Matthew	1	5	Salmon was the father of Boaz . ( Boaz ’ s mother was Rahab [ Josh .
EXB	Matthew	1	6	Jesse was the father of King David . David was the father of Solomon . ( Solomon ’ s mother had been Uriah ’ s wife [ C Bathsheba ;
EXB	Matthew	1	7	Solomon was the father of Rehoboam . Rehoboam was the father of Abijah . Abijah was the father of Asa . [ a ]
EXB	Matthew	1	8	Asa was the father of Jehoshaphat . Jehoshaphat was the father of Joram [ C a variant spelling of Jehoram ;
EXB	Matthew	1	9	Uzziah was the father of Jotham . Jotham was the father of Ahaz . Ahaz was the father of Hezekiah .
EXB	Matthew	1	10	Hezekiah was the father of Manasseh . Manasseh was the father of Amon . Amon was the father of Josiah .
EXB	Matthew	1	11	Josiah was the ·grandfather [ or father ; C see v.
EXB	Matthew	1	12	After ·they were taken [ the exile/deportation ] to Babylon : Jeconiah was the father of Shealtiel . Shealtiel was the ·grandfather [ or father ; C see v.
EXB	Matthew	1	13	Zerubbabel was the father of Abiud . Abiud was the father of Eliakim . Eliakim was the father of Azor .
EXB	Matthew	1	14	Azor was the father of Zadok . Zadok was the father of ·Akim [ Achim ] . ·Akim [ Achim ] was the father of Eliud .
EXB	Matthew	1	15	Eliud was the father of Eleazar . Eleazar was the father of Matthan . Matthan was the father of Jacob .
EXB	Matthew	1	16	Jacob was the father of Joseph . Joseph was the husband of Mary , and Mary ·was the mother of [ gave birth to ] Jesus , who is called the ·Christ [ Messiah ] .
EXB	Matthew	1	17	So there were fourteen generations [ L in all ] from Abraham to David . And there were fourteen generations from David until the ·people were taken [ exile ; deportation ] to Babylon . And there were fourteen generations from the time ·when the people were taken [ of the exile/deportation ] to Babylon until ·Christ [ the Messiah ] was born . The Birth of Jesus Christ
EXB	Matthew	1	18	This is how the birth of Jesus ·Christ [ the Messiah ] came about . His mother Mary was ·engaged [ pledged ; T betrothed ; C a formal agreement between families that required a “ divorce ” to annul ] to marry Joseph , but before they ·married [ came to live together ] , she ·learned she was [ or was found/discovered to be ] ·pregnant [ T with child ] ·by the power of [ through ] the Holy Spirit .
EXB	Matthew	1	19	Because Mary ’ s husband , Joseph , was a ·good [ righteous ] man , he did not want to disgrace her in public , so he planned to ·divorce her [ end the engagement ] ·secretly [ privately ; quietly ] .
EXB	Matthew	1	20	While Joseph ·thought about [ considered ; decided ; resolved to do ] these things , [ L look ; T behold ] an angel of the Lord ·came [ appeared ] to him in a dream . The angel said , “ Joseph , ·descendant [ son ] of David , don ’ t be afraid to take Mary as your wife , because ·the baby [ L what is conceived ] in her is from the Holy Spirit .
EXB	Matthew	1	21	She will give birth to a son , and you will name him Jesus , because he will save his people from their sins [ C the name Jesus means “ the Lord saves ” ] . ”
EXB	Matthew	1	22	All this happened to ·bring about [ fulfill ] what the Lord had ·said [ spoken ] through the prophet :
EXB	Matthew	1	23	“ [ L Look ; T Behold ] The virgin will ·be pregnant [ L conceive in her womb ; Is . 7:14 ] . She will ·have [ give birth to ] a son , and they will name him Immanuel , ” which [ C in Hebrew ] means “ God is with us. ”
EXB	Matthew	1	24	When Joseph woke up , he did what the Lord ’ s angel had ·told [ commanded ] him to do . Joseph took Mary as his wife ,
EXB	Matthew	1	25	but he did not have sexual relations with her until she gave birth to a son . And ·Joseph [ L he ] named him Jesus . Footnotes - Matthew 1:7 Asa Some Greek copies read “ Asaph , ” another name for Asa ( see
EXB	Matthew	2	2	They asked , “ Where is the ·baby who was born to be the king [ or newborn king ] of the Jews ? We saw his star ·in the east [ or when it rose ] and have come to ·worship him [ pay him homage ] . ”
EXB	Matthew	2	3	When King Herod heard this , he was ·troubled [ very disturbed ; frightened ] , as were all the people in Jerusalem .
EXB	Matthew	2	4	bc to ad
EXB	Matthew	2	5	They answered , “ In the town of Bethlehem in Judea . ·The prophet wrote about this in the Scriptures [ L For so it has been written by the prophet ] :
EXB	Matthew	2	6	] was now ·king [ reigning ] in Judea ·since his father Herod had died [ L in place of his father Herod ] . So Joseph was afraid to go there . After being warned in a dream , he ·went [ withdrew ] to the ·area [ region ; district ] of Galilee ,
EXB	Matthew	2	7	Then Herod ·had a secret meeting with [ privately summoned ] the ·wise men [ astrologers ; magi ; v.
EXB	Matthew	2	1	] and ·learned [ inquired ] from them the exact time ·they first saw the star [ the star appeared ] .
EXB	Matthew	2	8	He sent the ·wise men [ astrologers ; magi ] to Bethlehem , saying , “ ·Look [ Go and search ] carefully for the child . When you find him , ·come tell [ report to ] me so I can [ L go and ] ·worship [ pay homage to ] him too. ”
EXB	Matthew	2	9	After the ·wise men [ astrologers ; magi ] ·heard [ listened to ; had their interview with ] the king , they ·left [ went on their way ; set out ] . [ L And look ] The star that they had seen ·in the east [ or when it rose ] went ·before [ ahead of ] them until it ·stopped [ stood ] above the place where the child was .
EXB	Matthew	2	10	When the ·wise men [ astologers ; magi ] saw the star , they ·were filled with joy [ were overjoyed ; L rejoiced with exceedingly great joy ] .
EXB	Matthew	2	11	They ·came to [ entered ] the house where the child was and saw him with his mother , Mary , and they ·bowed down [ knelt ; L fell ] and ·worshiped [ paid homage to ] him . They opened their ·gifts [ treasure chests ; treasures ] and gave him gifts of gold , frankincense , and myrrh .
EXB	Matthew	2	12	·But God warned the wise men [ L Being warned ; C the passive verb implies God as subject ] in a dream not to go back to Herod , so they returned to their own country by a different way . Jesus ’ Parents Take Him to Egypt
EXB	Matthew	2	13	After they left , an angel of the Lord ·came [ appeared ] to Joseph in a dream and said , “ Get up ! Take the child and his mother and ·escape [ flee ] to Egypt . Stay there until I tell you to return , because Herod is ·starting [ intending ; going ] to ·look [ search ] for the child so he can kill him. ”
EXB	Matthew	2	14	So Joseph got up and left for Egypt during the night with the child and his mother .
EXB	Matthew	2	15	And Joseph stayed in Egypt until Herod died . This happened to ·bring about [ fulfill ] what the Lord had said through the prophet : “ I called my son out of Egypt [ Hos . 11:1 ; C Jesus fulfills the role of Israel by leading a spiritual Exodus ] . ” Herod Kills the Baby Boys
EXB	Matthew	2	16	When Herod saw that the ·wise men [ astologers ; magi ] had ·tricked [ outwitted ; outsmarted ] him , he was furious . So he ·gave an order [ or sent soldiers ] to kill all the baby boys in Bethlehem and in the surrounding area who were two years old or younger . This was ·in keeping with [ based on ] the time he learned from the ·wise men [ astologers ; magi ] .
EXB	Matthew	2	17	·So [ Then ] what ·God had said [ L was spoken ; C the passive verb implies God as subject ] through the prophet Jeremiah ·came true [ was fulfilled ] :
