estilo	livro	capitulo	versiculo	texto
KJV	Matthew	1	1	The book of the generation of Jesus Christ , the son of David , the son of Abraham .
KJV	Matthew	1	2	Abraham begat Isaac ; and Isaac begat Jacob ; and Jacob begat Judas and his brethren ;
KJV	Matthew	1	3	And Judas begat Phares and Zara of Thamar ; and Phares begat Esrom ; and Esrom begat Aram ;
KJV	Matthew	1	4	And Aram begat Aminadab ; and Aminadab begat Naasson ; and Naasson begat Salmon ;
KJV	Matthew	1	5	And Salmon begat Booz of Rachab ; and Booz begat Obed of Ruth ; and Obed begat Jesse ;
KJV	Matthew	1	6	And Jesse begat David the king ; and David the king begat Solomon of her that had been the wife of Urias ;
KJV	Matthew	1	7	And Solomon begat Roboam ; and Roboam begat Abia ; and Abia begat Asa ;
KJV	Matthew	1	8	And Asa begat Josaphat ; and Josaphat begat Joram ; and Joram begat Ozias ;
KJV	Matthew	1	9	And Ozias begat Joatham ; and Joatham begat Achaz ; and Achaz begat Ezekias ;
KJV	Matthew	1	10	And Ezekias begat Manasses ; and Manasses begat Amon ; and Amon begat Josias ;
KJV	Matthew	1	11	And Josias begat Jechonias and his brethren , about the time they were carried away to Babylon :
KJV	Matthew	1	12	And after they were brought to Babylon , Jechonias begat Salathiel ; and Salathiel begat Zorobabel ;
KJV	Matthew	1	13	And Zorobabel begat Abiud ; and Abiud begat Eliakim ; and Eliakim begat Azor ;
KJV	Matthew	1	14	And Azor begat Sadoc ; and Sadoc begat Achim ; and Achim begat Eliud ;
KJV	Matthew	1	15	And Eliud begat Eleazar ; and Eleazar begat Matthan ; and Matthan begat Jacob ;
KJV	Matthew	1	16	And Jacob begat Joseph the husband of Mary , of whom was born Jesus , who is called Christ .
KJV	Matthew	1	17	So all the generations from Abraham to David are fourteen generations ; and from David until the carrying away into Babylon are fourteen generations ; and from the carrying away into Babylon unto Christ are fourteen generations .
KJV	Matthew	1	18	Now the birth of Jesus Christ was on this wise : When as his mother Mary was espoused to Joseph , before they came together , she was found with child of the Holy Ghost .
KJV	Matthew	1	19	Then Joseph her husband , being a just man , and not willing to make her a public example , was minded to put her away privily .
KJV	Matthew	1	20	But while he thought on these things , behold , the angel of the Lord appeared unto him in a dream , saying , Joseph , thou son of David , fear not to take unto thee Mary thy wife : for that which is conceived in her is of the Holy Ghost .
KJV	Matthew	1	21	And she shall bring forth a son , and thou shalt call his name Jesus : for he shall save his people from their sins .
KJV	Matthew	1	22	Now all this was done , that it might be fulfilled which was spoken of the Lord by the prophet , saying ,
KJV	Matthew	1	23	Behold , a virgin shall be with child , and shall bring forth a son , and they shall call his name Emmanuel , which being interpreted is , God with us .
KJV	Matthew	1	24	Then Joseph being raised from sleep did as the angel of the Lord had bidden him , and took unto him his wife :
KJV	Matthew	1	25	And knew her not till she had brought forth her firstborn son : and he called his name Jesus .
KJV	Matthew	2	2	Saying , Where is he that is born King of the Jews ? for we have seen his star in the east , and are come to worship him .
KJV	Matthew	2	3	When Herod the king had heard these things , he was troubled , and all Jerusalem with him .
KJV	Matthew	2	4	And when he had gathered all the chief priests and scribes of the people together , he demanded of them where Christ should be born .
KJV	Matthew	2	5	And they said unto him , In Bethlehem of Judaea : for thus it is written by the prophet ,
KJV	Matthew	2	6	And thou Bethlehem , in the land of Juda , art not the least among the princes of Juda : for out of thee shall come a Governor , that shall rule my people Israel .
KJV	Matthew	2	7	Then Herod , when he had privily called the wise men , enquired of them diligently what time the star appeared .
KJV	Matthew	2	8	And he sent them to Bethlehem , and said , Go and search diligently for the young child ; and when ye have found him , bring me word again , that I may come and worship him also .
KJV	Matthew	2	9	When they had heard the king , they departed ; and , lo , the star , which they saw in the east , went before them , till it came and stood over where the young child was .
KJV	Matthew	2	10	When they saw the star , they rejoiced with exceeding great joy .
KJV	Matthew	2	11	And when they were come into the house , they saw the young child with Mary his mother , and fell down , and worshipped him : and when they had opened their treasures , they presented unto him gifts ; gold , and frankincense and myrrh .
KJV	Matthew	2	12	And being warned of God in a dream that they should not return to Herod , they departed into their own country another way .
KJV	Matthew	2	13	And when they were departed , behold , the angel of the Lord appeareth to Joseph in a dream , saying , Arise , and take the young child and his mother , and flee into Egypt , and be thou there until I bring thee word : for Herod will seek the young child to destroy him .
KJV	Matthew	2	14	When he arose , he took the young child and his mother by night , and departed into Egypt :
KJV	Matthew	2	15	And was there until the death of Herod : that it might be fulfilled which was spoken of the Lord by the prophet , saying , Out of Egypt have I called my son .
KJV	Matthew	2	16	Then Herod , when he saw that he was mocked of the wise men , was exceeding wroth , and sent forth , and slew all the children that were in Bethlehem , and in all the coasts thereof , from two years old and under , according to the time which he had diligently inquired of the wise men .
KJV	Matthew	2	17	Then was fulfilled that which was spoken by Jeremiah the prophet , saying ,
KJV	Matthew	2	18	In Rama was there a voice heard , lamentation , and weeping , and great mourning , Rachel weeping for her children , and would not be comforted , because they are not .
KJV	Matthew	2	19	But when Herod was dead , behold , an angel of the Lord appeareth in a dream to Joseph in Egypt ,
KJV	Matthew	2	20	Saying , Arise , and take the young child and his mother , and go into the land of Israel : for they are dead which sought the young child 's life .
KJV	Matthew	2	21	And he arose , and took the young child and his mother , and came into the land of Israel .
