estilo	livro	capitulo	versiculo	texto
MOUNCE	Matthew	1	1	The record biblos of the origin genesis of Jesus Iēsous Christ Christos , the son hyios of David Dauid , the son hyios of Abraham Abraam .
MOUNCE	Matthew	1	2	Abraham Abraam was the father gennaō of · ho Isaac Isaak , Isaac Isaak · de was the father gennaō of · ho Jacob Iakōb , and de Jacob Iakōb was the father gennaō of · ho Judah Ioudas and kai · ho his autos brothers adelphos ,
MOUNCE	Matthew	1	3	Judah Ioudas · de was the father gennaō of · ho Perez Phares and kai · ho Zerah Zara by ek · ho Tamar Thamar , Perez Phares · de was the father gennaō of · ho Hezron Hesrōm , and de Hezron Hesrōm was the father gennaō of · ho Ram Aram ,
MOUNCE	Matthew	1	4	Ram Aram · de was the father gennaō of · ho Amminadab Aminadab , Amminadab Aminadab · de was the father gennaō of · ho Nahshon Naassōn , and de Nahshon Naassōn was the father gennaō of · ho Salmon Salmōn ,
MOUNCE	Matthew	1	5	Salmon Salmōn · de was the father gennaō of · ho Boaz Boes by ek · ho Rahab Rhachab , Boaz Boes · de was the father gennaō of · ho Obed Iōbēd by ek · ho Ruth Rhouth , and de Obed Iōbēd was the father gennaō of · ho Jesse Iessai ,
MOUNCE	Matthew	1	6	and de Jesse Iessai was the father gennaō of · ho David Dauid the ho king basileus . David Dauid · de was the father gennaō of · ho Solomon Solomōn by ek the ho wife of ho Uriah ourias .
MOUNCE	Matthew	1	7	Solomon Solomōn · de was the father gennaō of · ho Rehoboam Rhoboam , Rehoboam Rhoboam · de was the father gennaō of · ho Abijah Abia , and de Abijah Abia was the father gennaō of · ho Asaph Asaph ,
MOUNCE	Matthew	1	8	Asaph Asaph · de was the father gennaō of · ho Jehoshaphat Iōsaphat , Jehoshaphat Iōsaphat · de was the father gennaō of · ho Joram Iōram , and de Joram Iōram was the father gennaō of · ho Uzziah Ozias ,
MOUNCE	Matthew	1	9	Uzziah Ozias · de was the father gennaō of · ho Jotham Iōatham , Jotham Iōatham · de was the father gennaō of · ho Ahaz Achaz , and de Ahaz Achaz was the father gennaō of · ho Hezekiah Hezekias ,
MOUNCE	Matthew	1	10	Hezekiah Hezekias · de was the father gennaō of · ho Manasseh Manassēs , Manasseh Manassēs · de was the father gennaō of · ho Amos Amōs , and de Amos Amōs was the father gennaō of · ho Josiah Iōsias ,
MOUNCE	Matthew	1	11	Josiah Iōsias · de was the father gennaō of · ho Jechoniah Iechonias and kai · ho his autos brothers adelphos at epi the time of the ho deportation metoikesia to Babylon Babylōn .
MOUNCE	Matthew	1	12	After meta · de the ho deportation metoikesia to Babylon Babylōn , Jechoniah Iechonias was the father gennaō of · ho Shealtiel Salathiēl , and de Shealtiel Salathiēl was the father gennaō of · ho Zerubbabel Zorobabel ,
MOUNCE	Matthew	1	13	Zerubbabel Zorobabel · de was the father gennaō of · ho Abiud Abioud , Abiud Abioud · de was the father gennaō of · ho Eliakim Eliakim , and de Eliakim Eliakim was the father gennaō of · ho Azor Azōr ,
MOUNCE	Matthew	1	14	Azor Azōr · de was the father gennaō of · ho Zadok Sadōk , Zadok Sadōk · de was the father gennaō of · ho Achim Achim , and de Achim Achim was the father gennaō of · ho Eliud Elioud ,
MOUNCE	Matthew	1	15	Eliud Elioud · de was the father gennaō of · ho Eleazar Eleazar , Eleazar Eleazar · de was the father gennaō of · ho Matthan Matthan , and de Matthan Matthan was the father gennaō of · ho Jacob Iakōb ,
MOUNCE	Matthew	1	16	Jacob Iakōb · de was the father gennaō of · ho Joseph Iōsēph the ho husband anēr of Mary Maria , from ek whom hos Jesus Iēsous was born gennaō , who ho is called legō Christ Christos .
MOUNCE	Matthew	1	17	So oun all pas the ho generations genea from apo Abraham Abraam to heōs David Dauid were fourteen dekatessares generations genea , and kai from apo David Dauid to heōs the ho deportation metoikesia to Babylon Babylōn fourteen dekatessares generations genea , and kai from apo the ho deportation metoikesia to Babylon Babylōn to heōs the ho Christ Christos fourteen dekatessares generations genea .
MOUNCE	Matthew	1	18	Now de the ho birth genesis of ho Jesus Iēsous Christ Christos took place eimi in this way houtōs : When his autos mother mētēr Mary Maria was pledged mnēsteuō in marriage · ho to ho Joseph Iōsēph , before prin ē they autos had come synerchomai together , she was found heuriskō to be echō with en child gastēr by ek the Holy hagios Spirit pneuma .
MOUNCE	Matthew	1	19	Because her autos husband anēr Joseph Iōsēph · de · ho was eimi a just dikaios man and kai unwilling mē thelō to disgrace deigmatizō her autos in public deigmatizō , he planned boulomai to release apolyō her autos quietly lathrai .
MOUNCE	Matthew	1	20	But de as he autos pondered enthumeomai this houtos , behold idou , an angel angelos of the Lord kyrios appeared phainō to him autos in kata a dream onar , saying legō , “ Joseph Iōsēph , son hyios of David Dauid , do not mē be afraid phobeomai to take paralambanō Mary Maria · ho as your sy wife gynē ; for gar that ho which has been conceived gennaō in en her autos is eimi by ek the Holy hagios Spirit pneuma .
MOUNCE	Matthew	1	21	And de she will bear tiktō a son hyios , and kai you are to call kaleō · ho him autos Jesus Iēsous , for gar he autos will save sōzō · ho his autos people laos from apo · ho their autos sins hamartia. ”
MOUNCE	Matthew	1	22	All holos this houtos · de took ginomai place so hina that what ho was spoken legō by hypo the Lord kyrios through dia the ho prophet prophētēs might be fulfilled plēroō :
MOUNCE	Matthew	1	23	“ Behold idou , the ho virgin parthenos shall conceive en and kai give birth tiktō to a son hyios , and kai they shall call kaleō · ho him autos Emmanuel Emmanouēl , ” which hos is eimi translated methermēneuō “ God theos is with meta us hēmeis. ” · ho
MOUNCE	Matthew	1	24	When Joseph Iōsēph arose egeirō · de · ho from apo · ho sleep hypnos , he did poieō what hōs the angel angelos of kyrios the Lord kyrios had told prostassō him autos , · ho and kai he took paralambanō her as · ho his autos wife gynē ,
MOUNCE	Matthew	1	25	but kai he had no ou marital ginōskō relations with her autos until heōs hos she had given tiktō birth to a son hyios ; and kai he called kaleō · ho him autos Jesus Iēsous . The Mounce Reverse Interlinear™ New Testament ( MOUNCE ) Copyright ©
MOUNCE	Matthew	1	2011	by William D. Mounce . Used by permission . All rights reserved worldwide . “ Reverse Interlinear ” is a trademark of William D. Mounce .
MOUNCE	Matthew	2	2	saying legō , “ Where pou is eimi the ho one who has been born tiktō king basileus of the ho Jews Ioudaios ? For gar we saw his autos · ho star astēr at en its ho rising anatolē and kai have come erchomai to worship proskyneō him autos. ”
MOUNCE	Matthew	2	3	Now de when king basileus Herod hērōdēs heard akouō this , · ho he was troubled tarassō , and kai all pas Jerusalem Hierosolyma with meta him autos ;
MOUNCE	Matthew	2	4	and kai gathering synagō all pas the ho ruling archiereus priests and kai scribes grammateus of the ho people laos , he inquired pynthanomai of para them autos where pou the ho Messiah Christos was to be born gennaō .
MOUNCE	Matthew	2	5	They ho · de told legō him autos , “ In en Bethlehem Bēthleem of ho Judea Ioudaia , for gar thus houtōs it is written graphō by dia the ho prophet prophētēs :
MOUNCE	Matthew	2	6	‘ And kai you sy , Bethlehem Bēthleem , in the land gē of Judah Ioudas , are eimi by no oudamōs means least elachistos among en the ho rulers hēgemōn of Judah Ioudas ; for gar from ek you sy will come exerchomai a ruler hēgeomai who hostis will shepherd poimainō · ho my egō people laos · ho Israel Israēl. ’ ”
MOUNCE	Matthew	2	7	Then tote Herod hērōdēs secretly lathrai called kaleō for the ho magi magos and found akriboō out from para them autos exactly what · ho time chronos the star astēr · ho had appeared phainō .
MOUNCE	Matthew	2	8	Then kai he sent pempō them autos to eis Bethlehem Bēthleem , saying legō , “ Go poreuō and search exetazō diligently akribōs for peri the ho child paidion ; and de when epan you have found heuriskō him , report apangellō back to me egō , so hopōs that I kagō also may go erchomai and worship proskyneō him autos. ”
MOUNCE	Matthew	2	9	And de having listened akouō to the ho king basileus , they ho continued poreuō their journey , and kai the ho star astēr that hos they had seen in en its ho rising anatolē went proagō before them autos until heōs it stopped histēmi over epanō the place where hou the ho child paidion was eimi .
MOUNCE	Matthew	2	10	And de when they caught sight of the ho star astēr , they rejoiced chairō exceedingly sphodra with great megas joy chara .
MOUNCE	Matthew	2	11	· kai Upon entering erchomai the ho house oikia they saw the ho child paidion with meta Mary Maria · ho his autos mother mētēr , and kai falling piptō to their knees they worshiped proskyneō him autos . Then kai opening anoigō · ho their autos treasure thēsauros chests , they presented prospherō him autos with gifts dōron , gold chrysos and kai frankincense libanos and kai myrrh smyrna .
MOUNCE	Matthew	2	12	And kai being warned chrēmatizō in kata a dream onar not mē to return anakamptō to pros Herod hērōdēs , they left anachōreō for eis their own autos country chōra by dia another allos way hodos . · ho
MOUNCE	Matthew	2	13	After they autos had gone anachōreō , · de an angel angelos of the Lord kyrios appeared phainō in kata a dream onar to ho Joseph Iōsēph , saying legō , “ Rise egeirō , take paralambanō the ho child paidion and kai · ho his autos mother mētēr , · kai flee pheugō to eis Egypt Aigyptos , and kai stay eimi there ekei until heōs an I tell legō you sy ; for gar Herod hērōdēs is going mellō to search zēteō for the ho child paidion · ho to destroy apollymi him autos. ”
MOUNCE	Matthew	2	14	So de he ho got egeirō up , took paralambanō the ho child paidion and kai · ho his autos mother mētēr by night nyx , and kai left anachōreō for eis Egypt Aigyptos ,
MOUNCE	Matthew	2	15	and kai was eimi there ekei until heōs the ho death teleutē of Herod hērōdēs . This was to hina fulfill plēroō what ho was spoken legō by hypo the Lord kyrios through dia the ho prophet prophētēs : “ Out ek of Egypt Aigyptos I have called kaleō · ho my egō son hyios. ”
MOUNCE	Matthew	2	16	Then tote Herod hērōdēs , when he saw that hoti he had been tricked empaizō by hypo the ho wise magos men , became furious thumoō ; and kai he sent apostellō and killed anaireō all pas the ho male pais children · ho in en Bethlehem Bēthleem and kai in en all pas · ho her autos regions horion who were two years old dietēs or kai under katōterō , according kata to the ho time chronos that hos he had determined akriboō from para the ho wise magos men .
MOUNCE	Matthew	2	17	Then tote was fulfilled plēroō what ho was spoken legō by dia the ho prophet prophētēs Jeremiah Ieremias :
MOUNCE	Matthew	2	18	“ A voice phōnē was heard akouō in en Ramah Rhama , weeping klauthmos and kai loud polys lamentation odyrmos , Rachel Rhachēl weeping klaiō for · ho her autos children teknon ; · kai she refused ou to be comforted parakaleō , because hoti they were eimi no ou more . ”
MOUNCE	Matthew	2	19	But de when Herod hērōdēs died teleutaō , · ho an angel angelos of the Lord kyrios appeared phainō in kata a dream onar to ho Joseph Iōsēph in en Egypt Aigyptos ,
MOUNCE	Matthew	2	20	saying legō , “ Rise egeirō , take paralambanō the ho child paidion and kai · ho his autos mother mētēr , and kai go poreuō to eis the land gē of Israel Israēl , for gar those ho who were seeking zēteō the ho child ’ s paidion life psychē · ho are dead thnēskō. ”
MOUNCE	Matthew	2	21	· ho So de Joseph got egeirō up , took paralambanō the ho child paidion and kai · ho his autos mother mētēr , and kai went eiserchomai into eis the land gē of Israel Israēl .
MOUNCE	Matthew	2	22	But de when he heard akouō that hoti Archelaus Archelaos was reigning basileuō over · ho Judea Ioudaia in place anti of · ho his autos father patēr Herod hērōdēs , he was afraid phobeomai to go aperchomai there ekei , and de being warned chrēmatizō in kata a dream onar he went anachōreō into eis the ho region meros of ho Galilee Galilaia .
MOUNCE	Matthew	2	23	And kai he went erchomai and settled katoikeō in eis a town polis called legō Nazareth Nazaret , that hopōs what ho was spoken legō by dia the ho prophets prophētēs might be fulfilled plēroō : “ He will be called kaleō a Nazarene Nazōraios. ” The Mounce Reverse Interlinear™ New Testament ( MOUNCE ) Copyright ©
MOUNCE	Matthew	2	2011	by William D. Mounce . Used by permission . All rights reserved worldwide . “ Reverse Interlinear ” is a trademark of William D. Mounce .
MOUNCE	Matthew	3	3	For gar this houtos is eimi he ho who was spoken legō of by dia Isaiah ēsaias the ho prophet prophētēs when he said legō , ‘ The voice phōnē of one crying boaō out in en the ho wilderness erēmos : Prepare hetoimazō the ho way hodos of the Lord kyrios ; make poieō his autos paths tribos straight. ’ ” · ho
MOUNCE	Matthew	3	2	· kai “ Repent metanoeō , for gar the ho kingdom basileia of ho heaven ouranos is at hand engizō .
