estilo	livro	capitulo	versiculo	texto
NCV	Matthew	1	1	Chronicles 3:16 ) . - 1:18 engaged For the Jewish people an engagement was a lasting agreement , which could only be broken by a divorce . If a bride-to-be was unfaithful , it was considered adultery , and she could be put to death . - 1:21 Jesus The name “ Jesus ” means “ salvation. ” - 1:23 “ The virgin . . . Immanuel ” Quotation from Isaiah 7:14 . The Holy Bible , New Century Version® . Copyright ©
NCV	Matthew	1	2	Kings 24:6 and
NCV	Matthew	1	3	Judah was the father of Perez and Zerah . ( Their mother was Tamar . ) Perez was the father of Hezron . Hezron was the father of Ram .
NCV	Matthew	1	4	Ram was the father of Amminadab . Amminadab was the father of Nahshon . Nahshon was the father of Salmon .
NCV	Matthew	1	5	Salmon was the father of Boaz . ( Boaz ’ s mother was Rahab . ) Boaz was the father of Obed . ( Obed ’ s mother was Ruth . ) Obed was the father of Jesse .
NCV	Matthew	1	6	Jesse was the father of King David . David was the father of Solomon . ( Solomon ’ s mother had been Uriah ’ s wife . )
NCV	Matthew	1	7	Solomon was the father of Rehoboam . Rehoboam was the father of Abijah . Abijah was the father of Asa . [ b ]
NCV	Matthew	1	8	Asa was the father of Jehoshaphat . Jehoshaphat was the father of Jehoram . Jehoram was the ancestor of Uzziah .
NCV	Matthew	1	9	Uzziah was the father of Jotham . Jotham was the father of Ahaz . Ahaz was the father of Hezekiah .
NCV	Matthew	1	10	Hezekiah was the father of Manasseh . Manasseh was the father of Amon . Amon was the father of Josiah .
NCV	Matthew	1	11	Josiah was the grandfather of Jehoiachin [ c ] and his brothers . ( This was at the time that the people were taken to Babylon . )
NCV	Matthew	1	12	After they were taken to Babylon : Jehoiachin was the father of Shealtiel . Shealtiel was the grandfather of Zerubbabel .
NCV	Matthew	1	13	Zerubbabel was the father of Abiud . Abiud was the father of Eliakim . Eliakim was the father of Azor .
NCV	Matthew	1	14	Azor was the father of Zadok . Zadok was the father of Akim . Akim was the father of Eliud .
NCV	Matthew	1	15	Eliud was the father of Eleazar . Eleazar was the father of Matthan . Matthan was the father of Jacob .
NCV	Matthew	1	16	Jacob was the father of Joseph . Joseph was the husband of Mary , and Mary was the mother of Jesus . Jesus is called the Christ .
NCV	Matthew	1	17	So there were fourteen generations from Abraham to David . And there were fourteen generations from David until the people were taken to Babylon . And there were fourteen generations from the time when the people were taken to Babylon until Christ was born . The Birth of Jesus Christ
NCV	Matthew	1	18	This is how the birth of Jesus Christ came about . His mother Mary was engaged [ d ] to marry Joseph , but before they married , she learned she was pregnant by the power of the Holy Spirit .
NCV	Matthew	1	19	Because Mary ’ s husband , Joseph , was a good man , he did not want to disgrace her in public , so he planned to divorce her secretly .
NCV	Matthew	1	20	While Joseph thought about these things , an angel of the Lord came to him in a dream . The angel said , “ Joseph , descendant of David , don ’ t be afraid to take Mary as your wife , because the baby in her is from the Holy Spirit .
NCV	Matthew	1	21	She will give birth to a son , and you will name him Jesus , [ e ] because he will save his people from their sins. ”
NCV	Matthew	1	22	All this happened to bring about what the Lord had said through the prophet :
NCV	Matthew	1	23	“ The virgin will be pregnant . She will have a son , and they will name him Immanuel , ” [ f ] which means “ God is with us. ”
NCV	Matthew	1	24	When Joseph woke up , he did what the Lord ’ s angel had told him to do . Joseph took Mary as his wife ,
NCV	Matthew	1	25	but he did not have sexual relations with her until she gave birth to the son . And Joseph named him Jesus . Footnotes - 1:2 father “ Father ” in Jewish lists of ancestors can sometimes mean grandfather or more distant relative . - 1:7 Asa Some Greek copies read “ Asaph , ” another name for Asa ( see
NCV	Matthew	1	2005	by Thomas Nelson , Inc .
NCV	Matthew	2	2	They asked , “ Where is the baby who was born to be the king of the Jews ? We saw his star in the east and have come to worship him. ”
NCV	Matthew	2	3	When King Herod heard this , he was troubled , as were all the people in Jerusalem .
NCV	Matthew	2	4	Herod called a meeting of all the leading priests and teachers of the law and asked them where the Christ would be born .
NCV	Matthew	2	5	They answered , “ In the town of Bethlehem in Judea . The prophet wrote about this in the Scriptures :
NCV	Matthew	2	6	‘ But you , Bethlehem , in the land of Judah , are not just an insignificant village in Judah . A ruler will come from you who will be like a shepherd for my people Israel. ’ ” Micah 5:2
NCV	Matthew	2	7	Then Herod had a secret meeting with the wise men and learned from them the exact time they first saw the star .
NCV	Matthew	2	8	He sent the wise men to Bethlehem , saying , “ Look carefully for the child . When you find him , come tell me so I can worship him too. ”
NCV	Matthew	2	9	After the wise men heard the king , they left . The star that they had seen in the east went before them until it stopped above the place where the child was .
NCV	Matthew	2	10	When the wise men saw the star , they were filled with joy .
NCV	Matthew	2	11	They came to the house where the child was and saw him with his mother , Mary , and they bowed down and worshiped him . They opened their gifts and gave him treasures of gold , frankincense , and myrrh .
NCV	Matthew	2	12	But God warned the wise men in a dream not to go back to Herod , so they returned to their own country by a different way . Jesus ’ Parents Take Him to Egypt
NCV	Matthew	2	13	After they left , an angel of the Lord came to Joseph in a dream and said , “ Get up ! Take the child and his mother and escape to Egypt , because Herod is starting to look for the child so he can kill him . Stay in Egypt until I tell you to return. ”
NCV	Matthew	2	14	So Joseph got up and left for Egypt during the night with the child and his mother .
NCV	Matthew	2	15	And Joseph stayed in Egypt until Herod died . This happened to bring about what the Lord had said through the prophet : “ I called my son out of Egypt. ” [ a ] Herod Kills the Baby Boys
NCV	Matthew	2	16	When Herod saw that the wise men had tricked him , he was furious . So he gave an order to kill all the baby boys in Bethlehem and in the surrounding area who were two years old or younger . This was in keeping with the time he learned from the wise men .
NCV	Matthew	2	17	So what God had said through the prophet Jeremiah came true :
NCV	Matthew	2	18	“ A voice was heard in Ramah of painful crying and deep sadness : Rachel crying for her children . She refused to be comforted , because her children are dead. ” Jeremiah 31:15 Joseph and Mary Return
NCV	Matthew	2	19	After Herod died , an angel of the Lord spoke to Joseph in a dream while he was in Egypt .
NCV	Matthew	2	20	The angel said , “ Get up ! Take the child and his mother and go to the land of Israel , because the people who were trying to kill the child are now dead. ”
NCV	Matthew	2	21	So Joseph took the child and his mother and went to Israel .
NCV	Matthew	2	22	But he heard that Archelaus was now king in Judea since his father Herod had died . So Joseph was afraid to go there . After being warned in a dream , he went to the area of Galilee ,
NCV	Matthew	2	23	to a town called Nazareth , and lived there . And so what God had said through the prophets came true : “ He will be called a Nazarene. ” [ b ] Footnotes - 2:15 “ I called . . . Egypt. ” Quotation from Hosea 11:1 . - 2:23 Nazarene A person from the town of Nazareth . Matthew may be referring to Isaiah 11:1 , where the Hebrew word translated “ branch ” sounds like “ Nazarene. ” The Holy Bible , New Century Version® . Copyright ©
NCV	Matthew	2	2005	by Thomas Nelson , Inc .
NCV	Matthew	3	3	John the Baptist is the one Isaiah the prophet was talking about when he said : “ This is a voice of one who calls out in the desert : ‘ Prepare the way for the Lord . Make the road straight for him. ’ ” Isaiah 40:3
NCV	Matthew	3	2	John said , “ Change your hearts and lives because the kingdom of heaven is near. ”
NCV	Matthew	3	4	John ’ s clothes were made from camel ’ s hair , and he wore a leather belt around his waist . For food , he ate locusts and wild honey .
NCV	Matthew	3	5	Many people came from Jerusalem and Judea and all the area around the Jordan River to hear John .
NCV	Matthew	3	6	They confessed their sins , and he baptized them in the Jordan River .
NCV	Matthew	3	7	Many of the Pharisees and Sadducees came to the place where John was baptizing people . When John saw them , he said , “ You are snakes ! Who warned you to run away from God ’ s coming punishment ?
NCV	Matthew	3	8	Do the things that show you really have changed your hearts and lives .
NCV	Matthew	3	9	And don ’ t think you can say to yourselves , ‘ Abraham is our father. ’ I tell you that God could make children for Abraham from these rocks .
NCV	Matthew	3	10	The ax is now ready to cut down the trees , and every tree that does not produce good fruit will be cut down and thrown into the fire . [ a ]
NCV	Matthew	3	11	“ I baptize you with water to show that your hearts and lives have changed . But there is one coming after me who is greater than I am , whose sandals I am not good enough to carry . He will baptize you with the Holy Spirit and fire .
NCV	Matthew	3	12	He will come ready to clean the grain , separating the good grain from the chaff . He will put the good part of the grain into his barn , but he will burn the chaff with a fire that can not be put out. ” [ b ] Jesus Is Baptized by John
NCV	Matthew	3	13	At that time Jesus came from Galilee to the Jordan River and wanted John to baptize him .
NCV	Matthew	3	14	But John tried to stop him , saying , “ Why do you come to me to be baptized ? I need to be baptized by you ! ”
NCV	Matthew	3	15	Jesus answered , “ Let it be this way for now . We should do all things that are God ’ s will. ” So John agreed to baptize Jesus .
NCV	Matthew	3	16	As soon as Jesus was baptized , he came up out of the water . Then heaven opened , and he saw God ’ s Spirit coming down on him like a dove .
NCV	Matthew	3	17	And a voice from heaven said , “ This is my Son , whom I love , and I am very pleased with him. ” The Holy Bible , New Century Version® . Copyright ©
NCV	Matthew	3	2005	by Thomas Nelson , Inc .
NCV	Matthew	4	4	Jesus answered , “ It is written in the Scriptures , ‘ A person lives not on bread alone , but by everything God says. ’ ” [ a ]
NCV	Matthew	4	2	Jesus fasted for forty days and nights . After this , he was very hungry .
NCV	Matthew	4	3	The devil came to Jesus to tempt him , saying , “ If you are the Son of God , tell these rocks to become bread. ”
NCV	Matthew	4	5	Then the devil led Jesus to the holy city of Jerusalem and put him on a high place of the Temple .
