estilo	livro	capitulo	versiculo	texto
NCV	Genesis	1	1	In the beginning God created the sky and the earth .
NCV	Genesis	1	2	The earth was empty and had no form . Darkness covered the ocean , and God ’ s Spirit was moving over the water .
NCV	Genesis	1	3	Then God said , “ Let there be light , ” and there was light .
NCV	Genesis	1	4	God saw that the light was good , so he divided the light from the darkness .
NCV	Genesis	1	5	God named the light “ day ” and the darkness “ night. ” Evening passed , and morning came . This was the first day .
NCV	Genesis	1	6	Then God said , “ Let there be something to divide the water in two. ”
NCV	Genesis	1	7	So God made the air and placed some of the water above the air and some below it .
NCV	Genesis	1	8	God named the air “ sky. ” Evening passed , and morning came . This was the second day .
NCV	Genesis	1	9	Then God said , “ Let the water under the sky be gathered together so the dry land will appear. ” And it happened .
NCV	Genesis	1	10	God named the dry land “ earth ” and the water that was gathered together “ seas. ” God saw that this was good .
NCV	Genesis	1	11	Then God said , “ Let the earth produce plants—some to make grain for seeds and others to make fruits with seeds in them . Every seed will produce more of its own kind of plant. ” And it happened .
NCV	Genesis	1	12	The earth produced plants with grain for seeds and trees that made fruits with seeds in them . Each seed grew its own kind of plant . God saw that all this was good .
NCV	Genesis	1	13	Evening passed , and morning came . This was the third day .
NCV	Genesis	1	14	Then God said , “ Let there be lights in the sky to separate day from night . These lights will be used for signs , seasons , days , and years .
NCV	Genesis	1	15	They will be in the sky to give light to the earth. ” And it happened .
NCV	Genesis	1	16	So God made the two large lights . He made the brighter light to rule the day and made the smaller light to rule the night . He also made the stars .
NCV	Genesis	1	17	God put all these in the sky to shine on the earth ,
NCV	Genesis	1	18	to rule over the day and over the night , and to separate the light from the darkness . God saw that all these things were good .
NCV	Genesis	1	19	Evening passed , and morning came . This was the fourth day .
NCV	Genesis	1	20	Then God said , “ Let the water be filled with living things , and let birds fly in the air above the earth. ”
NCV	Genesis	1	21	So God created the large sea animals and every living thing that moves in the sea . The sea is filled with these living things , with each one producing more of its own kind . He also made every bird that flies , and each bird produced more of its own kind . God saw that this was good .
NCV	Genesis	1	22	God blessed them and said , “ Have many young ones so that you may grow in number . Fill the water of the seas , and let the birds grow in number on the earth. ”
NCV	Genesis	1	23	Evening passed , and morning came . This was the fifth day .
