estilo	livro	capitulo	versiculo	texto
NKJV	Genesis	1	1	In the ( B ) beginning ( C ) God created the heavens and the earth .
NKJV	Genesis	1	2	The earth was ( D ) without form , and void ; and darkness [ a ] was on the face of the deep . ( E ) And the Spirit of God was hovering over the face of the waters .
NKJV	Genesis	1	3	( F ) Then God said , ( G ) “ Let there be ( H ) light ” ; and there was light .
NKJV	Genesis	1	4	And God saw the light , that it was good ; and God divided the light from the darkness .
NKJV	Genesis	1	5	God called the light Day , and the ( I ) darkness He called Night . [ b ] So the evening and the morning were the first day .
NKJV	Genesis	1	6	Then God said , ( J ) “ Let there be a [ c ] firmament in the midst of the waters , and let it divide the waters from the waters. ”
NKJV	Genesis	1	7	Thus God made the firmament , ( K ) and divided the waters which were under the firmament from the waters which were ( L ) above the firmament ; and it was so .
NKJV	Genesis	1	8	And God called the firmament Heaven . So the evening and the morning were the second day .
NKJV	Genesis	1	9	Then God said , ( M ) “ Let the waters under the heavens be gathered together into one place , and ( N ) let the dry land appear ” ; and it was so .
NKJV	Genesis	1	10	And God called the dry land Earth , and the gathering together of the waters He called Seas . And God saw that it was good .
NKJV	Genesis	1	11	Then God said , “ Let the earth ( O ) bring forth grass , the herb that yields seed , and the ( P ) fruit tree that yields fruit according to its kind , whose seed is in itself , on the earth ” ; and it was so .
NKJV	Genesis	1	12	And the earth brought forth grass , the herb that yields seed according to its kind , and the tree that yields fruit , whose seed is in itself according to its kind . And God saw that it was good .
NKJV	Genesis	1	13	So the evening and the morning were the third day .
NKJV	Genesis	1	14	Then God said , “ Let there be ( Q ) lights in the firmament of the heavens to divide the day from the night ; and let them be for signs and ( R ) seasons , and for days and years ;
NKJV	Genesis	1	15	and let them be for lights in the firmament of the heavens to give light on the earth ” ; and it was so .
NKJV	Genesis	1	16	Then God made two great [ d ] lights : the ( S ) greater light to rule the day , and the ( T ) lesser light to rule the night . He made ( U ) the stars also .
NKJV	Genesis	1	17	God set them in the firmament of the ( V ) heavens to give light on the earth ,
NKJV	Genesis	1	18	and to ( W ) rule over the day and over the night , and to divide the light from the darkness . And God saw that it was good .
