estilo	livro	capitulo	versiculo	texto
TLB	Genesis	1	1	When God began creating [ a ] the heavens and the earth ,
TLB	Genesis	1	2	the earth was [ b ] a shapeless , chaotic mass , with the Spirit of God brooding over the dark vapors .
TLB	Genesis	1	3	Then God said , “ Let there be light. ” And light appeared . 4-5 And God was pleased with it and divided the light from the darkness . He called the light “ daytime , ” and the darkness “ nighttime. ” Together they formed the first day . [ c ]
TLB	Genesis	1	6	And God said , “ Let the vapors separate [ d ] to form the sky above and the oceans below. ” 7-8 So God made the sky , dividing the vapor above from the water below . This all happened on the second day . [ e ] 9-10 Then God said , “ Let the water beneath the sky be gathered into oceans so that the dry land will emerge. ” And so it was . Then God named the dry land “ earth , ” and the water “ seas. ” And God was pleased . 11-12 And he said , “ Let the earth burst forth with every sort of grass and seed-bearing plant , and fruit trees with seeds inside the fruit , so that these seeds will produce the kinds of plants and fruits they came from. ” And so it was , and God was pleased .
TLB	Genesis	1	13	This all occurred on the third day . [ f ] 14-15 Then God said , “ Let bright lights appear in the sky to give light to the earth and to identify the day and the night ; they shall bring about the seasons on the earth , and mark the days and years. ” And so it was .
TLB	Genesis	1	16	For God had made two huge lights , the sun and moon , to shine down upon the earth—the larger one , the sun , to preside over the day and the smaller one , the moon , to preside through the night ; he had also made the stars .
TLB	Genesis	1	17	And God set them in the sky to light the earth ,
TLB	Genesis	1	18	and to preside over the day and night , and to divide the light from the darkness . And God was pleased .
TLB	Genesis	1	19	This all happened on the fourth day . [ g ]
TLB	Genesis	1	20	Then God said , “ Let the waters teem with fish and other life , and let the skies be filled with birds of every kind. ” 21-22 So God created great sea animals , and every sort of fish and every kind of bird . And God looked at them with pleasure , and blessed them all . “ Multiply and stock the oceans , ” he told them , and to the birds he said , “ Let your numbers increase . Fill the earth ! ”
TLB	Genesis	1	23	That ended the fifth day . [ h ]
TLB	Genesis	1	24	And God said , “ Let the earth bring forth every kind of animal—cattle and reptiles and wildlife of every kind. ” And so it was .
TLB	Genesis	1	25	God made all sorts of wild animals and cattle and reptiles . And God was pleased with what he had done .
TLB	Genesis	1	26	Then God said , “ Let us make a man [ i ] —someone like ourselves , to be the master of all life upon the earth and in the skies and in the seas. ”
TLB	Genesis	1	27	So God made man like his Maker . Like God did God make man ; Man and maid did he make them .
TLB	Genesis	1	28	And God blessed them and told them , “ Multiply and fill the earth and subdue it ; you are masters of the fish and birds and all the animals .
TLB	Genesis	1	29	And look ! I have given you the seed-bearing plants throughout the earth and all the fruit trees for your food .
TLB	Genesis	1	30	And I ’ ve given all the grass and plants to the animals and birds for their food. ”
TLB	Genesis	1	31	Then God looked over all that he had made , and it was excellent in every way . This ended the sixth day . [ j ] Footnotes - Genesis 1:1 When God began creating , or “ In the beginning God created. ” - Genesis 1:2 the earth was , or “ the earth became. ” a shapeless , chaotic mass , or “ shapeless and void. ” over the dark vapors , or “ over the cloud of darkness , ” or “ over the darkness and waters , ” or “ over the dark gaseous mass. ” There is not one correct way to translate these words . - Genesis 1:4 Together they formed the first day , literally , “ And there was evening and there was morning , one day ( or ‘ period of time ’ ) . ” - Genesis 1:6 Let the vapors separate , literally , “ Let there be a dome to divide the waters. ” - Genesis 1:7 This all happened on the second day , literally , “ There was evening and there was morning , a second day ( or ‘ period of time ’ ) . ” - Genesis 1:13 This all occurred on the third day , literally , “ And there was evening and there was morning , a third day ( or ‘ period of time ’ ) . ” - Genesis 1:19 This all happened on the fourth day , literally , “ And there was evening and there was morning , a fourth day ( or ‘ period of time ’ ) . ” - Genesis 1:23 That ended the fifth day , literally , “ And there was evening and there was morning , a fifth day ( or ‘ period of time ’ ) . ” - Genesis 1:26 a man , literally , “ men. ” someone like ourselves , literally , “ Let us make man in our image , in our likeness. ” - Genesis 1:31 This ended the sixth day , literally , “ And there was evening and there was morning , a sixth day ( or ‘ period of time ’ ) . ” The Living Bible copyright ©
TLB	Genesis	1	1971	by Tyndale House Foundation . Used by permission of Tyndale House Publishers Inc. , Carol Stream , Illinois
TLB	Genesis	1	60188	. All rights reserved .
TLB	Genesis	2	2	So on the seventh day , having finished his task , God ceased from this work he had been doing ,
TLB	Genesis	2	3	and God blessed the seventh day and declared it holy , because it was the day when he ceased this work of creation .
TLB	Genesis	2	4	Here is a summary of the events in the creation of the heavens and earth when the Lord God made them .
TLB	Genesis	2	5	There were no plants or grain sprouting up across the earth at first , for the Lord God hadn ’ t sent any rain ; nor was there anyone to farm the soil .
TLB	Genesis	2	6	( However , water welled up from the ground at certain places and flowed across the land . )
TLB	Genesis	2	7	The time came when the Lord God formed a man ’ s body from the dust of the ground [ a ] and breathed into it the breath of life . And man became a living person .
TLB	Genesis	2	8	Then the Lord God planted a garden in Eden , to the east , and placed in the garden the man he had formed .
TLB	Genesis	2	9	The Lord God planted all sorts of beautiful trees there in the garden , trees producing the choicest of fruit . At the center of the garden he placed the Tree of Life , and also the Tree of Conscience , giving knowledge of Good and Bad .
TLB	Genesis	2	10	A river from the land of Eden flowed through the garden to water it ; afterwards the river divided into four branches . 11-12 One of these was named the Pishon ; it winds across the entire length of the land of Havilah , [ b ] where nuggets of pure gold are found , also beautiful bdellium and even lapis lazuli .
TLB	Genesis	2	13	The second branch is called the Gihon , crossing the entire length of the land of Cush .
TLB	Genesis	2	14	The third branch is the Tigris , which flows to the east of the city of Asher . And the fourth is the Euphrates .
TLB	Genesis	2	15	The Lord God placed the man in the Garden of Eden as its gardener , to tend and care for it . 16-17 But the Lord God gave the man this warning : “ You may eat any fruit in the garden except fruit from the Tree of Conscience—for its fruit will open your eyes to make you aware of right and wrong , good and bad . If you eat its fruit , you will be doomed to die. ”
TLB	Genesis	2	18	And the Lord God said , “ It isn ’ t good for man to be alone ; I will make a companion for him , a helper suited to his needs. ” 19-20 So the Lord God formed from the soil every kind of animal and bird , and brought them to the man to see what he would call them ; and whatever he called them , that was their name . But still there was no proper helper for the man .
TLB	Genesis	2	21	Then the Lord God caused the man to fall into a deep sleep , and took one of his ribs and closed up the place from which he had removed it ,
TLB	Genesis	2	22	and made the rib into a woman , and brought her to the man .
TLB	Genesis	2	23	“ This is it ! ” Adam exclaimed . “ She is part of my own bone and flesh ! Her name is ‘ woman ’ because she was taken out of a man. ”
TLB	Genesis	2	24	This explains why a man leaves his father and mother and is joined to his wife in such a way that the two become one person . [ c ]
TLB	Genesis	2	25	Now although the man and his wife were both naked , neither of them was embarrassed or ashamed . Footnotes - Genesis 2:7 from the dust of the ground , or “ from a lump of soil , ” or “ from clods in the soil , ” or “ from a clod of clay. ” - Genesis 2:11 the land of Havilah , located along the border of Babylonia . - Genesis 2:24 become one person , literally , “ become one flesh. ” The Living Bible copyright ©
TLB	Genesis	2	1971	by Tyndale House Foundation . Used by permission of Tyndale House Publishers Inc. , Carol Stream , Illinois
TLB	Genesis	2	60188	. All rights reserved .
TLB	Genesis	3	3	The serpent was the craftiest of all the creatures the Lord God had made . So the serpent came to the woman . “ Really ? ” he asked . “ None of the fruit in the garden ? God says you mustn ’ t eat any of it ? ” 2-3 “ Of course we may eat it , ” the woman told him . “ It ’ s only the fruit from the tree at the center of the garden that we are not to eat . God says we mustn ’ t eat it or even touch it , or we will die. ”
TLB	Genesis	3	4	“ That ’ s a lie ! ” the serpent hissed . “ You ’ ll not die !
TLB	Genesis	3	5	God knows very well that the instant you eat it you will become like him , for your eyes will be opened—you will be able to distinguish good from evil ! ”
TLB	Genesis	3	6	The woman was convinced . How lovely and fresh looking it was ! And it would make her so wise ! So she ate some of the fruit and gave some to her husband , and he ate it too .
TLB	Genesis	3	7	And as they ate it , suddenly they became aware of their nakedness , and were embarrassed . So they strung fig leaves together to cover themselves around the hips .
TLB	Genesis	3	8	That evening they heard the sound of the Lord God walking in the garden ; and they hid themselves among the trees .
TLB	Genesis	3	9	The Lord God called to Adam , “ Why are you hiding ? ” [ a ]
TLB	Genesis	3	10	And Adam replied , “ I heard you coming and didn ’ t want you to see me naked . So I hid. ”
TLB	Genesis	3	11	“ Who told you you were naked ? ” the Lord God asked . “ Have you eaten fruit from the tree I warned you about ? ”
TLB	Genesis	3	12	“ Yes , ” Adam admitted , “ but it was the woman you gave me who brought me some , and I ate it. ”
TLB	Genesis	3	13	Then the Lord God asked the woman , “ How could you do such a thing ? ” “ The serpent tricked me , ” she replied .
TLB	Genesis	3	14	So the Lord God said to the serpent , “ This is your punishment : You are singled out from among all the domestic and wild animals of the whole earth—to be cursed . You shall grovel in the dust as long as you live , crawling along on your belly .
TLB	Genesis	3	15	From now on you and the woman will be enemies , as will your offspring and hers . You will strike his heel , but he will crush your head. ”
TLB	Genesis	3	16	Then God said to the woman , “ You shall bear children in intense pain and suffering ; yet even so , you shall welcome your husband ’ s affections , and he shall be your master. ”
TLB	Genesis	3	17	And to Adam , God said , “ Because you listened to your wife and ate the fruit when I told you not to , I have placed a curse upon the soil . All your life you will struggle to extract a living from it .
TLB	Genesis	3	18	It will grow thorns and thistles for you , and you shall eat its grasses .
TLB	Genesis	3	19	All your life you will sweat to master it , until your dying day . Then you will return to the ground from which you came . For you were made from the ground , and to the ground you will return. ”
TLB	Genesis	3	20	The man named his wife Eve ( meaning “ The life-giving one ” ) , [ b ] for he said , “ She shall become the mother of all mankind ” ;
TLB	Genesis	3	21	and the Lord God clothed Adam and his wife with garments made from skins of animals .
TLB	Genesis	3	22	Then the Lord said , “ Now that the man has become as we are , knowing good from bad , what if he eats the fruit of the Tree of Life and lives forever ? ”
TLB	Genesis	3	23	So the Lord God banished him forever from the Garden of Eden , and sent him out to farm the ground from which he had been taken .
TLB	Genesis	3	24	Thus God expelled him , and placed mighty angels at the east of the Garden of Eden , with a flaming sword to guard the entrance to the Tree of Life . Footnotes - Genesis 3:9 Why are you hiding ? or “ Where are you ? ” - Genesis 3:20 Eve ( meaning “ The life-giving one ” ) . Many Hebrew names are based on puns . In this instance the Hebrew word for Eve sounds similar to a Hebrew word that means “ life-giving. ” The Living Bible copyright ©
TLB	Genesis	3	1971	by Tyndale House Foundation . Used by permission of Tyndale House Publishers Inc. , Carol Stream , Illinois
TLB	Genesis	3	60188	. All rights reserved .
TLB	Genesis	4	4	and Abel brought the fatty cuts of meat from his best lambs , and presented them to the Lord . And the Lord accepted Abel ’ s offering ,
TLB	Genesis	4	2	Her next child was his brother , Abel . Abel became a shepherd , while Cain was a farmer .
TLB	Genesis	4	3	At harvest time Cain brought the Lord a gift of his farm produce ,
TLB	Genesis	4	5	but not Cain ’ s . This made Cain both dejected and very angry , and his face grew dark with fury .
TLB	Genesis	4	6	“ Why are you angry ? ” the Lord asked him . “ Why is your face so dark with rage ?
