estilo	livro	capitulo	versiculo	texto
AMP	Matthew	1	1	The record of the genealogy of [ a ] Jesus the [ b ] Messiah , the son ( descendant ) of [ c ] David , the son ( descendant ) of Abraham : ( A )
AMP	Matthew	1	2	Abraham [ d ] was the father of Isaac , Isaac the father of Jacob , and Jacob the father of [ e ] Judah and his brothers [ who became the twelve tribes of Israel ] .
AMP	Matthew	1	3	Judah was the father of Perez and Zerah by Tamar , Perez was the father of Hezron , and Hezron the father of Ram .
AMP	Matthew	1	4	Ram was the father of Aminadab , Aminadab the father of Nahshon , and Nahshon the father of Salmon .
AMP	Matthew	1	5	Salmon was the father of Boaz by [ f ] Rahab , Boaz was the father of Obed by Ruth , and Obed the father of Jesse .
AMP	Matthew	1	6	Jesse was the father of [ g ] David the king . David was the father of Solomon by [ h ] Bathsheba who had been the wife of Uriah . ( B )
AMP	Matthew	1	7	Solomon was the father of Rehoboam , Rehoboam the father of Abijah , and Abijah the father of Asa .
AMP	Matthew	1	8	Asa was the father of Jehoshaphat , Jehoshaphat the father of Joram , and Joram the father of Uzziah .
AMP	Matthew	1	9	Uzziah was the father of Jotham , Jotham the father of Ahaz , and Ahaz the father of Hezekiah .
AMP	Matthew	1	10	Hezekiah was the father of Manasseh , Manasseh the father of Amon , and Amon the father of Josiah .
AMP	Matthew	1	11	Josiah became the father of Jeconiah [ also called Coniah and Jehoiachin ] and his brothers , at the time of the deportation ( exile ) to Babylon . ( C )
AMP	Matthew	1	12	After the deportation to Babylon : Jeconiah became the father of Shealtiel , and Shealtiel the father of Zerubbabel .
AMP	Matthew	1	13	Zerubbabel was the father of Abihud , Abihud the father of Eliakim , and Eliakim the father of Azor .
AMP	Matthew	1	14	Azor was the father of Zadok , Zadok the father of Achim , and Achim the father of Eliud .
AMP	Matthew	1	15	Eliud was the father of Eleazar , Eleazar the father of Matthan , and Matthan the father of Jacob .
AMP	Matthew	1	16	Jacob was the father of Joseph the husband of Mary , by [ i ] whom Jesus was born , who is called the Messiah ( Christ ) .
AMP	Matthew	1	17	So all the generations from Abraham to David are fourteen ; from David to the Babylonian deportation ( exile ) , fourteen generations ; and from the Babylonian deportation to the Messiah , fourteen generations . Conception and Birth of Jesus
AMP	Matthew	1	18	Now the birth of Jesus Christ was as follows : when His mother Mary had been [ j ] betrothed to Joseph , before they came together she was found to be with child by [ the power of ] the Holy Spirit .
AMP	Matthew	1	19	And Joseph her [ promised ] husband , being a just and righteous man and not wanting to expose her publicly to shame , planned to send her away and divorce her quietly .
AMP	Matthew	1	20	But after he had considered this , an angel of the Lord appeared to him in a dream , saying , “ Joseph , descendant of David , do not be afraid to take Mary as your wife , for the Child who has been [ k ] conceived in her is of the Holy Spirit .
AMP	Matthew	1	21	She will give birth to a Son , and you shall name Him Jesus ( The Lord is salvation ) , for He will [ l ] save His people from their sins. ”
AMP	Matthew	1	22	All this happened in order to fulfill what the Lord had spoken through the [ m ] prophet [ Isaiah ] :
AMP	Matthew	1	23	“ Behold , the [ n ] virgin shall be with child and give birth to a Son , and they shall call His name Immanuel ” —which , when translated , means , “ God with us. ” ( D )
AMP	Matthew	1	24	) . - Matthew 1:20 Lit begotten . - Matthew 1:21 Those who , by personal faith , accept Him as Savior are saved from the penalty of sin and reconciled with the Father . - Matthew 1:22 The prophets in the Bible always have the ability to foretell the future as revealed to them by God . Scripture provides stringent criteria for testing a prophet ’ s ability to foretell future events ( Deut 18:22 ) . - Matthew 1:23 “ Virgin ” ( Gr parthenos ) clearly confirms that Mary was a virgin when she gave birth to Jesus . Copyright ©
AMP	Matthew	1	25	but he kept her a virgin until she had given birth to a Son [ her firstborn child ] ; and he named Him Jesus ( The Lord is salvation ) . Footnotes - Matthew 1:1 Heb Yeshua ( Joshua ) , meaning The Lord is salvation . - Matthew 1:1 Gr Christos . Greek for Messiah , which means Anointed One . Throughout his gospel , which is directed primarily to Jewish believers , Matthew uses OT Scripture to emphasize the fact that Jesus is their promised Messiah . - Matthew 1:1 The shepherd boy who killed the Philistine giant Goliath , and later became king of Israel . - Matthew 1:2 Lit begot , fathered , from the Greek word gennao , meaning “ to father a child ” ( early modern English beget ) and so throughout the genealogy whenever father occurs . - Matthew 1:2 Gr Judas ; names of people in the OT are given in their OT form . - Matthew 1:5 The woman who assisted the Hebrew spies before the conquest of Jericho ( Josh 2:1-21 ) . - Matthew 1:6 David is the only one addressed as “ the king. ” The text places an emphasis on David , showing that Jesus is a descendant of David and an heir to the throne of David and the Davidic Covenant . - Matthew 1:6 Lit her of Uriah . - Matthew 1:16 The Greek singular feminine pronoun hes , translated “ whom , ” shows that Jesus was born of Mary alone , without Joseph ’ s participation ; however , Jesus was considered Joseph ’ s legal son and heir . Accordingly , Matthew ’ s genealogy confirms Jesus as a legitimate descendant of David . - Matthew 1:18 The first stage of marriage ( called shiddukin in Hebrew ) in Jewish tradition and law , usually lasting for a year before the wedding night ; unlike an engagement , it was legally binding and required a divorce to nullify it . The woman remained with her parents during the betrothal year and was referred to as a “ wife ” even though the marriage was not consummated during this period of time ( cf Deut 22:23 ,
AMP	Matthew	1	2015	by The Lockman Foundation , La Habra , CA
AMP	Matthew	1	90631	. All rights reserved .
AMP	Matthew	2	2	“ Where is He who has been born King of the Jews ? For we have seen His star [ c ] in the east and have come to worship Him. ” ( A )
AMP	Matthew	2	3	When Herod the king heard this , he was disturbed , and all Jerusalem with him .
AMP	Matthew	2	4	b.c . - Matthew 2:22 Following Herod ’ s death Israel was partitioned between three of his sons : Archelaus , Antipas , and Philip II . - Matthew 2:23 The Nazarenes may have been looked on with disfavor by other Jews because Roman soldiers , whose presence was greatly resented , were housed near Nazareth , perhaps causing the Nazarenes to be identified with them . Copyright ©
AMP	Matthew	2	5	They replied to him , “ In Bethlehem of Judea , for this is what has been written by the prophet [ Micah ] :
AMP	Matthew	2	6	‘ And you , Bethlehem , in the land of Judah , are not in any way least among the leaders of Judah ; For from you shall come a Ruler Who will shepherd My people Israel. ’ ” ( B )
AMP	Matthew	2	7	Then Herod secretly sent for the magi and learned from them [ e ] the [ exact ] time the star [ had first ] appeared .
AMP	Matthew	2	8	Then he sent them to Bethlehem , saying , “ Go and search carefully for the Child ; and when you have found Him , report to me , so that I too may come and worship Him. ”
AMP	Matthew	2	9	After hearing the king , they went their way ; and behold , the star , which they had seen in the east , went on before them [ continually leading the way ] until it came and stood over the place where the young Child was .
AMP	Matthew	2	10	When they saw the star , they rejoiced exceedingly with great joy .
AMP	Matthew	2	11	,
AMP	Matthew	2	12	And having been warned [ by God ] in a dream not to go back to Herod , the magi left for their own country by another way . The Flight to Egypt
AMP	Matthew	2	13	Now when they had gone , an angel of the Lord appeared to Joseph in a dream and said , “ Get up ! Take the Child and His mother and flee to Egypt , and remain there until I tell you ; for Herod intends to search for the Child in order to destroy Him. ”
AMP	Matthew	2	14	So Joseph got up and took the Child and His mother while it was still night , and left for Egypt .
AMP	Matthew	2	15	He remained there until the death of Herod . This was to fulfill what the Lord had spoken by the prophet [ Hosea ] : “ Out of Egypt I called My Son. ” ( C ) Herod Slaughters the Babies
AMP	Matthew	2	16	Then Herod , when he realized that he had been tricked by the magi , was extremely angry , and he sent [ soldiers ] and put to death all the male children in Bethlehem and in all that area who were two years old and under , according to the date which he had learned from the magi .
AMP	Matthew	2	17	Then what had been spoken through Jeremiah the prophet was fulfilled :
AMP	Matthew	2	18	“ A voice was heard in [ f ] Ramah , Weeping and great mourning , [ g ] Rachel weeping for her children ; She refused to be comforted , Because they were no more. ” ( D )
AMP	Matthew	2	19	But when [ h ] Herod died , an angel of the Lord appeared in a dream to Joseph in Egypt , and said ,
AMP	Matthew	2	20	“ Get up ! Take the Child and His mother , and go to the land of Israel ; for those who sought the Child ’ s life are dead. ”
AMP	Matthew	2	21	Then Joseph got up , and took the Child and His mother , and came into the land of Israel .
