estilo	livro	capitulo	versiculo	texto
CEV	Genesis	1	1	In the beginning God created the heavens and the earth . [ a ]
CEV	Genesis	1	2	The earth was barren , with no form of life ; [ b ] it was under a roaring ocean covered with darkness . But the Spirit of God [ c ] was moving over the water . The First Day
CEV	Genesis	1	3	( A ) God said , “ I command light to shine ! ” And light started shining .
CEV	Genesis	1	4	God looked at the light and saw that it was good . He separated light from darkness
CEV	Genesis	1	5	and named the light “ Day ” and the darkness “ Night. ” Evening came , then morning—that was the first day . [ d ] The Second Day
CEV	Genesis	1	6	( B ) God said , “ I command a dome to separate the water above it from the water below it. ”
CEV	Genesis	1	7	And that 's what happened . God made the dome
CEV	Genesis	1	8	and named it “ Sky. ” Evening came , then morning—that was the second day . The Third Day
CEV	Genesis	1	9	God said , “ I command the water under the sky to come together in one place , so there will be dry ground. ” And that 's what happened .
CEV	Genesis	1	10	God named the dry ground “ Land , ” and he named the water “ Ocean. ” God looked at what he had done and saw that it was good .
CEV	Genesis	1	11	God said , “ I command the earth to produce all kinds of plants , including fruit trees and grain. ” And that 's what happened .
CEV	Genesis	1	12	The earth produced all kinds of vegetation . God looked at what he had done , and it was good .
CEV	Genesis	1	13	Evening came , then morning—that was the third day . The Fourth Day
CEV	Genesis	1	14	God said , “ I command lights to appear in the sky and to separate day from night and to show the time for seasons , special days , and years .
CEV	Genesis	1	15	I command them to shine on the earth. ” And that 's what happened .
CEV	Genesis	1	16	God made two powerful lights , the brighter one to rule the day and the other [ e ] to rule the night . He also made the stars .
CEV	Genesis	1	17	Then God put these lights in the sky to shine on the earth ,
CEV	Genesis	1	18	to rule day and night , and to separate light from darkness . God looked at what he had done , and it was good .
CEV	Genesis	1	19	Evening came , then morning—that was the fourth day . The Fifth Day
CEV	Genesis	1	20	God said , “ I command the ocean to be full of living creatures , and I command birds to fly above the earth. ”
CEV	Genesis	1	21	So God made the giant sea monsters and all the living creatures that swim in the ocean . He also made every kind of bird . God looked at what he had done , and it was good .
CEV	Genesis	1	22	Then he gave the living creatures his blessing—he told the ocean creatures to increase and live everywhere in the ocean and the birds to increase everywhere on earth .
CEV	Genesis	1	23	Evening came , then morning—that was the fifth day . The Sixth Day
CEV	Genesis	1	24	God said , “ I command the earth to give life to all kinds of tame animals , wild animals , and reptiles. ” And that 's what happened .
CEV	Genesis	1	25	God made every one of them . Then he looked at what he had done , and it was good .
CEV	Genesis	1	26	( C ) God said , “ Now we will make humans , and they will be like us . We will let them rule the fish , the birds , and all other living creatures. ”
CEV	Genesis	1	27	( D ) ( E ) So God created humans to be like himself ; he made men and women .
CEV	Genesis	1	28	God gave them his blessing and said : Have a lot of children ! Fill the earth with people and bring it under your control . Rule over the fish in the ocean , the birds in the sky , and every animal on the earth .
CEV	Genesis	1	29	I have provided all kinds of fruit and grain for you to eat .
CEV	Genesis	1	30	And I have given the green plants as food for everything else that breathes , including animals , both wild and tame , and birds . And so it was .
CEV	Genesis	1	31	God looked at what he had done . All of it was very good ! Evening came , then morning—that was the sixth day . Footnotes - 1.1 the heavens and the earth : “ The heavens and the earth ” stood for the universe . - 1.1,2 In … life : Or “ When God began to create the heavens and the earth , the earth was barren with no form of life. ” - 1.2 the Spirit of God : Or “ a mighty wind. ” - 1.5 the first day : A day was measured from evening to evening . - 1.16 the brighter … the other : The sun and the moon . But they are not called by their names , because in Old Testament times some people worshiped the sun and the moon as though they were gods . Copyright ©
CEV	Genesis	1	1995	by American Bible Society For more information about CEV , visit www.bibles.com and www.cev.bible .
CEV	Genesis	2	2	( A ) ( B ) By the seventh day God had finished his work , and so he rested .
CEV	Genesis	2	3	God blessed the seventh day and made it special , because on that day he rested from his work .
CEV	Genesis	2	4	That 's how God created the heavens and the earth . The Garden of Eden When the Lord God made the heavens and the earth ,
CEV	Genesis	2	5	no grass or plants were growing anywhere . God had not yet sent any rain , and there was no one to work the land .
CEV	Genesis	2	6	But streams [ a ] came up from the ground and watered the earth .
CEV	Genesis	2	7	( C ) The Lord God took some soil from the ground and made a man . [ b ] God breathed life into the man , and the man started breathing .
CEV	Genesis	2	8	The Lord made a garden in a place called Eden , which was in the east , and he put the man there .
CEV	Genesis	2	9	( D ) The Lord God filled the garden with all kinds of beautiful trees and fruit trees . Two other trees were in the middle of the garden . One of these gave life—the other gave the wisdom to know the difference between right and wrong .
CEV	Genesis	2	10	From Eden a river flowed out to water the garden , then it divided into four rivers .
CEV	Genesis	2	11	The first one is the Pishon River that flows through the land of Havilah ,
