estilo	livro	capitulo	versiculo	texto
CJB	Matthew	1	1	This is the genealogy of Yeshua the Messiah , son of David , son of Avraham :
CJB	Matthew	1	2	Avraham was the father of Yitz ’ chak , Yitz ’ chak was the father of Ya ‘ akov , Ya ‘ akov was the father of Y ’ hudah and his brothers ,
CJB	Matthew	1	3	Y ’ hudah was the father of Peretz and Zerach ( their mother was Tamar ) , Peretz was the father of Hetzron , Hetzron was the father of Ram ,
CJB	Matthew	1	4	Ram was the father of ‘ Amminadav , ‘ Amminadav was the father of Nachshon , Nachshon was the father of Salmon ,
CJB	Matthew	1	5	Salmon was the father of Bo ‘ az ( his mother was Rachav ) , Bo ‘ az was the father of ‘ Oved ( his mother was Rut ) , ‘ Oved was the father of Yishai ,
CJB	Matthew	1	6	Yishai was the father of David the king . David was the father of Shlomo ( his mother was the wife of Uriyah ) ,
CJB	Matthew	1	7	Shlomo was the father of Rechav ‘ am , Rechav ‘ am was the father of Aviyah , Aviyah was the father of Asa ,
CJB	Matthew	1	8	Asa was the father of Y ’ hoshafat , Y ’ hoshafat was the father of Yoram , Yoram was the father of ‘ Uziyahu ,
CJB	Matthew	1	9	‘ Uziyahu was the father of Yotam , Yotam was the father of Achaz , Achaz was the father of Hizkiyahu ,
CJB	Matthew	1	10	Hizkiyahu was the father of M ’ nasheh , M ’ nasheh was the father of Amon , Amon was the father of Yoshiyahu ,
CJB	Matthew	1	11	Yoshiyahu was the father of Y ’ khanyahu and his brothers at the time of the Exile to Bavel .
CJB	Matthew	1	12	After the Babylonian Exile , Y ’ khanyahu was the father of Sh ’ altiel , Sh ’ altiel was the father of Z ’ rubavel ,
CJB	Matthew	1	13	Z ’ rubavel was the father of Avihud , Avihud was the father of Elyakim , Elyakim was the father of ‘ Azur ,
CJB	Matthew	1	14	‘ Azur was the father of Tzadok , Tzadok was the father of Yakhin , Yakhin was the father of El ’ ichud ,
CJB	Matthew	1	15	El ’ ichud was the father of El ‘ azar , El ‘ azar was the father of Mattan , Mattan was the father of Ya ‘ akov ,
CJB	Matthew	1	16	Ya ‘ akov was the father of Yosef the husband of Miryam , from whom was born the Yeshua who was called the Messiah .
CJB	Matthew	1	17	Thus there were fourteen generations from Avraham to David , fourteen generations from David to the Babylonian Exile , and fourteen generations from the Babylonian Exile to the Messiah .
CJB	Matthew	1	18	Here is how the birth of Yeshua the Messiah took place . When his mother Miryam was engaged to Yosef , before they were married , she was found to be pregnant from the Ruach HaKodesh .
CJB	Matthew	1	19	Her husband-to-be , Yosef , was a man who did what was right ; so he made plans to break the engagement quietly , rather than put her to public shame .
CJB	Matthew	1	20	But while he was thinking about this , an angel of Adonai appeared to him in a dream and said , “ Yosef , son of David , do not be afraid to take Miryam home with you as your wife ; for what has been conceived in her is from the Ruach HaKodesh .
CJB	Matthew	1	21	She will give birth to a son , and you are to name him Yeshua , [ which means ‘ Adonai saves , ’ ] because he will save his people from their sins. ”
CJB	Matthew	1	22	All this happened in order to fulfill what Adonai had said through the prophet ,
CJB	Matthew	1	23	“ The virgin will conceive and bear a son , and they will call him ‘ Immanu El. ” [ a ] ( The name means , “ God is with us. ” )
CJB	Matthew	1	24	When Yosef awoke he did what the angel of Adonai had told him to do — he took Miryam home to be his wife ,
CJB	Matthew	1	25	but he did not have sexual relations with her until she had given birth to a son , and he named him Yeshua . Footnotes - Matthew 1:23 Isaiah 7:14
CJB	Matthew	2	2	) - Matthew 2:15 Hosea 11:1 - Matthew 2:18 Jeremiah 31:14 (
CJB	Matthew	2	3	When King Herod heard of this he became very agitated , and so did everyone else in Yerushalayim .
CJB	Matthew	2	4	He called together all the head cohanim and Torah-teachers of the people and asked them , “ Where will the Messiah be born ? ”
CJB	Matthew	2	5	“ In Beit-Lechem of Y ’ hudah , ” they replied , “ because the prophet wrote ,
CJB	Matthew	2	6	‘ And you , Beit-Lechem in the land of Y ’ hudah , are by no means the least among the rulers of Y ’ hudah ; for from you will come a Ruler who will shepherd my people Isra ’ el. ’ ” [ a ]
CJB	Matthew	2	7	Herod summoned the Magi to meet with him privately and asked them exactly when the star had appeared .
CJB	Matthew	2	8	Then he sent them to Beit-Lechem with these instructions : “ Search carefully for the child ; and when you find him , let me know , so that I too may go and worship him. ”
CJB	Matthew	2	9	After they had listened to the king , they went away ; and the star which they had seen in the east went in front of them until it came and stopped over the place where the child was .
CJB	Matthew	2	10	When they saw the star , they were overjoyed .
CJB	Matthew	2	11	Upon entering the house , they saw the child with his mother Miryam ; and they prostrated themselves and worshipped him . Then they opened their bags and presented him gifts of gold , frankincense and myrrh .
CJB	Matthew	2	12	But they had been warned in a dream not to return to Herod , so they took another route back to their own country .
CJB	Matthew	2	13	After they had gone , an angel of Adonai appeared to Yosef in a dream and said , “ Get up , take the child and his mother , and escape to Egypt , and stay there until I tell you to leave . For Herod is going to look for the child in order to kill him. ”
CJB	Matthew	2	14	So he got up , took the child and his mother , and left during the night for Egypt ,
CJB	Matthew	2	15	)
CJB	Matthew	2	16	Meanwhile , when Herod realized that the Magi had tricked him , he was furious and gave orders to kill all the boys in and around Beit-Lechem who were two years old or less , calculating from the time the Magi had told him .
CJB	Matthew	2	17	In this way were fulfilled the words spoken through the prophet Yirmeyahu ,
CJB	Matthew	2	18	“ A voice was heard in Ramah , sobbing and lamenting loudly . It was Rachel sobbing for her children and refusing to be comforted , because they are no longer alive. ” [ c ]
CJB	Matthew	2	19	After Herod ’ s death , an angel of Adonai appeared in a dream to Yosef in Egypt
CJB	Matthew	2	20	and said , “ Get up , take the child and his mother , and go to Eretz-Yisra ’ el , for those who wanted to kill the child are dead. ”
CJB	Matthew	2	21	So he got up , took the child and his mother , and went back to Eretz-Yisra ’ el .
CJB	Matthew	2	22	However , when he heard that Archelaus had succeeded his father Herod as king of Y ’ hudah , he was afraid to go there . Warned in a dream , he withdrew to the Galil
CJB	Matthew	2	23	and settled in a town called Natzeret , so that what had been spoken by the prophets might be fulfilled , that he will be called a Natzrati . Footnotes - Matthew 2:6 Micah 5:1 (
CJB	Matthew	3	3	This is the man Yesha ‘ yahu was talking about when he said , “ The voice of someone crying out : ‘ In the desert prepare the way of Adonai ! Make straight paths for him ! ’ ” [ a ]
CJB	Matthew	3	2	“ Turn from your sins to God , for the Kingdom of Heaven is near ! ”
CJB	Matthew	3	4	Yochanan wore clothes of camel ’ s hair with a leather belt around his waist , and his food was locusts and wild honey .
CJB	Matthew	3	5	People went out to him from Yerushalayim , from all Y ’ hudah , and from the whole region around the Yarden .
CJB	Matthew	3	6	Confessing their sins , they were immersed by him in the Yarden River .
CJB	Matthew	3	7	But when Yochanan saw many of the P ’ rushim and Tz ’ dukim coming to be immersed by him , he said to them , “ You snakes ! Who warned you to escape the coming punishment ?
CJB	Matthew	3	8	If you have really turned from your sins to God , produce fruit that will prove it !
CJB	Matthew	3	9	And don ’ t suppose you can comfort yourselves by saying , ‘ Avraham is our father ’ ! For I tell you that God can raise up for Avraham sons from these stones !
