estilo	livro	capitulo	versiculo	texto
DLNT	Matthew	1	1	The book of the genealogy [ a ] of Jesus Christ , son of David , son of Abraham—
DLNT	Matthew	1	2	Abraham fathered [ b ] Isaac , and Isaac fathered Jacob , and Jacob fathered Judah and his brothers ,
DLNT	Matthew	1	3	and Judah fathered Perez and Zerah by Tamar , and Perez fathered Hezron , and Hezron fathered Ram ,
DLNT	Matthew	1	4	and Ram fathered Aminadab , and Aminadab fathered Nahshon , and Nahshon fathered Salmon ,
DLNT	Matthew	1	5	and Salmon fathered Boaz by Rahab , and Boaz fathered Obed by Ruth , and Obed fathered Jesse ,
DLNT	Matthew	1	6	and Jesse fathered David the king . And David fathered Solomon by the one of Uriah ,
DLNT	Matthew	1	7	and Solomon fathered Rehoboam , and Rehoboam fathered Abijah , and Abijah fathered Asaph ,
DLNT	Matthew	1	8	and Asaph fathered Jehoshaphat , and Jehoshaphat fathered Joram , and Joram fathered Uzziah ,
DLNT	Matthew	1	9	and Uzziah fathered Jotham , and Jotham fathered Ahaz , and Ahaz fathered Hezekiah ,
DLNT	Matthew	1	10	and Hezekiah fathered Manasseh , and Manasseh fathered Amos , and Amos fathered Josiah ,
DLNT	Matthew	1	11	and Josiah fathered Jeconiah and his brothers at the time of the deportation of Babylon .
DLNT	Matthew	1	12	And after the deportation of Babylon , Jeconiah fathered Shealtiel , and Shealtiel fathered Zerubbabel ,
DLNT	Matthew	1	13	and Zerubbabel fathered Abihud , and Abihud fathered Eliakim , and Eliakim fathered Azor ,
DLNT	Matthew	1	14	and Azor fathered Zadok , and Zadok fathered Achim , and Achim fathered Eliud ,
DLNT	Matthew	1	15	and Eliud fathered Eleazar , and Eleazar fathered Matthan , and Matthan fathered Jacob ,
DLNT	Matthew	1	16	and Jacob fathered Joseph the husband of Mary— by whom [ c ] Jesus was born , the One being called Christ .
DLNT	Matthew	1	17	So all [ d ] the generations from Abraham to David are fourteen generations , and from David to the deportation of Babylon are fourteen generations , and from the deportation of Babylon to the Christ are fourteen generations . The Birth of The King : Jesus Is Born To a Virgin In Fulfillment of Isaiah
DLNT	Matthew	1	18	Now the birth of Jesus Christ was as follows : His mother Mary having been promised-in-marriage [ e ] to Joseph , before they came-together she was found having a child in the womb by the Holy Spirit .
DLNT	Matthew	1	19	And Joseph her husband [ f ] , being righteous and not wanting to publicly-expose [ g ] her , intended to send her away [ h ] secretly [ i ] .
