estilo	livro	capitulo	versiculo	texto
DRA	Matthew	1	1	The book of the generation of Jesus Christ , the son of David , the son of Abraham :
DRA	Matthew	1	1899	American Edition
DRA	Matthew	1	2	Abraham begot Isaac . And Isaac begot Jacob . And Jacob begot Judas and his brethren .
DRA	Matthew	1	3	And Judas begot Phares and Zara of Thamar . And Phares begot Esron . And Esron begot Aram .
DRA	Matthew	1	4	And Aram begot Aminadab . And Aminadab begot Naasson . And Naasson begot Salmon .
DRA	Matthew	1	5	And Salmon begot Booz of Rahab . And Booz begot Obed of Ruth . And Obed begot Jesse .
DRA	Matthew	1	6	And Jesse begot David the king . And David the king begot Solomon , of her that had been the wife of Urias .
DRA	Matthew	1	7	And Solomon begot Roboam . And Roboam begot Abia . And Abia begot Asa .
DRA	Matthew	1	8	And Asa begot Josaphat . And Josaphat begot Joram . And Joram begot Ozias .
DRA	Matthew	1	9	And Ozias begot Joatham . And Joatham begot Achaz . And Achaz begot Ezechias .
DRA	Matthew	1	10	And Ezechias begot Manasses . And Manasses begot Amon . And Amon begot Josias .
DRA	Matthew	1	11	And Josias begot Jechonias and his brethren in the transmigration of Babylon .
DRA	Matthew	1	12	And after the transmigration of Babylon , Jechonias begot Salathiel . And Salathiel begot Zorobabel .
DRA	Matthew	1	13	And Zorobabel begot Abiud . And Abiud begot Eliacim . And Eliacim begot Azor .
DRA	Matthew	1	14	And Azor begot Sadoc . And Sadoc begot Achim . And Achim begot Eliud .
DRA	Matthew	1	15	And Eliud begot Eleazar . And Eleazar begot Mathan . And Mathan begot Jacob .
DRA	Matthew	1	16	And Jacob begot Joseph the husband of Mary , of whom was born Jesus , who is called Christ .
DRA	Matthew	1	17	So all the generations , from Abraham to David , are fourteen generations . And from David to the transmigration of Babylon , are fourteen generations : and from the transmigration of Babylon to Christ are fourteen generations .
DRA	Matthew	1	18	Now the generation of Christ was in this wise . When as his mother Mary was espoused to Joseph , before they came together , she was found with child , of the Holy Ghost .
DRA	Matthew	1	19	Whereupon Joseph her husband , being a just man , and not willing publicly to expose her , was minded to put her away privately .
DRA	Matthew	1	20	But while he thought on these things , behold the angel of the Lord appeared to him in his sleep , saying : Joseph , son of David , fear not to take unto thee Mary thy wife , for that which is conceived in her , is of the Holy Ghost .
DRA	Matthew	1	21	And she shall bring forth a son : and thou shalt call his name JESUS . For he shall save his people from their sins .
DRA	Matthew	1	22	Now all this was done that it might be fulfilled which the Lord spoke by the prophet , saying :
DRA	Matthew	1	23	Behold a virgin shall be with child , and bring forth a son , and they shall call his name Emmanuel , which being interpreted is , God with us .
DRA	Matthew	1	24	And Joseph rising up from sleep , did as the angel of the Lord had commanded him , and took unto him his wife .
DRA	Matthew	1	25	And he knew her not till she brought forth her firstborn son : and he called his name JESUS . Public Domain ( Why are modern Bible translations copyrighted ? )
DRA	Matthew	2	2	Saying , Where is he that is born king of the Jews ? For we have seen his star in the east , and are come to adore him .
DRA	Matthew	2	1899	American Edition
DRA	Matthew	2	3	And king Herod hearing this , was troubled , and all Jerusalem with him .
DRA	Matthew	2	4	And assembling together all the chief priests and the scribes of the people , he inquired of them where Christ should be born .
DRA	Matthew	2	5	But they said to him : In Bethlehem of Juda . For so it is written by the prophet :
DRA	Matthew	2	6	And thou Bethlehem the land of Juda art not the least among the princes of Juda : for out of thee shall come forth the captain that shall rule my people Israel .
DRA	Matthew	2	7	Then Herod , privately calling the wise men , learned diligently of them the time of the star which appeared to them ;
DRA	Matthew	2	8	And sending them into Bethlehem , said : Go and diligently inquire after the child , and when you have found him , bring me word again , that I also may come to adore him .
DRA	Matthew	2	9	Who having heard the king , went their way ; and behold the star which they had seen in the east , went before them , until it came and stood over where the child was .
DRA	Matthew	2	10	And seeing the star they rejoiced with exceeding great joy .
DRA	Matthew	2	11	And entering into the house , they found the child with Mary his mother , and falling down they adored him ; and opening their treasures , they offered him gifts ; gold , frankincense , and myrrh .
DRA	Matthew	2	12	And having received an answer in sleep that they should not return to Herod , they went back another way into their country .
