estilo	livro	capitulo	versiculo	texto
ERV	Matthew	1	1	This is the family history of Jesus the Messiah . He came from the family of David , who was from the family of Abraham .
ERV	Matthew	1	2	Abraham was the father of Isaac . Isaac was the father of Jacob . Jacob was the father of Judah and his brothers .
ERV	Matthew	1	3	Judah was the father of Perez and Zerah . ( Their mother was Tamar . ) Perez was the father of Hezron . Hezron was the father of Ram .
ERV	Matthew	1	4	Ram was the father of Amminadab . Amminadab was the father of Nahshon . Nahshon was the father of Salmon .
ERV	Matthew	1	5	Salmon was the father of Boaz . ( His mother was Rahab . ) Boaz was the father of Obed . ( His mother was Ruth . ) Obed was the father of Jesse .
ERV	Matthew	1	6	Jesse was the father of King David . David was the father of Solomon . ( His mother had been Uriah ’ s wife . )
ERV	Matthew	1	7	Solomon was the father of Rehoboam . Rehoboam was the father of Abijah . Abijah was the father of Asa .
ERV	Matthew	1	8	Asa was the father of Jehoshaphat . Jehoshaphat was the father of Jehoram . Jehoram was the father of Uzziah .
ERV	Matthew	1	9	Uzziah was the father of Jotham . Jotham was the father of Ahaz . Ahaz was the father of Hezekiah .
ERV	Matthew	1	10	Hezekiah was the father of Manasseh . Manasseh was the father of Amon . Amon was the father of Josiah .
ERV	Matthew	1	11	Josiah was the grandfather of Jehoiachin [ a ] and his brothers , who lived during the time that the people were taken away to Babylon .
ERV	Matthew	1	12	After they were taken to Babylon : Jehoiachin was the father of Shealtiel . Shealtiel was the grandfather of Zerubbabel .
ERV	Matthew	1	13	Zerubbabel was the father of Abiud . Abiud was the father of Eliakim . Eliakim was the father of Azor .
ERV	Matthew	1	14	Azor was the father of Zadok . Zadok was the father of Achim . Achim was the father of Eliud .
ERV	Matthew	1	15	Eliud was the father of Eleazar . Eleazar was the father of Matthan . Matthan was the father of Jacob .
ERV	Matthew	1	16	Jacob was the father of Joseph . Joseph was the husband of Mary , and Mary was the mother of Jesus , who is called the Messiah .
ERV	Matthew	1	17	So there were fourteen generations from Abraham to David . There were also fourteen generations from David until the people were taken away to Babylon . And there were fourteen more from the time the people were taken to Babylon until the Messiah was born . The Birth of Jesus the Messiah ( B )
ERV	Matthew	1	18	This is how the birth of Jesus the Messiah happened . His mother Mary was engaged to marry Joseph . But before they married , he learned that she was expecting a baby . ( She was pregnant by the power of the Holy Spirit . )
ERV	Matthew	1	19	Mary ’ s husband , Joseph , was a good man . He did not want to cause her public disgrace , so he planned to divorce her secretly .
ERV	Matthew	1	20	But after Joseph thought about this , an angel from the Lord came to him in a dream . The angel said , “ Joseph , son of David , don ’ t be afraid to accept Mary to be your wife . The baby inside her is from the Holy Spirit .
ERV	Matthew	1	21	She will give birth to a son . You will name him Jesus . [ b ] Give him that name because he will save his people from their sins. ”
ERV	Matthew	1	22	All this happened to make clear the full meaning of what the Lord said through the prophet :
ERV	Matthew	1	23	“ The virgin will be pregnant and will give birth to a son . They will name him Immanuel. ” [ c ] ( Immanuel means “ God with us. ” )
ERV	Matthew	1	24	When Joseph woke up , he did what the Lord ’ s angel told him to do . He married Mary .
ERV	Matthew	1	25	But Joseph did not have sexual relations with her until her son was born . And he named him Jesus . Footnotes - Matthew 1:11 Jehoiachin Literally , “ Jechoniah , ” another name for Jehoiachin . - Matthew 1:21 Jesus The name Jesus means “ the Lord ( Yahweh ) saves. ” - Matthew 1:23 Quote from Isa . 7:14 .
ERV	Matthew	2	2	They asked people , “ Where is the child who has been born to be the king of the Jews ? We saw the star that shows he was born . We saw it rise in the sky in the east and have come to worship him. ”
ERV	Matthew	2	3	When King Herod heard about this , it upset him as well as everyone else in Jerusalem .
ERV	Matthew	2	4	Herod called a meeting of all the leading Jewish priests and teachers of the law . He asked them where the Messiah would be born .
ERV	Matthew	2	5	They answered , “ In the town of Bethlehem in Judea , just as the prophet wrote :
ERV	Matthew	2	6	‘ Bethlehem , in the land of Judah , you are important among the rulers of Judah . Yes , a ruler will come from you , and that ruler will lead Israel , my people. ’ ” ( A )
ERV	Matthew	2	7	Then Herod had a private meeting with the wise men from the east . He learned from them the exact time they first saw the star .
ERV	Matthew	2	8	Then he sent them to Bethlehem . He said , “ Go and look carefully for the child . When you find him , come tell me . Then I can go worship him too. ”
ERV	Matthew	2	9	After the wise men heard the king , they left . They saw the same star they had seen in the east , and they followed it . The star went before them until it stopped above the place where the child was .
ERV	Matthew	2	10	They were very happy and excited to see the star .
ERV	Matthew	2	11	The wise men came to the house where the child was with his mother Mary . They bowed down and worshiped him . Then they opened the boxes of gifts they had brought for him . They gave him treasures of gold , frankincense , and myrrh .
ERV	Matthew	2	12	But God warned the wise men in a dream not to go back to Herod . So they went home to their own country a different way . Jesus ’ Parents Take Him to Egypt
ERV	Matthew	2	13	After the wise men left , an angel from the Lord came to Joseph in a dream . The angel said , “ Get up ! Take the child with his mother and escape to Egypt . Herod wants to kill the child and will soon start looking for him . Stay in Egypt until I tell you to come back. ”
ERV	Matthew	2	14	So Joseph got ready and left for Egypt with the child and the mother . They left during the night .
ERV	Matthew	2	15	Joseph stayed in Egypt until Herod died . This gave full meaning to what the Lord said through the prophet : “ I called my son to come out of Egypt. ” [ a ] Herod Kills the Baby Boys in Bethlehem
ERV	Matthew	2	16	Herod saw that the wise men had fooled him , and he was very angry . So he gave an order to kill all the baby boys in Bethlehem and the whole area around Bethlehem . Herod had learned from the wise men the time the baby was born . It was now two years from that time . So he said to kill all the boys who were two years old and younger .
ERV	Matthew	2	17	This gave full meaning to what God said through the prophet Jeremiah :
ERV	Matthew	2	18	“ A sound was heard in Ramah— bitter crying and great sadness . Rachel cries for her children , and she can not be comforted , because her children are gone. ” ( B ) Joseph and Mary Return From Egypt
ERV	Matthew	2	19	While Joseph was in Egypt , Herod died . An angel from the Lord came to Joseph in a dream
ERV	Matthew	2	20	and said , “ Get up ! Take the child with his mother and go to Israel . Those who were trying to kill the child are now dead. ”
ERV	Matthew	2	21	So Joseph took the child and the mother and went to Israel .
ERV	Matthew	2	22	But he heard that Archelaus was now king in Judea . Archelaus became king when his father Herod died . So Joseph was afraid to go there . Then , after being warned in a dream , he went away to the area of Galilee .
