estilo	livro	capitulo	versiculo	texto
KJ21	Genesis	1	1	In the beginning God created the heaven and the earth .
KJ21	Genesis	1	2	And the earth was without form and void , and darkness was upon the face of the deep . And the Spirit of God moved upon the face of the waters .
KJ21	Genesis	1	3	And God said , “ Let there be light ” ; and there was light .
KJ21	Genesis	1	4	And God saw the light , that it was good ; and God divided the light from the darkness .
KJ21	Genesis	1	5	And God called the light Day , and the darkness He called Night . And the evening and the morning were the first day .
KJ21	Genesis	1	6	And God said , “ Let there be a firmament in the midst of the waters , and let it divide the waters from the waters. ”
KJ21	Genesis	1	7	And God made the firmament , and divided the waters which were under the firmament from the waters which were above the firmament ; and it was so .
KJ21	Genesis	1	8	And God called the firmament Heaven . And the evening and the morning were the second day .
KJ21	Genesis	1	9	And God said , “ Let the waters under the heaven be gathered together unto one place , and let the dry land appear ” ; and it was so .
KJ21	Genesis	1	10	And God called the dry land Earth ; and the gathering together of the waters called He Seas ; and God saw that it was good .
KJ21	Genesis	1	11	And God said , “ Let the earth bring forth grass , the herb yielding seed , and the fruit tree yielding fruit after his kind , whose seed is in itself , upon the earth ” ; and it was so .
KJ21	Genesis	1	12	And the earth brought forth grass , and herb yielding seed after his kind , and the tree yielding fruit , whose seed was in itself , after his kind ; and God saw that it was good .
KJ21	Genesis	1	13	And the evening and the morning were the third day .
KJ21	Genesis	1	14	And God said , “ Let there be lights in the firmament of the heaven to divide the day from the night ; and let them be for signs and for seasons , and for days and years ;
KJ21	Genesis	1	15	and let them be for lights in the firmament of the heaven to give light upon the earth ” ; and it was so .
KJ21	Genesis	1	16	And God made two great lights : the greater light to rule the day , and the lesser light to rule the night . He made the stars also .
KJ21	Genesis	1	17	And God set them in the firmament of the heaven to give light upon the earth ,
KJ21	Genesis	1	18	and to rule over the day and over the night , and to divide the light from the darkness . And God saw that it was good .
KJ21	Genesis	1	19	And the evening and the morning were the fourth day .
KJ21	Genesis	1	20	And God said , “ Let the waters bring forth abundantly the moving creature that hath life , and fowl that may fly above the earth in the open firmament of heaven. ”
KJ21	Genesis	1	21	And God created great whales and every living creature that moveth , which the waters brought forth abundantly after their kind , and every winged fowl after his kind ; and God saw that it was good .
KJ21	Genesis	1	22	And God blessed them , saying , “ Be fruitful and multiply , and fill the waters in the seas , and let fowl multiply on the earth. ”
KJ21	Genesis	1	23	And the evening and the morning were the fifth day .
KJ21	Genesis	1	24	And God said , “ Let the earth bring forth the living creature after his kind : cattle and creeping thing and beast of the earth after his kind ” ; and it was so .
KJ21	Genesis	1	25	And God made the beast of the earth after his kind , and cattle after their kind , and every thing that creepeth upon the earth after his kind ; and God saw that it was good .
KJ21	Genesis	1	26	And God said , “ Let Us make man in Our image , after Our likeness ; and let them have dominion over the fish of the sea , and over the fowl of the air , and over the cattle , and over all the earth and over every creeping thing that creepeth upon the earth. ”
KJ21	Genesis	1	27	So God created man in His own image , in the image of God created He him ; male and female created He them .
KJ21	Genesis	1	28	And God blessed them , and God said unto them , “ Be fruitful and multiply , and replenish the earth , and subdue it ; and have dominion over the fish of the sea , and over the fowl of the air , and over every living thing that moveth upon the earth. ”
KJ21	Genesis	1	29	And God said , “ Behold , I have given you every herb bearing seed which is upon the face of all the earth , and every tree in which is the fruit of a tree yielding seed ; to you it shall be for meat .
KJ21	Genesis	1	30	And to every beast of the earth , and to every fowl of the air , and to every thing that creepeth upon the earth wherein there is life , I have given every green herb for meat ” ; and it was so .
KJ21	Genesis	1	31	And God saw every thing that He had made , and behold , it was very good . And the evening and the morning were the sixth day .
KJ21	Genesis	2	2	And on the seventh day God ended His work which He had made ; and He rested on the seventh day from all His work which He had made .
KJ21	Genesis	2	3	And God blessed the seventh day and sanctified it , because in it He had rested from all His work which God created and made .
KJ21	Genesis	2	4	These are the generations of the heavens and of the earth when they were created , in the day that the Lord God made the earth and the heavens ,
KJ21	Genesis	2	5	and before every plant of the field was in the earth , and before every herb of the field grew ; for the Lord God had not caused it to rain upon the earth , and there was not a man to till the ground .
KJ21	Genesis	2	6	But there went up a mist from the earth , and watered the whole face of the ground .
KJ21	Genesis	2	7	And the Lord God formed man of the dust of the ground , and breathed into his nostrils the breath of life ; and man became a living soul .
KJ21	Genesis	2	8	And the Lord God planted a garden eastward in Eden , and there He put the man whom He had formed .
KJ21	Genesis	2	9	And out of the ground made the Lord God to grow every tree that is pleasant to the sight and good for food , the tree of life also in the midst of the garden , and the tree of knowledge of good and evil .
KJ21	Genesis	2	10	And a river went out of Eden to water the garden , and from thence it was parted and became four heads .
KJ21	Genesis	2	11	The name of the first is Pishon ; that is it which compasseth the whole land of Havilah , where there is gold .
