estilo	livro	capitulo	versiculo	texto
LEB	Matthew	1	1	Chr 3:10 ) - Matthew 1:8 Greek “ Josaphat ” ; alternately spelled “ Jehoshaphat ” in many English versions - Matthew 1:10 The earliest and best Greek manuscripts read “ Amos , ” but many English versions use the Old Testament form of the name here , “ Amon ” ( cf .
LEB	Matthew	1	2	Kgs 21:18 ) - Matthew 1:12 Greek “ Salathiel , ” but many English versions use the Old Testament form of the name here , “ Shealtiel ” ( cf . Ezra 3:2 ) - Matthew 1:16 The Greek relative pronoun is feminine gender and thus refers only to Mary , not Joseph - Matthew 1:18 Literally “ to have in the womb ” - Matthew 1:20 Here “ as ” is supplied as a component of the temporal genitive absolute participle ( “ considering ” ) - Matthew 1:23 Literally “ will have in the womb ” - Matthew 1:23 A quotation from Isa 7:14 - Matthew 1:23 An allusion to Isa 8:8 ,
LEB	Matthew	1	3	and Judah became the father of Perez and Zerah by Tamar , and Perez became the father of Hezron , and Hezron became the father of Aram , [ a ]
LEB	Matthew	1	4	and Aram became the father of Amminadab , and Amminadab became the father of Nahshon , and Nahshon became the father of Salmon ,
LEB	Matthew	1	5	and Salmon became the father of Boaz by Rahab , and Boaz became the father of Obed by Ruth , and Obed became the father of Jesse ,
LEB	Matthew	1	6	and Jesse became the father of David the king . And David became the father of Solomon by the wife [ b ] of Uriah ,
LEB	Matthew	1	7	and Solomon became the father of Rehoboam , and Rehoboam became the father of Abijah , and Abijah became the father of Asa , [ c ]
LEB	Matthew	1	8	and Asa became the father of Jehoshaphat , [ d ] and Jehoshaphat became the father of Joram , and Joram became the father of Uzziah ,
LEB	Matthew	1	9	and Uzziah became the father of Jotham , and Jotham became the father of Ahaz , and Ahaz became the father of Hezekiah ,
LEB	Matthew	1	10	in the Greek OT ( LXX ) - Matthew 1:24 Here “ when ” is supplied as a component of the participle ( “ woke up ” ) which is understood as temporal - Matthew 1:25 Literally “ did not know ”
LEB	Matthew	1	11	and Josiah became the father of Jechoniah and his brothers , at the time of the deportation to Babylon .
LEB	Matthew	1	12	And after the deportation to Babylon , Jechoniah became the father of Shealtiel , [ f ] and Shealtiel became the father of Zerubbabel ,
LEB	Matthew	1	13	and Zerubbabel became the father of Abiud , and Abiud became the father of Eliakim , and Eliakim became the father of Azor ,
LEB	Matthew	1	14	and Azor became the father of Zadok , and Zadok became the father of Achim , and Achim became the father of Eliud ,
LEB	Matthew	1	15	and Eliud became the father of Eleazar , and Eleazar became the father of Matthan , and Matthan became the father of Jacob ,
LEB	Matthew	1	16	and Jacob became the father of Joseph , the husband of Mary by whom [ g ] was born Jesus , who is called Christ .
LEB	Matthew	1	17	Therefore all the generations from Abraham to David are fourteen generations , and from David to the deportation to Babylon are fourteen generations , and from the deportation to Babylon to the Christ are fourteen generations . The Birth of Jesus Christ
LEB	Matthew	1	18	Now the birth of Jesus Christ occurred in this way . His mother Mary had been betrothed to Joseph , but before they came together , she was found to be pregnant [ h ] by the Holy Spirit .
LEB	Matthew	1	19	So Joseph her husband , being righteous and not wanting to disgrace her , intended to divorce her secretly .
LEB	Matthew	1	20	But as [ i ] he was considering these things , behold , an angel of the Lord appeared to him in a dream , saying , “ Joseph , son of David , do not be afraid to take Mary as your wife , for what has been conceived in her is from the Holy Spirit .
LEB	Matthew	1	21	And she will give birth to a son , and you will call his name ‘ Jesus , ’ because he will save his people from their sins. ”
LEB	Matthew	1	22	Now all this happened in order that what was spoken by the Lord through the prophet would be fulfilled , saying ,
LEB	Matthew	1	23	“ Behold , the virgin will become pregnant [ j ] and will give birth to a son , and they will call his name Emmanuel , ” [ k ] which is translated , “ God with us. ” [ l ]
LEB	Matthew	1	24	And Joseph , when he [ m ] woke up from sleep , did as the angel of the Lord commanded him , and he took his wife
LEB	Matthew	1	25	and did not have sexual relations with [ n ] her until she gave birth to a son . And he called his name Jesus . Footnotes - Matthew 1:3 Although the Greek text reads “ Aram , ” many English versions substitute the Old Testament form of the name , “ Ram ” ( cf .
LEB	Matthew	1	2012	by Logos Bible Software . Lexham is a registered trademark of Logos Bible Software
LEB	Matthew	2	2	) to introduce an indirect quotation , in which case it could be translated “ that he would be called a Nazarene ”
LEB	Matthew	2	3	And when [ c ] King Herod heard it , [ d ] he was troubled , and all Jerusalem with him ,
LEB	Matthew	2	4	and after [ e ] calling together all the chief priests and scribes of the people , he inquired from them where the Christ was to be born .
LEB	Matthew	2	5	So they said to him , “ In Bethlehem of Judea , for thus it is written by the prophet ,
LEB	Matthew	2	6	‘ And you , Bethlehem , land of Judah , are by no means least among the rulers of Judah , for from you will go out a ruler who will shepherd my people Israel. ’ ” [ f ]
