estilo	livro	capitulo	versiculo	texto
NASB1995	Matthew	1	1	Chron 3:11 - Matthew 1:9 Gr Joatham - Matthew 1:10 Gr Amos - Matthew 1:11 Jehoiachin in
NASB1995	Matthew	1	1995	by The Lockman Foundation . All rights reserved .
NASB1995	Matthew	1	2	Kin 24:15 - Matthew 1:12 Gr Salathiel - Matthew 1:13 Gr Abioud , usually spelled Abiud - Matthew 1:16 Gr Christos ( Christ ) - Matthew 1:17 Gr Christos ( Christ ) - Matthew 1:18 I.e . The Messiah - Matthew 1:18 The first stage of marriage in Jewish culture , usually lasting for a year before the wedding night , more legal than an engagement - Matthew 1:19 Or to divorce her - Matthew 1:20 Lit that which - Matthew 1:20 Lit begotten - Matthew 1:21 Lit He Himself - Matthew 1:22 Lit has happened - Matthew 1:23 Or Emmanuel - Matthew 1:24 Lit got up - Matthew 1:25 Lit and was not knowing her New American Standard Bible® , Copyright ©
NASB1995	Matthew	1	3	Judah was the father of Perez and Zerah by Tamar , ( C ) Perez was the father of Hezron , and Hezron the father of [ g ] Ram .
NASB1995	Matthew	1	4	Ram was the father of Amminadab , Amminadab the father of Nahshon , and Nahshon the father of Salmon .
NASB1995	Matthew	1	5	Salmon was the father of Boaz by Rahab , Boaz was the father of Obed by Ruth , and Obed the father of Jesse .
NASB1995	Matthew	1	6	Jesse was the father of David the king . David ( D ) was the father of Solomon by [ h ] Bathsheba who had been the wife of Uriah .
NASB1995	Matthew	1	7	Solomon ( E ) was the father of Rehoboam , Rehoboam the father of Abijah , and Abijah the father of [ i ] Asa .
NASB1995	Matthew	1	8	Asa was the father of Jehoshaphat , Jehoshaphat the father of [ j ] Joram , and Joram the father of Uzziah .
NASB1995	Matthew	1	9	Uzziah was the father of [ k ] Jotham , Jotham the father of Ahaz , and Ahaz the father of Hezekiah .
NASB1995	Matthew	1	10	Hezekiah was the father of Manasseh , Manasseh the father of [ l ] Amon , and Amon the ( F ) father of Josiah .
NASB1995	Matthew	1	11	Josiah became the father of [ m ] Jeconiah and his brothers , at the time of the ( G ) deportation to Babylon .
NASB1995	Matthew	1	12	After the ( H ) deportation to Babylon : Jeconiah became the father of [ n ] Shealtiel , and Shealtiel the father of Zerubbabel .
NASB1995	Matthew	1	13	Zerubbabel was the father of [ o ] Abihud , Abihud the father of Eliakim , and Eliakim the father of Azor .
NASB1995	Matthew	1	14	Azor was the father of Zadok , Zadok the father of Achim , and Achim the father of Eliud .
NASB1995	Matthew	1	15	Eliud was the father of Eleazar , Eleazar the father of Matthan , and Matthan the father of Jacob .
NASB1995	Matthew	1	16	Jacob was the father of Joseph the husband of Mary , by whom Jesus was born , ( I ) who is called [ p ] the Messiah .
NASB1995	Matthew	1	17	So all the generations from Abraham to David are fourteen generations ; from David to the ( J ) deportation to Babylon , fourteen generations ; and from the ( K ) deportation to Babylon to [ q ] the Messiah , fourteen generations . Conception and Birth of Jesus
NASB1995	Matthew	1	18	Now the birth of Jesus [ r ] Christ was as follows : when His ( L ) mother Mary had been [ s ] betrothed to Joseph , before they came together she was ( M ) found to be with child by the Holy Spirit .
NASB1995	Matthew	1	19	And Joseph her husband , being a righteous man and not wanting to disgrace her , planned [ t ] ( N ) to send her away secretly .
