estilo	livro	capitulo	versiculo	texto
NASB	Matthew	1	1	Chr 3:11 - Matthew 1:9 Gr Joatham - Matthew 1:10 Gr Amos - Matthew 1:11 Jehoiachin in
NASB	Matthew	1	2	Kin 24:15 - Matthew 1:12 Gr Salathiel - Matthew 1:13 Gr Abioud , usually spelled Abiud - Matthew 1:16 From Gr Christos , which means Messiah ( Heb for Anointed One ) - Matthew 1:17 See note v
NASB	Matthew	1	3	Judah fathered Perez and Zerah by Tamar , ( C ) Perez fathered Hezron , and Hezron fathered [ e ] Ram .
NASB	Matthew	1	4	Ram fathered Amminadab , Amminadab fathered Nahshon , and Nahshon fathered Salmon .
NASB	Matthew	1	5	Salmon fathered Boaz by Rahab , Boaz fathered Obed by Ruth , and Obed fathered Jesse .
NASB	Matthew	1	6	Jesse fathered David the king . David ( D ) fathered Solomon by [ f ] her who had been the wife of Uriah .
NASB	Matthew	1	7	Solomon ( E ) fathered Rehoboam , Rehoboam fathered Abijah , and Abijah fathered [ g ] Asa .
NASB	Matthew	1	8	Asa fathered Jehoshaphat , Jehoshaphat fathered [ h ] Joram , and Joram fathered Uzziah .
NASB	Matthew	1	9	Uzziah fathered [ i ] Jotham , Jotham fathered Ahaz , and Ahaz fathered Hezekiah .
NASB	Matthew	1	10	Hezekiah fathered Manasseh , Manasseh fathered [ j ] Amon , and Amon ( F ) fathered Josiah .
NASB	Matthew	1	11	Josiah fathered [ k ] Jeconiah and his brothers , at the time of the ( G ) deportation to Babylon .
NASB	Matthew	1	12	After the ( H ) deportation to Babylon : Jeconiah fathered [ l ] Shealtiel , and Shealtiel fathered Zerubbabel .
NASB	Matthew	1	13	Zerubbabel fathered [ m ] Abihud , Abihud fathered Eliakim , and Eliakim fathered Azor .
NASB	Matthew	1	14	Azor fathered Zadok , Zadok fathered Achim , and Achim fathered Eliud .
NASB	Matthew	1	15	Eliud fathered Eleazar , Eleazar fathered Matthan , and Matthan fathered Jacob .
NASB	Matthew	1	16	- Matthew 1:18 Unlike engagement , a betrothed couple was considered married , but did not yet live together - Matthew 1:19 Or divorce her - Matthew 1:20 Lit that which - Matthew 1:21 Lit He Himself - Matthew 1:22 Lit has happened - Matthew 1:22 I.e. , Isaiah - Matthew 1:23 Or be pregnant - Matthew 1:23 Gr Emmanuel - Matthew 1:25 Lit and did not know her intimately New American Standard Bible® , Copyright ©
NASB	Matthew	1	17	So all the generations from Abraham to David are fourteen generations ; from David to the ( J ) deportation to Babylon , fourteen generations ; and from the ( K ) deportation to Babylon to the [ o ] Messiah , fourteen generations . Conception and Birth of Jesus
NASB	Matthew	1	18	Now the birth of Jesus the [ p ] Messiah was as follows : when His ( L ) mother Mary had been [ q ] betrothed to Joseph , before they came together she was ( M ) found to be pregnant by the Holy Spirit .
NASB	Matthew	1	19	And her husband Joseph , since he was a righteous man and did not want to disgrace her , planned to [ r ] ( N ) send her away secretly .
NASB	Matthew	1	20	But when he had thought this over , behold , an angel of the Lord appeared to him in a dream , saying , “ ( O ) Joseph , son of David , do not be afraid to take Mary as your wife ; for [ s ] the Child who has been conceived in her is of the Holy Spirit .
NASB	Matthew	1	21	She will give birth to a Son ; and ( P ) you shall name Him Jesus , for [ t ] He ( Q ) will save His people from their sins. ”
NASB	Matthew	1	22	Now all this [ u ] took place so that what was ( R ) spoken by the Lord through [ v ] the prophet would be fulfilled :
NASB	Matthew	1	23	“ ( S ) Behold , the virgin will [ w ] ( T ) conceive and give birth to a Son , and they shall name Him [ x ] Immanuel , ” which translated means , “ ( U ) God with us. ”
NASB	Matthew	1	24	And Joseph awoke from his sleep and did as the angel of the Lord commanded him , and took Mary as his wife ,
NASB	Matthew	1	25	[ y ] but kept her a virgin until she ( V ) gave birth to a Son ; and ( W ) he named Him Jesus . Footnotes - Matthew 1:1 Lit book - Matthew 1:1 In Heb Yeshua ( Joshua ) , meaning The Lord is salvation - Matthew 1:1 From Gr Christos , which means Messiah ( Heb for Anointed One ) - Matthew 1:2 Gr Judas ; a name of a person in the Old Testament is given in its Old Testament form - Matthew 1:3 Gr Aram - Matthew 1:6 I.e. , Bathsheba - Matthew 1:7 Gr Asaph - Matthew 1:8 Also Gr for Jehoram in
NASB	Matthew	1	1960	,
NASB	Matthew	1	1971	,
NASB	Matthew	1	1977	,
NASB	Matthew	1	1995	,
NASB	Matthew	1	2020	by The Lockman Foundation . All rights reserved .
NASB	Matthew	2	2	“ Where is He who has been born ( C ) King of the Jews ? For we saw ( D ) His star in the east and have come to worship Him. ”
NASB	Matthew	2	3	When Herod the king heard this , he was troubled , and all Jerusalem with him .
NASB	Matthew	2	4	And gathering together all the chief priests and scribes of the people , he inquired of them where the [ b ] Messiah was to be born .
NASB	Matthew	2	5	They said to him , “ ( E ) In Bethlehem of Judea ; for this is what has been written [ c ] by [ d ] the prophet :
NASB	Matthew	2	6	‘ ( F ) And you , Bethlehem , land of Judah , Are by no means least among the leaders of Judah ; For from you will come forth a Ruler Who will ( G ) shepherd My people Israel. ’ ”
NASB	Matthew	2	7	Then Herod secretly called for the magi and determined from them the exact [ e ] time ( H ) the star appeared .
NASB	Matthew	2	8	And he sent them to Bethlehem and said , “ Go and search carefully for the Child ; and when you have found Him , report to me , so that I too may come and worship Him. ”
