estilo	livro	capitulo	versiculo	texto
NCB	Matthew	1	1	Chr 2:4 ) , Rahab ( see Jos
NCB	Matthew	1	2	Sam
NCB	Matthew	1	3	Judah was the father of Perez and Zerah , with Tamar [ d ] being their mother . Perez was the father of Hezron , Hezron the father of Ram ,
NCB	Matthew	1	4	Ram the father of Amminadab . Amminadab was the father of Nahshon , Nahshon the father of Salmon ,
NCB	Matthew	1	5	; 16:15 ) ; so were kings (
NCB	Matthew	1	6	and Jesse was the father of King David . David was the father of Solomon , whose mother had been the wife of Uriah .
NCB	Matthew	1	7	Solomon was the father of Rehoboam , Rehoboam the father of Abijah , Abijah the father of Asa .
NCB	Matthew	1	8	Asa was the father of Jehoshaphat , Jehoshaphat the father of Joram , Joram the father of Uzziah .
NCB	Matthew	1	9	Uzziah was the father of Jotham , Jotham the father of Ahaz , Ahaz the father of Hezekiah .
NCB	Matthew	1	10	Hezekiah was the father of Manasseh , Manasseh the father of Amos , Amos the father of Josiah .
NCB	Matthew	1	11	; 12:24 ) , and Ruth ( see Book of Ruth ) . These four women were foreigners who in some way became part of the history of Israel . They symbolize the salvation that God intends for all peoples . - Matthew 1:16 It is important to note that in the case of Christ ’ s birth , the text uses a formula that is far different from the one used for the other persons in the genealogy . In doing so , the evangelist is paving the way for the teaching of Christ ’ s virginal conception , which took place without the intervention of any man . - Matthew 1:18 At the beginning of creation the Spirit made the waters fruitful ( Gen 1:2 ; Ps 33:6-7 ) ; the Spirit restored life to a people who had been destroyed and were in exile ( Ezek 37:1-14 ; Isa 44:2-4 ) . Now the Spirit creates the new human being , the new Israel , in the womb of the Virgin . How mysterious the interventions of God that turn upside down the course of events and the ways of human beings ! Joseph , who is irrevocably bound to Mary because at that time an espousal was a definitive act , is witness to the incomprehensible ; he has too much trust in his wife to abandon her to the sentence imposed by the Law if she were to be thought an adulteress . But who will show him the way out of this impossible situation ? A revelation of heaven makes his mission known to him in a dream , as the announcement of angels and messengers had to the patriarchs . Joseph obeys , and through him Jesus finds a place publicly in the dynasty of David . What will this son become , whose name “ Jesus ” is already a program , since it means “ God saves ” ? The prophecy of Isaiah , which had remained mysterious to the minds of believers , is now fulfilled . Such is the main message of this text that was originally addressed to Jews , namely , that God is in our midst to give us victory and to live the covenant to the full . “ Emmanuel ” means “ God is with us ” ( Lk 1:31 ; Jn 1:14 ) . That is the ultimate message . - Matthew 1:21 Jesus : is a transcription of the Greek Iêsous , which in turn is a transcription of the Hebrew Jehoshuah ( “ Joshua ” in translations ) or Jeshua in its later form . It means “ God saves. ” - Matthew 1:23 See Isa 7:14 . God ’ s promise of salvation to Judah in the time of Isaiah is seen to be fulfilled in the birth of Jesus . This is the first of some
NCB	Matthew	1	12	After the deportation to Babylon , Jechoniah was the father of Shealtiel , Shealtiel the father of Zerubbabel ,
NCB	Matthew	1	13	Zerubabbel the father of Abiud . Abiud was the father of Eliakim , Eliakim the father of Azor ,
NCB	Matthew	1	14	Azor the father of Zadok . Zadok was the father of Achim , Achim the father of Eliud ,
NCB	Matthew	1	15	Eliud the father of Eleazar . Eleazar was the father of Matthan , Matthan the father of Jacob .
NCB	Matthew	1	16	Jacob was the father of Joseph , the husband of Mary , who gave birth to Jesus who is called the Christ . [ e ]
NCB	Matthew	1	17	Therefore , in total there were fourteen generations from Abraham to David , another fourteen generations from David to the deportation to Babylon , and another fourteen generations from the deportation to Babylon to the Christ .
NCB	Matthew	1	18	The Birth of Jesus . [ f ] The birth of Jesus Christ occurred in this way . When his mother Mary was engaged to Joseph , but before they came to live together , she was found to be with child through the Holy Spirit .
NCB	Matthew	1	19	Her husband Joseph was a just man and did not wish to expose her to the ordeal of public disgrace ; therefore , he resolved to divorce her quietly .
NCB	Matthew	1	20	After he had decided to follow this course of action , an angel of the Lord appeared to him in a dream and said , “ Joseph , son of David , do not be afraid to receive Mary into your home as your wife . For this child has been conceived in her womb through the Holy Spirit .
NCB	Matthew	1	21	She will give birth to a son , and you shall name him Jesus , [ g ] for he will save his people from their sins. ”
NCB	Matthew	1	22	All this took place in order to fulfill what the Lord had announced through the prophet :
NCB	Matthew	1	23	“ Behold , the virgin shall conceive and give birth to a son , and they shall name him Emmanuel , ” a name that means “ God is with us. ” [ h ]
NCB	Matthew	1	24	When Joseph rose from sleep , he did what the angel of the Lord had commanded him . He took Mary into his home as his wife ,
NCB	Matthew	1	25	but he engaged in no marital relations [ i ] with her until she gave birth to a son , whom he named Jesus . Footnotes - Matthew 1:1 Who was Jesus ? Where did he come from ? The prologue of Matthew ’ s Gospel immediately confronts us with this question . The author has not simply gathered up some scattered recollections to complete his album on the life of Christ ; rather , from the very first moment he is transmitting the Church ’ s testimony of faith . - Matthew 1:1 To the ancients a genealogical tree was not only a set of data on one ’ s civil status but also a manifestation of one ’ s membership in a community and the importance of ancestry ( Gen 5:1-11 ; Ex 6:14-24 ;
NCB	Matthew	1	38	;
NCB	Matthew	1	60	citations , most of them Messianic , that Matthew takes from the Old Testament . - Matthew 1:25 Engaged in no marital relations : literally , “ did not know , ” “ know ” being the usual word for conjugal relations ( see Gen 4:1 ) . The meaning of “ he engaged in no marital relations with her . . . ” is : “ without his knowing her , she bore a son. ” The Hebrew word “ until ” neither implies nor excludes marital conduct after Jesus ’ birth .
NCB	Matthew	2	2	Sam 5:1-3 ) : the new future of the People of God originates in the dynasty of David and in his native place , Bethlehem (
NCB	Matthew	2	1	Sam
NCB	Matthew	2	3	On hearing about their inquiry , King Herod was greatly troubled , as was true of the whole of Jerusalem .
NCB	Matthew	2	4	B.C . to A.D.
NCB	Matthew	2	5	; 49:23 ; 60:1-5 ; Lk 2:30-34 ) . - Matthew 2:1 Bethlehem : about five miles south of Jerusalem . - Matthew 2:4 Chief priests : in the plural signifies the high priest now in office and his predecessors and members of their respective families . Herod ’ s act of consulting with the chief priests and teachers of the Law has some affinity with a Jewish legend about the child Moses in which Pharaoh is warned by sacred scribes about the coming birth of a deliverer of Israel from Egypt and plots to destroy the deliverer . - Matthew 2:6 This prophecy of Micah ( 5:1 ) had been pronounced seven centuries earlier . - Matthew 2:11 Because of the Old Testament texts of Ps 72:11 ,
