estilo	livro	capitulo	versiculo	texto
NIRV	Matthew	1	1	This is the written story of the family line of Jesus the Messiah . He is the son of David . He is also the son of Abraham .
NIRV	Matthew	1	2	Abraham was the father of Isaac . Isaac was the father of Jacob . Jacob was the father of Judah and his brothers .
NIRV	Matthew	1	3	Judah was the father of Perez and Zerah . Tamar was their mother . Perez was the father of Hezron . Hezron was the father of Ram .
NIRV	Matthew	1	4	Ram was the father of Amminadab . Amminadab was the father of Nahshon . Nahshon was the father of Salmon .
NIRV	Matthew	1	5	Salmon was the father of Boaz . Rahab was Boaz ’ s mother . Boaz was the father of Obed . Ruth was Obed ’ s mother . Obed was the father of Jesse .
NIRV	Matthew	1	6	And Jesse was the father of King David . David was the father of Solomon . Solomon ’ s mother had been Uriah ’ s wife .
NIRV	Matthew	1	7	Solomon was the father of Rehoboam . Rehoboam was the father of Abijah . Abijah was the father of Asa .
NIRV	Matthew	1	8	Asa was the father of Jehoshaphat . Jehoshaphat was the father of Jehoram . Jehoram was the father of Uzziah .
NIRV	Matthew	1	9	Uzziah was the father of Jotham . Jotham was the father of Ahaz . Ahaz was the father of Hezekiah .
NIRV	Matthew	1	10	Hezekiah was the father of Manasseh . Manasseh was the father of Amon . Amon was the father of Josiah .
NIRV	Matthew	1	11	And Josiah was the father of Jeconiah and his brothers . At that time , the Jewish people were forced to go away to Babylon .
NIRV	Matthew	1	12	After this , the family line continued . Jeconiah was the father of Shealtiel . Shealtiel was the father of Zerubbabel .
NIRV	Matthew	1	13	Zerubbabel was the father of Abihud . Abihud was the father of Eliakim . Eliakim was the father of Azor .
NIRV	Matthew	1	14	from that time to the Messiah . Joseph Accepts Jesus as His Son
NIRV	Matthew	1	15	Elihud was the father of Eleazar . Eleazar was the father of Matthan . Matthan was the father of Jacob .
NIRV	Matthew	1	16	Jacob was the father of Joseph . Joseph was the husband of Mary . And Mary was the mother of Jesus , who is called the Messiah .
NIRV	Matthew	1	17	So there were
NIRV	Matthew	1	18	This is how the birth of Jesus the Messiah came about . His mother Mary and Joseph had promised to get married . But before they started to live together , it became clear that she was going to have a baby . She became pregnant by the power of the Holy Spirit .
NIRV	Matthew	1	19	Her husband Joseph was faithful to the law . But he did not want to put her to shame in public . So he planned to divorce her quietly .
NIRV	Matthew	1	20	But as Joseph was thinking about this , an angel of the Lord appeared to him in a dream . The angel said , “ Joseph , son of David , don ’ t be afraid to take Mary home as your wife . The baby inside her is from the Holy Spirit .
