estilo	livro	capitulo	versiculo	texto
NIRV	Genesis	1	1	In the beginning , God created the heavens and the earth .
NIRV	Genesis	1	2	The earth didn ’ t have any shape . And it was empty . There was darkness over the surface of the waves . At that time , the Spirit of God was hovering over the waters .
NIRV	Genesis	1	3	God said , “ Let there be light. ” And there was light .
NIRV	Genesis	1	4	God saw that the light was good . He separated the light from the darkness .
NIRV	Genesis	1	5	God called the light “ day. ” He called the darkness “ night. ” There was evening , and there was morning . It was day one .
NIRV	Genesis	1	6	God said , “ Let there be a huge space between the waters . Let it separate water from water. ”
NIRV	Genesis	1	7	And that ’ s exactly what happened . God made the huge space between the waters . He separated the water under the space from the water above it .
NIRV	Genesis	1	8	God called the huge space “ sky. ” There was evening , and there was morning . It was day two .
NIRV	Genesis	1	9	God said , “ Let the water under the sky be gathered into one place . Let dry ground appear. ” And that ’ s exactly what happened .
NIRV	Genesis	1	10	God called the dry ground “ land. ” He called all the water that was gathered together “ seas. ” And God saw that it was good .
NIRV	Genesis	1	11	Then God said , “ Let the land produce plants . Let them produce their own seeds . And let there be trees on the land that grow fruit with seeds in it . Let each kind of plant or tree have its own kind of seeds. ” And that ’ s exactly what happened .
NIRV	Genesis	1	12	So the land produced plants . Each kind of plant had its own kind of seeds . And the land produced trees that grew fruit with seeds in it . Each kind of tree had its own kind of seeds . God saw that it was good .
NIRV	Genesis	1	13	There was evening , and there was morning . It was day three .
NIRV	Genesis	1	14	God said , “ Let there be lights in the huge space of the sky . Let them separate the day from the night . Let the lights set the times for the holy celebrations and the days and the years .
NIRV	Genesis	1	15	Let them be lights in the huge space of the sky to give light on the earth. ” And that ’ s exactly what happened .
NIRV	Genesis	1	16	God made two great lights . He made the larger light to rule over the day and the smaller light to rule over the night . He also made the stars .
NIRV	Genesis	1	17	God put the lights in the huge space of the sky to give light on the earth .
NIRV	Genesis	1	18	He put them there to rule over the day and the night . He put them there to separate light from darkness . God saw that it was good .
NIRV	Genesis	1	19	There was evening , and there was morning . It was day four .
NIRV	Genesis	1	20	God said , “ Let the seas be filled with living things . Let birds fly above the earth across the huge space of the sky. ”
NIRV	Genesis	1	21	So God created the great sea creatures . He created every kind of living thing that fills the seas and moves about in them . He created every kind of bird that flies . And God saw that it was good .
NIRV	Genesis	1	22	God blessed them . He said , “ Have little ones so that there will be many of you . Fill the water in the seas . Let there be more and more birds on the earth. ”
NIRV	Genesis	1	23	There was evening , and there was morning . It was day five .
NIRV	Genesis	1	24	God said , “ Let the land produce every kind of living creature . Let there be livestock , and creatures that move along the ground , and wild animals. ” And that ’ s exactly what happened .
NIRV	Genesis	1	25	God made every kind of wild animal . He made every kind of livestock . He made every kind of creature that moves along the ground . And God saw that it was good .
NIRV	Genesis	1	26	Then God said , “ Let us make human beings so that they are like us . Let them rule over the fish in the seas and the birds in the sky . Let them rule over the livestock and all the wild animals . And let them rule over all the creatures that move along the ground. ”
NIRV	Genesis	1	27	So God created human beings in his own likeness . He created them to be like himself . He created them as male and female .
NIRV	Genesis	1	28	God blessed them . He said to them , “ Have children so that there will be many of you . Fill the earth and bring it under your control . Rule over the fish in the seas and the birds in the sky . Rule over every living creature that moves along the ground. ”
NIRV	Genesis	1	29	Then God said , “ I am giving you every plant on the face of the whole earth that produces its own seeds . I am giving you every tree that has fruit with seeds in it . All of them will be given to you for food .
NIRV	Genesis	1	30	I am giving every green plant as food for all the land animals and for all the birds in the sky . I am also giving the plants to all the creatures that move along the ground . I am giving them to every living thing that breathes. ” And that ’ s exactly what happened .
NIRV	Genesis	1	31	God saw everything he had made . And it was very good . There was evening , and there was morning . It was day six . Copyright ©
NIRV	Genesis	1	1995	,
NIRV	Genesis	1	1996	,
NIRV	Genesis	1	1998	,
NIRV	Genesis	1	2014	by Biblica , Inc.® . Used by permission . All rights reserved worldwide .
NIRV	Genesis	2	2	By the seventh day God had finished the work he had been doing . So on that day he rested from all his work .
NIRV	Genesis	2	3	God blessed the seventh day and made it holy . He blessed it because on that day he rested from all the work he had done . Adam and Eve
NIRV	Genesis	2	4	Here is the story of the heavens and the earth when they were created . The Lord God made the earth and the heavens .
NIRV	Genesis	2	5	At that time , bushes had not yet appeared on the earth . Plants had not started to grow . The Lord God had not sent rain on the earth . And there was no one to farm the land .
NIRV	Genesis	2	6	But streams came from the earth . They watered the entire surface of the ground .
NIRV	Genesis	2	7	Then the Lord God formed a man . He made him out of the dust of the ground . God breathed the breath of life into him . And the man became a living person .
NIRV	Genesis	2	8	The Lord God had planted a garden in the east in Eden . He put in the garden the man he had formed .
NIRV	Genesis	2	9	The Lord God made every kind of tree grow out of the ground . The trees were pleasing to look at . Their fruit was good to eat . There were two trees in the middle of the garden . One of them had fruit that let people live forever . The other had fruit that let people tell the difference between good and evil .
NIRV	Genesis	2	10	A river watered the garden . It flowed out of Eden . From there the river separated into four other rivers .
NIRV	Genesis	2	11	The name of the first river is the Pishon . It winds through the whole land of Havilah . Gold is found there .
NIRV	Genesis	2	12	The gold of that land is good . Onyx and sweet-smelling resin are also found there .
NIRV	Genesis	2	13	The name of the second river is the Gihon . It winds through the whole land of Cush .
NIRV	Genesis	2	14	The name of the third river is the Tigris . It runs along the east side of Ashur . And the fourth river is called the Euphrates .
NIRV	Genesis	2	15	The Lord God put the man in the Garden of Eden . He put him there to farm its land and take care of it .
NIRV	Genesis	2	16	The Lord God gave the man a command . He said , “ You may eat fruit from any tree in the garden .
NIRV	Genesis	2	17	But you must not eat the fruit from the tree of the knowledge of good and evil . If you do , you will certainly die. ”
NIRV	Genesis	2	18	The Lord God said , “ It is not good for the man to be alone . I will make a helper who is just right for him. ”
NIRV	Genesis	2	19	The Lord God had formed all the wild animals and all the birds in the sky . He had made all of them out of the ground . He brought them to the man to see what names he would give them . And the name the man gave each living creature became its name .
NIRV	Genesis	2	20	So the man gave names to all the livestock , all the birds in the sky , and all the wild animals . But Adam didn ’ t find a helper that was just right for him .
NIRV	Genesis	2	21	So the Lord God caused him to fall into a deep sleep . While the man was sleeping , the Lord God took out one of the man ’ s ribs . Then the Lord God closed the opening in the man ’ s side .
NIRV	Genesis	2	22	Then the Lord God made a woman . He made her from the rib he had taken out of the man . And the Lord God brought her to the man .
NIRV	Genesis	2	23	The man said , “ Her bones have come from my bones . Her body has come from my body . She will be named ‘ woman , ’ because she was taken out of a man. ”
NIRV	Genesis	2	24	That ’ s why a man leaves his father and mother and is joined to his wife . The two of them become one .
NIRV	Genesis	2	25	Adam and his wife were both naked . They didn ’ t feel any shame . Copyright ©
NIRV	Genesis	2	1995	,
NIRV	Genesis	2	1996	,
NIRV	Genesis	2	1998	,
NIRV	Genesis	2	2014	by Biblica , Inc.® . Used by permission . All rights reserved worldwide .
NIRV	Genesis	3	3	But God did say , ‘ You must not eat the fruit from the tree in the middle of the garden . Do not even touch it . If you do , you will die. ’ ”
NIRV	Genesis	3	2	The woman said to the serpent , “ We may eat fruit from the trees in the garden .
NIRV	Genesis	3	4	“ You will certainly not die , ” the serpent said to the woman .
NIRV	Genesis	3	5	“ God knows that when you eat fruit from that tree , you will know things you have never known before . Like God , you will be able to tell the difference between good and evil. ”
NIRV	Genesis	3	6	The woman saw that the tree ’ s fruit was good to eat and pleasing to look at . She also saw that it would make a person wise . So she took some of the fruit and ate it . She also gave some to her husband , who was with her . And he ate it .
NIRV	Genesis	3	7	Then both of them knew things they had never known before . They realized they were naked . So they sewed together fig leaves and made clothes for themselves .
NIRV	Genesis	3	8	Then the man and his wife heard the Lord God walking in the garden . It was during the coolest time of the day . They hid from the Lord God among the trees of the garden .
NIRV	Genesis	3	9	But the Lord God called out to the man . “ Where are you ? ” he asked .
NIRV	Genesis	3	10	“ I heard you in the garden , ” the man answered . “ I was afraid , because I was naked . So I hid. ”
NIRV	Genesis	3	11	The Lord God said , “ Who told you that you were naked ? Have you eaten fruit from the tree I commanded you not to eat from ? ”
NIRV	Genesis	3	12	The man said , “ It ’ s the fault of the woman you put here with me . She gave me some fruit from the tree . And I ate it. ”
NIRV	Genesis	3	13	Then the Lord God said to the woman , “ What have you done ? ” The woman said , “ The serpent tricked me . That ’ s why I ate the fruit. ”
NIRV	Genesis	3	14	So the Lord God spoke to the serpent . He said , “ Because you have done this , “ You are set apart from all livestock and all wild animals . I am putting a curse on you . You will crawl on your belly . You will eat dust all the days of your life .
NIRV	Genesis	3	15	I will make you and the woman hate each other . Your children and her children will be enemies . Her son will crush your head . And you will bite his heel. ”
NIRV	Genesis	3	16	The Lord God said to the woman , “ I will increase your pain when you give birth . You will be in great pain when you have children . You will long for your husband . And he will rule over you. ”
NIRV	Genesis	3	17	The Lord God said to Adam , “ You listened to your wife ’ s suggestion . You ate fruit from the tree I warned you about . I said , ‘ You must not eat its fruit. ’ “ So I am putting a curse on the ground because of what you did . All the days of your life you will have to work hard . It will be painful for you to get food from the ground .
NIRV	Genesis	3	18	You will eat plants from the field , even though the ground produces thorns and prickly weeds .
NIRV	Genesis	3	19	You will have to work hard and sweat a lot to produce the food you eat . You were made out of the ground . You will return to it when you die . You are dust , and you will return to dust. ”
NIRV	Genesis	3	20	Adam named his wife Eve . She would become the mother of every living person .
NIRV	Genesis	3	21	The Lord God made clothes out of animal skins for Adam and his wife to wear .
NIRV	Genesis	3	22	The Lord God said , “ Just like one of us , the man can now tell the difference between good and evil . He must not be allowed to reach out and pick fruit from the tree of life and eat it . If he does , he will live forever. ”
NIRV	Genesis	3	23	So the Lord God drove the man out of the Garden of Eden . He sent the man to farm the ground he had been made from .
NIRV	Genesis	3	24	The Lord God drove him out and then placed angels on the east side of the garden . He also placed there a flaming sword that flashed back and forth . The angels and the sword guarded the way to the tree of life . Copyright ©
NIRV	Genesis	3	1995	,
NIRV	Genesis	3	1996	,
NIRV	Genesis	3	1998	,
NIRV	Genesis	3	2014	by Biblica , Inc.® . Used by permission . All rights reserved worldwide .
NIRV	Genesis	4	4	And Abel also brought an offering . He brought the fattest parts of some animals from his flock . They were the first animals born to their mothers . The Lord was pleased with Abel and his offering .
NIRV	Genesis	4	2	Later she gave birth to his brother Abel . Abel took care of sheep . Cain farmed the land .
NIRV	Genesis	4	3	After some time , Cain gathered some things he had grown . He brought them as an offering to the Lord .
NIRV	Genesis	4	5	But he wasn ’ t pleased with Cain and his offering . So Cain became very angry , and his face was sad .
NIRV	Genesis	4	6	Then the Lord said to Cain , “ Why are you angry ? Why are you looking so sad ?
NIRV	Genesis	4	7	Do what is right and then you will be accepted . If you don ’ t do what is right , sin is waiting at your door to grab you . It desires to control you . But you must rule over it. ”
NIRV	Genesis	4	8	Cain said to his brother Abel , “ Let ’ s go out to the field. ” So they went out . There Cain attacked his brother Abel and killed him .
NIRV	Genesis	4	9	Then the Lord said to Cain , “ Where is your brother Abel ? ” “ I don ’ t know , ” Cain replied . “ Am I supposed to take care of my brother ? ”
NIRV	Genesis	4	10	The Lord said , “ What have you done ? Listen ! Your brother ’ s blood is crying out to me from the ground .
NIRV	Genesis	4	11	So I am putting a curse on you . I am driving you away from this ground . It has opened its mouth to receive your brother ’ s blood from your hand .
NIRV	Genesis	4	12	When you farm the land , it will not produce its crops for you anymore . You will be a restless person who wanders around on the earth. ”
NIRV	Genesis	4	13	Cain said to the Lord , “ You are punishing me more than I can take .
NIRV	Genesis	4	14	Today you are driving me away from the land . I will be hidden from you . I ’ ll be a restless person who wanders around on the earth . Anyone who finds me will kill me. ”
NIRV	Genesis	4	15	But the Lord said to him , “ No . Anyone who kills you will be paid back seven times. ” The Lord put a mark on Cain . Then anyone who found him wouldn ’ t kill him .
NIRV	Genesis	4	16	So Cain went away from the Lord . He lived in the land of Nod . It was east of Eden .
NIRV	Genesis	4	17	Cain loved his wife and slept with her . She became pregnant and gave birth to Enoch . At that time Cain was building a city . He named it after his son Enoch .
NIRV	Genesis	4	18	Enoch had a son named Irad . Irad was the father of Mehujael . Mehujael was the father of Methushael . And Methushael was the father of Lamech .
NIRV	Genesis	4	19	Lamech married two women . One was named Adah , and the other was named Zillah .
NIRV	Genesis	4	20	Adah gave birth to Jabal . He was the father of people who live in tents and raise livestock .
NIRV	Genesis	4	21	His brother ’ s name was Jubal . He was the father of everyone who plays stringed instruments and wind instruments .
NIRV	Genesis	4	22	Zillah also had a son . His name was Tubal-Cain . He made all kinds of tools out of bronze and iron . Tubal-Cain ’ s sister was Naamah .
NIRV	Genesis	4	23	Lamech said to his wives , “ Adah and Zillah , listen to me ! You wives of Lamech , hear my words ! I have killed a man because he wounded me . I have killed a young man because he hurt me .
NIRV	Genesis	4	24	Anyone who would have killed Cain would have been paid back seven times . But anyone who hurts me will be paid back
NIRV	Genesis	4	77	times. ”
NIRV	Genesis	4	25	Adam slept with his wife again . She gave birth to a son and named him Seth . She said , “ God has given me another child . He will take the place of Abel , because Cain killed him. ”
NIRV	Genesis	4	26	Seth also had a son and named him Enosh . Then people began to call on the name of the Lord . Copyright ©
NIRV	Genesis	4	1995	,
NIRV	Genesis	4	1996	,
NIRV	Genesis	4	1998	,
NIRV	Genesis	4	2014	by Biblica , Inc.® . Used by permission . All rights reserved worldwide .
NIRV	Genesis	5	5	Adam lived a total of
NIRV	Genesis	5	2	He created them as male and female , and he blessed them . He called them “ human beings ” when they were created .
NIRV	Genesis	5	3	When Adam was
NIRV	Genesis	5	130	years old , he had a son who was like him . He named him Seth .
NIRV	Genesis	5	4	Adam lived
NIRV	Genesis	5	800	years after Enoch was born . He also had other sons and daughters .
NIRV	Genesis	5	930	years . And then he died .
NIRV	Genesis	5	6	Seth lived
NIRV	Genesis	5	105	years . Then he became the father of Enosh .
NIRV	Genesis	5	7	Seth lived
NIRV	Genesis	5	807	years after Enosh was born . He also had other sons and daughters .
NIRV	Genesis	5	8	Seth lived a total of
NIRV	Genesis	5	912	years . And then he died .
NIRV	Genesis	5	9	Enosh lived
NIRV	Genesis	5	90	years . Then he became the father of Kenan .
NIRV	Genesis	5	10	Enosh lived
NIRV	Genesis	5	815	years after Kenan was born . He also had other sons and daughters .
NIRV	Genesis	5	11	Enosh lived a total of
NIRV	Genesis	5	905	years . And then he died .
NIRV	Genesis	5	12	Kenan lived
NIRV	Genesis	5	70	years . Then he became the father of Mahalalel .
NIRV	Genesis	5	13	Kenan lived
NIRV	Genesis	5	840	years after Mahalalel was born . He also had other sons and daughters .
NIRV	Genesis	5	14	Kenan lived a total of
NIRV	Genesis	5	910	years . And then he died .
NIRV	Genesis	5	15	Mahalalel lived
NIRV	Genesis	5	65	years . Then he became the father of Methuselah .
NIRV	Genesis	5	16	Mahalalel lived
NIRV	Genesis	5	830	years after Jared was born . He also had other sons and daughters .
NIRV	Genesis	5	17	Mahalalel lived a total of
NIRV	Genesis	5	895	years . And then he died .
NIRV	Genesis	5	18	Jared lived
NIRV	Genesis	5	162	years . Then he became the father of Enoch .
NIRV	Genesis	5	19	Jared lived
NIRV	Genesis	5	20	Jared lived a total of
NIRV	Genesis	5	962	years . And then he died .
NIRV	Genesis	5	21	Enoch lived
NIRV	Genesis	5	22	Enoch walked faithfully with God
NIRV	Genesis	5	300	years after Methuselah was born . He also had other sons and daughters .
NIRV	Genesis	5	23	Enoch lived a total of
NIRV	Genesis	5	365	years .
NIRV	Genesis	5	24	Enoch walked faithfully with God . And then he couldn ’ t be found , because God took him from this life .
NIRV	Genesis	5	25	Methuselah lived
NIRV	Genesis	5	187	years . Then he became the father of Lamech .
NIRV	Genesis	5	26	Methuselah lived
NIRV	Genesis	5	782	years after Lamech was born . He also had other sons and daughters .
NIRV	Genesis	5	27	Methuselah lived a total of
NIRV	Genesis	5	969	years . And then he died .
NIRV	Genesis	5	28	Lamech lived
NIRV	Genesis	5	182	years . Then he had a son
NIRV	Genesis	5	29	and named him Noah . Lamech said , “ He will comfort us when we are working . He ’ ll comfort us when our hands work so hard they hurt . We have to work hard because the Lord put a curse on the ground. ”
NIRV	Genesis	5	30	Lamech lived
NIRV	Genesis	5	595	years after Noah was born . He also had other sons and daughters .
NIRV	Genesis	5	31	Lamech lived a total of
NIRV	Genesis	5	777	years . And then he died .
NIRV	Genesis	5	32	After Noah was
NIRV	Genesis	5	500	years old , he became the father of Shem , Ham and Japheth . Copyright ©
NIRV	Genesis	5	1995	,
NIRV	Genesis	5	1996	,
NIRV	Genesis	5	1998	,
NIRV	Genesis	5	2014	by Biblica , Inc.® . Used by permission . All rights reserved worldwide .
NIRV	Genesis	6	6	The Lord was very sad that he had made human beings on the earth . His heart was filled with pain .
NIRV	Genesis	6	2	The sons of God saw that the daughters of human beings were beautiful . So they married any of them they chose .
NIRV	Genesis	6	3	Then the Lord said , “ My Spirit will not struggle with human beings forever . They will have only
NIRV	Genesis	6	120	years to live. ”
NIRV	Genesis	6	4	The Nephilim were on the earth in those days . That was when the sons of God went to the daughters of human beings . Children were born to them . The Nephilim were famous heroes who lived long ago . Nephilim were also on the earth later on .
NIRV	Genesis	6	5	The Lord saw how bad the sins of everyone on earth had become . They only thought about evil things .
