estilo	livro	capitulo	versiculo	texto
NIVUK	Matthew	1	1	This is the genealogy [ a ] of Jesus the Messiah [ b ] the son of David , the son of Abraham :
NIVUK	Matthew	1	2	Abraham was the father of Isaac , Isaac the father of Jacob , Jacob the father of Judah and his brothers ,
NIVUK	Matthew	1	3	Judah the father of Perez and Zerah , whose mother was Tamar , Perez the father of Hezron , Hezron the father of Ram ,
NIVUK	Matthew	1	4	Ram the father of Amminadab , Amminadab the father of Nahshon , Nahshon the father of Salmon ,
NIVUK	Matthew	1	5	Salmon the father of Boaz , whose mother was Rahab , Boaz the father of Obed , whose mother was Ruth , Obed the father of Jesse ,
NIVUK	Matthew	1	6	and Jesse the father of King David . David was the father of Solomon , whose mother had been Uriah ’ s wife ,
NIVUK	Matthew	1	7	Solomon the father of Rehoboam , Rehoboam the father of Abijah , Abijah the father of Asa ,
NIVUK	Matthew	1	8	Asa the father of Jehoshaphat , Jehoshaphat the father of Jehoram , Jehoram the father of Uzziah ,
NIVUK	Matthew	1	9	Uzziah the father of Jotham , Jotham the father of Ahaz , Ahaz the father of Hezekiah ,
NIVUK	Matthew	1	10	Hezekiah the father of Manasseh , Manasseh the father of Amon , Amon the father of Josiah ,
NIVUK	Matthew	1	11	and Josiah the father of Jeconiah [ c ] and his brothers at the time of the exile to Babylon .
NIVUK	Matthew	1	12	- Matthew 1:18 Or The origin of Jesus the Messiah was like this - Matthew 1:19 Or was a righteous man and - Matthew 1:21 Jesus is the Greek form of Joshua , which means the Lord saves . - Matthew 1:23 Isaiah 7:14 Holy Bible , New International Version® Anglicized , NIV® Copyright ©
NIVUK	Matthew	1	13	Zerubbabel the father of Abihud , Abihud the father of Eliakim , Eliakim the father of Azor ,
NIVUK	Matthew	1	14	Azor the father of Zadok , Zadok the father of Akim , Akim the father of Elihud ,
NIVUK	Matthew	1	15	Elihud the father of Eleazar , Eleazar the father of Matthan , Matthan the father of Jacob ,
NIVUK	Matthew	1	16	and Jacob the father of Joseph , the husband of Mary , and Mary was the mother of Jesus who is called the Messiah .
NIVUK	Matthew	1	17	Thus there were fourteen generations in all from Abraham to David , fourteen from David to the exile to Babylon , and fourteen from the exile to the Messiah . Joseph accepts Jesus as his son
NIVUK	Matthew	1	18	. - Matthew 1:11 That is , Jehoiachin ; also in verse
NIVUK	Matthew	1	19	Because Joseph her husband was faithful to the law , and yet [ e ] did not want to expose her to public disgrace , he had in mind to divorce her quietly .
NIVUK	Matthew	1	20	But after he had considered this , an angel of the Lord appeared to him in a dream and said , ‘ Joseph son of David , do not be afraid to take Mary home as your wife , because what is conceived in her is from the Holy Spirit .
NIVUK	Matthew	1	21	She will give birth to a son , and you are to give him the name Jesus , [ f ] because he will save his people from their sins. ’
NIVUK	Matthew	1	22	All this took place to fulfil what the Lord had said through the prophet :
NIVUK	Matthew	1	23	‘ The virgin will conceive and give birth to a son , and they will call him Immanuel ’ [ g ] ( which means ‘ God with us ’ ) .
NIVUK	Matthew	1	24	When Joseph woke up , he did what the angel of the Lord had commanded him and took Mary home as his wife .
NIVUK	Matthew	1	25	But he did not consummate their marriage until she gave birth to a son . And he gave him the name Jesus . Footnotes - Matthew 1:1 Or is an account of the origin - Matthew 1:1 Or Jesus Christ . Messiah ( Hebrew ) and Christ ( Greek ) both mean Anointed One ; also in verse
NIVUK	Matthew	1	1979	,
NIVUK	Matthew	1	1984	,
NIVUK	Matthew	1	2011	by Biblica , Inc.® Used by permission . All rights reserved worldwide .
NIVUK	Matthew	2	2	and asked , ‘ Where is the one who has been born king of the Jews ? We saw his star when it rose and have come to worship him. ’
NIVUK	Matthew	2	3	When King Herod heard this he was disturbed , and all Jerusalem with him .
NIVUK	Matthew	2	4	When he had called together all the people ’ s chief priests and teachers of the law , he asked them where the Messiah was to be born .
NIVUK	Matthew	2	5	‘ In Bethlehem in Judea , ’ they replied , ‘ for this is what the prophet has written :
NIVUK	Matthew	2	6	‘ “ But you , Bethlehem , in the land of Judah , are by no means least among the rulers of Judah ; for out of you will come a ruler who will shepherd my people Israel. ” [ b ] ’
NIVUK	Matthew	2	7	Then Herod called the Magi secretly and found out from them the exact time the star had appeared .
NIVUK	Matthew	2	8	He sent them to Bethlehem and said , ‘ Go and search carefully for the child . As soon as you find him , report to me , so that I too may go and worship him. ’
NIVUK	Matthew	2	9	After they had heard the king , they went on their way , and the star they had seen when it rose went ahead of them until it stopped over the place where the child was .
NIVUK	Matthew	2	10	When they saw the star , they were overjoyed .
NIVUK	Matthew	2	11	On coming to the house , they saw the child with his mother Mary , and they bowed down and worshipped him . Then they opened their treasures and presented him with gifts of gold , frankincense and myrrh .
NIVUK	Matthew	2	12	And having been warned in a dream not to go back to Herod , they returned to their country by another route . The escape to Egypt
NIVUK	Matthew	2	13	When they had gone , an angel of the Lord appeared to Joseph in a dream . ‘ Get up , ’ he said , ‘ take the child and his mother and escape to Egypt . Stay there until I tell you , for Herod is going to search for the child to kill him. ’
NIVUK	Matthew	2	14	So he got up , took the child and his mother during the night and left for Egypt ,
NIVUK	Matthew	2	15	where he stayed until the death of Herod . And so was fulfilled what the Lord had said through the prophet : ‘ Out of Egypt I called my son. ’ [ c ]
NIVUK	Matthew	2	16	When Herod realised that he had been outwitted by the Magi , he was furious , and he gave orders to kill all the boys in Bethlehem and its vicinity who were two years old and under , in accordance with the time he had learned from the Magi .
NIVUK	Matthew	2	17	Then what was said through the prophet Jeremiah was fulfilled :
NIVUK	Matthew	2	18	‘ A voice is heard in Ramah , weeping and great mourning , Rachel weeping for her children and refusing to be comforted , because they are no more. ’ [ d ] The return to Nazareth
NIVUK	Matthew	2	19	After Herod died , an angel of the Lord appeared in a dream to Joseph in Egypt
NIVUK	Matthew	2	20	and said , ‘ Get up , take the child and his mother and go to the land of Israel , for those who were trying to take the child ’ s life are dead. ’
NIVUK	Matthew	2	21	So he got up , took the child and his mother and went to the land of Israel .
NIVUK	Matthew	2	22	But when he heard that Archelaus was reigning in Judea in place of his father Herod , he was afraid to go there . Having been warned in a dream , he withdrew to the district of Galilee ,
NIVUK	Matthew	2	23	and he went and lived in a town called Nazareth . So was fulfilled what was said through the prophets , that he would be called a Nazarene . Footnotes - Matthew 2:1 Traditionally wise men - Matthew 2:6 Micah 5:2,4 - Matthew 2:15 Hosea 11:1 - Matthew 2:18 Jer . 31:15 Holy Bible , New International Version® Anglicized , NIV® Copyright ©
NIVUK	Matthew	2	1979	,
NIVUK	Matthew	2	1984	,
NIVUK	Matthew	2	2011	by Biblica , Inc.® Used by permission . All rights reserved worldwide .
NIVUK	Matthew	3	3	This is he who was spoken of through the prophet Isaiah : ‘ A voice of one calling in the wilderness , “ Prepare the way for the Lord , make straight paths for him. ” ’ [ a ]
NIVUK	Matthew	3	2	and saying , ‘ Repent , for the kingdom of heaven has come near. ’
NIVUK	Matthew	3	4	John ’ s clothes were made of camel ’ s hair , and he had a leather belt round his waist . His food was locusts and wild honey .
NIVUK	Matthew	3	5	People went out to him from Jerusalem and all Judea and the whole region of the Jordan .
NIVUK	Matthew	3	6	Confessing their sins , they were baptised by him in the River Jordan .
NIVUK	Matthew	3	7	But when he saw many of the Pharisees and Sadducees coming to where he was baptising , he said to them : ‘ You brood of vipers ! Who warned you to flee from the coming wrath ?
NIVUK	Matthew	3	8	Produce fruit in keeping with repentance .
NIVUK	Matthew	3	9	And do not think you can say to yourselves , “ We have Abraham as our father. ” I tell you that out of these stones God can raise up children for Abraham .
NIVUK	Matthew	3	10	The axe has been laid to the root of the trees , and every tree that does not produce good fruit will be cut down and thrown into the fire .
NIVUK	Matthew	3	11	‘ I baptise you with [ b ] water for repentance . But after me comes one who is more powerful than I , whose sandals I am not worthy to carry . He will baptise you with [ c ] the Holy Spirit and fire .
NIVUK	Matthew	3	12	His winnowing fork is in his hand , and he will clear his threshing-floor , gathering his wheat into the barn and burning up the chaff with unquenchable fire. ’ The baptism of Jesus
NIVUK	Matthew	3	13	Then Jesus came from Galilee to the Jordan to be baptised by John .
NIVUK	Matthew	3	14	But John tried to deter him , saying , ‘ I need to be baptised by you , and do you come to me ? ’
NIVUK	Matthew	3	15	Jesus replied , ‘ Let it be so now ; it is proper for us to do this to fulfil all righteousness. ’ Then John consented .
NIVUK	Matthew	3	16	As soon as Jesus was baptised , he went up out of the water . At that moment heaven was opened , and he saw the Spirit of God descending like a dove and alighting on him .
