estilo	livro	capitulo	versiculo	texto
TLB	Matthew	1	1	These are the ancestors of Jesus Christ , a descendant of King David and of Abraham :
TLB	Matthew	1	2	Abraham was the father of Isaac ; Isaac was the father of Jacob ; Jacob was the father of Judah and his brothers .
TLB	Matthew	1	3	Judah was the father of Perez and Zerah ( Tamar was their mother ) ; Perez was the father of Hezron ; Hezron was the father of Aram ;
TLB	Matthew	1	4	Aram was the father of Amminadab ; Amminadab was the father of Nahshon ; Nahshon was the father of Salmon ;
TLB	Matthew	1	5	Salmon was the father of Boaz ( Rahab was his mother ) ; Boaz was the father of Obed ( Ruth was his mother ) ; Obed was the father of Jesse ;
TLB	Matthew	1	6	Jesse was the father of King David . David was the father of Solomon ( his mother was the widow of Uriah ) ;
TLB	Matthew	1	7	Solomon was the father of Rehoboam ; Rehoboam was the father of Abijah ; Abijah was the father of Asa ;
TLB	Matthew	1	8	Asa was the father of Jehoshaphat ; Jehoshaphat was the father of Jehoram ; Jehoram was the father of Uzziah ;
TLB	Matthew	1	9	Uzziah was the father of Jotham ; Jotham was the father of Ahaz ; Ahaz was the father of Hezekiah ;
TLB	Matthew	1	10	Hezekiah was the father of Manasseh ; Manasseh was the father of Amos ; Amos was the father of Josiah ;
TLB	Matthew	1	11	Josiah was the father of Jechoniah and his brothers ( born at the time of the exile to Babylon ) .
TLB	Matthew	1	12	After the exile : Jechoniah was the father of Shealtiel ; Shealtiel was the father of Zerubbabel ;
TLB	Matthew	1	13	Zerubbabel was the father of Abiud ; Abiud was the father of Eliakim ; Eliakim was the father of Azor ;
TLB	Matthew	1	14	Azor was the father of Zadok ; Zadok was the father of Achim ; Achim was the father of Eliud ;
TLB	Matthew	1	15	Eliud was the father of Eleazar ; Eleazar was the father of Matthan ; Matthan was the father of Jacob ;
TLB	Matthew	1	16	Jacob was the father of Joseph ( who was the husband of Mary , the mother of Jesus Christ the Messiah ) .
TLB	Matthew	1	17	These are fourteen [ a ] of the generations from Abraham to King David ; and fourteen from King David ’ s time to the exile ; and fourteen from the exile to Christ .
TLB	Matthew	1	18	These are the facts concerning the birth of Jesus Christ : His mother , Mary , was engaged to be married to Joseph . But while she was still a virgin she became pregnant by the Holy Spirit .
TLB	Matthew	1	19	Then Joseph , her fiancé , [ b ] being a man of stern principle , decided to break the engagement but to do it quietly , as he didn ’ t want to publicly disgrace her .
TLB	Matthew	1	20	As he lay awake [ c ] considering this , he fell into a dream , and saw an angel standing beside him . “ Joseph , son of David , ” the angel said , “ don ’ t hesitate to take Mary as your wife ! For the child within her has been conceived by the Holy Spirit .
TLB	Matthew	1	21	And she will have a Son , and you shall name him Jesus ( meaning ‘ Savior ’ ) , for he will save his people from their sins .
TLB	Matthew	1	22	This will fulfill God ’ s message through his prophets—
TLB	Matthew	1	23	‘ Listen ! The virgin shall conceive a child ! She shall give birth to a Son , and he shall be called “ Emmanuel ” ( meaning “ God is with us ” ) . ’ ”
TLB	Matthew	1	24	When Joseph awoke , he did as the angel commanded and brought Mary home to be his wife ,
TLB	Matthew	1	25	but she remained a virgin until her Son was born ; and Joseph named him “ Jesus. ” Footnotes - Matthew 1:17 These are fourteen , literally , “ So all the generations from Abraham unto David are fourteen. ” - Matthew 1:19 her fiancé , literally , “ her husband. ” a man of stern principle , literally , “ a just man. ” - Matthew 1:20 As he lay awake , implied in remainder of verse . The Living Bible copyright ©
TLB	Matthew	1	1971	by Tyndale House Foundation . Used by permission of Tyndale House Publishers Inc. , Carol Stream , Illinois
TLB	Matthew	1	60188	. All rights reserved .
TLB	Matthew	2	2	“ Where is the newborn King of the Jews ? for we have seen his star in far-off eastern lands and have come to worship him. ”
TLB	Matthew	2	3	King Herod was deeply disturbed by their question , and all Jerusalem was filled with rumors . [ a ]
TLB	Matthew	2	4	He called a meeting of the Jewish religious leaders . “ Did the prophets tell us where the Messiah would be born ? ” he asked .
TLB	Matthew	2	5	“ Yes , in Bethlehem , ” they said , “ for this is what the prophet Micah [ b ] wrote :
TLB	Matthew	2	6	‘ O little town of Bethlehem , you are not just an unimportant Judean village , for a Governor shall rise from you to rule my people Israel. ’ ”
TLB	Matthew	2	7	Then Herod sent a private message to the astrologers , asking them to come to see him ; at this meeting he found out from them the exact time when they first saw the star . Then he told them ,
TLB	Matthew	2	8	“ Go to Bethlehem and search for the child . And when you find him , come back and tell me so that I can go and worship him too ! ”
TLB	Matthew	2	9	After this interview the astrologers started out again . And look ! The star appeared to them again , standing over Bethlehem . [ c ]
TLB	Matthew	2	10	Their joy knew no bounds !
TLB	Matthew	2	11	Entering the house where the baby and Mary , his mother , were , they threw themselves down before him , worshiping . Then they opened their presents and gave him gold , frankincense , and myrrh .
TLB	Matthew	2	12	But when they returned to their own land , they didn ’ t go through Jerusalem to report to Herod , for God had warned them in a dream to go home another way .
TLB	Matthew	2	13	After they were gone , an angel of the Lord appeared to Joseph in a dream . “ Get up and flee to Egypt with the baby and his mother , ” the angel said , “ and stay there until I tell you to return , for King Herod is going to try to kill the child. ”
TLB	Matthew	2	14	That same [ d ] night he left for Egypt with Mary and the baby ,
TLB	Matthew	2	15	and stayed there until King Herod ’ s death . This fulfilled the prophet ’ s prediction , “ I have called my Son from Egypt. ” [ e ]
TLB	Matthew	2	16	Herod was furious when he learned that the astrologers had disobeyed him . Sending soldiers to Bethlehem , he ordered them to kill every baby boy two years old and under , both in the town and on the nearby farms , for the astrologers had told him the star first appeared to them two years before .
TLB	Matthew	2	17	This brutal action of Herod ’ s fulfilled the prophecy of Jeremiah ,
TLB	Matthew	2	18	“ Screams of anguish come from Ramah , [ f ] Weeping unrestrained ; Rachel weeping for her children , Uncomforted— For they are dead. ”
TLB	Matthew	2	19	When Herod died , an angel of the Lord appeared in a dream to Joseph in Egypt and told him ,
TLB	Matthew	2	20	“ Get up and take the baby and his mother back to Israel , for those who were trying to kill the child are dead. ”
TLB	Matthew	2	21	So he returned immediately to Israel with Jesus and his mother .
TLB	Matthew	2	22	But on the way he was frightened to learn that the new king was Herod ’ s son , Archelaus . Then , in another dream , he was warned not to go to Judea , so they went to Galilee instead
TLB	Matthew	2	23	and lived in Nazareth . This fulfilled the prediction of the prophets concerning the Messiah , “ He shall be called a Nazarene. ” Footnotes - Matthew 2:3 and all Jerusalem was filled with rumors , literally , “ and all Jerusalem with him. ” - Matthew 2:5 Micah , implied ; see Micah 5:2 . - Matthew 2:9 appeared to them again , standing over Bethlehem , literally , “ went before them until it came and stood over where the baby lay. ” - Matthew 2:14 same , implied . - Matthew 2:15 Compare Hosea 11:1 . - Matthew 2:18 Ramah , or “ the region of Ramah. ” The Living Bible copyright ©
TLB	Matthew	2	1971	by Tyndale House Foundation . Used by permission of Tyndale House Publishers Inc. , Carol Stream , Illinois
TLB	Matthew	2	60188	. All rights reserved .
TLB	Matthew	3	3	Isaiah the prophet had told about John ’ s ministry centuries before ! He had written , “ I hear [ c ] a shout from the wilderness , ‘ Prepare a road for the Lord—straighten out the path where he will walk. ’ ”
TLB	Matthew	3	2	“ Turn from your sins . . . turn to God . . . for the Kingdom of Heaven is coming soon. ” [ b ]
TLB	Matthew	3	4	John ’ s clothing was woven from camel ’ s hair and he wore a leather belt ; his food was locusts and wild honey .
TLB	Matthew	3	5	People from Jerusalem and from all over the Jordan Valley , and , in fact , from every section of Judea went out to the wilderness to hear him preach ,
TLB	Matthew	3	6	and when they confessed their sins , he baptized them in the Jordan River .
TLB	Matthew	3	7	But when he saw many Pharisees [ d ] and Sadducees coming to be baptized , he denounced them . “ You sons of snakes ! ” he warned . “ Who said that you could escape the coming wrath of God ?
TLB	Matthew	3	8	Before being baptized , prove that you have turned from sin by doing worthy deeds .
