estilo	livro	capitulo	versiculo	texto
YLT	Matthew	1	1	A roll of the birth of Jesus Christ , son of David , son of Abraham .
YLT	Matthew	1	2	Abraham begat Isaac , and Isaac begat Jacob , and Jacob begat Judah and his brethren ,
YLT	Matthew	1	3	and Judah begat Pharez and Zarah of Tamar , and Pharez begat Hezron , and Hezron begat Ram ,
YLT	Matthew	1	4	and Ram begat Amminadab , and Amminadab begat Nahshon , and Nahshon begat Salmon ,
YLT	Matthew	1	5	and Salmon begat Boaz of Rahab , and Boaz begat Obed of Ruth , and Obed begat Jesse ,
YLT	Matthew	1	6	and Jesse begat David the king . And David the king begat Solomon , of her [ who had been ] Uriah 's ,
YLT	Matthew	1	7	and Solomon begat Rehoboam , and Rehoboam begat Abijah , and Abijah begat Asa ,
YLT	Matthew	1	8	and Asa begat Jehoshaphat , and Jehoshaphat begat Joram , and Joram begat Uzziah ,
YLT	Matthew	1	9	and Uzziah begat Jotham , and Jotham begat Ahaz , and Ahaz begat Hezekiah ,
YLT	Matthew	1	10	and Hezekiah begat Manasseh , and Manasseh begat Amon , and Amon begat Josiah ,
YLT	Matthew	1	11	and Josiah begat Jeconiah and his brethren , at the Babylonian removal .
YLT	Matthew	1	12	And after the Babylonian removal , Jeconiah begat Shealtiel , and Shealtiel begat Zerubbabel ,
YLT	Matthew	1	13	and Zerubbabel begat Abiud , and Abiud begat Eliakim , and Eliakim begat Azor ,
YLT	Matthew	1	14	and Azor begat Sadok , and Sadok begat Achim , and Achim begat Eliud ,
YLT	Matthew	1	15	and Eliud begat Eleazar , and Eleazar begat Matthan , and Matthan begat Jacob ,
YLT	Matthew	1	16	and Jacob begat Joseph , the husband of Mary , of whom was begotten Jesus , who is named Christ .
YLT	Matthew	1	17	All the generations , therefore , from Abraham unto David [ are ] fourteen generations , and from David unto the Babylonian removal fourteen generations , and from the Babylonian removal unto the Christ , fourteen generations .
YLT	Matthew	1	18	And of Jesus Christ , the birth was thus : For his mother Mary having been betrothed to Joseph , before their coming together she was found to have conceived from the Holy Spirit ,
YLT	Matthew	1	19	and Joseph her husband being righteous , and not willing to make her an example , did wish privately to send her away .
YLT	Matthew	1	20	And on his thinking of these things , lo , a messenger of the Lord in a dream appeared to him , saying , ` Joseph , son of David , thou mayest not fear to receive Mary thy wife , for that which in her was begotten [ is ] of the Holy Spirit ,
YLT	Matthew	1	21	and she shall bring forth a son , and thou shalt call his name Jesus , for he shall save his people from their sins . '
YLT	Matthew	1	22	And all this hath come to pass , that it may be fulfilled that was spoken by the Lord through the prophet , saying ,
YLT	Matthew	1	23	` Lo , the virgin shall conceive , and she shall bring forth a son , and they shall call his name Emmanuel , ' which is , being interpreted ` With us [ he is ] God . '
YLT	Matthew	1	24	And Joseph , having risen from the sleep , did as the messenger of the Lord directed him , and received his wife ,
YLT	Matthew	1	25	and did not know her till she brought forth her son -- the first-born , and he called his name Jesus .
YLT	Matthew	2	2	saying , ` Where is he who was born king of the Jews ? for we saw his star in the east , and we came to bow to him . '
YLT	Matthew	2	3	And Herod the king having heard , was stirred , and all Jerusalem with him ,
YLT	Matthew	2	4	and having gathered all the chief priests and scribes of the people , he was inquiring from them where the Christ is born .
YLT	Matthew	2	5	And they said to him , ` In Beth-Lehem of Judea , for thus it hath been written through the prophet ,
YLT	Matthew	2	6	And thou , Beth-Lehem , the land of Judah , thou art by no means the least among the leaders of Judah , for out of thee shall come one leading , who shall feed My people Israel . '
YLT	Matthew	2	7	Then Herod , privately having called the mages , did inquire exactly from them the time of the appearing star ,
YLT	Matthew	2	8	and having sent them to Beth-Lehem , he said , ` Having gone -- inquire ye exactly for the child , and whenever ye may have found , bring me back word , that I also having come may bow to him . '
YLT	Matthew	2	9	And they , having heard the king , departed , and lo , the star , that they did see in the east , did go before them , till , having come , it stood over where the child was .
YLT	Matthew	2	10	And having seen the star , they rejoiced with exceeding great joy ,
YLT	Matthew	2	11	and having come to the house , they found the child with Mary his mother , and having fallen down they bowed to him , and having opened their treasures , they presented to him gifts , gold , and frankincense , and myrrh ,
YLT	Matthew	2	12	and having been divinely warned in a dream not to turn back unto Herod , through another way they withdrew to their own region .
