estilo	livro	capitulo	versiculo	texto
BLPH	Génesis	1	1	Cuando Dios , en el principio , creó los cielos y la tierra ,
BLPH	Génesis	1	2	la tierra era una masa caótica y las tinieblas cubrían el abismo , mientras un viento impetuoso sacudía la superficie de las aguas .
BLPH	Génesis	1	3	Entonces dijo Dios : — ¡Que exista la luz ! Y la luz existió .
BLPH	Génesis	1	4	Al ver Dios que la luz era buena , la separó de las tinieblas ,
BLPH	Génesis	1	5	llamando a la luz “ día ” y a las tinieblas , “ noche ” . Vino la noche , llegó la mañana : ese fue el primer día .
BLPH	Génesis	1	6	Y dijo Dios : — ¡Que exista el firmamento y separe unas aguas de otras !
BLPH	Génesis	1	7	Y así sucedió . Hizo Dios el firmamento y separó las aguas que están abajo , de las aguas que están arriba .
BLPH	Génesis	1	8	Y Dios llamó “ cielo ” al firmamento . Vino la noche , llegó la mañana : ese fue el segundo día .
BLPH	Génesis	1	9	Y dijo Dios : — ¡Que las aguas debajo del cielo se reúnan en un solo lugar , para que aparezca lo seco ! Y así sucedió .
BLPH	Génesis	1	10	Dios llamó “ tierra ” a lo seco y al conjunto de aguas lo llamó “ mar ” . Y vio Dios que esto era bueno .
BLPH	Génesis	1	11	Y dijo Dios : — ¡Que la tierra se cubra de vegetación ; que esta produzca plantas con semilla , y árboles que den fruto con semilla , cada uno según su especie ! Y así sucedió .
BLPH	Génesis	1	12	Brotó de la tierra vegetación : plantas con semilla y árboles con su fruto y su semilla , todos según su especie . Y vio Dios que esto era bueno .
BLPH	Génesis	1	13	Vino la noche , llegó la mañana : ese fue el tercer día .
BLPH	Génesis	1	14	Y dijo Dios : — ¡Que haya lumbreras en el firmamento para separar el día de la noche , para distinguir las estaciones , y señalar los días y los años ;
BLPH	Génesis	1	15	para que luzcan en el firmamento y así alumbrar la tierra ! Y sucedió así .
BLPH	Génesis	1	16	Hizo Dios los dos grandes astros : el astro mayor para regir el día , y el menor para regir la noche . También hizo las estrellas .
BLPH	Génesis	1	17	Dios puso en el firmamento astros que alumbraran la tierra :
BLPH	Génesis	1	18	los hizo para regir el día y la noche , para separar la luz de las tinieblas . Y vio Dios que esto era bueno .
BLPH	Génesis	1	19	Vino la noche , llegó la mañana : ese fue el cuarto día .
BLPH	Génesis	1	20	Y dijo Dios : — ¡Rebosen las aguas de seres vivos , y que las aves vuelen sobre la tierra a lo ancho de todo el firmamento !
BLPH	Génesis	1	21	Y creó Dios los grandes animales marinos , y todos los seres vivientes que se mueven y pululan en las aguas ; y creó también todas las aves , todas según su especie . Vio Dios que esto era bueno ,
BLPH	Génesis	1	22	y los bendijo con estas palabras : “ Sean fecundos y multiplíquense ; llenen las aguas de los mares y que igualmente las aves se multipliquen sobre la tierra ” .
BLPH	Génesis	1	23	Vino la noche , llegó la mañana : ese fue el quinto día .
BLPH	Génesis	1	24	Y dijo Dios : — Que produzca la tierra seres vivientes : animales domésticos , reptiles y animales salvajes , todos por especies . Y sucedió así .
BLPH	Génesis	1	25	Dios hizo los animales salvajes , los animales domésticos y todos los reptiles del campo , cada uno según su especie . Vio Dios que esto era bueno .
BLPH	Génesis	1	26	Dijo entonces Dios : — Hagamos al ser humano a nuestra imagen y semejanza para que domine sobre los peces del mar y sobre las aves del cielo ; sobre los animales domésticos , sobre los animales salvajes y sobre todos los reptiles que se arrastran por el suelo .
BLPH	Génesis	1	27	Y creó Dios al ser humano a su imagen ; a imagen de Dios lo creó ; hombre y mujerlos creó .
BLPH	Génesis	1	28	Y los bendijo Dios diciéndoles : “ Sean fecundos y multiplíquense ; llenen la tierra y sométanla ; dominen sobre los peces del mar , sobre las aves del cielo y sobre todos los reptiles que se arrastran por el suelo ” .
BLPH	Génesis	1	29	Les dijo también : “ Les confío todas las plantas que en la tierra engendran semilla , y todos los árboles con su fruto y su semilla ; ellos les servirán de alimento ” .
BLPH	Génesis	1	30	A todos los animales de la tierra , y a todas las aves del cielo , y a todos los seres vivientes que se arrastran por la tierra , la hierba verde les servirá de alimento . Y así sucedió .
