estilo	livro	capitulo	versiculo	texto
CST	Mateo	1	1	Tabla genealógica de Jesucristo , hijo de David , hijo de Abraham :
CST	Mateo	1	2	Abraham fue el padre de [ a ] Isaac ; Isaac , padre de Jacob ; Jacob , padre de Judá y de sus hermanos ;
CST	Mateo	1	3	Judá , padre de Fares y de Zera , cuya madre fue Tamar ; Fares , padre de Jezrón ; Jezrón , padre de Aram ;
CST	Mateo	1	4	Aram , padre de Aminadab ; Aminadab , padre de Naasón ; Naasón , padre de Salmón ;
CST	Mateo	1	5	Salmón , padre de Booz , cuya madre fue Rajab ; Booz , padre de Obed , cuya madre fue Rut ; Obed , padre de Isaí ;
CST	Mateo	1	6	e Isaí , padre del rey David . David fue el padre de Salomón , cuya madre había sido la esposa de Urías ;
CST	Mateo	1	7	Salomón , padre de Roboán ; Roboán , padre de Abías ; Abías , padre de Asá ;
CST	Mateo	1	8	Asá , padre de Josafat ; Josafat , padre de Jorán ; Jorán , padre de Uzías ;
CST	Mateo	1	9	Uzías , padre de Jotán ; Jotán , padre de Acaz ; Acaz , padre de Ezequías ;
CST	Mateo	1	10	Ezequías , padre de Manasés ; Manasés , padre de Amón ; Amón , padre de Josías ;
CST	Mateo	1	11	y Josías , padre de Jeconías [ b ] y de sus hermanos en tiempos de la deportación a Babilonia .
CST	Mateo	1	12	Después de la deportación a Babilonia , Jeconías fue el padre de Salatiel ; Salatiel , padre de Zorobabel ;
CST	Mateo	1	13	Zorobabel , padre de Abiud ; Abiud , padre de Eliaquín ; Eliaquín , padre de Azor ;
CST	Mateo	1	14	Azor , padre de Sadoc ; Sadoc , padre de Aquín ; Aquín , padre de Eliud ;
CST	Mateo	1	15	Eliud , padre de Eleazar ; Eleazar , padre de Matán ; Matán , padre de Jacob ;
CST	Mateo	1	16	y Jacob , padre de José , que fue el esposo de María , de la cual nació Jesús , llamado el Cristo .
CST	Mateo	1	17	Así que hubo en total catorce generaciones desde Abraham hasta David , catorce desde David hasta la deportación a Babilonia y catorce desde la deportación hasta el Cristo . Nacimiento de Jesucristo
CST	Mateo	1	18	El nacimiento de Jesús , el Cristo , fue así : su madre , María , estaba comprometida para casarse con José , pero , antes de unirse a él , resultó que estaba encinta por obra del Espíritu Santo .
CST	Mateo	1	19	Como José , su esposo , era un hombre justo y no quería exponerla a vergüenza pública , resolvió divorciarse de ella en secreto .
CST	Mateo	1	20	Pero , cuando él estaba considerando hacerlo , se le apareció en sueños un ángel del Señor y le dijo : « José , hijo de David , no temas recibir a María por esposa , porque ella ha concebido por obra del Espíritu Santo .
CST	Mateo	1	21	Dará a luz un hijo , y le pondrás por nombre Jesús , [ c ] porque él salvará a su pueblo de sus pecados » .
CST	Mateo	1	22	Todo esto sucedió para que se cumpliera lo que el Señor había dicho por medio del profeta :
CST	Mateo	1	23	« La virgen concebirá y dará a luz un hijo , y lo llamarán Emanuel » [ d ] ( que significa « Dios con nosotros » ) .
CST	Mateo	1	24	Cuando José se despertó , hizo lo que el ángel del Señor le había mandado y recibió a María por esposa .
CST	Mateo	1	25	Pero no tuvo relaciones conyugales con ella hasta que dio a luz un hijo , [ e ] a quien le puso por nombre Jesús . Santa Biblia , NUEVA VERSIÓN INTERNACIONAL® NVI® ( Castellano ) ©
CST	Mateo	1	1999	,
CST	Mateo	1	2005	,
CST	Mateo	1	2017	por
CST	Mateo	2	2	―¿Dónde está el que ha nacido rey de los judíos ? —preguntaron— . Vimos salir [ b ] su estrella y hemos venido a adorarlo .
CST	Mateo	2	3	Cuando lo oyó el rey Herodes , se turbó , y toda Jerusalén con él .
