estilo	livro	capitulo	versiculo	texto
LBLA	Mateo	1	1	Libro de la genealogía de Jesucristo , hijo de David ( A ) , ( B ) hijo de Abraham .
LBLA	Mateo	1	2	Rey 24:6 Joaquín - Mateo 1:11 O , al tiempo de la - Mateo 1:16 I.e. , el Mesías - Mateo 1:17 I.e. , el Mesías - Mateo 1:18 O , comprometida para casarse - Mateo 1:18 Lit. , antes de que se juntaran - Mateo 1:19 O , divorciarse de ella - Mateo 1:20 Lit. , lo que - Mateo 1:22 O , ha sucedido - Mateo 1:24 Lit. , levantándose - Mateo 1:25 Lit. , no la conoció - Mateo 1:25 Algunos mss . antiguos dicen : su hijo primogénito
LBLA	Mateo	1	3	Judá engendró , de Tamar , a Fares y a Zara , ( C ) Fares engendró a Esrom , y Esrom a Aram [ a ] ;
LBLA	Mateo	1	4	Aram engendró a Aminadab , Aminadab a Naasón , y Naasón a Salmón ;
LBLA	Mateo	1	5	Salmón engendró , de Rahab , a Booz , Booz engendró , de Rut , a Obed , y Obed engendró a Isaí ;
LBLA	Mateo	1	6	Isaí engendró al rey David . Y David engendró a Salomón ( D ) de la que había sido mujer de Urías .
LBLA	Mateo	1	7	Salomón engendró a Roboam ( E ) , Roboam a Abías , y Abías a Asa [ b ] ;
LBLA	Mateo	1	8	Asa engendró a Josafat , Josafat a Joram , y Joram a Uzías ;
LBLA	Mateo	1	9	Uzías engendró a Jotam , Jotam a Acaz , y Acaz a Ezequías ;
LBLA	Mateo	1	10	Ezequías engendró a Manasés , Manasés a Amón [ c ] , y Amón [ d ] a Josías ;
LBLA	Mateo	1	11	Josías engendró a Jeconías [ e ] y a sus hermanos durante la [ f ] deportación a Babilonia ( F ) .
LBLA	Mateo	1	12	Después de la deportación a Babilonia ( G ) , Jeconías engendró a Salatiel , y Salatiel a Zorobabel ;
LBLA	Mateo	1	13	Zorobabel engendró a Abiud , Abiud a Eliaquim , y Eliaquim a Azor ;
LBLA	Mateo	1	14	Azor engendró a Sadoc , Sadoc a Aquim , y Aquim a Eliud ;
LBLA	Mateo	1	15	Eliud engendró a Eleazar , Eleazar a Matán , y Matán a Jacob ;
LBLA	Mateo	1	16	Jacob engendró a José , el marido de María , de la cual nació Jesús , llamado el Cristo [ g ] ( H ) .
