estilo	livro	capitulo	versiculo	texto
NBLA	Mateo	1	1	Libro de la genealogía [ a ] de Jesucristo [ b ] , hijo [ c ] de David ( A ) , hijo [ d ] ( B ) de Abraham .
NBLA	Mateo	1	2	Abraham fue padre de Isaac , Isaac de Jacob , y Jacob de Judá y de sus hermanos ;
NBLA	Mateo	1	3	Judá fue padre de Fares y de Zara , ( C ) cuya madre fue Tamar ; Fares fue padre de Esrom , y Esrom de Aram [ e ] ;
NBLA	Mateo	1	4	Aram fue padre de Aminadab , Aminadab de Naasón , y Naasón de Salmón ;
NBLA	Mateo	1	5	Salmón fue padre de Booz , cuya madre fue Rahab ; Booz fue padre de Obed , cuya madre fue Rut ; y Obed fue padre de Isaí ;
NBLA	Mateo	1	6	Isaí fue padre del rey David . Y David fue padre de Salomón ( D ) , cuya madre Betsabé había sido mujer de Urías [ f ] .
NBLA	Mateo	1	7	Salomón fue padre de Roboam ( E ) , Roboam de Abías , y Abías de Asa [ g ] ;
NBLA	Mateo	1	8	Asa fue padre de Josafat , Josafat de Joram , y Joram de Uzías ;
NBLA	Mateo	1	9	Uzías fue padre de Jotam , Jotam de Acaz , y Acaz de Ezequías ;
NBLA	Mateo	1	10	Ezequías fue padre de Manasés , Manasés de Amón [ h ] , y Amón [ i ] de Josías ;
NBLA	Mateo	1	11	Josías fue padre de Jeconías [ j ] y de sus hermanos durante la [ k ] deportación a Babilonia ( F ) .
NBLA	Mateo	1	12	Después de la deportación a Babilonia ( G ) , Jeconías fue padre de Salatiel , y Salatiel de Zorobabel ;
NBLA	Mateo	1	13	Zorobabel fue padre de Abiud , Abiud de Eliaquim , y Eliaquim de Azor ;
NBLA	Mateo	1	14	Azor fue padre de Sadoc , Sadoc de Aquim , y Aquim de Eliud ;
NBLA	Mateo	1	15	Eliud fue padre de Eleazar , Eleazar de Matán , y Matán de Jacob ;
NBLA	Mateo	1	16	Jacob fue padre de José , el marido de María , de la cual nació Jesús , llamado el Cristo [ l ] ( H ) .
NBLA	Mateo	1	17	De manera que todas las generaciones desde Abraham hasta David son catorce generaciones ; y desde David hasta la deportación a Babilonia ( I ) , catorce generaciones ; y desde la deportación a Babilonia hasta Cristo , catorce generaciones . Nacimiento de Jesucristo
NBLA	Mateo	1	18	El nacimiento de Jesucristo fue como sigue : estando Su madre María ( J ) comprometida para casarse con José , antes de que se llevara a cabo el matrimonio [ m ] , se halló que había concebido por obra del Espíritu Santo ( K ) .
NBLA	Mateo	1	19	Entonces José su marido , siendo un hombre justo y no queriendo denunciarla públicamente , quiso abandonarla [ n ] en secreto ( L ) .
NBLA	Mateo	1	20	Pero mientras pensaba en esto , se le apareció en sueños un ángel del Señor , diciéndole : « José , hijo de David ( M ) , no temas recibir a María tu mujer , porque el Niño [ o ] que se ha engendrado en ella es del Espíritu Santo .
